Duration,Events,Trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
2880,17487,10810,3549,743,3548,743,376,7774,6518,6453,65,0,0,1256,753,49,13.23,536,31.08,2009,982.64,0,0,208,1,21,0,0,0,0,10
2880,17229,10850,3576,746,3576,746,218,7633,6528,6488,40,0,0,1105,734,23,6.02,536,31.73,1839,852.7,0,0,199,0,20,0,0,0,0,11
2880,17348,10928,3521,788,3520,788,317,7662,6619,6564,55,0,0,1043,751,33,8.18,579,35.21,1794,785.97,0,0,209,0,20,0,0,0,0,12
2880,16979,10703,3489,777,3488,777,193,7472,6437,6428,9,0,0,1035,782,13,3.88,574,34.02,1817,797.84,0,0,211,0,20,0,0,0,0,13
2880,17631,10813,3613,760,3613,760,298,7707,6440,6389,51,0,0,1267,880,24,6.51,548,31.87,2147,962.28,0,0,173,0,20,0,0,0,0,14
2880,17587,10937,3621,764,3620,764,267,7752,6552,6513,39,0,0,1200,798,24,7.15,549,32.22,1998,927.84,0,0,201,2,22,0,0,0,0,15
2880,17116,10800,3511,758,3511,758,276,7643,6531,6470,61,0,0,1112,659,55,11.49,547,32.71,1771,831.94,0,0,215,3,23,0,0,0,0,16
2880,16818,10572,3413,719,3412,719,399,7439,6440,6419,21,0,0,999,716,58,16.5,527,31.27,1715,776.63,0,0,35,0,20,0,0,0,0,17
2880,17765,10961,3507,767,3505,767,269,8055,6687,6628,59,0,0,1368,893,55,13.49,549,32.88,2261,1080.6,0,0,224,0,20,0,0,0,0,18
2880,17701,10902,3578,747,3578,747,419,7909,6577,6537,40,0,0,1332,723,44,8.75,564,33.39,2055,975.74,0,0,183,4,24,0,0,0,0,19
