episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,maintenance_restoration_value,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9165897767115704,-2.545447258521107,-0.02337230159557437,-0.010820193670126075,-0.003598661182925374,-0.007560987590996937,-0.003729580099727168,-0.00016833534598719433,-0.0013823762388679775,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9143597459043799,-2.5901544369812393,-0.04590806271593572,-0.02150883141625742,-0.006916124318586911,-0.014833767671491875,-0.007223224932828867,-0.00031205486002396034,-0.0025157157827226766,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9134127343082568,-2.6332319887513944,-0.0681089172363533,-0.03201752594863033,-0.010233398433169866,-0.022033005226478754,-0.010715683997620915,-0.00048319786793060937,-0.003514956535912447,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.9162424648359009,-2.669201433423575,-0.08698377335140432,-0.04107747891278233,-0.01321918534530413,-0.029049410732345092,-0.0138333508869832,-0.0006049098864494576,-0.00482880100985042,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.912717873947909,-2.7117247219094964,-0.10873155676794667,-0.051523270389243675,-0.016399763426409007,-0.036409576063634666,-0.01701170915888592,-0.0008435805809763326,-0.006222531199705183,0.008925,0.01,0.0,0.97,100,10,1,11
