episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.8945495128645975,-52.401361253853324,-23.759068187914465,-16.67222306266359,-21.566568679290974,-14.848328890038534,-89.46748136523183,-84.24146518024118,-5.099949011176796,-14.407895904506248,-7.899373783385595,-15.991379178609526,-2.680077203507967,-1.565860531577914
1,0.9410366715802774,-62.96728739167145,-30.49869037601929,-18.88834565088713,-27.56500838041832,-16.340681520553456,-92.06490041158996,-74.80098147718239,0.0,-17.48912173594494,-6.614588168156868,-16.900514315653666,-4.274086177494515,-1.8612734854651891
2,0.9437932160132949,-70.90492150673481,-36.86827743160483,-20.48932738660532,-33.289753209023125,-17.52690279483321,-85.97941405301827,-55.40134424165189,-1.0537549293147037,-20.397725506707214,-5.817528555403114,-15.963900063986058,-6.149085729055869,-2.351186571629489
3,0.924408453248239,-79.89751312589736,-42.67165096135902,-23.131430633674206,-38.14809209430599,-19.820566750695825,-77.31117803760111,-45.70362358946368,-1.042023790856034,-21.375491969916684,-6.184887421931464,-14.456074293532243,-7.6108195838139086,-3.1330937008988053
4,0.9354346720894764,-90.53241812756075,-47.44560513908183,-25.530029850651992,-41.670202956509996,-21.733614301882483,-77.60801826522209,-42.939225595287205,-0.8469438082904217,-19.72991203723941,-5.433002158676436,-15.923550119427842,-8.060978607987556,-3.6968772021255987
5,0.9350111117784852,-97.64389213510357,-49.62703637579513,-25.89997863090569,-42.56328190493149,-21.58995847920764,-75.33312770454964,-39.89016436825898,-2.1354726457492323,-14.859851992980627,-2.730674681328852,-18.53582923875388,-8.39642282550694,-4.127520192764948
6,0.937224834526341,-104.36813498622574,-52.768280385686616,-26.10942577838708,-44.57981543819117,-21.379654954101625,-73.9037317841407,-35.04029268943716,-1.0522572925542153,-12.222931069614116,-0.47271670181664494,-20.396565315735597,-8.68002258085258,-4.504151238846754
7,0.9402406133519198,-113.06827329907772,-57.139519859834195,-26.739980551667976,-47.75509960199598,-21.497432778707115,-77.44762808056987,-34.39329615349304,-2.672757160958093,-10.619020296233593,-0.2070818563355528,-21.951704284983315,-8.934421957238618,-4.78106101750538
8,0.9345463352608157,-115.22979410080076,-57.49029470431432,-25.130331943085526,-47.09579531597144,-19.699428303477,-66.63787625007386,-25.502800141524723,-1.9673175794029425,-5.5100451213675425,-0.14516938633514426,-22.365379521264803,-9.120397246410183,-5.154607106887864
9,0.9383693685677847,-126.59595196576639,-61.72572205828889,-27.381510553422444,-49.99244559082194,-21.464389807140716,-72.25700099822485,-32.69337348738383,-2.3056996531927885,-3.1044074700746016,-0.23714323958724484,-25.377871947873597,-9.263774686011473,-5.888749541626869
10,0.9425424946133589,-130.59895943449217,-63.3040149322599,-25.729271273926162,-50.51277432838023,-19.50067503213655,-68.74173490748078,-25.2192812431054,-1.7056682498232385,0.0,0.0,-26.94807078298039,-9.43019023828681,-6.297795894432494
11,0.9365695595023386,-132.53231078625828,-63.98131909680445,-24.684092358531107,-50.41370526765505,-18.380506351087764,-59.71316768173641,-19.96666866933646,-0.21014900503777872,-0.009662765648657591,-0.02229483271521325,-27.94993451807557,-9.90781871407078,-6.8605809410281715
12,0.9419054763690923,-139.41993233648043,-66.60926524792383,-24.63310465717507,-51.94501707856204,-17.971005913875082,-62.82453079067232,-22.39449643258176,-0.9767762192799182,-0.05261901823981187,-0.06334372796114034,-31.570184037547204,-10.335995700754113,-7.349514531450656
13,0.9362349991044241,-142.75051826738132,-67.46570971924177,-23.490778769771907,-51.91494905347884,-16.670654778686888,-60.36695492265593,-19.90049562335091,-0.7030046459882956,0.0,-0.058923649105719296,-34.70284900639362,-10.488590095215217,-7.8381497810254315
14,0.9330007558578988,-146.08763592354336,-68.33817075293744,-22.801561067284936,-52.10115482852798,-15.737331896408117,-58.64915253556667,-18.276226269748022,-0.4797381009079991,0.0,0.0,-37.10394081679791,-10.563458313538716,-8.635041043481348
15,0.9415744527303344,-150.45789409004033,-69.5504832188125,-22.368797056507326,-52.58025130833013,-15.07306287107959,-60.684997280450176,-21.270875208071764,-0.2315042753715366,0.0,0.0,-40.513192841821265,-10.621437116237441,-9.338353435755197
16,0.9369242310577645,-153.926787043257,-70.62185767426354,-21.753997144575806,-52.98322706871256,-14.321867737271099,-60.898717707204625,-20.20233878662929,-1.5097718235611644,-0.03367842678840567,-0.545821276076399,-43.505986297052125,-11.29366836767615,-10.151834051838172
17,0.9393400096525096,-156.58683875204423,-70.53734881710363,-20.539920861451964,-52.111551763786494,-12.896872877949287,-60.2675196761715,-19.40294363495668,-0.22028868254567946,-0.06853207105316785,-0.026068354141731122,-47.25460308623558,-11.267953900461116,-10.71627769868845
18,0.9390953198927161,-158.11699390904212,-70.67040602490711,-19.28180884628697,-51.63506535269214,-11.521053071810964,-57.51163446665753,-17.86215159701091,-0.7172306102944352,0.0,0.0,-49.8401572478905,-11.440243915340279,-11.195514502090559
19,0.9386303351820593,-161.11404568132426,-71.46294885632689,-18.340088962259774,-51.67221534998955,-10.438520823877774,-57.89608589421042,-16.501293267605483,-0.7974586702988491,-0.05029462360915682,-0.001888149070188707,-52.903393958306076,-11.725716424193504,-11.801170724190634
20,0.9413553301020562,-166.6065908500153,-72.46489190108444,-18.279944229883643,-51.81880717133072,-10.114870052745728,-62.32956284065494,-24.969175475765596,-1.290442599193483,-0.11179481636036066,-0.21768885677920638,-57.830528086806396,-11.948360867483927,-12.351146053861891
21,0.935588050596573,-166.30550127283786,-71.39680094341934,-16.646130170500633,-50.339835536050344,-8.353153989430774,-55.948741621244565,-18.954300558532868,-0.598487751178683,0.0,0.0,-60.12370917955524,-11.848433034548421,-12.728264795220378
22,0.9356662500743915,-164.17934226561806,-69.43826934651864,-14.235161476954648,-47.876176865075315,-5.898673762844417,-47.37353511186092,-12.667827226386217,-0.09796940315894645,0.0,-0.029157519872745265,-61.90716027159917,-11.774410824753803,-13.093337922455971
23,0.9334239951647023,-169.738396564913,-70.30388626904082,-14.683828344391882,-47.86332890418193,-6.021564721437867,-51.388757271625245,-19.35084418710499,-0.4225505973545033,-0.0028025281892726456,-0.011928877248637084,-66.00213756188404,-11.674406885199172,-13.74748109339398
24,0.9308553515450068,-172.5612038021619,-70.00410820534645,-14.242119514864642,-46.840105066729066,-5.3429204793782485,-51.75048606847721,-23.70845818752157,-0.8799979561667396,0.0,-0.18889550592490265,-69.72292752102643,-11.477181184983166,-14.188961371093662
25,0.9468480725623583,-172.54702929274842,-68.90988027344663,-12.434867724551294,-45.10933319840449,-3.4573129796176243,-46.15732980160921,-19.98658437569616,0.0,0.0,0.0,-72.0067903589376,-11.537518579850737,-14.657959793627063
26,0.9369821590565467,-176.2416992917747,-69.0903554074677,-11.590487296186023,-44.56581447088726,-2.3003656756852733,-51.27616839702082,-23.737789054132577,-0.5828982067059907,0.0,-0.04648517363560326,-76.63218680287751,-11.525591186122996,-15.102901317531778
27,0.9331754957087895,-182.10562506971297,-70.10782615744996,-11.646215907587093,-44.738144044960144,-2.008261896323276,-57.64643051235787,-28.662685471701874,-1.7386943237222092,0.0,-0.09523964732222458,-81.13477298806842,-11.561055571640576,-15.71902324464811
28,0.9442500301677326,-180.41762833814252,-67.85919812012182,-9.771460485676341,-41.86905724473908,-0.061846842102704636,-47.22832451427458,-22.914645244480113,0.0,0.0,0.0,-82.62545129972177,-11.216217585460843,-16.17004527834045
29,0.9366585809581565,-183.8020054579578,-68.39752329930117,-9.234068467375627,-41.70314354599378,-0.9638500534418419,-49.54503687925014,-24.730822349553694,-1.3474052154154825,-0.02739127309390018,0.0,-85.76437965762267,-11.36910533073942,-16.74905106589706
30,0.9429536218025341,-182.60581526075987,-67.0397194495875,-7.137552661983597,-39.88933804922935,-0.18590171995038657,-45.463044553298495,-18.90987692106753,-1.1737817060892919,0.0,0.0,-87.54843225521782,-11.238306780930532,-17.08610956443952
31,0.9353756911084927,-183.68366278055402,-66.4995090714455,-5.873305493244855,-38.6827340190584,-0.18825723311034054,-42.12855834870532,-15.917424434820584,-0.5905485438004386,0.0,-0.05646485533850133,-89.70537389495726,-10.8743826450721,-17.39991845030544
32,0.9449806655908413,-187.3541799681321,-67.73559861044134,-5.5998987859452685,-39.25634978984573,-0.6829947911250983,-46.018409577507235,-20.750739499129093,-1.0064432499727494,0.0,-0.06580452987191514,-92.31704505113235,-11.250025149276263,-17.87678849509482
33,0.9410552474467376,-188.7396336042682,-67.69988895208071,-4.105778602183239,-38.627894287205564,0.0,-46.70790894265548,-17.39270896361555,-0.14121727928430303,-0.005094815345616557,0.0,-94.88301247604122,-11.153927054397478,-18.128982481423726
34,0.9391833188531712,-188.00373866606938,-66.64626668575819,-2.2468381198743486,-37.09794067008519,0.0,-42.90150592115772,-14.234203268101961,-0.15476603699718097,0.0,0.0,-96.63577221805953,-11.316829399387329,-18.535489358237005
35,0.9418485469673218,-191.90618121793568,-67.4812780771073,-1.6793637913103916,-37.282875965094824,-0.02439342301661812,-48.442369703294226,-17.116657829729572,-0.6764989711388076,0.0,-0.0016214346106088048,-100.30379949709862,-11.330214343611502,-18.936356904773028
36,0.9454501127567502,-193.74963999245318,-67.03552424311735,-0.7491737755840643,-36.22204470765869,-0.07599337349210408,-47.035946583582465,-17.689899476095853,-0.48764469383881487,0.0,0.0,-102.66703884561035,-11.219499098834326,-19.320849188162455
