episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9328380735175744,-2.535341355340979,-0.017579368817922866,-0.0073551074051170255,-0.003233140529909334,-0.0035499505080783477,-0.0006226036633054827,-0.00515941867129051,-0.004146537714592912,-0.00016357577641937576,-5.682250678878891e-05,-0.00012579300525150913,-0.0026152827149330377,-0.006363893962442002,-0.001571173004195324,0.01,0.01,0.0,0.97,100,14,1,15
1,0.9345541427879234,-2.5683092994736327,-0.03424528661009428,-0.014543712943142217,-0.006292198414634948,-0.007320649461153843,-0.0012149462928804338,-0.010011468488692075,-0.007863946771464589,-0.0002953719622593658,-0.00010832466636509279,-0.0002778677183744758,-0.0052584098283089695,-0.012034364821045538,-0.003094617352832578,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.9297290050109772,-2.6001712543991515,-0.05028711394791098,-0.021533220205525783,-0.009246262166406609,-0.01088346816747116,-0.0018214465982824908,-0.01493035588239817,-0.011811215116240928,-0.0004277351402759105,-0.0001622737362240883,-0.0003563353033254658,-0.007748813988099635,-0.017200855493351607,-0.004354520706769522,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9349547227290227,-2.6312408085840695,-0.06596526950767315,-0.02809868557584994,-0.01225751555470595,-0.014111517108432099,-0.0024675132196713425,-0.01939848303118759,-0.0154406994584575,-0.0005448129980801361,-0.000204442917086441,-0.00045084770992831366,-0.009495445462360445,-0.02198832986635364,-0.005764529829008111,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9285820808961209,-2.6656711969790905,-0.08316136268659556,-0.035490074536634525,-0.015349420057081843,-0.017886696536792205,-0.002978182907998202,-0.024533463661907843,-0.019243445406507496,-0.0007101222675518952,-0.0002485662414357943,-0.0005951852198808309,-0.011511247377111575,-0.028506007647276198,-0.0070318803084681416,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9291475618327253,-2.6921061482367583,-0.09641343671169791,-0.04171446213136433,-0.017756866762393617,-0.02112078656289574,-0.0034374018352685597,-0.029168603795859865,-0.022838571099137048,-0.0008131887593647563,-0.0003013071864327091,-0.0006791177634099943,-0.014014145876955141,-0.03251006738936952,-0.008396436037745801,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9304580855874718,-2.717495149495186,-0.10978244268815358,-0.048021473684167836,-0.020118971532827937,-0.024618870718240916,-0.0037541506348311923,-0.03381125052112943,-0.026352431469310857,-0.0009492914224772937,-0.000338405187433608,-0.000791636575114023,-0.01579944597200279,-0.03726346971009562,-0.00960246054572366,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9269513008672449,-2.750046416683206,-0.12663225142667558,-0.05514908156746357,-0.023358770880176103,-0.028276862289051078,-0.004381587815574593,-0.03863951015143838,-0.030550538319323816,-0.0010873440054453257,-0.00038800976530105043,-0.0009271360365368416,-0.01826233951685423,-0.042887808969348906,-0.011011709616693195,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9307426128846219,-2.778723397457614,-0.14121581730500998,-0.06149768800004288,-0.026032462486184047,-0.03158748387416444,-0.004974860638714846,-0.043143533184530874,-0.03393068017067069,-0.0012238555929127014,-0.00043230334889303576,-0.0010416557705083948,-0.020159014406859955,-0.048139398024468066,-0.011994851064104342,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.929528002285215,-2.807146047215226,-0.15544375520254297,-0.06762009012917324,-0.02869079810023955,-0.03477406943536438,-0.005555155555760071,-0.047372420141910766,-0.037207291917212205,-0.001329293403201569,-0.0004771024718475205,-0.0011308563278036093,-0.022198588505119566,-0.052507962320182976,-0.01345719147550405,0.007868,0.01,0.0,0.97,100,14,1,15
