seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9363,400.416,2733,1109,60282,57549,57549,202,48,180,202,202,198,7390,7598,0.0157,0.0328,0.9514,0.0352,0.0756,0.8892,27,58,196,226,180,198
43,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9383,397.8915,2570,1137,60062,57492,57492,147,44,202,147,147,140,7612,7761,0.0079,0.0329,0.9593,0.0379,0.0679,0.8943,29,52,226,170,202,140
44,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9394,398.2847,2660,943,59410,56750,56753,192,45,200,192,192,186,7490,7684,0.0157,0.0288,0.9556,0.0301,0.0824,0.8876,23,63,211,228,200,186
45,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9364,396.5528,2704,1083,59520,56816,56819,189,46,207,189,189,188,7573,7757,0.0105,0.0276,0.9619,0.0287,0.0613,0.91,22,47,221,215,207,188
46,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9368,397.2791,2701,1026,58938,56237,56236,206,41,184,206,206,209,7057,7273,0.0105,0.0316,0.9578,0.0248,0.0821,0.8931,19,63,195,241,184,209
47,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9411,398.3767,2397,1100,59402,57005,57005,175,44,190,175,175,172,7553,7735,0.0132,0.0448,0.942,0.0366,0.0666,0.8969,28,51,209,192,190,172
48,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9303,397.4276,2997,1163,59646,56649,56649,167,46,213,167,167,152,7480,7639,0.0106,0.0317,0.9578,0.0396,0.0686,0.8918,30,52,236,192,213,152
49,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9388,396.7771,2631,991,59136,56505,56504,190,45,205,190,190,184,7225,7417,0.0131,0.0327,0.9542,0.0183,0.0809,0.9008,14,62,209,221,205,184
50,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9388,397.0501,2787,847,59402,56615,56615,207,47,217,207,207,203,7261,7471,0.0143,0.0261,0.9596,0.0209,0.073,0.9061,16,56,225,241,217,203
51,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9363,399.218,2704,1108,59852,57148,57149,209,40,208,209,209,213,7331,7527,0.0119,0.0264,0.9618,0.0404,0.0651,0.8945,31,50,230,235,208,213
