seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9512,400.8391,2104,837,60282,58178,58176,233,43,213,233,233,215,7363,7598,0.0157,0.0328,0.9514,0.0052,0.0248,0.97,4,19,206,217,213,215
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9521,398.1694,2027,847,60062,58035,58037,212,43,212,212,212,206,7435,7641,0.0079,0.0329,0.9593,0.0039,0.0196,0.9765,3,15,210,200,212,206
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9485,398.5837,2187,875,59410,57223,57226,239,42,224,239,239,227,7197,7444,0.0157,0.0288,0.9556,0.0039,0.0183,0.9778,3,14,217,228,224,227
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9495,397.1913,2180,828,59520,57340,57341,219,43,231,219,219,207,7589,7802,0.0105,0.0276,0.9619,0.0065,0.0196,0.9739,5,15,229,209,231,207
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9539,398.1041,1942,774,58938,56996,56995,234,42,207,234,234,229,7419,7663,0.0105,0.0316,0.9578,0.0052,0.0183,0.9765,4,14,203,222,207,229
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9507,398.2885,1993,933,59402,57409,57407,230,42,201,230,230,223,7268,7503,0.0132,0.0448,0.942,0.0065,0.0235,0.97,5,18,198,212,201,223
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9506,398.851,2160,789,59646,57486,57484,208,43,219,208,208,207,7451,7653,0.0106,0.0317,0.9578,0.0053,0.029,0.9657,4,22,216,205,219,207
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9518,397.59,1977,876,59136,57159,57160,239,41,208,239,239,222,7401,7637,0.0131,0.0327,0.9542,0.0065,0.0209,0.9726,5,16,207,225,208,222
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9554,398.1892,1976,674,59402,57426,57425,245,42,211,245,245,235,7352,7595,0.0143,0.0261,0.9596,0.0013,0.0222,0.9765,1,17,203,242,211,235
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,3,18,0.9543,399.9567,1969,765,59852,57883,57884,226,42,231,226,226,221,7486,7701,0.0119,0.0264,0.9618,0.0065,0.026,0.9674,5,20,227,223,231,221
