episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9209012061936956,-2.5426917207782265,-0.021889781118285517,-0.009658965954706385,-0.0037436587796575633,-0.00679496054630598,-0.003847393910130554,-0.0002568914485131245,0.01,0.01,0.0,0.97,100,11,1,12
1,0.922617853560682,-2.582859061623047,-0.042442941457837745,-0.018641463653247384,-0.007417240335582744,-0.012986532567531005,-0.007401741131842866,-0.0003413715593630651,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9172990267517631,-2.6247470735264016,-0.0640911572908914,-0.028204884662725933,-0.011146451466454292,-0.01945152677233171,-0.010918071629898368,-0.0010384288403210882,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9218352310783657,-2.6628535343519366,-0.08383576302122543,-0.03697095487504058,-0.014710953492569966,-0.025903334460758716,-0.01419661916239075,-0.0011813395838268694,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9213334216979256,-2.7008059745941533,-0.10320623150822736,-0.04585613380236963,-0.017905064932281684,-0.03231282267187229,-0.01731345638316036,-0.0014896634584949811,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9251217838190736,-2.7352972351681033,-0.12069192843572388,-0.05354918667246193,-0.021039149851672923,-0.03763650689738603,-0.02034134714303601,-0.0016769169478518312,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9207080179516378,-2.754813685057871,-0.13167669753655703,-0.06002438014706083,-0.02284539988394409,-0.04295699610109267,-0.023522891014855586,-0.0020787020202150076,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.924746961031165,-2.787670731082074,-0.1485736837406815,-0.06743124267275932,-0.025816950010866983,-0.048173635263286795,-0.026427087747725293,-0.0023917532646442045,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9186910497387528,-2.8221420297153395,-0.16624059901985264,-0.07529023549619954,-0.028983163509613545,-0.05380823670799623,-0.029664054837429572,-0.002596800246133268,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9296001882258037,-2.850996020152676,-0.18075548851142956,-0.08161722939069395,-0.03162531089501257,-0.05818660007294623,-0.03229099626781295,-0.0027555598849164442,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9123720867709576,-2.886749441270654,-0.19927056425547446,-0.09006308922112921,-0.034841754474771294,-0.06392704126881334,-0.03560568038908617,-0.003097501413476255,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9180305808339921,-2.919097571879828,-0.21586971829538448,-0.09751592334970956,-0.037743122842265955,-0.06899796579029259,-0.038466604781191384,-0.0031993965797022673,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9285376881031109,-2.943562338916942,-0.22856916454057236,-0.10318818458336061,-0.040087930323642024,-0.07299319582763916,-0.04093335715524495,-0.0034901236337842334,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.924310692669805,-2.971921015319216,-0.24302134064615835,-0.10961151599111815,-0.04261168931510997,-0.07750481167325253,-0.043300501864869646,-0.003793839315912851,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9285142170604725,-2.9961973360278003,-0.25570609717869636,-0.11537892720803149,-0.0449908315340937,-0.08151329089553185,-0.045626101836212324,-0.003900065577943877,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.931590348093295,-3.018605108805043,-0.26712919550711317,-0.12056540647351295,-0.04687739920498981,-0.08521283438595889,-0.04746629383166316,-0.004048616257659576,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9196431571519774,-3.041558141534993,-0.2792325241863655,-0.12662629480920465,-0.048818577952996205,-0.09004080356452965,-0.05002929770689378,-0.0040931916977431215,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9239949961118437,-3.0674321642702598,-0.2922735645741183,-0.13241975303171669,-0.05104132600898848,-0.09402071882256119,-0.052218452026810504,-0.004183969231422014,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9246185910796165,-3.0856485839906695,-0.3017932122705653,-0.13723791982468442,-0.052601478493535046,-0.09809578324090956,-0.054285079137835056,-0.004331647498671885,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9222577028909196,-3.110960207295408,-0.31440729650655364,-0.1427263078684804,-0.05483230013659296,-0.10190381120588472,-0.05650628758735889,-0.004523683600654537,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.9233981425803435,-3.13577551916834,-0.3267621507976832,-0.14824913197750214,-0.05679104154782945,-0.10575796967598196,-0.05849329721129061,-0.004769245836972469,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.923852354688163,-3.159598858436566,-0.3388786414908571,-0.15373845741575742,-0.05876740549314932,-0.10951484919996747,-0.06056271317006853,-0.004968072089564695,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9252356756033964,-3.1828593243761505,-0.3506174436166822,-0.15875467484414513,-0.06093057758226684,-0.1130733570697416,-0.06275172613668434,-0.005072385839340399,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9222269013728628,-3.206495192173003,-0.36266074554683225,-0.16406671418380092,-0.06307625027768395,-0.11650201668556974,-0.06482836610945843,-0.005320062019000223,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9201724023164481,-3.2306935865197413,-0.3750383226347282,-0.16943063947523063,-0.06538824867437765,-0.1202701212487232,-0.06705238468084923,-0.0054350602567232766,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9206303724928366,-3.2538882737056394,-0.3868795321127993,-0.17469846831336128,-0.06743827135125947,-0.1238736460587475,-0.06901803553867492,-0.005607309567684656,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9205739692805174,-3.276793109963101,-0.3985532629801036,-0.17998728277204312,-0.0694160943412364,-0.12761148110196938,-0.07099633208310732,-0.005775957060607475,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9301469363275914,-3.29640353665605,-0.4085839799603742,-0.18429843167268375,-0.07124011987660384,-0.130485543674454,-0.0726858155749005,-0.005877998844835457,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9295501986398222,-3.315588280666608,-0.41835193773075785,-0.18850936752141859,-0.07297019314813451,-0.1334455602992821,-0.0744511994624563,-0.00597980286305782,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9251510536093862,-3.3360934460427365,-0.42870292754790257,-0.19311118623770693,-0.07475026627466638,-0.13668363205471845,-0.07618075532029377,-0.006044561400938206,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9240839474309777,-3.3554502552012884,-0.4385052249636585,-0.19746508036037413,-0.07646498136277201,-0.13963883138026886,-0.07788319849889297,-0.006164831801124734,0.005255,0.01,0.0,0.97,100,11,1,12
