episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
31,0.9252655218411766,-3.374811645040604,-0.4483444715458104,-0.20183654493690123,-0.07820102973751106,-0.1427598265420441,-0.07962108437779822,-0.006263389738092662,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.921425454057139,-3.3828270504659597,-0.4521071501859855,-0.20463934105167414,-0.07857221627127059,-0.14570622965513463,-0.08147320896446507,-0.006491923617015747,0.005094,0.01,0.0,0.97,100,11,1,12
33,0.9201016088060965,-3.4031009807237362,-0.46241333034615023,-0.20916112074194895,-0.08041121741463549,-0.14893020498116644,-0.08328394083640478,-0.006627411898530992,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9296350706153383,-3.42071784967076,-0.4713319485506843,-0.2130133012806883,-0.08204710826509291,-0.1515572608168802,-0.08488411779971562,-0.006662397804520396,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9299112886842283,-3.4376228615103375,-0.48003896653312017,-0.21685245147713977,-0.08355589099988475,-0.154255589131558,-0.08630260971219902,-0.0067472067316787865,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9234702487427858,-3.4560885215326005,-0.48945087416955435,-0.22088625779206789,-0.08529346916479284,-0.15704135471373332,-0.08791034303460157,-0.006962332840592062,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9256382363939218,-3.4735652380523168,-0.4984271861814953,-0.22488118781377417,-0.08688900653145797,-0.159731867486696,-0.08958433603701084,-0.007031121135384149,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9217008994495905,-3.492276705964157,-0.5078623294793437,-0.22905617655278707,-0.08853022920742433,-0.1627476121556075,-0.09128045223460325,-0.007265352532777008,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9209108758033931,-3.5056441039978723,-0.5148238680146411,-0.23267147602724667,-0.0897489769350119,-0.16574811476582962,-0.09291964979575357,-0.00746616988313529,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9232769830949284,-3.521706768390763,-0.522979283105366,-0.23635412385849583,-0.09116101452651003,-0.16853147110782474,-0.09449271923140992,-0.0075416979804869095,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.9215192000672212,-3.538765717036938,-0.5317731116274089,-0.24035368081554714,-0.09269821915226714,-0.17137806006949652,-0.09606277535957028,-0.007674232718100159,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9211890422908524,-3.5564315819921672,-0.540858635822522,-0.24450364674525754,-0.09423190485370801,-0.17418438303356426,-0.09762515906970402,-0.007741043910149505,0.004417,0.01,0.0,0.97,100,11,0,11
43,0.9227851260294485,-3.5735940659277343,-0.5496288543902829,-0.24839506042875364,-0.09573364744924825,-0.17687582725213735,-0.09915625965085414,-0.007771115245618715,0.004359,0.01,0.0,0.97,100,11,0,11
44,0.9240164415736934,-3.5896773550287304,-0.557775728963838,-0.2520548238497906,-0.09708525602566836,-0.17940782321051188,-0.10045053765774492,-0.00790342383301434,0.004302,0.01,0.0,0.97,100,11,1,12
45,0.926288685818145,-3.6029673129208164,-0.5645539448153019,-0.25524673524041497,-0.09823383618754564,-0.181789092968537,-0.10190753930351681,-0.008103612526938843,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9221334854535083,-3.6194389585008873,-0.5728233883424211,-0.2589435073309024,-0.09965077134742392,-0.18452956563289433,-0.10336047692045303,-0.008218518816859598,0.004194,0.01,0.0,0.97,100,11,0,11
47,0.9203369070988742,-3.6361896172052535,-0.5812354373757225,-0.2626669293153462,-0.10112078504697045,-0.18715381306101422,-0.1048871266423007,-0.008254860057114228,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9276595744680851,-3.6494002113159385,-0.5880232473280259,-0.26587883966016457,-0.10232666009592112,-0.1895495261035407,-0.1062633411661358,-0.008297230702293662,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.9230303030303031,-3.664952302787624,-0.5958898307494402,-0.2693597356076328,-0.10368329671434474,-0.19184466327310692,-0.10757248188233622,-0.008326946133920935,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.9189297995470939,-3.677627639811534,-0.602809597646774,-0.2729384875370927,-0.10482691502393969,-0.19447827402126863,-0.10917241074129475,-0.00846915294707684,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9195117845117845,-3.6936230059914243,-0.6111208397040523,-0.276526212225938,-0.10640825883454906,-0.197027001098364,-0.11061684597293946,-0.008594396487081869,0.003945,0.01,0.0,0.97,100,10,1,11
52,0.9221682305630027,-3.7088646571961483,-0.6189031546758034,-0.27992032432194475,-0.10787341460339914,-0.19937358990537765,-0.1119623067121754,-0.008649322122078492,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9202358419456961,-3.7243763005457846,-0.6267110981521392,-0.28344076426449644,-0.10911779524676721,-0.20187813249080605,-0.11327664151847683,-0.008688892566308627,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9152462756676956,-3.737380011926024,-0.6337138183448785,-0.2868570444341653,-0.11030267275020637,-0.20445243016547146,-0.11475664486388894,-0.008832933297503606,0.003809,0.01,0.0,0.97,100,11,1,12
55,0.9169975040621807,-3.7532349140666206,-0.6418133023236144,-0.2904574022622557,-0.11171341579970154,-0.2069705019468977,-0.11608796226316731,-0.008924343732087702,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9223554373084566,-3.767599773849275,-0.6492085888604949,-0.29386959639457233,-0.11293371171198162,-0.20932513776349068,-0.11734897706432686,-0.009021904992937634,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9212327618025031,-3.782178107720172,-0.6565777745930851,-0.2971634046664868,-0.11421863606923181,-0.2116721537514993,-0.1186424250884002,-0.009186868082494361,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9288838054228621,-3.7948910169473082,-0.6629708394431475,-0.299925382901743,-0.11536721085017188,-0.21356247661007563,-0.11981252069839161,-0.009296528861816634,0.003642,0.01,0.0,0.97,100,11,0,11
59,0.9201343754747877,-3.809310789964741,-0.6703977576899373,-0.30332203164904326,-0.11658706301329773,-0.21588347996647447,-0.12105456113001574,-0.0094020473673886,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.9266490854380093,-3.814262893455752,-0.6731981116338795,-0.30525418871571686,-0.11703374384191255,-0.2177242980129247,-0.1221611456804721,-0.00960518075936418,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9238071320944249,-3.8250873379363384,-0.6787381985832697,-0.30799151435749933,-0.11796880805988982,-0.21984781878254528,-0.12328227715687144,-0.009769040909874387,0.003526,0.01,0.0,0.97,100,11,1,12
62,0.920610558272896,-3.8388751233981497,-0.6858071984599071,-0.311193759144036,-0.11913373785639532,-0.22209404121570622,-0.12438171442957455,-0.009909265108486096,0.003489,0.01,0.0,0.97,100,10,1,11
63,0.9228026714426795,-3.852208393394087,-0.6926046820269013,-0.3142248344751168,-0.12032715618418272,-0.2242507109535402,-0.12555464052357956,-0.009938934189072112,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.928117367593429,-3.864451789551536,-0.6987884240187862,-0.3168932526149154,-0.12143102191000836,-0.22605395950968774,-0.12663148070348548,-0.010012937250807956,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9181530591640304,-3.8782141720721075,-0.7058792375317516,-0.320095615592075,-0.12264393242542442,-0.22837142190027085,-0.12785430624877805,-0.010064067348625626,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9206762246919383,-3.8914691814475417,-0.712598333230122,-0.3231378893393528,-0.12380023630974242,-0.2306394108296019,-0.12900856148665032,-0.010192269655584592,0.003348,0.01,0.0,0.97,100,11,0,11
67,0.9180582262254158,-3.905016483201599,-0.7195968394551092,-0.3262931865868818,-0.12501427747358362,-0.23288867455659684,-0.13024613742632996,-0.010284525974598382,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9174800354924578,-3.918613283820557,-0.7264798196287237,-0.3293507354526269,-0.12619055476061433,-0.2350611118510974,-0.13140114528427796,-0.010323831805033169,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9303390768921027,-3.9292981959786997,-0.7318918295320097,-0.33177012692560515,-0.12717702376453824,-0.2367762964558563,-0.1324206363227371,-0.010368022200095112,0.00325,0.01,0.0,0.97,100,11,1,12
70,0.9277697259766086,-3.9390519507752404,-0.7369571658107525,-0.33418644681111304,-0.1280146444630153,-0.23862918056825735,-0.13341151235753237,-0.010502257134826463,0.003219,0.01,0.0,0.97,100,11,1,12
71,0.9308176100628931,-3.949316361269147,-0.7420426186658894,-0.33643819113921775,-0.12890602071888158,-0.24021485136381518,-0.1343987999869128,-0.010555992015131261,0.003188,0.01,0.0,0.97,100,11,1,12
72,0.9194427213439067,-3.9620012221286975,-0.7485600321820551,-0.3393769310759542,-0.1300210742925672,-0.24223677201884516,-0.13553277005019557,-0.010687502261405983,0.003157,0.01,0.0,0.97,100,10,1,11
73,0.9229235318969159,-3.973834458738435,-0.7545463018594952,-0.3420820722323766,-0.13102895220719404,-0.244030599786732,-0.13659461497050618,-0.010795698114591268,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9252797173382687,-3.983034453718097,-0.7592028981515774,-0.3443724356078859,-0.13184316761902762,-0.2457603522668393,-0.13759692302454582,-0.01082613379272413,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9216824764541066,-3.990980215732534,-0.7636456320193296,-0.3467120864910271,-0.13262523229760603,-0.24760651669385986,-0.13861811799223042,-0.010889679244427613,0.00307,0.01,0.0,0.97,100,11,1,12
76,0.926481721370771,-4.001884687963743,-0.7690885460095103,-0.34912512559179015,-0.13357242523228124,-0.24928904327529144,-0.13962645317609212,-0.010978263994430682,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9245544356184501,-4.013137092167177,-0.7749125886879585,-0.3517189049168665,-0.13464687762986038,-0.2510558053422084,-0.14067093611269488,-0.011008726013284726,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9281069910448765,-4.0220857249011965,-0.7794141461334209,-0.3538471061116861,-0.13546400185135962,-0.25262106300467796,-0.14164664572426586,-0.011043631943797854,0.002987,0.01,0.0,0.97,100,11,1,12
79,0.9251504129984024,-4.032778085630864,-0.7848363714133946,-0.35624505813746377,-0.1364149766238134,-0.2543239721334044,-0.14251682456698408,-0.01105955585761724,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9240487190256195,-4.030892477732415,-0.7840143937899287,-0.3571602184319863,-0.1358509141860493,-0.25593556900396086,-0.1432348786812851,-0.011157616851523373,0.002934,0.01,0.0,0.97,100,11,1,12
81,0.9230421384069136,-4.04196380709703,-0.789669435362729,-0.35965978753047423,-0.13685658022190886,-0.25762593960805397,-0.1442386513345952,-0.011365092729317074,0.002909,0.01,0.0,0.97,100,10,1,11
82,0.919624938867059,-4.053398530935763,-0.7955347208603016,-0.3623318269980636,-0.13785161626510367,-0.2595203263678094,-0.1452691860735266,-0.011441861976354268,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.9238717875833933,-4.063408405691628,-0.8006907003167049,-0.3646936093763372,-0.13878820298434427,-0.2611968144868846,-0.14623140249768946,-0.011534692502428211,0.002859,0.01,0.0,0.97,100,11,1,12
84,0.9228931763133718,-4.074256039001838,-0.8062411042159221,-0.3671433172242214,-0.13978705454169216,-0.2628407607491809,-0.14718918095949332,-0.011658003293088533,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9215959016810571,-4.0850295762366144,-0.811718146298776,-0.36956921644085156,-0.14074676842526687,-0.26455760825778696,-0.14823141556553565,-0.011678657862371293,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9270156019218037,-4.086382815136062,-0.8125960208305061,-0.370932908880445,-0.14072287646483106,-0.26601204402992473,-0.148981441392794,-0.011818748263779554,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9190185288029484,-4.097468851908589,-0.8182933158427679,-0.3734962653617739,-0.14171826256076156,-0.26783680979736463,-0.1499524370669882,-0.01185374721309321,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.9218091158556991,-4.1065518989177265,-0.8227718685013903,-0.3756390581163515,-0.14241113460441204,-0.26949007001107084,-0.1508927753264501,-0.011991698481069072,0.002741,0.01,0.0,0.97,100,11,1,12
89,0.9229171240858653,-4.111454965471562,-0.8252648580516062,-0.3770733257972061,-0.14276833513163503,-0.2707740798119402,-0.1517595591139638,-0.012092736932593336,0.002718,0.01,0.0,0.97,100,11,1,12
90,0.9270214652590721,-4.121061437934506,-0.8300666174961535,-0.37915422126635245,-0.14363194844874536,-0.2722770405113403,-0.15264648190363736,-0.012115013701883252,0.002696,0.01,0.0,0.97,100,10,1,11
91,0.9224964307566796,-4.130783865162387,-0.8349150166747357,-0.3813625471115112,-0.14443268152063854,-0.2739131854457023,-0.15346644296001058,-0.012284498060293145,0.002674,0.01,0.0,0.97,100,11,1,12
92,0.9275364774864852,-4.14002066177429,-0.8396434620313287,-0.3833690817804712,-0.14537236642349802,-0.275390385754876,-0.15442931146237365,-0.01232691372265841,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.916552393056624,-4.150992239971497,-0.8453871257755321,-0.3860060124612264,-0.14630712938192958,-0.2772997441733056,-0.15544823508515268,-0.012393291406450587,0.002632,0.01,0.0,0.97,100,10,1,11
94,0.9195709088436299,-4.159882150910188,-0.8500129560341604,-0.3881813793172633,-0.14712216427025046,-0.27893985969984003,-0.1563418381713829,-0.01249866755095668,0.002611,0.01,0.0,0.97,100,11,1,12
95,0.9228100899201832,-4.169609511838531,-0.8550893361668725,-0.39042606147938896,-0.14804357918293418,-0.28057922659110035,-0.15725206952360243,-0.012622534560234933,0.002591,0.01,0.0,0.97,100,11,0,11
96,0.9235228501892915,-4.177262372597176,-0.8588970729489429,-0.3922729718035389,-0.14868364765922512,-0.2820319334099338,-0.15809825458225563,-0.012683058361840836,0.002571,0.01,0.0,0.97,100,11,1,12
97,0.921390194761585,-4.187079348324057,-0.8638990063250314,-0.39451969908386725,-0.1495391485653001,-0.283642978534698,-0.15893371240127102,-0.012754422059607843,0.002551,0.01,0.0,0.97,100,10,1,11
98,0.9248326899411675,-4.196290833627509,-0.8686542181458095,-0.3966606911100719,-0.15036708262842124,-0.2851802189497573,-0.15974160729049602,-0.012800459937290943,0.002532,0.01,0.0,0.97,100,10,1,11
99,0.9289581091927523,-4.204701558787962,-0.872942986133236,-0.3985297223072082,-0.1511519334738947,-0.2865177329296161,-0.1605119837730922,-0.012841531038937601,0.002513,0.01,0.0,0.97,100,10,1,11
100,0.9197588590895428,-4.214099952559527,-0.8777563295157578,-0.4007966416938555,-0.15196902395310571,-0.28818533739574614,-0.16136752163630755,-0.01294705534883336,0.002494,0.01,0.0,0.97,100,11,1,12
101,0.9225479428909352,-4.22338310489172,-0.8824601892037675,-0.40289934908439456,-0.15280342821943352,-0.2895459998084244,-0.16220070398910752,-0.012976815591298733,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9269430138732784,-4.2320536470156265,-0.8867993618559081,-0.40483362759225305,-0.15353474871172598,-0.2909684472382093,-0.16299888173828395,-0.01302370356257242,0.002457,0.01,0.0,0.97,100,10,1,11
103,0.927253022657229,-4.2399267181075535,-0.8907940946317655,-0.40667515095086415,-0.15422367484950342,-0.2922906908852217,-0.1637357714521338,-0.01308140012333082,0.002439,0.01,0.0,0.97,100,11,1,12
104,0.9225013003137531,-4.249141147521997,-0.8954497659661916,-0.40867786639908216,-0.15509452089750406,-0.29367407947918617,-0.16459618075805446,-0.013113790099258293,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9208381839348079,-4.258494498772407,-0.9002202296615518,-0.4108347440998954,-0.15591458671363834,-0.29519479497255424,-0.16547280474631934,-0.013159767857343444,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.9242793102869327,-4.267230688630521,-0.9046965125940369,-0.41284879099126226,-0.1567036842873388,-0.29659400614212306,-0.16630170957271953,-0.013229367402458397,0.002386,0.01,0.0,0.97,100,10,1,11
107,0.9204556944959386,-4.275577708350312,-0.9088961975079497,-0.4148481267358306,-0.15739098162959642,-0.29814636478924506,-0.16713117717379009,-0.013400122307329128,0.002369,0.01,0.0,0.97,100,11,1,12
108,0.9261721483554933,-4.284028444655408,-0.9131466305385434,-0.4167150668755883,-0.15812932121736256,-0.2994785812005361,-0.1678880473852612,-0.013499925276678175,0.002352,0.01,0.0,0.97,100,11,0,11
109,0.9142162207498112,-4.294019222434613,-0.9182827682665654,-0.4190425943707275,-0.15899767873606271,-0.301142559334397,-0.168767847151999,-0.013539484649371197,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9254496539821662,-4.302246104906215,-0.9224768370044903,-0.42091172409099536,-0.15971580396738513,-0.30244436436038913,-0.16948509547423596,-0.013641625572541978,0.00232,0.01,0.0,0.97,100,11,0,11
111,0.9202070779937198,-4.310138023469944,-0.9265186273126002,-0.4228331785734076,-0.16039066029535132,-0.30387441606140975,-0.17026162148215415,-0.013676089907665731,0.002304,0.01,0.0,0.97,100,11,1,12
112,0.9275029157722148,-4.318015610421456,-0.9304759108318876,-0.42455669373686156,-0.16114760206344078,-0.30509586201410194,-0.17102327187309796,-0.01370971284504606,0.002288,0.01,0.0,0.97,100,10,1,11
113,0.9205305927342257,-4.326609508901464,-0.9349086906745235,-0.4265501781678518,-0.16191187103137997,-0.30651728552958735,-0.17174908561633415,-0.013730488750422107,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.918255033557047,-4.334746762341625,-0.9391781297760607,-0.4285809081059601,-0.16261309592655415,-0.3079904878631762,-0.1725710408604343,-0.013813649551142828,0.002257,0.01,0.0,0.97,100,11,1,12
115,0.9285943598668537,-4.341384399916597,-0.9425500672438222,-0.43017873783784905,-0.16318102453499037,-0.3091999288052939,-0.17326319281608446,-0.0138983698470872,0.002241,0.01,0.0,0.97,100,11,1,12
116,0.9314221663666316,-4.346084375954935,-0.9449100236197829,-0.43148227912019593,-0.16355803059772991,-0.3102535621254046,-0.17388117776176468,-0.013966931874531676,0.002226,0.01,0.0,0.97,100,11,1,12
117,0.9239813736903376,-4.354275111232033,-0.9490828946718428,-0.43335374133384497,-0.16426791684862313,-0.3115769695346842,-0.17458762201465466,-0.014015076392539308,0.002212,0.01,0.0,0.97,100,10,1,11
118,0.9210300861764854,-4.361241706356638,-0.952659885991346,-0.43508820134755605,-0.16487015608936717,-0.3129040067962973,-0.17532415235663448,-0.01404589898238025,0.002197,0.01,0.0,0.97,100,11,1,12
119,0.9219913824777046,-4.369536390526253,-0.9569584477533007,-0.43693795669764324,-0.1656733698474849,-0.3141263460166747,-0.17608475006917926,-0.014092371359201347,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.9265964229388276,-4.377143662523525,-0.9608267258944426,-0.438687296158104,-0.16633605783411676,-0.3153764956746238,-0.17675332627986082,-0.014110337762237963,0.002168,0.01,0.0,0.97,100,10,1,11
121,0.916027452563585,-4.376257229022397,-0.9604510594351121,-0.4395118701363099,-0.1662007933655986,-0.3167133043416856,-0.17749032308460416,-0.014202827304486921,0.002154,0.01,0.0,0.97,100,11,1,12
122,0.9213686183777211,-4.384102527534765,-0.9645024237986657,-0.4414046483485213,-0.16685491058846424,-0.31802667570301174,-0.17820253621486384,-0.01423152679240003,0.00214,0.01,0.0,0.97,100,11,1,12
123,0.9217782685807985,-4.3921755390966855,-0.9686963486248741,-0.44328906407779417,-0.16758869519304873,-0.319331658004045,-0.17891301977117774,-0.01433404884186965,0.002127,0.01,0.0,0.97,100,10,1,11
124,0.9256419761407293,-4.399672310550893,-0.9724628027169954,-0.4449307677416191,-0.1682336445807092,-0.32047140857486456,-0.17950478641652728,-0.014369158968283516,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.923339156391513,-4.407631439988558,-0.9765251902721872,-0.446750780543909,-0.16895158998532514,-0.32167711531870097,-0.18025072232882253,-0.014432871186720335,0.0021,0.01,0.0,0.97,100,11,1,12
126,0.9200451019000017,-4.415736578035279,-0.9807218677448568,-0.44858240925122306,-0.1697334603314984,-0.32292583377661666,-0.18097602617900216,-0.014457311309545529,0.002087,0.01,0.0,0.97,100,10,1,11
127,0.9272484987517712,-4.422250719576335,-0.9840657786173791,-0.45011316127620904,-0.17030136720499686,-0.32397148103631623,-0.18161229268879067,-0.014529029867280342,0.002074,0.01,0.0,0.97,100,11,1,12
128,0.9223035040251194,-4.430029247888629,-0.9879855328521947,-0.4518635754835091,-0.17099736144185698,-0.32523212139914004,-0.18231963328058198,-0.014581823303760047,0.002061,0.01,0.0,0.97,100,10,1,11
129,0.9227107582587634,-4.437635061225375,-0.9918900738891886,-0.4536271079424244,-0.1716769948026873,-0.32641714416580575,-0.1829769888111898,-0.014698045558665105,0.002048,0.01,0.0,0.97,100,10,1,11
