episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,imbalance_weighted_distance,starvation_severity_max
0,0.9100100191274251,-28.803521170690864,-15.69764691107737,-8.623108321710033,-13.713887109887308,-0.682781495678738,-119.38451037482001
1,0.9169727256306821,-28.85993655216416,-12.70640565725482,-5.539112447992902,-14.871527239654073,0.0,-99.9679547584598
2,0.905157576117277,-30.62166496133046,-11.610493950215268,-5.879566346587968,-9.950823313291767,0.0,-125.25753385624878
3,0.911754961901033,-37.0721554190303,-20.814802162839054,-4.042924024363867,-9.899413563478973,0.0,-95.1273262079383
4,0.9032034056942725,-42.673762724892036,-23.35401863541697,-3.228789925070567,-15.106276128452208,-0.040397916020367935,-99.9841326418835
5,0.9105283686879294,-43.91752011243761,-25.881442877024185,-3.5416687405758704,-5.525701389561393,0.0,-76.37174500170202
6,0.9169310902233132,-54.98366940984817,-30.647870184742512,-4.218327777685384,-7.729764864449816,0.0,-91.68809146822093
7,0.9171465613410921,-57.99195913606596,-37.20506891879037,-3.8546515186436,-7.816225898377454,0.0,-99.29746216731587
8,0.9157264073477084,-57.944420532384584,-38.05063512376754,-2.796851021016715,-8.258323541504353,-0.5398111436568328,-100.57781931556251
9,0.9192362826730106,-56.8095938638896,-39.8845644709956,-5.0920899028627735,-6.7213039738959,-0.055439038567214036,-89.86403170243574
10,0.917588309181704,-56.277371098861224,-39.30814775728959,-2.032159944929752,-6.020390155704748,0.0,-79.6027390796483
11,0.9213115746767991,-62.34841684652248,-38.90809322966956,-4.1057203488382195,-6.784877559245318,-0.7581431977214378,-112.68806943326616
12,0.9107322271274166,-56.57760913167216,-34.676086649960666,-0.21733672356955996,-2.1934612503085438,-0.05783325217452362,-94.82686207797757
13,0.9211693916003161,-58.271530416738024,-32.14640801245145,0.0,-0.7993086463968051,0.0,-83.11662924453796
14,0.9155849968668874,-68.81187508080608,-35.35433082532284,-1.1222646839136796,-0.7576568890865025,-0.08353682109345237,-105.64700455076418
15,0.9136176726596033,-69.17526474122798,-37.041481548516856,-0.059124591499261706,-0.6952007099795546,-0.451749419700856,-118.24796924749693
16,0.9197228890036766,-66.61588374245498,-37.93759832845946,-2.12510937914369,-3.926035332698953,0.0,-87.66373341515202
17,0.9132425521793424,-70.10213751435097,-39.81846022148516,-4.884832066475398,-5.354561148049189,-0.4114712905629642,-64.19860976693217
18,0.9241533894711335,-78.7163250200985,-47.39652218304147,-6.650785777142681,-6.00414003332698,-0.016469443213276584,-80.92651712608308
19,0.9147868912263635,-77.98893908442494,-49.69747136336123,-7.857115383993845,-6.412997870250472,0.0,-63.51734993538187
20,0.9070177036834594,-86.42025304738058,-56.28307100350265,-8.379501000602783,-9.927249836236818,0.0,-68.12364295350652
21,0.9210637145779436,-83.8843303866239,-55.7783294275482,-5.23190348801978,-5.42727835778847,0.0,-61.235357361626754
22,0.9160687368103708,-84.78376011182307,-56.73308126764533,-2.8240592821580304,-5.193655820707022,0.0,-81.90002652155262
23,0.9198241382468781,-78.39780649721222,-55.41828639970507,-4.6085164633173585,-6.915613758020561,0.0,-71.88358972914882
24,0.9079178188089079,-90.24425824342914,-65.47711778951509,-10.757228129187943,-13.656688534282575,-0.08039177606997053,-104.09716502280729
25,0.912722654005504,-88.75565485118763,-61.708955808052416,-6.885365013368689,-7.677402485730827,0.0,-87.91523858259315
26,0.9134632737772965,-86.69972185956502,-62.89495426728474,-4.392179466836715,-7.476591430011056,-0.3640678074704199,-90.88928664287371
27,0.912172295878577,-84.87054512371259,-62.298152920785625,-2.5209477545094177,-4.538435571726122,-0.0011622943559012927,-81.29280312923565
28,0.9204110172067854,-84.86283331533075,-65.607190365378,-0.8103150802631669,-6.394016459492095,-0.26164327942935534,-73.50025588919021
29,0.9180808715692437,-84.5156886314974,-65.68557434231941,-2.9058169910835305,-7.64061801055089,0.0,-64.180305681956
30,0.9143463754928723,-82.15005830891037,-63.44921025800679,-5.738025756346822,-8.474131359155914,0.0,-79.27691207005175
31,0.9216439350409774,-83.3855754468156,-62.05197179070576,-3.5192359618148474,-4.5478383858933435,-0.017628315326531866,-56.472765909451425
32,0.9142408028777849,-88.4157690184596,-64.88248291183741,-2.180067617528441,-7.449934547975175,0.0,-80.91206601020555
33,0.9085284886528248,-93.52231685197394,-69.11032253556141,-11.094354246744297,-7.93684665026874,0.0,-102.12232174172865
34,0.9111150907354346,-91.7086277562894,-67.84163212409551,-4.038957050250116,-8.172755254884573,0.0,-72.49037275729636
35,0.9046141798686826,-101.57071286254629,-77.6549471441551,-5.363860665701832,-10.335238123571772,0.0,-75.94047621339077
36,0.9140301574351071,-101.08434203678895,-79.33235347924376,-6.06741060206731,-6.096629350444256,-0.09255771441080311,-80.83874238799083
37,0.9173018753781004,-102.23095981305823,-81.13536628839512,-5.52102840316825,-6.224182478389463,-0.6773556934727858,-71.42719455156062
38,0.9165709796337704,-105.28207948615739,-83.92421427982056,-6.882408372444635,-6.621392194440451,-0.14309762185841102,-90.78624541085105
39,0.9236009286412512,-100.42981188572362,-79.59045787093945,-1.3192206404415505,-4.355110211661581,0.0,-52.942363728167216
40,0.9248397629701294,-103.03199621989802,-81.96779788917911,-1.969174010904607,-2.0951045486070594,0.0,-57.69038373147756
41,0.9136550338346976,-109.80926462580106,-88.0945624895412,-0.15867803039933034,-9.990117564836268,0.0,-98.52635653586584
