episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,work_ratio,imbalance_hotspot_distance
0,0.8667629536017332,-15.025689959027595,-11.230560486644816,-50.96155473283402,-50.96155473283402,-9.24364313898457
1,0.9002472452000855,-27.727334684206507,-20.269979636066786,-97.13588928292519,-97.14509430425525,-12.63940475151957
2,0.8987146061965683,-32.99711238826108,-23.798000997866904,-117.05679389154903,-117.07037268564764,-11.538340443366623
3,0.912283867087656,-35.46060902589216,-25.28606177229792,-126.278458606706,-126.3669470580253,-9.410124679357185
4,0.909916138146623,-36.6026296217888,-25.870039469131505,-129.12916241141258,-129.33945921105368,-7.359226170815518
5,0.9036597188560349,-37.96784206635813,-26.69021318898578,-132.6063317352818,-132.91216014926096,-5.864336471250121
6,0.920766676728041,-38.724302075319756,-27.04551469057026,-133.8235775765649,-134.29898628442677,-4.713542605954048
7,0.9119536693511899,-39.563313592695685,-27.47247589563111,-134.93614525460407,-135.71330867156246,-3.815180494823855
8,0.9241263259112353,-40.3200729820891,-27.83699882798304,-135.3067039443789,-136.3667532312745,-3.139027221916344
9,0.9266177451634423,-40.755718865024846,-28.014814307805608,-134.3367809949242,-135.72471958188385,-2.473880655736299
10,0.9347956191274164,-40.97506977928295,-28.044062054596075,-131.98124697148182,-133.7297414110162,-1.7793540410701396
11,0.9306909771485495,-41.341243826075235,-28.147543200907386,-130.25058293581577,-132.4486542164997,-1.2442105926951272
12,0.9282231852654388,-41.93660550122004,-28.443640624389623,-129.50817465155532,-132.2084461640979,-1.086404314122746
13,0.9370050178344719,-42.72225699867286,-28.917467396913647,-129.56057007234944,-132.9470008019085,-1.1521271584745416
14,0.9393029950388926,-43.214577267545195,-29.210805150727303,-128.42814438832045,-132.51153535207928,-1.1900257194118269
15,0.9386052116282573,-43.66733399852679,-29.42293170744853,-126.78733592828283,-131.5248945535519,-0.7976666041730636
16,0.9396937012097014,-44.03538453788892,-29.57777017933284,-124.50794770949767,-129.86278097739628,-0.3255477702930297
17,0.9370694303001258,-44.742417520845855,-30.0349235418901,-124.16136310422246,-130.37911915935695,-0.4272143780030705
18,0.93422150691464,-45.36300612450015,-30.406507293451007,-123.13073573425953,-130.12786104061877,-0.2947478461659455
19,0.9347438954453533,-46.1991635048627,-30.983993629566708,-123.55228712951025,-131.51115942988878,-0.6846999023335147
20,0.9362367661212705,-46.98292591542475,-31.49587830577857,-123.73130057568149,-132.64715340462556,-0.8923476058601871
21,0.9387151310228233,-47.66650901650866,-31.920925550147146,-123.19176728271586,-132.9756858856767,-0.9495860427309037
22,0.9359362358793036,-48.1947963842479,-32.25476432714861,-121.9967370963039,-132.7087633475128,-1.0866018722020092
23,0.9341798236310191,-48.86652327175766,-32.71172804426951,-121.64060387775898,-133.31490063463582,-1.0223910791697877
24,0.9311379941764476,-49.378910287680505,-33.06667011076856,-120.50985376098707,-133.18891273303987,-1.0324467848165435
25,0.935085755769987,-49.9321148792749,-33.41694962692306,-119.63172900613829,-133.2140662158082,-0.9565083744778601
26,0.9304170783556394,-50.493048639911954,-33.792191593839476,-118.8549482010731,-133.41757102930032,-0.9632229999764893
27,0.9306549588019486,-51.11090046519652,-34.23808360105227,-118.67188540058804,-134.23292374825368,-1.1006631869554608
28,0.9306067008753396,-51.63891023532281,-34.588836721707445,-117.85966432569428,-134.34816504582446,-1.0960512346021742
29,0.9331063728125186,-52.22587443170764,-35.00924301001515,-117.65987267215057,-135.0603562521105,-1.2031547293727676
30,0.936565583197143,-52.64372982747695,-35.2996400984151,-116.6552589662324,-135.02712218694174,-1.1872948217595
31,0.9402849897355392,-53.02975300401628,-35.53856802622524,-115.21247948778829,-134.31333945062158,-0.9371122989503375
32,0.9294790154903296,-53.660727107202256,-35.95902754288501,-115.25745043447657,-135.20768780973,-1.1082234157532906
