episode,service_level,squared_starvation_penalty,squared_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.882174857038011,-9.323719340786338,-6.698107912838459,-2.1768169273255626,-1.4882134004059482
1,0.9411410869499834,-11.474641066935583,-8.198954426490257,-2.498671763026997,-1.6874515812831674
2,0.940414977920271,-13.092445868330092,-9.32534184573666,-2.730972545581381,-1.8385376984484265
3,0.9360629164915651,-14.568805479063847,-10.307767314575145,-2.940593777522673,-1.949849708332959
4,0.9388727414376892,-15.634934638387632,-11.1222618177411,-3.098768109690459,-2.055578812911267
5,0.9435287027271357,-16.511156247564763,-11.759043087359407,-3.2175246966633697,-2.148558199701596
6,0.9448578342407743,-17.25144622555279,-12.278518770473525,-3.3259264704958897,-2.2223078993900494
7,0.9459170649173321,-17.936085830560767,-12.738726630945193,-3.4377603212531116,-2.2821910674244412
8,0.944104274022431,-18.52923160053675,-13.132947152523213,-3.5123719107806504,-2.328522358535545
9,0.9434787968441815,-19.054464824979874,-13.51532239522607,-3.5812072575355147,-2.3763060228483823
10,0.9406802316946383,-19.59735849514627,-13.890513824013455,-3.6617602200170287,-2.4285381223294866
11,0.9348268220866345,-20.169166037046747,-14.289938523317131,-3.7394358891279125,-2.4877247072526187
12,0.9438055251308264,-20.58912067217108,-14.591275797587555,-3.795732829029923,-2.524980625668733
13,0.9456733698964046,-20.978129276801557,-14.851581603780678,-3.8506918882634285,-2.5535305132546364
14,0.9410417169037859,-21.38714674262658,-15.125859262811097,-3.9126950620975376,-2.593171556484514
15,0.9393675485750322,-21.798880335035953,-15.406329250281132,-3.9755992128335964,-2.6271350501370225
16,0.9413983000119718,-22.13861508257925,-15.627557485046562,-4.022457569966995,-2.650345162324396
17,0.9424494508422393,-22.47783908433815,-15.869900592092534,-4.067824800087207,-2.680599347572829
18,0.9411711954084836,-22.797685263344754,-16.088575347434308,-4.115826157015947,-2.709355138208744
19,0.9424967038235647,-23.09413029257579,-16.287093136260133,-4.163252996171713,-2.734812113383084
