episode,service_level,squared_starvation_penalty,squared_congestion_penalty,imbalance_hotspot_distance,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-4.237528153732419,-3.246929753124714,-3.650233074442949,-0.9752141465456226,-0.6977054445509566
1,0.9074297430949222,-7.049734664929117,-5.278716921401946,-4.926877841378306,-1.5720138126070193,-1.1298056383300747
2,0.910946976520747,-9.51607370030538,-7.050914999996377,-6.122699141306056,-2.1387971685351097,-1.4694241808788204
3,0.9107299778794582,-11.916622405596298,-8.77525536617838,-7.017092586643833,-2.6616412901697233,-1.8377914852103865
4,0.9124013393924898,-14.158474749824224,-10.383206919687819,-7.810849569375893,-3.1403576101715758,-2.1524380573006288
5,0.9142451519362049,-16.198142301729963,-11.814761075081389,-8.525632705262325,-3.577845127970119,-2.461501107850638
6,0.9060791834022891,-18.411163438309885,-13.518017298866065,-9.291108425668188,-4.070474286723522,-2.8139249049606754
7,0.8990811914484746,-20.75354672077362,-15.25626384434209,-10.137501049850174,-4.576719090923072,-3.181770127847231
8,0.9094244301437421,-22.64684119734906,-16.633910341860553,-10.754179844845305,-4.975801643452032,-3.4460726778556547
9,0.9157501302043443,-24.27309378545068,-17.80054428971718,-11.23963642417238,-5.308617096651224,-3.6518720656029027
10,0.9117100371747212,-26.067114930985724,-19.07234799249699,-11.868725958017999,-5.675504040033773,-3.8899759563502094
11,0.9117953604716953,-27.756352203905973,-20.292509238147883,-12.488208458353565,-6.0577170826799405,-4.1481104965609354
12,0.8993789965568126,-29.757411386706597,-21.657899929265295,-13.07571170788708,-6.475620386350643,-4.432049636852192
13,0.9173458566883805,-31.195896038917127,-22.68914054489224,-13.573040156712924,-6.762800283972826,-4.634672663599697
14,0.9022503942739294,-32.942412284787984,-23.921292584192507,-14.131001934929028,-7.111179673938873,-4.865703407986319
15,0.9056046299116661,-34.51466301714927,-25.071908923229756,-14.626937997517267,-7.473784166953972,-5.121268883002496
16,0.9072696737044146,-36.02166922178056,-26.114886695413876,-15.010355879229627,-7.7693808759785945,-5.33003290931833
17,0.9048125417755363,-37.513547195033496,-27.227183785522588,-15.508927280760451,-8.08353063031685,-5.577325991966762
18,0.9136397889977392,-38.779034555881644,-28.14571218287618,-15.805888593570671,-8.365089172814068,-5.746548355465197
19,0.895380228713562,-40.37091475466107,-29.302679677623903,-16.265468534673232,-8.714699906744205,-5.989895537984045
20,0.899691264604395,-41.933551523539634,-30.38006699536499,-16.704765458364054,-9.041120764409971,-6.207974121941464
21,0.9097973074722163,-43.19441708747021,-31.296167288992287,-17.096088468595962,-9.314484345314472,-6.383067685551669
22,0.9088729744492323,-44.49543530087662,-32.23787812896207,-17.38530358819958,-9.577356478048383,-6.56105376587193
23,0.904997270907878,-45.77176772929677,-33.139563277194256,-17.72126130220664,-9.856875746729518,-6.775754045400083
24,0.9092955548218628,-46.90831117575975,-33.9427373812243,-18.067343412143327,-10.081489104807252,-6.938981680603909
25,0.9120518228382043,-48.04548896339192,-34.76244794121051,-18.262276759514805,-10.32833595181805,-7.100106851607041
26,0.9037539574853007,-49.295086108254715,-35.677166731282,-18.527593092294346,-10.582782048320242,-7.305958836503783
27,0.9037830944862764,-50.52378395579498,-36.54246463195803,-18.86831470226631,-10.843166840118252,-7.4847483252419
