Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,82979,52117,233,11544,10970,11544,10970,2311,33140,29603,26746,160,2697,0,3537,2500,110,27.04,8333,530.77,6037,2690.6,0,0,0,0,0,0,0,0,0,10
10080,83383,52349,196,11458,11132,11458,11132,2338,33277,29759,26485,244,3030,0,3518,2588,154,34.95,8337,525.96,6106,2726.51,0,0,0,0,0,0,0,0,0,11
10080,82984,52060,181,11558,10718,11558,10718,2306,33483,29784,27004,200,2580,0,3699,2643,125,27.09,8006,506.24,6342,2798.42,0,0,0,0,0,0,0,0,0,12
10080,82778,51928,218,11656,10688,11654,10688,2348,33084,29584,26592,188,2804,0,3500,2658,107,27.63,8020,516.28,6158,2744.06,0,0,0,0,0,0,0,0,0,13
10080,82391,51825,218,11630,10746,11628,10746,2292,32848,29449,26681,186,2582,0,3399,2499,85,22.95,8066,516.36,5898,2579.65,0,0,0,0,0,0,0,0,0,14
10080,83297,52093,212,11762,10720,11761,10720,2294,33412,29611,26485,150,2976,0,3801,2627,74,21.18,8032,517.33,6428,2903.6,0,0,0,0,0,0,0,0,0,15
10080,83210,52316,228,11742,10721,11741,10721,2316,33464,29853,26890,178,2785,0,3611,2504,147,37.25,8066,512.56,6115,2707.72,0,0,0,0,0,0,0,0,0,16
10080,83177,51939,232,11732,11029,11731,11029,2305,32799,29178,26427,158,2593,0,3621,2551,92,24.57,8223,525.59,6172,2764.35,0,0,0,0,0,0,0,0,0,17
10080,82673,51874,202,11676,10909,11676,10909,2336,32745,29289,26852,128,2309,0,3456,2422,139,38.78,8128,512.66,5878,2621.92,0,0,0,0,0,0,0,0,0,18
10080,83552,52240,213,11867,10812,11867,10812,2340,33220,29561,26659,189,2713,0,3659,2634,132,33.1,8099,514.66,6293,2805.9,0,0,0,0,0,0,0,0,0,19
