Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
0,0,3466.5,16702.486978661676,0,0,0
0,0,3507.0,16661.201663871194,0,0,0
0,0,3459.0,16711.183255607397,0,0,0
0,0,3537.0,16634.09694852971,0,0,0
0,0,3438.0,16733.819019830156,0,0,0
0,0,3441.0,16730.06093951224,0,0,0
0,0,3489.0,16682.6722720333,0,0,0
0,0,3472.5,16694.822362863706,0,0,0
0,0,3504.0,16663.855892039133,0,0,0
0,0,3525.0,16647.411217132467,0,0,0
