episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
272,0.008532,0.000184,0.0649,0.9168,10000,50,7404.8,0.013718,-2.68452,28.0,0.0
273,0.011872,0.000181,0.0633,0.9184,10000,50,7430.7,0.01384,-2.59262,24.2,0.0
274,0.009675,0.000178,0.0617,0.9207,10000,50,7456.9,0.014273,-2.47683,27.6,0.0
275,0.008833,0.000175,0.0601,0.9174,10000,50,7481.2,0.014437,-2.74509,23.4,0.0
276,0.009868,0.000172,0.0585,0.9133,10000,50,7507.4,0.014672,-2.89502,25.2,0.0
277,0.008549,0.000169,0.0569,0.9191,10000,50,7534.7,0.014859,-2.60054,26.1,0.0
278,0.010149,0.000166,0.0553,0.9143,10000,50,7561.7,0.015934,-2.78082,22.2,0.0
279,0.008535,0.000163,0.0537,0.928,10000,50,7588.8,0.016902,-2.29206,29.9,0.0
280,0.009243,0.00016,0.0521,0.9206,10000,50,7615.7,0.016022,-2.63627,25.4,0.0
281,0.010287,0.000157,0.0505,0.92,10000,50,7642.0,0.016681,-2.57392,24.8,0.0
282,0.00909,0.000154,0.0489,0.9135,10000,50,7668.7,0.016929,-2.83374,23.2,0.0
283,0.009611,0.000151,0.0473,0.9236,10000,50,7696.1,0.017342,-2.55895,26.9,0.0
284,0.009838,0.000148,0.0457,0.9164,10000,50,7723.4,0.018079,-2.83771,23.2,0.0
285,0.009398,0.000145,0.0441,0.9154,10000,50,7750.2,0.018051,-2.81009,23.6,0.0
286,0.00848,0.000142,0.0425,0.9243,10000,50,7777.5,0.019079,-2.57094,25.4,0.0
287,0.007979,0.000139,0.0409,0.9269,10000,50,7804.6,0.018183,-2.4337,28.9,0.0
288,0.009133,0.000136,0.0393,0.9191,10000,50,7831.4,0.017317,-2.51177,25.9,0.0
289,0.007662,0.000133,0.0377,0.9193,10000,50,7858.6,0.017681,-2.72644,24.9,0.0
290,0.012004,0.00013,0.0361,0.9072,10000,50,7885.6,0.016245,-3.0,20.8,0.0
291,0.009697,0.000127,0.0344,0.9175,10000,50,7912.3,0.017454,-2.74797,27.5,0.0
292,0.008854,0.000124,0.0328,0.9163,10000,50,7939.5,0.017003,-2.78823,22.0,0.0
293,0.008878,0.000121,0.0312,0.925,10000,50,7966.7,0.016395,-2.55117,25.5,0.0
294,0.008864,0.000118,0.0296,0.9223,10000,50,7993.4,0.017266,-2.55585,27.4,0.0
295,0.009707,0.000115,0.028,0.9194,10000,50,8020.5,0.016029,-2.64701,23.7,0.0
296,0.010665,0.000112,0.0264,0.9141,10000,50,8047.6,0.016762,-2.89267,21.5,0.0
297,0.012188,0.000109,0.0248,0.9165,10000,50,8074.5,0.016261,-2.74746,23.0,0.0
298,0.009851,0.000106,0.0232,0.9238,10000,50,8101.6,0.016088,-2.63372,26.7,0.0
299,0.009048,0.000103,0.0216,0.9256,10000,50,8128.3,0.016214,-2.66667,26.5,0.0
300,0.009965,0.0001,0.02,0.9187,10000,50,8174.8,0.016139,-2.85354,24.6,0.0
