episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
37,0.003986,0.000892,0.4422,0.9102,10000,50,986.9,0.014936,-2.79872,19.7,0.0
38,0.004343,0.000889,0.4406,0.9187,10000,50,1013.7,0.017579,-2.57915,27.5,0.0
39,0.005369,0.000886,0.439,0.9112,10000,50,1040.4,0.017381,-2.81647,25.0,0.0
40,0.00402,0.000883,0.4374,0.9199,10000,50,1066.6,0.016337,-2.53516,23.0,0.0
41,0.00414,0.00088,0.4358,0.9077,10000,50,1093.0,0.014402,-3.01562,23.1,0.0
42,0.004753,0.000877,0.4342,0.9155,10000,50,1119.1,0.01449,-2.70428,24.9,0.0
43,0.00597,0.000874,0.4326,0.9091,10000,50,1145.2,0.013835,-2.92181,22.1,0.0
44,0.004178,0.000871,0.431,0.9308,10000,50,1171.5,0.012762,-2.17212,29.7,0.0
45,0.005762,0.000868,0.4294,0.9145,10000,50,1199.4,0.013866,-2.66175,25.3,0.0
46,0.005018,0.000865,0.4278,0.9036,10000,50,1226.5,0.008969,-3.05472,21.6,0.0
47,0.004851,0.000862,0.4262,0.9034,10000,50,1254.0,0.008944,-3.04916,22.9,0.0
48,0.00601,0.000859,0.4245,0.9087,10000,50,1281.2,0.014419,-2.86702,26.7,0.0
49,0.004535,0.000856,0.4229,0.9179,10000,50,1308.3,0.010551,-2.59634,24.4,0.0
50,0.005796,0.000853,0.4213,0.9101,10000,50,1359.5,0.01158,-2.89761,22.9,0.0
51,0.00489,0.000849,0.4197,0.9207,10000,50,1386.3,0.014526,-2.50581,28.1,0.0
52,0.004526,0.000846,0.4181,0.9148,10000,50,1412.7,0.012934,-2.82662,24.2,0.0
53,0.004926,0.000843,0.4165,0.9097,10000,50,1438.1,0.009032,-2.79154,23.8,0.0
54,0.004608,0.00084,0.4149,0.919,10000,50,1465.3,0.011159,-2.54139,25.3,0.0
55,0.003832,0.000837,0.4133,0.9139,10000,50,1492.7,0.011027,-2.76614,25.4,0.0
56,0.005039,0.000834,0.4117,0.9087,10000,50,1520.0,0.010852,-2.87587,24.8,0.0
57,0.005335,0.000831,0.4101,0.9134,10000,50,1546.6,0.009865,-2.65689,24.9,0.0
58,0.003418,0.000828,0.4085,0.9195,10000,50,1573.7,0.013564,-2.52846,24.9,0.0
59,0.005107,0.000825,0.4069,0.9182,10000,50,1600.9,0.010983,-2.64968,26.6,0.0
60,0.005929,0.000822,0.4053,0.9167,10000,50,1628.1,0.014055,-2.6343,25.2,0.0
61,0.004545,0.000819,0.4037,0.919,10000,50,1655.1,0.008674,-2.49099,25.8,0.0
62,0.005069,0.000816,0.4021,0.904,10000,50,1680.8,0.006201,-3.01463,21.4,0.0
63,0.004389,0.000813,0.4005,0.9123,10000,50,1708.2,0.006916,-2.69883,23.1,0.0
64,0.005218,0.00081,0.3989,0.9109,10000,50,1735.5,0.004873,-2.7857,23.2,0.0
65,0.005286,0.000807,0.3973,0.9176,10000,50,1762.4,0.006105,-2.5766,27.4,0.0
66,0.004724,0.000804,0.3957,0.917,10000,50,1789.9,0.007458,-2.56694,25.1,0.0
67,0.003675,0.000801,0.394,0.9128,10000,50,1817.0,0.005276,-2.61737,25.8,0.0
68,0.00455,0.000798,0.3924,0.9115,10000,50,1844.4,0.005373,-2.79213,22.3,0.0
69,0.004246,0.000795,0.3908,0.9162,10000,50,1871.9,0.005376,-2.55996,25.2,0.0
70,0.005356,0.000792,0.3892,0.915,10000,50,1898.7,0.005574,-2.64952,25.1,0.0
71,0.006006,0.000789,0.3876,0.9087,10000,50,1926.0,0.005662,-2.86146,21.1,0.0
72,0.005855,0.000786,0.386,0.9081,10000,50,1953.9,0.003916,-2.84552,21.2,0.0
73,0.00646,0.000783,0.3844,0.9139,10000,50,1981.3,0.005276,-2.76438,23.7,0.0
74,0.00552,0.00078,0.3828,0.9182,10000,50,2008.1,0.00596,-2.53588,29.1,0.0
75,0.0053,0.000777,0.3812,0.9045,10000,50,2035.3,0.006742,-3.04079,23.8,0.0
76,0.006597,0.000774,0.3796,0.9138,10000,50,2062.5,0.006225,-2.66408,22.9,0.0
77,0.005119,0.000771,0.378,0.9177,10000,50,2089.3,0.004617,-2.62567,27.3,0.0
78,0.005354,0.000768,0.3764,0.9063,10000,50,2115.7,0.005802,-2.94161,23.4,0.0
79,0.006535,0.000765,0.3748,0.9132,10000,50,2142.1,0.006327,-2.73826,25.9,0.0
80,0.007002,0.000762,0.3732,0.9053,10000,50,2169.6,0.004936,-2.89329,19.2,0.0
81,0.005722,0.000759,0.3716,0.9179,10000,50,2197.2,0.004763,-2.69028,22.9,0.0
82,0.005477,0.000756,0.37,0.9181,10000,50,2223.4,0.004579,-2.62503,26.5,0.0
83,0.005238,0.000753,0.3684,0.9189,10000,50,2251.0,0.004886,-2.5066,25.9,0.0
84,0.006967,0.00075,0.3668,0.9168,10000,50,2278.4,0.003901,-2.639,26.0,0.0
85,0.00637,0.000747,0.3652,0.913,10000,50,2305.7,0.004385,-2.80726,23.5,0.0
86,0.004809,0.000744,0.3635,0.9183,10000,50,2332.1,0.004662,-2.71443,23.6,0.0
87,0.005027,0.000741,0.3619,0.918,10000,50,2359.2,0.005696,-2.64225,27.0,0.0
88,0.004676,0.000738,0.3603,0.9243,10000,50,2386.3,0.004474,-2.42685,28.9,0.0
89,0.00562,0.000735,0.3587,0.9092,10000,50,2413.6,0.005519,-2.83571,25.0,0.0
90,0.005095,0.000732,0.3571,0.9142,10000,50,2440.2,0.004706,-2.7031,25.4,0.0
91,0.007279,0.000729,0.3555,0.9142,10000,50,2466.6,0.006573,-2.75519,25.9,0.0
92,0.005432,0.000726,0.3539,0.9157,10000,50,2492.6,0.012111,-2.66162,25.3,0.0
93,0.005843,0.000723,0.3523,0.9146,10000,50,2518.7,0.011016,-2.65834,24.5,0.0
