episode,service_level,bias,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9393111081298632,-2.531598705341744,-0.01648819020693267,-0.030243029110863233,-0.021946539813085066,-0.004947748215551617,-0.0032922597429257726,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9386476416434145,-2.562495180393517,-0.03198796336314941,-0.05965841474371065,-0.04371170956201944,-0.009617414221762122,-0.006247421271573857,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.93621478489668,-2.591718041507364,-0.046866494396791344,-0.08751671409307336,-0.06416032218897624,-0.014191505615498447,-0.009359805088247,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9389719297658303,-2.6204780457098673,-0.06160465619121151,-0.11495553272608794,-0.08444002683453229,-0.018647094463124913,-0.012043235741304507,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9286317917446851,-2.6547922630957665,-0.07914936374610289,-0.14800720853811197,-0.1083909091112172,-0.024146740712201114,-0.015555117708218442,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9384684895746176,-2.6810072394653073,-0.09220033787586816,-0.17330141573891641,-0.12612598866151836,-0.028197675036453616,-0.018321658315572004,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9373419311615443,-2.7073892648939366,-0.10521066344859478,-0.19842505052756207,-0.1443353435206557,-0.032166153412019415,-0.02097180793486322,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9355070046697799,-2.7351574832401893,-0.11942818377647245,-0.22472174386313484,-0.16347489382465102,-0.036618536923751575,-0.02402309493579849,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9341181259965396,-2.761572834369109,-0.13312135839958714,-0.25029997910143387,-0.18211947325934996,-0.041134688223996047,-0.02675469012713711,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9393745904256213,-2.784607327443686,-0.1448694660819902,-0.27263425576723677,-0.19802266947313335,-0.04478007773890139,-0.029197773481732664,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9296609884756241,-2.8120633792664886,-0.15905508571805033,-0.2989619650684154,-0.2179742370016114,-0.04881058329384095,-0.032249139109007265,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.932175727289553,-2.8378254074407936,-0.1719567918855761,-0.323441499941759,-0.23530093132242488,-0.05277348299582764,-0.03500813315693382,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9383538539382695,-2.8403624156492904,-0.17263562375173291,-0.33085455677643455,-0.23671997639376408,-0.05587630704623527,-0.0372086338996676,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9388365837256221,-2.862249372462602,-0.18373768437097535,-0.3516220809149416,-0.2521798066069445,-0.059130198986279706,-0.03943528454301028,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9371779263879392,-2.8842916220577695,-0.19482165468625565,-0.37241234847601346,-0.2674047695024878,-0.06248609413577121,-0.041746016212609205,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.9433642286251596,-2.9031570876377057,-0.20419188904443644,-0.39041963761463444,-0.280239390386118,-0.06528808644694249,-0.043618111716865325,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9344818892343895,-2.925486571614329,-0.21552173309861872,-0.4117651371500472,-0.29576783963555,-0.06896365247137178,-0.04604000867862724,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9401368590014362,-2.944704782531182,-0.22516202967689017,-0.4300609227354853,-0.3090787375529152,-0.07193780531751548,-0.0480327692858306,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9386574652864597,-2.964419502359054,-0.23503782024112585,-0.4487766377030622,-0.32237724132879325,-0.07484121871958381,-0.04987411089952598,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.934079559737745,-2.9849526198593046,-0.24531899106852173,-0.4684685089559008,-0.3364649541587081,-0.0781304897039095,-0.05187773704056444,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9393833099485535,-3.003536803972884,-0.25462986543723304,-0.48627160430818583,-0.34894642211564236,-0.08091971292390758,-0.05380674287278967,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.936313190449524,-3.022744876453269,-0.26408477130178276,-0.5045917344867976,-0.3615557196026439,-0.0840594065921223,-0.05579604154365978,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9412059629654389,-3.039827507464528,-0.27262453275954845,-0.5206349993738003,-0.37382507711773655,-0.08660726064005596,-0.057509752771363866,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9353212864945047,-3.0582933874617013,-0.28223072664838605,-0.5383285955644818,-0.38697570178703405,-0.08939115625365711,-0.059492827564321386,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9307336241633088,-3.0783157640751,-0.29242640445287893,-0.5575233578099869,-0.4010909103252186,-0.0924963375889783,-0.061602210275892376,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.932592979558821,-3.096217589827674,-0.30157871228418637,-0.5747172247906412,-0.4141411587941994,-0.09524374452277931,-0.06361944893603667,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9328179735920237,-3.1145266344174773,-0.31060504799540756,-0.5922316360099518,-0.4265313493071793,-0.09816260957730988,-0.06550773816840384,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9395690401651902,-3.1305464903179097,-0.31874618419655365,-0.6075106926468774,-0.43787112212499996,-0.10061628489661271,-0.06714066468383166,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9360788999781208,-3.14717311597355,-0.32733336253580864,-0.6233951073130993,-0.4496838697276811,-0.1033533283711053,-0.06899186180076443,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9371642765106512,-3.163139453377612,-0.3353774361710966,-0.6387497860356216,-0.46040738298231904,-0.1058940151850226,-0.0706429819387581,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9402163759574721,-3.17778053401667,-0.3428108749603828,-0.6527170075191828,-0.47071640847105645,-0.10818933788756449,-0.07216521645542925,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.937149706259707,-3.192911227555421,-0.35049032347130615,-0.6672610737682831,-0.481520073468253,-0.11059334683377814,-0.073739456101841,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9354692534908701,-3.208555176018128,-0.3583002378048609,-0.6822027306952222,-0.4921307892209713,-0.11298995539920238,-0.07530991749947244,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9330218068535826,-3.224404692325907,-0.3664822548292266,-0.6975519513071452,-0.5029972100793676,-0.11555712077064892,-0.0769809966999396,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9365558912386707,-3.2377684825331547,-0.37341819800180015,-0.7106175421007783,-0.512704734537944,-0.11788704622184029,-0.07850412652058505,0.004942,0.01,0.0,0.97,100,14,1,15
35,0.9386943348961595,-3.251679443017344,-0.38050538611117307,-0.7238025845021103,-0.5226729630361209,-0.11991108841014979,-0.07990316533159865,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.932223984878658,-3.267218513632362,-0.3885042287756484,-0.7386911661903548,-0.533433846466069,-0.1223387356548537,-0.08150625940209294,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9375584380259422,-3.2808831039358757,-0.3954419539514473,-0.7517931167740737,-0.5429942758868026,-0.12441460944627548,-0.0830150547243385,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9332516531838475,-3.295508513953163,-0.40290873993286247,-0.7658618406381505,-0.5532249457596309,-0.12682780592329246,-0.08456411429550506,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9360499253468436,-3.3091561180121967,-0.4098148194866778,-0.7789427846979116,-0.5625614608950997,-0.12904171744390402,-0.08599065348917094,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9355725954325721,-3.322807560409903,-0.4168827035966766,-0.7920749545182897,-0.5721188857045801,-0.131280431647192,-0.08746499124899391,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9322677692062051,-3.3373493939031658,-0.4243363024593021,-0.8061480747865916,-0.5822196508515037,-0.13368679320733223,-0.08899802579179297,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9360535318977662,-3.350556737291292,-0.4311172935862633,-0.8188712240597861,-0.5914336421967862,-0.1357773445716898,-0.09041187087028255,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9350353430353431,-3.3638231494206052,-0.43805892883323727,-0.8316110357436339,-0.60087211738491,-0.13793148653887422,-0.09184539462223068,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9368135092985428,-3.376478597749831,-0.4444752457671094,-0.8438150891002865,-0.6093033704777207,-0.1400616531681521,-0.0932009332301395,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9355664029624642,-3.389149188851682,-0.4510129281627537,-0.8558788010265264,-0.6183312111435166,-0.14200835785547092,-0.09458798533773324,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9364352015039361,-3.401269804643931,-0.45726980642297727,-0.8676268162962177,-0.6266361543496315,-0.1440598900875062,-0.09589411025533323,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.9359395973154363,-3.4132142652131563,-0.4632777606714357,-0.8791625632468509,-0.6351494700017074,-0.14583479226379242,-0.09714174754104007,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9354978139078682,-3.425191108704389,-0.46943491236910684,-0.8906586344840324,-0.6435512853272688,-0.14773286308086062,-0.09847433806861015,0.00409,0.01,0.0,0.97,100,14,1,15
49,0.9420861127956337,-3.435699419517825,-0.47479322592726253,-0.9007266870037517,-0.6509755781743178,-0.14932022535905054,-0.09958937152019394,0.004041,0.01,0.0,0.97,100,14,1,15
50,0.9388402295379039,-3.4465775873907667,-0.48046412777485475,-0.911189764932777,-0.6587061735197511,-0.15107779139387045,-0.10090998580915721,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9369970030642826,-3.4579142230123354,-0.4862226164825873,-0.9221172736098676,-0.6664164981105635,-0.152948501997198,-0.10213499659182236,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.9365119239013934,-3.46909284275127,-0.49195747833290504,-0.9328388622580968,-0.6746024737866189,-0.15470169538169276,-0.10345498036570484,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.9352732386820252,-3.4801724517639703,-0.4975714594930432,-0.9435582493591563,-0.682208792970639,-0.15654860446375768,-0.10468610481499725,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9411764705882353,-3.490251836558523,-0.5027523148316572,-0.9532226865293099,-0.6893890917164167,-0.1581368035896706,-0.10575490859414355,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.938160384467255,-3.5008084490606377,-0.5081209757293937,-0.9633421514159043,-0.6968391244234426,-0.15982177167528033,-0.10686243203142115,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9397805304968359,-3.510833633882032,-0.5133532752547172,-0.9730253396526578,-0.7039691221134948,-0.1614639183417836,-0.10790922217690774,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9353253028218635,-3.5216680214523106,-0.5187079049187602,-0.9834897154749573,-0.7110689310376106,-0.1632059390024774,-0.10907506128911713,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9397811139317116,-3.531333581907166,-0.523667592932477,-0.9927034255855504,-0.717986929215397,-0.16474897132152547,-0.11016857485394028,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9332973082508697,-3.5423278619412035,-0.5292124383615957,-1.003261558600533,-0.7254677519829721,-0.1665468389681933,-0.11137349869696928,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9368551033526168,-3.5524186900568258,-0.5343297576446683,-1.0129676019622973,-0.7323777374590295,-0.16813516188587316,-0.11241754500550678,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.937269743452341,-3.562416370813183,-0.5394313520227257,-1.022488714706486,-0.7392995179351545,-0.16970447278789522,-0.11351679588037787,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9394889428263214,-3.5718318797061994,-0.5441557605770013,-1.0315272148007866,-0.7457884237917152,-0.1712369006692371,-0.11452737985894353,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.9362314957465336,-3.581861975242335,-0.5492773967557134,-1.041170779550943,-0.7527862733967381,-0.1729838315457704,-0.11556761545131275,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9400465170757827,-3.590911052059743,-0.5538364713782818,-1.0497876052212995,-0.7590695722158668,-0.17437666473292376,-0.11655374498616482,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9385415614584386,-3.600147386161336,-0.5585762664568831,-1.0586054725857272,-0.7657119256657777,-0.17579371538612473,-0.11749770673351846,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9335784684094763,-3.6101853780112636,-0.5637275406059893,-1.068226264104517,-0.7728063289082743,-0.17737481144785738,-0.11860112749647857,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9374303938442847,-3.619240193887486,-0.5683355965642908,-1.0768626352232682,-0.7792250455757354,-0.17889815001487458,-0.11959382618908093,0.003315,0.01,0.0,0.97,100,14,1,15
