episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty
0,0.9027542561725644,-14.544148663929375,-10.294623874955922
1,0.9332179825759646,-49.42165444769381,-35.37655942148321
2,0.9285884739291254,-81.48556848024937,-58.16813399844335
3,0.9299388019655723,-110.08630026318038,-78.30591997461866
4,0.9385012299754005,-136.23200010795918,-96.61545569376207
5,0.9283460745055212,-160.11277081626613,-113.30198573391421
6,0.9274663810543853,-182.3417162637818,-128.85801636482293
7,0.93568082212483,-202.7759240107973,-143.06183814699807
8,0.9363965049713769,-222.00793894542852,-156.40015259875463
9,0.9398980815347722,-238.77178410819397,-167.98584085131495
10,0.9352719602229923,-253.5549299854862,-178.14560965993988
11,0.9263842855839693,-268.0146774437591,-188.0793325387624
12,0.9360452987632245,-281.4003196007547,-197.17026870549685
13,0.9369906519654841,-293.82140575661793,-205.56254391301675
14,0.9388715209275503,-305.5214831262309,-213.54274253802515
15,0.9306178073894609,-316.5898835325053,-221.17340845773796
16,0.9431889988866489,-326.72137821040457,-228.0920217449265
17,0.9319255181541979,-336.41645969556316,-234.69120294262834
18,0.9335466698567455,-345.34172994208365,-240.8049647865789
19,0.9393811575427073,-353.6085711305147,-246.40155719087113
20,0.933926954421974,-361.5709605771461,-251.76722736827733
21,0.9371759497892727,-369.4038258919499,-257.0758630797505
22,0.9344262295081968,-376.32697551098175,-261.6299764585078
23,0.9383270608231152,-383.28489215606174,-266.3638368356726
24,0.9313819577735125,-389.40365802232446,-270.4744011675917
25,0.9402287059107504,-394.38433211618695,-273.7094978480701
26,0.928643093855462,-400.3173568099569,-277.7915557192801
27,0.9379932014082797,-405.467736372137,-281.11972042707805
28,0.9382630242959024,-410.76858210502786,-284.7525773744043
29,0.9378482513337285,-415.230172774938,-287.5514364040832
30,0.932152234931941,-419.99147643206004,-290.6581016604862
31,0.9342968985245408,-424.3761985027825,-293.58273275869647
32,0.9439123254766552,-428.8674255111314,-296.4389676905134
33,0.9396603637239552,-433.4335993597566,-299.3989337629994
34,0.941688163657088,-437.35574992489427,-301.92970288331185
35,0.9378580211738596,-441.0538680050892,-304.4093796463956
36,0.9372364629152131,-444.34301980525544,-306.4575218342001
37,0.9305500893100421,-447.6684572663835,-308.5827170032669
38,0.9390232880426596,-450.3801595004566,-310.227917131716
39,0.9272409953961424,-453.6156408891267,-312.2448681529929
40,0.9375769773799153,-456.5435421869194,-314.02174149037194
41,0.9397882994992354,-459.73084366947626,-316.09730370445266
42,0.926339951111906,-462.5631616330507,-317.8772469390173
