seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9037,397.9163,4124,1664,60092,55968,55965,52,43,192,52,52,55,6423,6478,0.025,0.0329,0.9421,0.0339,0.2396,0.7266,26,184,201,206,192,55
43,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9133,396.1653,3715,1496,60072,56357,56357,30,42,185,30,30,40,6208,6254,0.0235,0.047,0.9295,0.0248,0.2454,0.7298,19,188,188,192,185,40
44,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9016,396.0675,4403,1491,59914,55511,55511,44,42,223,60,44,50,6178,6246,0.0172,0.0385,0.9443,0.0275,0.2736,0.699,21,209,233,230,223,50
45,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9068,394.1285,4109,1436,59498,55389,55389,63,40,207,63,63,61,6168,6233,0.0303,0.0421,0.9276,0.0352,0.2682,0.6966,27,206,211,234,207,61
46,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.912,395.2068,3910,1300,59172,55262,55260,49,43,211,47,49,61,6200,6274,0.0185,0.0278,0.9536,0.0287,0.2334,0.7379,22,179,219,207,211,61
47,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9092,395.424,3944,1450,59398,55454,55455,46,42,180,46,46,64,6457,6541,0.0105,0.0553,0.9342,0.0247,0.2617,0.7135,19,201,191,215,180,64
48,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9101,395.6254,3869,1496,59704,55835,55841,64,44,207,64,64,68,6166,6240,0.0119,0.045,0.943,0.0223,0.2425,0.7353,17,185,215,212,207,68
49,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9118,395.2924,3691,1524,59148,55457,55453,39,42,186,39,39,54,6334,6380,0.013,0.0417,0.9452,0.0443,0.2386,0.7171,34,183,211,205,186,54
50,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9086,394.8182,4020,1413,59412,55392,55390,54,38,212,54,54,62,6324,6386,0.0225,0.0436,0.9339,0.0209,0.2758,0.7033,16,211,213,234,212,62
51,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9125,397.223,3709,1501,59574,55865,55862,61,39,214,66,61,69,6209,6287,0.0224,0.0342,0.9434,0.0195,0.2396,0.7409,15,184,214,219,214,69
