episode,service_level,bias,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9355547357123692,-2.532822825726248,-0.006887928148467785,-0.0037546964143150294,-0.004549850375724928,-0.0035420300921363552,0.01,0.01,0.0,0.97,100,17,1,18
1,0.9382132295199745,-2.5642348790565315,-0.01328548124910879,-0.007187585571847782,-0.008637481384492905,-0.006766230617023843,0.009708,0.01,0.0,0.97,100,16,1,17
2,0.9325277782433089,-2.5978469570988634,-0.020259154659023674,-0.010923637481891357,-0.013287310848719102,-0.0102242604644699,0.009432,0.01,0.0,0.97,100,16,1,17
3,0.9369633262474265,-2.627851764972499,-0.02657094994618109,-0.014540572440647853,-0.01731597631176092,-0.013367967638865233,0.009172,0.01,0.0,0.97,100,16,1,17
4,0.9289300568360702,-2.6612071015114664,-0.033746520337974276,-0.01816893350776278,-0.02197009485652508,-0.016805747104382412,0.008925,0.01,0.0,0.97,100,17,1,18
5,0.9350045182235015,-2.6906886161483743,-0.040020747951879355,-0.021605826933475923,-0.026013681394883404,-0.01991972345726689,0.008692,0.01,0.0,0.97,100,16,1,17
6,0.933657147642576,-2.7190634474945523,-0.04597144461869432,-0.024967077538043683,-0.029858653302003706,-0.022732791926517122,0.00847,0.01,0.0,0.97,100,16,1,17
7,0.9324549699799867,-2.7483253770517333,-0.052151938088753985,-0.02830266332324734,-0.03394639313803984,-0.025836490866834375,0.00826,0.01,0.0,0.97,100,16,1,17
8,0.9399192590833532,-2.7724337469451603,-0.05727944224813998,-0.03095565981812826,-0.037393851823516816,-0.028509449676861264,0.008059,0.01,0.0,0.97,100,16,1,17
9,0.9347369482297985,-2.799164180125125,-0.06291055841629532,-0.03394552943386752,-0.04121049131471942,-0.03130777981413015,0.007868,0.01,0.0,0.97,100,16,1,17
10,0.9245203776501025,-2.829066408293829,-0.06957879300585927,-0.03725750440027733,-0.0454178570548023,-0.03471065987639771,0.007686,0.01,0.0,0.97,100,17,1,18
11,0.9334040011441456,-2.8548273509173363,-0.0750855304287936,-0.04006220512912146,-0.04899949325012649,-0.0373858010858077,0.007513,0.01,0.0,0.97,100,16,1,17
12,0.936734693877551,-2.877853550247434,-0.08000892289079373,-0.0426707934864205,-0.05210690200004707,-0.03975396924063647,0.007346,0.01,0.0,0.97,100,17,1,18
13,0.9400638870208473,-2.8986801133298674,-0.08442164113627929,-0.04493424036375012,-0.05497198252443909,-0.04185984022927743,0.007188,0.01,0.0,0.97,100,17,1,18
14,0.9372613111418708,-2.9210548375163676,-0.08934681512611824,-0.047447659972138755,-0.05812625008415035,-0.04425918339277038,0.007035,0.01,0.0,0.97,100,17,1,18
15,0.9368661427899792,-2.9430833829712855,-0.09409377547944943,-0.04990620960144603,-0.061298671142012186,-0.046606436128409895,0.006889,0.01,0.0,0.97,100,16,1,17
16,0.9310026052609464,-2.9670868716112273,-0.09940992629958313,-0.052635908006761385,-0.06477747850934124,-0.04922502238333204,0.006749,0.01,0.0,0.97,100,16,1,17
17,0.9389372307172426,-2.9874565887086546,-0.10366144219152296,-0.05504784992787596,-0.0675237951675971,-0.05132042458390455,0.006615,0.01,0.0,0.97,100,16,1,17
18,0.9356070077178243,-3.009101227645821,-0.10815169894424154,-0.057473787905899965,-0.07038901939190942,-0.053533754445549996,0.006486,0.01,0.0,0.97,100,16,1,17
19,0.9328396236029487,-3.03047641733281,-0.11267831455015098,-0.05986485681547126,-0.0734069972800582,-0.055794855525101814,0.006362,0.01,0.0,0.97,100,16,1,17
20,0.9327019442774103,-3.0522230191783857,-0.11731308563892666,-0.06228847743814493,-0.07639850133241705,-0.05805058838015591,0.006242,0.01,0.0,0.97,100,16,1,17
21,0.9353289551833562,-3.0721998812877676,-0.12155953029558217,-0.06448290389263617,-0.07910473400633636,-0.06009588613805583,0.006127,0.01,0.0,0.97,100,16,1,17
22,0.9384150010027408,-3.0907820764351164,-0.1253717182808765,-0.0666046048162553,-0.0817077010570348,-0.06207565634566618,0.006016,0.01,0.0,0.97,100,16,1,17
