episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,onsite_shortage_pressure,depot_shortage_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9398141937214918,-2.5312701109174665,-0.01577924425841051,-0.0061115991216291275,-0.0032835340337504897,-0.002904524025404448,-0.0007209440590205331,-0.004335911070793055,-0.003143997747621932,-0.001979015841902624,-0.002164760201126194,0.01,0.01,0.0,0.97,100,14,1,15
1,0.9364087483918397,-2.5635602096566403,-0.03204039816504354,-0.012495552832290662,-0.0065821204211038865,-0.005856097961478921,-0.0014841209651708144,-0.008811931159766338,-0.006439093131610771,-0.004351661916136031,-0.004379628541883335,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9326618512125224,-2.5969987496547526,-0.0492385670636914,-0.019402670124330088,-0.010187369015474127,-0.009298973870569964,-0.002398001682782649,-0.013516962370647334,-0.010114546193256583,-0.006588018218835615,-0.006838964709971401,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.935473611971277,-2.6279029206469473,-0.06507291408356738,-0.025793538533978522,-0.01355453834291805,-0.012611563325114887,-0.0033104340174931763,-0.017910952819451202,-0.013482347895135288,-0.008488155108868042,-0.009058260107919859,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9377951581633499,-2.6570028250228424,-0.0796139517256435,-0.031545633171997496,-0.01648903154653345,-0.01533022937703605,-0.003947474384709732,-0.021889392022372077,-0.01656071707098957,-0.010546341740686926,-0.011504511807335964,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9363767194350547,-2.6856976796172365,-0.0943392556647368,-0.0372701575140934,-0.0196606277507835,-0.018026552599302487,-0.004756943135505758,-0.025812563329674108,-0.019620339632213952,-0.012294699730073166,-0.01351370933298192,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9355665354660414,-2.713571150078426,-0.1087935489699795,-0.0430422336697435,-0.02270818944613636,-0.020848501832258552,-0.005638717660098621,-0.02972965727573969,-0.02262381139625036,-0.014220572444659522,-0.015787300741797374,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9405937291527685,-2.738830221015165,-0.12167376218625581,-0.04808205407369203,-0.025396559481922088,-0.023229686002490844,-0.006250357229445048,-0.03322645325138739,-0.025772138426221728,-0.016118365747215334,-0.017598836553719792,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9414967601859077,-2.761408665477639,-0.1331408436755199,-0.052713306334219175,-0.027819454674729484,-0.025494829669576714,-0.0068132527976677544,-0.036613726821623865,-0.02827760514994615,-0.017786412211576993,-0.019285322086471386,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9434409288726833,-2.7805726036313,-0.14295370354687728,-0.05685392815183927,-0.029931193850842804,-0.027494816705992978,-0.007440543137960135,-0.03978142692816449,-0.030755164099963508,-0.019242091087439055,-0.020722458890078288,0.007868,0.01,0.0,0.97,100,14,1,15
