episode,service_level,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8957455770850885,-1.5344562761019915,-1.50236628735438,-0.12028701397302939,-0.11318221560304664
1,0.9213727064561216,-1.6831452024034974,-1.5922942218418434,-0.1493475364569804,-0.1359496724346637
2,0.9256839276990718,-1.6591108888277373,-1.4959065083487606,-0.15694646627989192,-0.1375087717720439
3,0.9261660363767333,-1.7039231514434274,-1.4765159342289695,-0.17297625395915966,-0.1471194376063567
4,0.9259170962839348,-1.7313885626316579,-1.4293658455542189,-0.18708990583478893,-0.15600898011906583
5,0.9300778269494888,-1.7214799795585238,-1.3891481654423339,-0.2061441072232865,-0.17249976809301037
6,0.9273314373740964,-1.8676993810549303,-1.4737585462531457,-0.22474006008068878,-0.1889146772067851
7,0.9321171884516993,-1.86729668565014,-1.3987831733902203,-0.23709102977120194,-0.19301557766306718
8,0.924879248792488,-1.9855558178873283,-1.467246834897455,-0.256105796882657,-0.20858265368019524
9,0.9303096354244424,-1.9129313597496933,-1.3463377350834118,-0.25926657791770796,-0.2066051614600636
10,0.9319557818006566,-1.9224955007878162,-1.316278860264785,-0.267966675027052,-0.2128594305802649
11,0.9297067114496491,-1.9513273782839955,-1.3368284298244335,-0.2815717892362845,-0.22276696254275538
12,0.9208594609052275,-2.2088385245601554,-1.5391155950110451,-0.3123202338033292,-0.24498697370961564
13,0.9333051920641621,-2.0559546623824527,-1.4044427283585001,-0.3120125484004096,-0.24756966828516858
14,0.9391608391608391,-1.9829283811472487,-1.2880234421715644,-0.3232786977640636,-0.2545863651547986
15,0.930464074107492,-2.022415469430237,-1.2997254958066113,-0.33931778581913047,-0.26661092973681666
16,0.9320612980769231,-2.0597581703958117,-1.3206816751944443,-0.34698685954929975,-0.2710067718680454
17,0.9345401353081002,-2.060343188271054,-1.313406067529698,-0.3575350318739403,-0.27887454255156646
18,0.9306026137463698,-2.056517408255364,-1.2861503906850538,-0.3685421154573879,-0.287421064035106
19,0.9283684942271656,-2.126459787859378,-1.3145354716500017,-0.3816902722732922,-0.30274179449008326
20,0.9293726007677543,-2.141869981397516,-1.293758515788946,-0.38994319354183016,-0.3077003623163057
21,0.9287470023980815,-2.204984720944375,-1.3208392516745293,-0.4066039464079201,-0.3176659963485628
22,0.9297511895020759,-2.2734703761291204,-1.3644448444943278,-0.42040337894746505,-0.3300663424234221
23,0.934323243860651,-2.2910065856713024,-1.3585231024156719,-0.431437117552843,-0.342047398484414
24,0.9331429081496028,-2.302794143097298,-1.3293359176970512,-0.4471415717774844,-0.3517189528554411
25,0.9244601093222617,-2.3748025561623405,-1.3685826932863179,-0.4622654503800164,-0.36486858058502786
26,0.933528778269714,-2.3094381357519898,-1.291954346952785,-0.46228550207381286,-0.3644719251869298
27,0.9342520039628929,-2.2229380066968014,-1.2209411943093542,-0.4652330572500055,-0.36547101519011826
28,0.9348423117549419,-2.2498696004967607,-1.2157273410404292,-0.47726638342652977,-0.37516305164907454
29,0.9321140919275722,-2.2777024780457933,-1.242757406373497,-0.4843001256915561,-0.38167593832398194
30,0.9286552523094515,-2.3269286188835507,-1.2595873828795157,-0.49574411036714944,-0.3890129449737401
31,0.9297830964846672,-2.3489586067062547,-1.2670554849658917,-0.5091514725447274,-0.3979160208260772
32,0.9354517772619012,-2.384267938465757,-1.2726355752196425,-0.5216523535064842,-0.40516916141453985
33,0.933341340379534,-2.4219934837724244,-1.298331908130659,-0.5312312650835469,-0.4135733246829198
34,0.9357413990480208,-2.380609578599697,-1.2355116092690956,-0.534960513610768,-0.413742975307762
35,0.9338168355890029,-2.4038566500795118,-1.250886322484287,-0.5408503290396182,-0.41593363619297385
36,0.9320672023374726,-2.3895956835580368,-1.2259375409332842,-0.5450374724463858,-0.418063925452771
37,0.9348361887586414,-2.3382575964775745,-1.175795150910797,-0.5524180595780152,-0.4247350451947031
38,0.9277148168135756,-2.3393070430246845,-1.1524124248479872,-0.563168098679645,-0.4331418792761151
39,0.9327063550036523,-2.381604598180533,-1.1719302221897903,-0.5772617914300572,-0.44198450912817133
40,0.9279640574116512,-2.4573313470610154,-1.2395082959116719,-0.5908308493254013,-0.45261709377989073
41,0.9325618636130163,-2.4433303678263685,-1.222860371641738,-0.5966832900673158,-0.45928135677172693
42,0.9351369466532614,-2.388927183028695,-1.1671993765699804,-0.6026788633757986,-0.4654091838845956
43,0.929969630453739,-2.444837291839169,-1.2072793075158732,-0.6129661623222782,-0.47247285358876734
44,0.9322193243161279,-2.490953315804772,-1.2329383686851683,-0.6239053036841801,-0.4805523687089949
45,0.9317023749217795,-2.470237470276374,-1.197032666975613,-0.6279035590721638,-0.48311083319708237
46,0.9373829274819374,-2.4329155455039646,-1.1565132239952907,-0.6332123304138334,-0.486430610864598
47,0.9290101975973614,-2.439822082492151,-1.1608671222333422,-0.6413632688050515,-0.49403500169334874
48,0.9313011555127588,-2.461223184547023,-1.17483613999899,-0.6501436300980388,-0.5010367297449609
49,0.9262307528775777,-2.557784321710117,-1.2603471647928832,-0.6611796309211594,-0.5104124292074828
50,0.9340278823281443,-2.5652615332446342,-1.2619928124822233,-0.6726577847466007,-0.5190161568824838
