episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.046806931473963684,-0.02331223235496603,-0.008627917217144362,-0.01672544414016031,-0.008255111616091255,-0.02169001798853313,0.05,0.05,0.2
1,0.9228428273589346,-0.0960923128800934,-0.04415117135582593,-0.01838079907699198,-0.0319458869695721,-0.017249607359034875,-0.028513912724445978,0.048539,0.05,0.198006
2,0.9161975606487066,-0.14736975326971732,-0.06539303112363072,-0.0286372775631856,-0.04691464029803741,-0.026595901695045963,-0.037644383013958026,0.047161,0.05,0.196032
3,0.9230756361567932,-0.19278422870233744,-0.08400205893032517,-0.03786183247481398,-0.060631386993111,-0.03488191477429149,-0.0455154523995813,0.045859,0.05,0.194078
4,0.9205983698893381,-0.23911304311232262,-0.1035485205508593,-0.04645309989911536,-0.07501561065903929,-0.04292558493646256,-0.0538860317878395,0.044627,0.05,0.192143
5,0.9176793545579325,-0.2850461717015455,-0.12294276505059513,-0.05484546249711274,-0.08911741445686258,-0.0510643527077319,-0.06249416823360281,0.043459,0.05,0.190228
6,0.9208037625798621,-0.3293754354104922,-0.14146927718835117,-0.0640020684277748,-0.10243010471708502,-0.05907744081302424,-0.07174462027870288,0.042351,0.05,0.188331
7,0.9209112364628492,-0.372573525685847,-0.15966139218122422,-0.0726806338779148,-0.11576836676311675,-0.06698239792921905,-0.07963207709947465,0.041298,0.05,0.186454
8,0.9260778894898357,-0.4107150697075282,-0.17572090867236567,-0.08022916950140738,-0.12756096955117813,-0.07400751920429102,-0.08724314405271544,0.040296,0.05,0.184595
9,0.9256158131418216,-0.4477217432134981,-0.1911366887576198,-0.08715112461996831,-0.13908238173536155,-0.08081454700868249,-0.09366040038079271,0.039342,0.05,0.182755
10,0.9141796684748837,-0.4906481724279984,-0.20964340798825873,-0.09520339949507316,-0.15273619827493587,-0.08890589184400394,-0.1021769096704746,0.038432,0.05,0.180933
11,0.9199878718458376,-0.5295948714757037,-0.2260085308791973,-0.10253786427453582,-0.16424715796776523,-0.09570753699932465,-0.10879715690026895,0.037563,0.05,0.179129
12,0.9265990087325938,-0.5638159306762602,-0.24030037302833882,-0.10925524611636989,-0.1744847809477186,-0.10231002114389016,-0.11695024121149833,0.036732,0.05,0.177343
13,0.924108718672785,-0.5991125133113058,-0.255208938532946,-0.1162038436577502,-0.18518868674981964,-0.10877498383802046,-0.12406500031348627,0.035938,0.05,0.175575
