episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,alpha,alpha_initial,epsilon
14,0.9170287363070574,-0.6376396951096229,-0.27131533313596584,-0.12387560253858448,-0.1968533650870543,-0.1164793466374774,-0.13251635931906908,0.035176,0.05,0.173825
15,0.9234910359400943,-0.671017965887634,-0.28524164787689327,-0.1303476491489913,-0.20709740859191822,-0.12203578402519319,-0.1379646453783005,0.034447,0.05,0.172092
16,0.9245833962644112,-0.7037891236267375,-0.2991718835455286,-0.1362154815865201,-0.21730563226808824,-0.12739230435966717,-0.14511208709877682,0.033747,0.05,0.170376
17,0.9253010420361082,-0.7352592972250577,-0.31214005771414094,-0.1424371210525251,-0.22671188621000438,-0.13305959596327555,-0.1521001172614004,0.033075,0.05,0.168678
18,0.9165055340712095,-0.770286682717814,-0.3271603040801452,-0.14876962183156792,-0.23728053184671719,-0.13895031185359397,-0.15835565995080778,0.03243,0.05,0.166996
19,0.9233758740071957,-0.8011328951201844,-0.340129437727354,-0.15469418387004558,-0.24660482970254144,-0.14438129713563022,-0.16312231873956815,0.031809,0.05,0.165332
20,0.9233342718494841,-0.8321374876839808,-0.3532646342550321,-0.16064640025517266,-0.25620705046305825,-0.15008589456502372,-0.1694659610156384,0.031211,0.05,0.163683
21,0.920113977509795,-0.8631981266614199,-0.3667916329396922,-0.1661506013512472,-0.26642714586646926,-0.15555270430324236,-0.17527816312249364,0.030635,0.05,0.162052
22,0.9231039502083019,-0.8933036288506535,-0.3791629034008728,-0.1724017991858301,-0.2755468113214856,-0.16121478663569686,-0.18066336989119863,0.03008,0.05,0.160436
23,0.9199568427795948,-0.923634370635517,-0.3917645213801596,-0.17822854298061186,-0.28454085725339034,-0.16695758087683027,-0.18683557450318922,0.029545,0.05,0.158837
24,0.9210482529118137,-0.9526947783530699,-0.4039246178657994,-0.18373939264759806,-0.29369924199551267,-0.17232057402450232,-0.19285608155953868,0.029029,0.05,0.157253
25,0.9187895942849441,-0.9814947484932062,-0.41600321219336683,-0.18920478236486596,-0.30268210899962816,-0.1776672238461801,-0.19957083593660566,0.028531,0.05,0.155686
26,0.9212202480724103,-1.0096063075936037,-0.4280776286791713,-0.1943685300816222,-0.31147494513528845,-0.18248699291467196,-0.2041792930716472,0.028049,0.05,0.154133
27,0.9220694934433868,-1.037460450752479,-0.43983243612179634,-0.199864695448859,-0.3199197314336445,-0.18763026000613875,-0.21022717568340357,0.027583,0.05,0.152597
28,0.9211575670900984,-1.0649406267731818,-0.4514415040042728,-0.20528501315295497,-0.3278164451103562,-0.19248229921257917,-0.21579906523771017,0.027132,0.05,0.151076
29,0.925205382793206,-1.090143436162778,-0.46198698447123254,-0.21007558407140664,-0.3353985915986733,-0.1969399642871583,-0.2206847498573492,0.026696,0.05,0.14957
30,0.9216797935904399,-1.1159743528704684,-0.47274668570883177,-0.21509199187929023,-0.34300873799039205,-0.20155190506329448,-0.22625252931810413,0.026274,0.05,0.148078
31,0.9241695767329656,-1.1413887836236585,-0.4833838502081608,-0.2199229843158349,-0.3504262679690183,-0.2061238276333607,-0.23150658801951549,0.025865,0.05,0.146602
32,0.9212194588777346,-1.1662733978991295,-0.4942618747582625,-0.2242065822144789,-0.3583324993012987,-0.2103497277930742,-0.2369311790724139,0.025468,0.05,0.145141
33,0.9232214810550909,-1.190873209755544,-0.5048700170895,-0.22881690372748667,-0.3659227402577132,-0.21467072096516046,-0.2422746904560752,0.025084,0.05,0.143694
34,0.9256054785368298,-1.2144070927909807,-0.5146141879895412,-0.23329705423982766,-0.3731706208768801,-0.2188086253786402,-0.24649989661829033,0.024711,0.05,0.142261
35,0.9222466587717815,-1.2382761714753883,-0.5246580910843504,-0.2378792186951981,-0.38049142596690594,-0.2231842259089816,-0.251553844485947,0.024349,0.05,0.140843
36,0.9239555915502463,-1.261457302694138,-0.5344359826089188,-0.24241681990874508,-0.3876062745409793,-0.22746604997299671,-0.25579381725736805,0.023997,0.05,0.139439
37,0.926283457656867,-1.283865542173276,-0.5438503367692068,-0.24678422710059233,-0.3948097435350935,-0.23189994716649992,-0.2602955835240429,0.023655,0.05,0.138049
38,0.9232805119099468,-1.306332120881398,-0.5534868071317018,-0.2509152792981422,-0.40191694457070765,-0.2356919793134757,-0.2649264654351566,0.023323,0.05,0.136673
39,0.9246956638384922,-1.3283330853672737,-0.5627754579352593,-0.25505118431661805,-0.4089279644895145,-0.23978144920633557,-0.27055641294355814,0.023,0.05,0.13531
40,0.9195803606065206,-1.3514296618136157,-0.5726012210919185,-0.25929596554147605,-0.41601102333586254,-0.24378661165374188,-0.27550130750714447,0.022686,0.05,0.133961
41,0.921000437018859,-1.3741388963414005,-0.582182365061894,-0.26368820798470444,-0.4230763109425901,-0.24805006686796974,-0.2793822987700936,0.02238,0.05,0.132626
42,0.9211364398256788,-1.3965575352971475,-0.5920450367613047,-0.26767759691861553,-0.4301691944144092,-0.25187498911493755,-0.2836596590971056,0.022083,0.05,0.131304
43,0.915556664172279,-1.4201530436754146,-0.6020748318257476,-0.2723418393507879,-0.43746429067426645,-0.2563927480714382,-0.28867982389160435,0.021793,0.05,0.129995
44,0.9218003520241388,-1.4412471982383495,-0.6111319541904132,-0.27617027335573113,-0.44381735637767716,-0.2599829139927768,-0.29273800481962986,0.021511,0.05,0.128699
45,0.918982999545982,-1.4627382477102777,-0.620246567959254,-0.28014515378736793,-0.45032882797673623,-0.26381947000959766,-0.29686068174238034,0.021236,0.05,0.127416
46,0.9210830942674518,-1.4836887588890282,-0.6291824833842035,-0.2841042051826619,-0.4571046768797531,-0.26784229650791874,-0.301338689299927,0.020968,0.05,0.126145
47,0.9216557412778513,-1.5042676295647,-0.6379082634428542,-0.2878966973939024,-0.4633768570399391,-0.27158864522139853,-0.30590360876320055,0.020706,0.05,0.124888
48,0.922498998263657,-1.5249791275331435,-0.6466665380220911,-0.29193946364071705,-0.4694239387814757,-0.2752389005445077,-0.3101058896956424,0.020451,0.05,0.123643
49,0.9233252080356392,-1.5449436966374714,-0.6550380431572185,-0.29569340879314165,-0.4754904013159922,-0.2789007955575857,-0.31425069317530857,0.020203,0.05,0.12241
50,0.9225334385016866,-1.5645979803503742,-0.6632354659415455,-0.2995001256671126,-0.4813415032542735,-0.28229153588400513,-0.31748915119135535,0.01996,0.05,0.12119
51,0.9230704542778815,-1.5837746366347534,-0.6711858302615784,-0.30323623724046433,-0.48716490163024395,-0.2859180383395603,-0.32182731927919106,0.019723,0.05,0.119982
52,0.9317150520402827,-1.600430250885807,-0.6780659091975362,-0.3064668166156788,-0.4922364543426245,-0.2888762826789195,-0.32499891344363274,0.019492,0.05,0.118786
53,0.9190364670458347,-1.6203992999666457,-0.686774582846519,-0.3099541224935838,-0.49855928533800564,-0.29235819846893907,-0.32990191489429305,0.019265,0.05,0.117601
54,0.9214659685863874,-1.6391791464397616,-0.6949376713806579,-0.31311575213930737,-0.5045685629953615,-0.29544828670363366,-0.33394088829685437,0.019045,0.05,0.116429
55,0.9175416562002847,-1.6591214762690996,-0.703394149076477,-0.31702066976560245,-0.5107292156984412,-0.29894240843379566,-0.3380452879919359,0.018829,0.05,0.115268
56,0.9224717204119534,-1.6771747984459948,-0.7110625950183834,-0.3203343705711124,-0.516482992390809,-0.3021401499426959,-0.34241767570122095,0.018618,0.05,0.114119
57,0.9216573641072057,-1.6957736748019019,-0.719130246368046,-0.32366322589091806,-0.5223767142756477,-0.305378044433896,-0.34716237152119367,0.018411,0.05,0.112982
58,0.9218253634759224,-1.714067793458113,-0.7269608718055223,-0.32714802128073606,-0.5282884045880579,-0.30874006474247545,-0.35076792041397065,0.01821,0.05,0.111855
59,0.9209073877158337,-1.7319543730839098,-0.7347037289804468,-0.3302417736969913,-0.5337836591505992,-0.31183739551052886,-0.3548313190457266,0.018012,0.05,0.11074
60,0.9253904583084407,-1.7485009498414357,-0.7416837901914627,-0.33335594953506653,-0.5388848400565173,-0.3146319364697409,-0.3578484038026254,0.017819,0.05,0.109636
61,0.9279009453693633,-1.7643603855927024,-0.7482746044802671,-0.33642015564581257,-0.543574374994215,-0.31759463218910156,-0.36077254076754267,0.01763,0.05,0.108543
62,0.9195247324513356,-1.7827375889301686,-0.7562174889417922,-0.3397510539594993,-0.5492905367194013,-0.32074629016541356,-0.3645106498986088,0.017445,0.05,0.107461
63,0.9214291691071876,-1.80013483359505,-0.7636062476602822,-0.34297774444323686,-0.5546100366231579,-0.32392769446368186,-0.36825310671646655,0.017263,0.05,0.10639
64,0.9204634753966794,-1.8174601407996684,-0.7711324292558907,-0.34604783210607437,-0.5600230380791723,-0.3269176325478878,-0.37206437732033387,0.017086,0.05,0.105329
65,0.9171119400477199,-1.8358660476525108,-0.7789764269996821,-0.34952562205799026,-0.5655446333166909,-0.33022477354846924,-0.3758461854511123,0.016912,0.05,0.104279
66,0.9199187605955318,-1.852781769643583,-0.7863038339716143,-0.3526486502174079,-0.5710235550297572,-0.3332211203929165,-0.3795506239844274,0.016741,0.05,0.10324
67,0.922922500759135,-1.8689047842834388,-0.7930679705779944,-0.35573830133037193,-0.5759159478090462,-0.3361452851134077,-0.3832336749844947,0.016574,0.05,0.10221
68,0.9155322041864603,-1.8867219216981972,-0.8007244890427271,-0.3589974736334536,-0.5813318084117268,-0.33931290561825933,-0.38719112122139276,0.016411,0.05,0.101191
69,0.9202185609171514,-1.9030729418761483,-0.8076855896017967,-0.36210643884449834,-0.5866412290929895,-0.3425542026042161,-0.3907122501851138,0.01625,0.05,0.100183
70,0.9283028412444144,-1.917231223697521,-0.8135862982367872,-0.3646526891557026,-0.5909697237537895,-0.3449651136758053,-0.39402127697325023,0.016093,0.05,0.099184
71,0.9283529195433042,-1.9315243667447823,-0.8194214636416803,-0.3673864684654076,-0.5952605978411357,-0.3475715381620397,-0.39644417776105273,0.015938,0.05,0.098195
72,0.9213665761871251,-1.9473145858880936,-0.8262055631990618,-0.3702071692644157,-0.6001550252547957,-0.35037828854643627,-0.4002231341163481,0.015787,0.05,0.097216
73,0.9217770739268145,-1.962963304297642,-0.8331218723035496,-0.3729351237291325,-0.605062429506285,-0.35298303154108596,-0.4037944610143818,0.015638,0.05,0.096247
74,0.9236269587707288,-1.9776115133023584,-0.8393043540047287,-0.37571313888279484,-0.6095975535079745,-0.35558718826798297,-0.4062159612464853,0.015492,0.05,0.095288
75,0.9226331862911435,-1.992879541478861,-0.845816551937162,-0.37848071752325246,-0.6142056569262522,-0.35826251140098275,-0.4092472664383606,0.015349,0.05,0.094338
76,0.9286296623411916,-2.006450389276174,-0.8514759200545693,-0.3810452878051322,-0.6183397787155416,-0.36085445081149625,-0.41221183529579913,0.015209,0.05,0.093397
77,0.9199285881135916,-2.0217954288932636,-0.8581515965196458,-0.38380393954525854,-0.6231119727913461,-0.36360218474715417,-0.4152165894889916,0.015071,0.05,0.092466
78,0.9224567944777549,-2.036139376202337,-0.86434936412793,-0.38635815294868875,-0.6273509586610828,-0.36606036184558705,-0.418095185217933,0.014935,0.05,0.091544
79,0.9222862191413086,-2.050433686082169,-0.8704317250112783,-0.3890797494419348,-0.6320132108801013,-0.3686370893812289,-0.42093635876591545,0.014802,0.05,0.090632
80,0.9256069305933313,-2.0641051447243037,-0.8763105524077208,-0.3915758525350308,-0.6364295880161492,-0.37104909991136226,-0.4239318248110137,0.014671,0.05,0.089728
81,0.9267688679245283,-2.0776456102398186,-0.8819002499673907,-0.39419927854713194,-0.6403377329492471,-0.3734452507615327,-0.4265679425599907,0.014543,0.05,0.088834
82,0.9249052471995284,-2.090997376070507,-0.8874379047722892,-0.39680313739338896,-0.6445861939558779,-0.37630317790885176,-0.4297459516319147,0.014417,0.05,0.087948
83,0.9247595668841213,-2.1046322785665437,-0.8931791375300296,-0.39934633379586787,-0.6486981951639915,-0.3787832959484211,-0.4327620428948814,0.014293,0.05,0.087071
84,0.9176165630919544,-2.119795430829956,-0.8997609548411198,-0.4020851423423834,-0.653275186877645,-0.38135019142548165,-0.43569718317425615,0.014171,0.05,0.086203
85,0.9164921642799243,-2.1349954429018454,-0.9063374132830516,-0.40489384876075657,-0.6580314318382793,-0.3841164265562216,-0.43879182798471317,0.014051,0.05,0.085344
86,0.9221997861978857,-2.1485437545815156,-0.9120566535539136,-0.407431706112955,-0.6620925277379092,-0.38677054738436645,-0.44171371380518526,0.013933,0.05,0.084493
87,0.9266677869265669,-2.1613887663806337,-0.917481339053415,-0.4097813613484527,-0.666136039975123,-0.3890430998499096,-0.4444277023890362,0.013817,0.05,0.083651
88,0.9252781388752891,-2.1738011667391626,-0.9227104632016353,-0.41203779851947414,-0.6698902543511696,-0.3911603176017088,-0.4471737143423968,0.013703,0.05,0.082817
89,0.9167707313780418,-2.188221129516873,-0.9287153434502832,-0.41484948214084594,-0.6741534224508302,-0.3938143714363339,-0.4502743722925762,0.013591,0.05,0.081991
90,0.9243775080172602,-2.20084305036199,-0.934008674183422,-0.4171963271360788,-0.6779791269853314,-0.3960861023257741,-0.4530872629188577,0.013481,0.05,0.081174
91,0.9294075853435735,-2.212373162407455,-0.9388192908039692,-0.41936149921296056,-0.6813787055479986,-0.3981842074887515,-0.45551451017164063,0.013372,0.05,0.080365
92,0.9245631578055353,-2.2248760313921094,-0.944014863583063,-0.4217950440860184,-0.6851609328362849,-0.40057842040364494,-0.4578794295272152,0.013265,0.05,0.079563
93,0.921349065748571,-2.2378900114693407,-0.9496550664620922,-0.4240812621702256,-0.689204809280396,-0.40281580770094283,-0.4609819748675378,0.01316,0.05,0.07877
94,0.9302136592963803,-2.249128506475085,-0.9543757192935474,-0.42613863366100024,-0.6926910515100441,-0.4047814555444427,-0.4635614722638451,0.013057,0.05,0.077985
95,0.9245441277616547,-2.261270016204523,-0.9597164807144187,-0.4281800077693154,-0.6964868499690524,-0.4067932098820656,-0.4664962109990655,0.012955,0.05,0.077207
96,0.9193305976324366,-2.274235326249684,-0.9653675691746887,-0.4304380055044836,-0.700555060835411,-0.4089477093332811,-0.4692750686436608,0.012855,0.05,0.076438
97,0.9162315093104085,-2.2879946668201807,-0.9714288079369081,-0.4328533315237731,-0.7050228996140234,-0.4114647023643107,-0.47356893697634794,0.012756,0.05,0.075676
98,0.9249444032616754,-2.2999089910083037,-0.9765490180940188,-0.4348830387320759,-0.7087460210474672,-0.4134191802895249,-0.47615962858070904,0.012659,0.05,0.074921
99,0.926907766579148,-2.311240611574958,-0.9811870746539222,-0.43702365151968237,-0.7121072191365052,-0.4155646687478768,-0.4789667833348799,0.012563,0.05,0.074174
100,0.9180563206303103,-2.3242806452370766,-0.9869053116163335,-0.43938083771325437,-0.7163933140495203,-0.4178078381382874,-0.48135894378130256,0.012469,0.05,0.073435
101,0.919934474955247,-2.336761367840162,-0.9924549212452155,-0.44144056462336057,-0.720337832776064,-0.4198562980021119,-0.48454672921613734,0.012376,0.05,0.072703
102,0.9276771198230058,-2.348114258633156,-0.9972271988595943,-0.4435293854175625,-0.7238965095865676,-0.42192547601863606,-0.48730436052498766,0.012284,0.05,0.071978
103,0.9249835156474546,-2.359435419177465,-1.0022026861257072,-0.44544381053343274,-0.7275812312901146,-0.42392027661672255,-0.4897102478134218,0.012194,0.05,0.071261
104,0.9214219837343842,-2.3714652381966013,-1.0073571609649687,-0.447710664306156,-0.7313405795033859,-0.426158322770208,-0.49200166626516884,0.012105,0.05,0.07055
105,0.9209032947224355,-2.383720281973123,-1.012646826547396,-0.44990876144551917,-0.7351800609891292,-0.42830368855933604,-0.4950384231259557,0.012018,0.05,0.069847
106,0.922482455398664,-2.395253054130087,-1.0176563906084122,-0.45182263868927386,-0.7389106655805576,-0.4303480375637651,-0.49767858027840933,0.011931,0.05,0.06915
107,0.9235092366204836,-2.406532929331385,-1.0223387179513235,-0.45399531211714694,-0.7425308732708578,-0.4325089613230422,-0.5001164824958747,0.011846,0.05,0.068461
108,0.9189904606522716,-2.4188491468328883,-1.0277127905262062,-0.4562233657300802,-0.7464824544249143,-0.43471445768054967,-0.5029134900307718,0.011762,0.05,0.067779
109,0.9277195457904992,-2.4295318025739956,-1.0322441707300765,-0.45813742755153886,-0.7496881317952305,-0.43660794239934675,-0.5048474213359658,0.01168,0.05,0.067103
110,0.9269937615916372,-2.440076889065555,-1.0367151786015412,-0.4600666938155958,-0.7530419648782085,-0.43852050281048915,-0.5069482629181843,0.011598,0.05,0.066434
111,0.9211789245196629,-2.4513459183915676,-1.0416431065974912,-0.46194356102570105,-0.7566135489304251,-0.4405438467336512,-0.5096358489966526,0.011518,0.05,0.065772
112,0.9189112084445116,-2.463377642877399,-1.0469402164543729,-0.46398630636078503,-0.7602643726149736,-0.4426683641385656,-0.5129060056550812,0.011438,0.05,0.065116
113,0.9260210634472129,-2.473536138427268,-1.0514009110947495,-0.46573943560754844,-0.7636044759154544,-0.4445035347590467,-0.5149269041333121,0.01136,0.05,0.064467
114,0.9255537256747219,-2.4838466685881464,-1.0557280556895487,-0.467618185170049,-0.7667199908668255,-0.4463414750065028,-0.5173560924423356,0.011283,0.05,0.063824
115,0.9229184607331611,-2.494570351602085,-1.0603048821706762,-0.4695455054401305,-0.7700338661014625,-0.448194373578865,-0.5195473321508841,0.011207,0.05,0.063188
116,0.9232519828127919,-2.5053245373703805,-1.064965596616676,-0.4714743260174859,-0.7733869205519618,-0.450038766956002,-0.5217410660918088,0.011132,0.05,0.062558
117,0.9189184647442361,-2.516791193609313,-1.0699511137055213,-0.473519199587336,-0.7770005571545127,-0.4520296522323545,-0.524348793480832,0.011058,0.05,0.061934
118,0.9241182398387638,-2.527203401608777,-1.0744229033592914,-0.4753734631585271,-0.7802211546034284,-0.4538489937363052,-0.5265899887833914,0.010985,0.05,0.061317
119,0.9264928256997883,-2.5372060835068364,-1.0786802580325034,-0.47716824328496105,-0.7832331523500947,-0.45552343405455986,-0.5289362782206825,0.010912,0.05,0.060706
120,0.9250385621353363,-2.5474908694733003,-1.08310547771452,-0.47901558926211396,-0.7864069163204259,-0.45729656549469255,-0.5312841487109985,0.010841,0.05,0.0601
121,0.9237565887282065,-2.5577884593057956,-1.0875294422414215,-0.48079959306786574,-0.7897105969987291,-0.4590656264431736,-0.5336365650380777,0.010771,0.05,0.059501
122,0.922074432352546,-2.5682906575170152,-1.092147745589079,-0.4825792228896736,-0.7928654694157833,-0.4608139304615973,-0.5356642441494502,0.010702,0.05,0.058908
123,0.9236620801498002,-2.5787196168247313,-1.0966065536974323,-0.48446127955148865,-0.7960729581780986,-0.46268352403690505,-0.5382055624125104,0.010633,0.05,0.058321
124,0.919166302777871,-2.5895984692533007,-1.1012957098023302,-0.4863915788650519,-0.7994250626417962,-0.46461304951094884,-0.5406802464240738,0.010565,0.05,0.057739
125,0.9244300782579109,-2.5995979674356966,-1.1056180160621387,-0.48819421549734177,-0.8024734479613459,-0.4662333486993041,-0.5423094528657065,0.010499,0.05,0.057164
126,0.9188771222054126,-2.610133505761944,-1.1101328272776838,-0.49012094154139413,-0.8058175357172999,-0.46804956984907414,-0.5441098609897698,0.010433,0.05,0.056594
127,0.9240151834668916,-2.6200813950931665,-1.114348795681086,-0.49197989168698136,-0.8087853252941182,-0.46994914975875474,-0.546491678727463,0.010368,0.05,0.05603
128,0.9236587687221359,-2.6300670584081955,-1.118592673813308,-0.49380456612590296,-0.8119705248972174,-0.4716325690478043,-0.5486068097808445,0.010303,0.05,0.055471
129,0.9195104730524829,-2.6407323513640457,-1.1232833831113551,-0.49566757237892506,-0.8154367514870304,-0.4734235160857639,-0.5506968223042021,0.01024,0.05,0.054918
130,0.921363545083339,-2.65079173796104,-1.127577740928564,-0.4974801981544522,-0.8185918839092046,-0.47518800536438555,-0.5530423046297598,0.010177,0.05,0.054371
131,0.9238600853465946,-2.6605458207090686,-1.1317918587370055,-0.4992052082158468,-0.8216077865689941,-0.4768238817967642,-0.5549251884237139,0.010115,0.05,0.053829
132,0.925280532468184,-2.6698798438403935,-1.1358705329504812,-0.5007205292414951,-0.8247578747969322,-0.4784085995144329,-0.5571439528962842,0.010054,0.05,0.053292
133,0.9181575749392384,-2.6801117771182823,-1.1403321331762917,-0.5025782921049546,-0.8281280672830563,-0.4803400870078044,-0.5596035695502164,0.009993,0.05,0.052761
134,0.9208791955428727,-2.6902090853346308,-1.1447150420356658,-0.5044413784660225,-0.8313180767794962,-0.48213687562905433,-0.5617756039181538,0.009934,0.05,0.052235
135,0.9250923069141672,-2.699511931911846,-1.148649585242401,-0.5061630537297261,-0.8342103432058213,-0.4837682379071044,-0.5636582393225762,0.009875,0.05,0.051714
136,0.9187996173276716,-2.7096812899308462,-1.1529683357969363,-0.5080068830287177,-0.8372935442637437,-0.48537939331255886,-0.5656639903514229,0.009816,0.05,0.051198
137,0.9208410531862453,-2.719331908495387,-1.1570785296224804,-0.5097988585482494,-0.8402269964756605,-0.4871822195114123,-0.5678347037990519,0.009758,0.05,0.050688
138,0.9185309408016099,-2.7295194640592926,-1.1615646911375679,-0.5115436909370661,-0.8434534100469364,-0.4889830139859353,-0.5702006850539554,0.009701,0.05,0.050183
139,0.920203932509632,-2.7394998818514353,-1.1659591379148453,-0.5133228815231914,-0.8465588912393124,-0.49076161305124977,-0.5722475675627002,0.009645,0.05,0.049682
140,0.9168432737915027,-2.749554054823883,-1.1702422238762884,-0.5151411563939224,-0.8496394420077847,-0.49246320782854247,-0.5747936759718237,0.009589,0.05,0.049187
141,0.9264480745613297,-2.758445889291798,-1.173943938182486,-0.516882855502113,-0.8523467997542632,-0.49406520349697813,-0.5765754350155654,0.009534,0.05,0.048697
142,0.9280263730379196,-2.766950187344808,-1.1775863441369134,-0.5183893894806146,-0.8549923600822337,-0.4954697140870353,-0.5783718701168943,0.00948,0.05,0.048211
143,0.9231372025943279,-2.776189744238189,-1.1815686501096752,-0.5200525844234031,-0.8578407178744032,-0.4971366782892114,-0.5802987385468719,0.009426,0.05,0.047731
144,0.921818457239998,-2.785439717152048,-1.185582821569463,-0.5217037463613301,-0.8607897359673864,-0.49882164879881036,-0.5822430789753634,0.009373,0.05,0.047255
145,0.922298092771368,-2.7946227128128394,-1.1894143850022703,-0.5233935687072472,-0.8636531038685094,-0.5004911446507024,-0.5841209202563378,0.00932,0.05,0.046784
146,0.9236569590133717,-2.803489068951023,-1.1932469387005435,-0.524878889331992,-0.8664050374852446,-0.5019993230506326,-0.5862547413321751,0.009268,0.05,0.046317
147,0.9261313671108706,-2.811592710636294,-1.1966081175114216,-0.5263537780473091,-0.8688535029368641,-0.5034048165473147,-0.5878466413771596,0.009217,0.05,0.045856
148,0.9226481783578031,-2.8204908954168273,-1.2003610809530574,-0.5280073974657585,-0.8715849743676554,-0.5050731286753856,-0.589737362653096,0.009166,0.05,0.045399
149,0.9233123160992014,-2.8292913272342433,-1.2042196848668414,-0.5295296044362111,-0.8744562220098524,-0.5066844666896589,-0.5917414578962638,0.009116,0.05,0.044946
150,0.9245180003412387,-2.8378173195262235,-1.2078260207344573,-0.5310954188273597,-0.877141962195573,-0.5082608951088945,-0.5935147899131609,0.009066,0.05,0.044498
151,0.9253469319511787,-2.846108672170485,-1.2112683945269196,-0.5326204427686108,-0.8795712792399027,-0.5097915481035669,-0.5955465539974788,0.009017,0.05,0.044054
152,0.9173625492684883,-2.85560857375825,-1.215524479457307,-0.5341789608999555,-0.8826457143317173,-0.5114012880250585,-0.5976975338939456,0.008968,0.05,0.043615
153,0.9218929397474084,-2.864636545612182,-1.2194631271985434,-0.5358069929054097,-0.8854745630757852,-0.512975987706362,-0.599369397410566,0.00892,0.05,0.04318
154,0.9262942915020091,-2.8730365436518817,-1.2229915844099137,-0.5373721247454835,-0.8881705175127188,-0.5146123841897985,-0.6014619682369995,0.008872,0.05,0.04275
155,0.924380965093773,-2.8815637265160956,-1.2265609268587803,-0.5389731299100677,-0.8906917423051366,-0.5162460535737247,-0.603291380242663,0.008825,0.05,0.042324
156,0.925196521855233,-2.8899387739136198,-1.230193525829547,-0.5404386852706661,-0.8933033124209002,-0.5177478650180726,-0.6052258748825499,0.008779,0.05,0.041902
157,0.9161404395049255,-2.8992720208857947,-1.2344167290236128,-0.5419081723378791,-0.8963605238370993,-0.5193249323299225,-0.6076502482009912,0.008732,0.05,0.041484
158,0.9255014808831449,-2.907399276014519,-1.2379026640122839,-0.5433561436956076,-0.8988417155474852,-0.5207563530949336,-0.6097778315166061,0.008687,0.05,0.04107
159,0.924673562828557,-2.915586172091184,-1.2413471755611032,-0.544899208983267,-0.901446971304293,-0.5222479867966543,-0.6114629706232139,0.008642,0.05,0.040661
160,0.9249204488360409,-2.9237887431109417,-1.2447849414839889,-0.5463818717035916,-0.9038890141942545,-0.523668484721858,-0.6130559779939878,0.008597,0.05,0.040256
161,0.9215498241895053,-2.932292960383085,-1.2484668788570812,-0.5478878655604484,-0.9065095484036264,-0.525164118881412,-0.6150476629896653,0.008553,0.05,0.039854
162,0.9260282743862369,-2.939909466598707,-1.2517235238940534,-0.5491896767870711,-0.9090039177447651,-0.526473791967436,-0.6170596201053307,0.008509,0.05,0.039457
163,0.9287469701050364,-2.9475466655823954,-1.2550868169340637,-0.5504935656430074,-0.911515699164597,-0.5278180754424007,-0.6186981084674593,0.008465,0.05,0.039064
