episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-0.38438821101444776,-0.2942544820136391,-0.12149692041712115,-0.12433297566331021
1,0.9410190086621751,-0.5169957435293658,-0.38340102472587967,-0.17098168354311236,-0.16759650667848205
2,0.9286567877629063,-0.6773582537480036,-0.49750294611951473,-0.22589382511909348,-0.21545438124663494
3,0.9404350049637495,-0.7894273290000018,-0.5799110043646897,-0.26193994376078117,-0.25014910356913894
4,0.9370372564117752,-0.9077939454118858,-0.665192548923301,-0.30593394399907275,-0.28691812147239826
5,0.9360902255639098,-1.0174867942975188,-0.7467497756254933,-0.34328769522783076,-0.3210777249094611
6,0.9341459744168548,-1.1404748509587195,-0.8334122270978285,-0.38882709614678806,-0.36006127079829986
7,0.9317128933277179,-1.2583857145856876,-0.9142067867682535,-0.42288806824344594,-0.3903794782297755
8,0.9377892648915069,-1.3574246598287776,-0.9759162954279722,-0.46027399242329825,-0.42123310020842764
9,0.9381823680629064,-1.4372201106916311,-1.0370151036181385,-0.48601616406508463,-0.44596092793551556
10,0.9403616658548466,-1.5204066351517664,-1.093148231105664,-0.5195196422363626,-0.4731781202541592
11,0.9381275440976934,-1.5991996027646782,-1.1533290498565039,-0.5484026506423444,-0.5008474804591476
12,0.9343975903614458,-1.6920858820398426,-1.2171295455872473,-0.579510437106618,-0.5257315364905051
13,0.9406966556901604,-1.7668909153402708,-1.2675750615563783,-0.6092069658208519,-0.5521368752648209
14,0.9381344224878371,-1.8415489602689217,-1.3219737675250294,-0.6367354204678883,-0.5788090542741551
15,0.9419067132698565,-1.9079139960114735,-1.366964881738889,-0.663159116277297,-0.6019489948424718
16,0.9387871853546911,-1.9818646263090787,-1.4171753988970646,-0.6898150638173244,-0.6235458759940465
17,0.9397641366797702,-2.051375827745723,-1.4614460388009287,-0.7128414248441266,-0.6452706896629882
18,0.9342447721901457,-2.12126071610367,-1.5121696063062744,-0.7373276377885472,-0.6675153428525977
19,0.9379712234537863,-2.18333546421627,-1.5553608371461385,-0.760424152521122,-0.6876226117831277
20,0.9403188651794374,-2.2391004266628394,-1.5963471885569958,-0.7785036281327338,-0.7059394823009106
21,0.9355698667066048,-2.3038927579427115,-1.6411023247315981,-0.8020539383026823,-0.7250188281488016
22,0.9325525525525525,-2.3756622103449256,-1.6911783243286047,-0.8311409017966374,-0.7491497851409653
23,0.931546530064642,-2.442109521438541,-1.7321043117383095,-0.8523161524305047,-0.7697496238418922
24,0.9323088071012349,-2.510004376033345,-1.780161486874662,-0.8771115581442188,-0.791312161090446
25,0.9343368107302533,-2.570598564731848,-1.8236948955758547,-0.9014382521407764,-0.8125508926541861
26,0.9394221248762339,-2.625657396363982,-1.8619591517509537,-0.920873329199038,-0.8300532617594059
27,0.9378810745547842,-2.6769696950757855,-1.8978361309193004,-0.9402684089759911,-0.8467042927616014
28,0.9360472046727858,-2.729575688355688,-1.9326650745817375,-0.9580702351483216,-0.8638884264501182
29,0.9340337529813121,-2.7788655343450643,-1.9677515153267153,-0.9760813500376514,-0.8792891613637769
30,0.9335469827064942,-2.829127124950561,-2.0026668249381645,-0.9930407567004477,-0.89193786895596
31,0.9400150943396226,-2.8756972077050604,-2.0349630372514156,-1.0109809951807152,-0.9081324244434013
32,0.9363275613275613,-2.9197402950708833,-2.0684082463550872,-1.0284174323883253,-0.9237484592063409
33,0.9405476598872825,-2.962632536972949,-2.096453932512097,-1.048476424345107,-0.9403163400370468
34,0.9344456601021153,-3.0048712173965524,-2.1280636331779377,-1.0644656712481195,-0.956164999674326
35,0.9361778201537453,-3.0505286637306877,-2.158789322123703,-1.0825539008570562,-0.9724064570739339
36,0.9355539464156408,-3.0906403347259674,-2.1848223553174466,-1.0984030208600595,-0.9861269348908701
37,0.943227455275648,-3.1203079253356485,-2.207497957309888,-1.1097863015475653,-0.9955717968897111
38,0.9420911691315197,-3.152686854503067,-2.2309348076162117,-1.1212235038363587,-1.0056309698535608
39,0.9306235814120176,-3.2022513564974546,-2.2667711743589374,-1.139964454118281,-1.0257978914912005
40,0.9368906064209275,-3.239827188508032,-2.2907301689237602,-1.1540824423174334,-1.037756514527999
41,0.9388151022235487,-3.2726303434263455,-2.3119695072666153,-1.1648661245705165,-1.0478019892327477
42,0.9420046228199201,-3.301115798581879,-2.332697754873733,-1.173364748252818,-1.0560376606305781
43,0.9397819014339077,-3.330876066988944,-2.3532580101115914,-1.1850473187198205,-1.0661034015316972
44,0.9340431291166652,-3.3737663189893796,-2.3812940338951276,-1.199535785332285,-1.077793484040078
45,0.9346063936367224,-3.40951395893807,-2.4069371939230044,-1.2152268638096513,-1.092818781056403
46,0.9393460230324004,-3.442193972516286,-2.428327483505854,-1.225822528192157,-1.1031876550434419
47,0.9309355956506153,-3.4794126523038864,-2.453147151475618,-1.2423650562272999,-1.118041756036483
48,0.9375448457306864,-3.513117818076795,-2.4762356622084716,-1.2565778071350122,-1.1315382833555823
49,0.9365349580384076,-3.5478226502012946,-2.5009437140247868,-1.2713814391268574,-1.1444083132812655
