episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-33.396798426948614,-47.39371925419613,-17.953114167273736,-7.602431464850035,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9383876294850623,-10.966246034503477,-12.978062170691624,-5.346982164890779,-5.215854889630607,0.095673,0.1,0.197012,0.2,1208,844,1409,33305,38121,38111,0,0,0,0,3492,3492,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9257207193860922,-8.59771417834957,-9.143285605788776,-4.35190369944034,-4.952516804433772,0.091705,0.1,0.194068,0.2,1593,914,1389,33751,38183,38178,0,0,0,0,3483,3482,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9394319131161236,-7.769418829037156,-7.814332724419041,-3.644839270785145,-4.35083161743365,0.088053,0.1,0.191169,0.2,1440,590,1086,33516,38225,38221,0,0,0,0,3463,3483,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9295180542675083,-7.314057121829414,-7.299492907715302,-3.1584846099012416,-3.9629661121484774,0.084681,0.1,0.188312,0.2,1540,816,1425,33427,37994,37986,0,0,0,0,3580,3580,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9337262880737239,-7.126715684226484,-6.765501544339631,-3.3338527184661895,-3.763117426492008,0.081557,0.1,0.185499,0.2,1339,876,1380,33422,38296,38291,0,0,0,0,3472,3469,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9369420307106296,-6.6596622657665305,-6.708954647004292,-3.096892150771314,-3.6133340529490066,0.078656,0.1,0.182727,0.2,1428,691,1254,33604,38408,38402,0,0,0,0,3410,3407,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9295587613931309,-6.515132997375338,-6.69815163185196,-2.9353043989811622,-3.6968991951183794,0.075954,0.1,0.179997,0.2,1641,693,1386,33134,37511,37504,0,0,0,0,3551,3557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9391147244805781,-6.422888416790569,-6.580119117008659,-2.6193234739431186,-3.767558230279264,0.073432,0.1,0.177308,0.2,1385,637,1251,33210,37951,37947,0,0,0,0,3603,3620,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9335914055935662,-6.034540440860172,-6.270480240680492,-2.7837256595961013,-4.200993703734458,0.071071,0.1,0.174658,0.2,1385,828,1127,33324,38037,38033,0,0,0,0,3522,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9275815824765311,-6.064506572427177,-6.182633340934687,-2.6282005240393467,-4.198291831865092,0.068858,0.1,0.172049,0.2,1614,816,1151,33555,38125,38123,0,0,0,0,3556,3540,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.936969262049994,-6.095203932110102,-5.938978768587114,-2.5585119352480374,-4.2069897633925235,0.066779,0.1,0.169478,0.2,1432,676,1137,33444,38062,38061,0,0,0,0,3480,3478,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9354731865948029,-5.96925138071806,-5.89981654948255,-2.664183626503825,-4.282244975279043,0.064821,0.1,0.166946,0.2,1479,664,1229,33211,37915,37907,0,0,0,0,3511,3518,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9388626988803771,-5.885965131125637,-5.820757655802655,-2.6054920444287757,-4.4092115532473315,0.062975,0.1,0.164452,0.2,1430,645,1215,33940,38677,38674,0,0,0,0,3535,3520,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9348762436301868,-5.772018668058943,-5.828130904107254,-2.664682083151295,-4.441061717511155,0.061231,0.1,0.161994,0.2,1433,714,1255,32968,37639,37633,0,0,0,0,3445,3430,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9392115378884949,-5.627904370450203,-5.717565272744834,-2.6742036626420207,-4.544934513265192,0.059581,0.1,0.159574,0.2,1539,501,1019,33559,38095,38088,0,0,0,0,3518,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
