episode,service_level,anticipated_demand_shortfall,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity
0,0.9185063320197422,0.2603464636706317,0.016369832943257973,0.25307473425705684,0.1786613701923059,-0.39075410873558614
1,0.9212924915950691,0.2497677513355704,0.010436164702025338,0.15649974087638338,0.1434189995296813,-0.3729256926036536
2,0.9120937464446889,0.2337645411151239,0.01978055348633536,0.059275296703255834,0.0691959064282309,-0.38962354409146616
3,0.9217407476287893,0.21445020489267727,0.033406878555857,-0.025956714496203785,0.04128795704610109,-0.37953136094600176
4,0.9259627139364304,0.20890515678149693,0.024454929283910895,-0.08147042234847512,0.04456444938542239,-0.33241877011876697
5,0.9078337540977429,0.18964530501594354,0.023479763459027324,-0.1828062419423768,-0.01178983904129116,-0.3391078842651539
6,0.9215124925639501,0.1768469057287309,0.028085784948484488,-0.25825168130963827,-0.0500621670740856,-0.32774274674183645
7,0.9165108102042343,0.16388471609102556,0.03798129295301377,-0.33260477720710485,-0.09303781075413729,-0.31897064572054484
8,0.9203348030789926,0.15151250996584673,0.02703243121438951,-0.3976122128443161,-0.16735503198184173,-0.34081674284655245
9,0.919968891193245,0.1432061691403917,0.034958507893008,-0.46854315727857787,-0.19109070285933996,-0.31775508247526796
10,0.9265763379002346,0.13872290462944617,0.008403584512956494,-0.49393956667592825,-0.23412796780438178,-0.3115769498134677
11,0.9147234426044835,0.12607875632063917,0.0008715743877638405,-0.562931410664104,-0.2876731172434399,-0.3279962548163805
12,0.9164124466137888,0.11809216387156728,0.014430190457712577,-0.6063186324573996,-0.31853950158578875,-0.3264783236462445
13,0.9221430456584851,0.11381192031360687,0.022474121970006655,-0.6495268177680793,-0.34322044041136873,-0.3064023282820006
14,0.9087856954241955,0.10306454958216052,0.0018777989679072452,-0.7009745705038781,-0.3925941880721662,-0.3070558393567066
15,0.9171964822781437,0.0999223889345849,-0.005114320457578546,-0.7127477060052125,-0.4199678880914017,-0.2846682433155774
16,0.9134152859433458,0.09136194807642015,0.04311790156890555,-0.7560792488011688,-0.440032492105822,-0.2855496445932174
17,0.9195557556656161,0.08751575180632144,0.016735905504604923,-0.7857446860002489,-0.45321839231263905,-0.26731263709932196
18,0.9131407269338304,0.08171857757749315,-0.014626565288824986,-0.8279334679360095,-0.5024542716413786,-0.2808480639205211
19,0.9204558275978788,0.07665697966110745,0.0009433826574431251,-0.8777863952221083,-0.5357288397432912,-0.29108286461936755
20,0.9229947747816469,0.07508131122495322,0.007634041058017475,-0.9036399649828257,-0.557816500582334,-0.2894664400729194
21,0.9154078549848943,0.07059916935689456,0.011640917020258981,-0.9316080952451182,-0.5866776305845081,-0.28967175717741167
22,0.9181522888653875,0.06609079214231384,0.005481274265529706,-0.952738328773029,-0.6093392965218225,-0.29179872058012846
23,0.9142671408359145,0.06456277684229733,-0.00025089287079046183,-0.9733843941122288,-0.6285822877403927,-0.2873741539570307
24,0.9139666919000757,0.057917396909953,-0.0024398844368298733,-1.0056398515928866,-0.6689955992162431,-0.293798199626369
25,0.9188395981487752,0.0553037673312733,0.010301913900329033,-1.0354408744527182,-0.687668906154824,-0.29143635366753595
26,0.9133623133623133,0.05223386934901386,0.010848861691801293,-1.0610359980641375,-0.719783650955042,-0.2952436466271861
27,0.914860970772052,0.047523681446970126,0.01996946344540011,-1.0866041732526814,-0.741883373622808,-0.30159253153930565
28,0.9205986518907803,0.04686839030688128,0.018227724792391934,-1.0927789547112148,-0.7570450180770689,-0.29142373779271075
29,0.9173519269392549,0.045658977103055956,0.00628093593650054,-1.1169994092004074,-0.763350185234392,-0.2844201798470067
30,0.9042513167795335,0.04364628233236435,-0.0031541589910100533,-1.1279672526553186,-0.7839221211043463,-0.28468002391947594
31,0.9174214975845411,0.040840625896947674,-0.008738157691189671,-1.1348776831520953,-0.8016993603041893,-0.28150203416953273
32,0.9180819555355603,0.03737325986965953,-0.01509141153031473,-1.1501991861090275,-0.8172585726979213,-0.28559546336490543
33,0.9194970913867517,0.0367071413740179,0.006316755759532607,-1.161393256374022,-0.8241868474687595,-0.2805466967687031
34,0.9177048934253977,0.037317410923210774,-0.0006054191497555005,-1.1740942617606047,-0.8424509631609867,-0.2748457381172211
35,0.9147065540077643,0.03501682867413916,0.0005798156539958516,-1.18479857172696,-0.8602798440512271,-0.2700451981974241
36,0.9108282689294042,0.03290719189182943,-0.01942016339217385,-1.1955972794870078,-0.8807749835253584,-0.2709570794605708
37,0.9144359108194765,0.030287088969913965,-0.003858766237836785,-1.2131343385374693,-0.8981205490055273,-0.27996499895726823
38,0.9125825837034826,0.028385923558124488,-0.0027333931223352407,-1.2335346911009646,-0.9115222588390474,-0.2788160786182683
39,0.9186626185389257,0.027182666321122335,-0.007717096774992034,-1.24980464681152,-0.9176561865968561,-0.27605940227444775
40,0.9207917045110505,0.028245601435006276,-0.013521030633856856,-1.2560672372582153,-0.9264225659522209,-0.2670591667872319
41,0.9182346642190607,0.026900872992452262,0.0003467801420578528,-1.2671502595756696,-0.9284726532605475,-0.2615414149763018
42,0.9220401691331924,0.026186824494508723,0.001979720520880536,-1.270489447321456,-0.9341537977743449,-0.253548806355228
43,0.9111102828817412,0.025123176480388535,-0.002933365714447919,-1.2822103097762498,-0.9456466251752954,-0.25639473567738563
44,0.9222711401244876,0.024992363833293965,-0.013453970914820096,-1.2806472195170837,-0.9549649361728275,-0.25016297592248016
45,0.9191946003336873,0.025242529423213898,-0.0004128654320776186,-1.2873004363053302,-0.9616267972937529,-0.24727284948062622
46,0.918112939947001,0.023880181159161542,-0.0022310282489802105,-1.296430570959074,-0.9757150701473871,-0.24566472358677674
47,0.933640587529976,0.024127480052518132,0.007130648467879062,-1.2975461731959659,-0.9778812317807533,-0.2340429542917175
48,0.9115064518592044,0.02321878035783908,-0.005664938557865932,-1.308753805854417,-0.9901054985623254,-0.23653562800664463
49,0.9153077327722251,0.02250943895913044,-0.0061630236977230825,-1.315069521498658,-1.0007568960326765,-0.23890558286841745
50,0.9160385890865239,0.021005542884333536,-0.0013653095059451533,-1.326682457512454,-1.016921911864138,-0.24398407387928656
51,0.9240371845949535,0.019540062332630146,-0.004451286640164124,-1.3351514610002757,-1.0234263768800433,-0.24602029123178196
52,0.9233546446032344,0.020323478073566884,-0.004993404058904545,-1.3367507038074022,-1.0272713146332821,-0.2420992609512166
53,0.9155782699223926,0.019743609528511074,-0.005073362202858813,-1.3435676601581128,-1.0375304776121919,-0.24004615859180464
54,0.9201040789775771,0.019455314380608976,-0.008373025364439263,-1.34463291471993,-1.043665481946881,-0.2350830084830412
55,0.9079396005845105,0.01771947535979687,-0.01081686707091417,-1.3542005733065756,-1.0541222987285201,-0.23850694379117762
56,0.9192234488009136,0.01695658065888683,-0.006729410835690462,-1.3638086186799325,-1.062562819970434,-0.23929265387613313
57,0.9285310628037524,0.017351068150700706,-0.0019243219086366708,-1.3660651629575347,-1.0656434549602662,-0.23427822431716006
58,0.9243601462522852,0.019161240130533167,-0.004674146050416558,-1.3629580347414911,-1.0633933191259366,-0.2251522463451954
59,0.9253607625937229,0.019383628855256005,-0.009023539293446261,-1.3636805869915813,-1.0646917616697262,-0.21986247579585333
60,0.9002802605665808,0.016725167359922997,-0.023848042553106723,-1.3760803083382709,-1.0869122860572547,-0.23082195082810483
61,0.9191482912783209,0.016578461224991806,-0.0070424973986090945,-1.3784247512754202,-1.0914697400907456,-0.22926034375345553
62,0.9306299891316568,0.01680908891570587,-0.006259589970569352,-1.377939653705253,-1.0922941807643838,-0.22498825682569762
63,0.9132018779342723,0.014926531219446084,-0.01048624453755977,-1.3883643902687794,-1.1003523112658857,-0.23237034694610598
64,0.9198339069280264,0.014602409549861854,-0.01504129438079204,-1.3882892581745756,-1.1076035684745222,-0.23333490403791046
65,0.9167536534446764,0.01384819944317325,-0.011910232570336961,-1.3920076070500147,-1.1143641516160614,-0.23411910567421018
66,0.9115579408874442,0.01398089520270321,-0.011876859731860917,-1.3939689887718996,-1.1194084915103262,-0.23118023068706686
67,0.9220009749878126,0.013356374560858567,-0.00568272887869682,-1.3979457687908687,-1.1236781364849138,-0.23257715194006748
