episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.9246116025887586,-2.539241993881774,-0.02060367307552724,-0.00876250520200017,-0.0040022542296647146,-0.006216924999318252,-0.0036935480827082756,-0.005001944637697875,-0.001202694346865485,-0.0004910633894184002,-0.0006485047197575255,-0.0004970267171628961,0.0001,0.0001,0.2
1,0.9232295379648934,-2.572778145229222,-0.03814037982448326,-0.016403271747876147,-0.007297712573556936,-0.011702893497050226,-0.00687158971497559,-0.008835807100435744,-0.0019219643619621252,-0.0008954100713332025,-0.0012364215788132071,-0.0008894018195171327,8.4e-05,0.0001,0.188139
2,0.9191127194746013,-2.6036530086398386,-0.05451058529773434,-0.023485529310219633,-0.010380745669371194,-0.016502861090425203,-0.00988225550423838,-0.01332845869613486,-0.002796574507115679,-0.001437462120552624,-0.001678612075002306,-0.001380514255856724,7.3e-05,0.0001,0.176981
3,0.9203653823632744,-2.630354952185712,-0.06855840770686683,-0.029443839224811086,-0.013283205263325826,-0.02066538591518352,-0.012364518699796379,-0.016997847634696583,-0.0033567721635989756,-0.00170437639282639,-0.0020884714995208498,-0.001672174856485853,6.4e-05,0.0001,0.166485
4,0.9113047511761977,-2.657601318739168,-0.08283377065307462,-0.03553064877051426,-0.0161121723054638,-0.025040973787421983,-0.014987945870261846,-0.02077560800737288,-0.003923481428913078,-0.002055792251995925,-0.0024389610251276395,-0.002030604605272046,5.8e-05,0.0001,0.156611
5,0.9140135917779786,-2.681067101855046,-0.09520604138008659,-0.040924110098019884,-0.01851519921199085,-0.028896320633783446,-0.01736694019982119,-0.023793386249383652,-0.00451707651316724,-0.0023267375398123846,-0.0027856233251013496,-0.0023101152780871104,5.2e-05,0.0001,0.147323
6,0.9168254075285313,-2.7014715912749843,-0.1059136067374582,-0.04550997126772127,-0.020645420488987765,-0.03226165267373993,-0.019226850206522574,-0.02676771008779133,-0.0050065783544468445,-0.0025679521613408696,-0.0030313197942779535,-0.0025974549756648813,4.8e-05,0.0001,0.138586
7,0.9168772910633882,-2.7203485057435786,-0.11583431423479529,-0.049806728257500876,-0.022594535055332543,-0.03534614196243102,-0.02112453198174239,-0.0291297785464934,-0.0053569117083078766,-0.0028172094805771764,-0.003321587465677206,-0.002830798731538839,4.4e-05,0.0001,0.130367
8,0.9187195876638239,-2.7371048924011956,-0.1246097332355014,-0.053599645009050456,-0.0243484663509011,-0.03799516659475688,-0.022704344272859868,-0.031392501981408916,-0.005633304713445142,-0.003022091696236018,-0.0035484752296298383,-0.003048480952238017,4e-05,0.0001,0.122636
9,0.9245754748640849,-2.7515545320146573,-0.13212485222007442,-0.05678467281125987,-0.025783595129602765,-0.040199922378824526,-0.024096563790395507,-0.03341392744985788,-0.006088410082963236,-0.0031432078905171412,-0.0037033909302786883,-0.0032109381102574525,3.8e-05,0.0001,0.115363
10,0.9033807500461851,-2.7694971467210214,-0.1416564402987488,-0.061026411722070226,-0.027558213123229033,-0.043095859886480355,-0.025901785564899457,-0.03610551564957228,-0.006470851604792216,-0.0033529797064846267,-0.004003881178769649,-0.003440669379494247,3.5e-05,0.0001,0.108521
11,0.9207290368224236,-2.782860643068521,-0.14854863423107512,-0.06394361204552106,-0.028848441199331384,-0.04516899703748805,-0.02712941412623546,-0.038032206067967776,-0.006729972120083971,-0.0034725208300747656,-0.0042064711442112955,-0.003645828853159448,3.3e-05,0.0001,0.102085
12,0.9198725513334907,-2.7955838430745428,-0.15513857369622075,-0.0667335351934533,-0.030131212301238604,-0.047164788969953846,-0.02842169078064036,-0.03961352068365533,-0.007006684535769914,-0.003637320962158741,-0.00437471599239608,-0.0037824142488801487,3.1e-05,0.0001,0.096031
13,0.9164271426890559,-2.808259452983997,-0.16180307333325183,-0.06964294200227177,-0.03139525802193588,-0.04923025902204858,-0.02961095314227222,-0.04161913110630402,-0.007236723244395726,-0.003746886943111649,-0.0045549123731751205,-0.003923463335032127,3e-05,0.0001,0.090336
14,0.9092784888695039,-2.8214934632840074,-0.16871028357008067,-0.07267172087334921,-0.03267306556854144,-0.05135731782658203,-0.030836500658048747,-0.04384447932935722,-0.007452535755734679,-0.0038589281413898835,-0.004763380661293833,-0.004100774506607617,2.8e-05,0.0001,0.084978
15,0.9250339611249937,-2.8315678840893743,-0.17396924677718184,-0.07490090134330178,-0.03370559984761701,-0.05294708932676311,-0.031873292426358085,-0.04475975344501295,-0.007633660796655839,-0.003990922895852345,-0.004910433144111156,-0.004208566095596498,2.7e-05,0.0001,0.079938
16,0.9171659198845424,-2.8423403754276557,-0.1797019398053057,-0.07735953373611441,-0.03483248903786895,-0.05465735539816224,-0.03297120418605878,-0.04607541105087156,-0.007746477512358574,-0.004138720420479247,-0.00506226321557229,-0.004329731496979792,2.5e-05,0.0001,0.075198
17,0.9157420073972742,-2.8527669026265396,-0.18511977940781535,-0.07970941444606508,-0.035823157899865,-0.05632424018740692,-0.03384892681071808,-0.047972463449220216,-0.007967830572517265,-0.004269649702467904,-0.00519285588735174,-0.004446475954156646,2.4e-05,0.0001,0.070738
18,0.9213895186024803,-2.862106048864126,-0.18987180105446413,-0.08171132645479309,-0.03668080035904608,-0.057784114436830764,-0.034640418583491844,-0.04945829724871429,-0.008094612135315593,-0.004339744273722745,-0.005310237227880151,-0.004555985596343902,2.3e-05,0.0001,0.066543
19,0.9223576131966601,-2.870732900422315,-0.19434294796251686,-0.08361839810063534,-0.03755714246843105,-0.05916802101334695,-0.035475721897331725,-0.05063903902611353,-0.008256287348098468,-0.00443327309648045,-0.005442223663227271,-0.004647079141584907,2.2e-05,0.0001,0.062596
20,0.9125358154325179,-2.8805286847672176,-0.19943624931045414,-0.08574723230703787,-0.03853539782194176,-0.060649401048837204,-0.03635760625162909,-0.05229934794157052,-0.008442014722783497,-0.004560992906092354,-0.005556465350520286,-0.004755854836133498,2.1e-05,0.0001,0.058884
21,0.912668125307417,-2.889682475971354,-0.20415005630522712,-0.0878573895732351,-0.03935999494458763,-0.06216511791677831,-0.037266327197214094,-0.05354287042221726,-0.008549878672841515,-0.004633672566696001,-0.005699602706908998,-0.004860194729972232,2.1e-05,0.0001,0.055392
22,0.9206779434154829,-2.89768450061162,-0.2083024963364967,-0.08967011282173545,-0.04014349725992027,-0.06343732623791848,-0.0380425028790318,-0.05451874215003381,-0.008615725392306928,-0.004708730711002085,-0.0058119440634080664,-0.00493938581595854,2e-05,0.0001,0.052107
23,0.9132303853804916,-2.9061756533772773,-0.2127323087520289,-0.09157784862072396,-0.0409844832421865,-0.06477144411285418,-0.03887151467051714,-0.055625804043071804,-0.008742513167836918,-0.0047944675412490145,-0.005919465467295545,-0.0050319360652877326,1.9e-05,0.0001,0.049017
24,0.9146089850249584,-2.9143442171207767,-0.21692705501899004,-0.09335039804451076,-0.041761013485697045,-0.06606488705787994,-0.03964514976292227,-0.05692199861249723,-0.008940596059799688,-0.004892981810778574,-0.006026739209770978,-0.005139508221095655,1.8e-05,0.0001,0.04611
25,0.909101630947567,-2.9227153257578284,-0.22123925129239078,-0.09524479310556414,-0.042539118349140696,-0.0674337674467399,-0.04043791639912045,-0.058236402485215645,-0.009060048157476075,-0.0049577479305360495,-0.006148809744938862,-0.005241421048605808,1.8e-05,0.0001,0.043375
26,0.9193764666443178,-2.929803079082911,-0.22488944342655173,-0.0968434411876701,-0.043164136365888554,-0.06854467160000677,-0.04102570507307011,-0.05947971441048736,-0.009142362013871974,-0.005026287658741024,-0.006244024507285392,-0.005330255193825238,1.7e-05,0.0001,0.040803
27,0.920438660720229,-2.936612838889529,-0.22840653713144846,-0.09833528342440126,-0.04385518588099901,-0.06959290684478991,-0.04166727891033687,-0.06032290764070245,-0.00921097076537869,-0.005080042699373122,-0.006344496254184481,-0.005406188015633083,1.7e-05,0.0001,0.038383
28,0.9191553798267015,-2.9432543216026326,-0.2319170560098495,-0.09980921883292951,-0.04455815817207886,-0.07060814249539071,-0.042273482431264046,-0.06150011383535601,-0.009323338715686358,-0.005140851868612684,-0.006423826623595804,-0.005506156741485134,1.6e-05,0.0001,0.036106
29,0.9196445071652974,-2.9496686927304148,-0.23524296329367736,-0.10125484629746087,-0.045163399163883004,-0.0716604307052151,-0.04285364718174333,-0.06234905792441645,-0.00943774473838288,-0.005194949585278774,-0.006520495429570391,-0.0055835544927733665,1.6e-05,0.0001,0.033965
30,0.9163158609451385,-2.9561268624819825,-0.23856708718949418,-0.10266263009746837,-0.045798478062985475,-0.07261808617173227,-0.04341749255543636,-0.06343823862232331,-0.009524639147059033,-0.005260940031064809,-0.006603291807869307,-0.005660195599223148,1.5e-05,0.0001,0.031951
31,0.9177252560014846,-2.9623262111662636,-0.24180100115998546,-0.10404343453652969,-0.046416114316346194,-0.07357546874189998,-0.044004207302584225,-0.06422287081690868,-0.009605315847989515,-0.005325484969303407,-0.006698478680952493,-0.005728049214723361,1.5e-05,0.0001,0.030056
32,0.9218752627419328,-2.9680241979144384,-0.24470601883888296,-0.10532354489224675,-0.046922452148235316,-0.07447862034069869,-0.04451144509713398,-0.06509658240811321,-0.009666766593215192,-0.005383727752095613,-0.006780881095955395,-0.0057884174176567865,1.5e-05,0.0001,0.028273
33,0.9181254867436427,-2.973843628107815,-0.24767810329362547,-0.10665530736437016,-0.04742750929519157,-0.07541958505628593,-0.04503076739214032,-0.06605595372511718,-0.009739291574666686,-0.005421582684577597,-0.006862473279735406,-0.005843961320546985,1.4e-05,0.0001,0.026597
34,0.9159345248037414,-2.9797799008015966,-0.25075271390432574,-0.10798846939894284,-0.04798375682054257,-0.07634931611706441,-0.045577712904883994,-0.06694136014427286,-0.009781190980948984,-0.00546618048549119,-0.006946393560506272,-0.005906681548716207,1.4e-05,0.0001,0.025019
35,0.92146844865505,-2.9850432578775026,-0.2534574957855189,-0.10917448879454565,-0.048462265908983115,-0.07716053917435561,-0.04603023292247381,-0.06780378698131805,-0.009855405049734978,-0.005522689232795752,-0.0070279676386779365,-0.005948683093054517,1.3e-05,0.0001,0.023535
36,0.9064756698386988,-2.9913597034648616,-0.25677588460464007,-0.1106258287229861,-0.04907758861972622,-0.07822996527190867,-0.04663368715997601,-0.06891278995501846,-0.009935988479717162,-0.0056034946883234404,-0.007121721035035302,-0.006027166084968559,1.3e-05,0.0001,0.02214
37,0.9217605562493671,-2.996364752643484,-0.2593212035437845,-0.11173547934889261,-0.049539137551974866,-0.07902627568113685,-0.04712060127836063,-0.0696884604508616,-0.009968932793413765,-0.005658962534698109,-0.007182472754928473,-0.006072631070958538,1.3e-05,0.0001,0.020827
38,0.9190592649670005,-3.001494069146105,-0.261969935965758,-0.11290844768937894,-0.05001678553058715,-0.07986369861698649,-0.047572626537600846,-0.07054479018539442,-0.010038781718677947,-0.005690818425717392,-0.007265877009312274,-0.006137549512388178,1.3e-05,0.0001,0.019592
39,0.9137462691572488,-3.0068884300099343,-0.264773178886614,-0.11414989638777387,-0.05051654352188846,-0.0807559468261455,-0.048065571482021494,-0.07143743465134758,-0.010138396074906575,-0.005754809420671858,-0.007357023888787364,-0.006209746090493377,1.2e-05,0.0001,0.01843
40,0.9216549444247668,-3.0115665678387025,-0.26714632685955153,-0.11518514887430029,-0.05091850606074984,-0.08148814585135893,-0.048469158280853776,-0.07228956864440322,-0.01020007946651974,-0.005802196274991456,-0.007438537176987527,-0.006262960556560114,1.2e-05,0.0001,0.017337
41,0.9102094328839883,-3.0169567185567097,-0.2699355838780251,-0.11640317991182988,-0.0514264623857071,-0.08237044356733185,-0.04899807350398145,-0.07305229735446056,-0.010282143563289325,-0.005846695688946024,-0.007521240227276373,-0.006313075298232383,1.2e-05,0.0001,0.016308
42,0.9145323499832383,-3.021955609068445,-0.2725232259206709,-0.11756564166692676,-0.05186174160572275,-0.08322093828077963,-0.04943398926311183,-0.07391291213500895,-0.010337506275209962,-0.0058988850531709325,-0.007581479054937248,-0.006360101308511333,1.1e-05,0.0001,0.015341
43,0.912945871788476,-3.0270011918431545,-0.27516320105840086,-0.11871715673032837,-0.05232324719368929,-0.08401155668451414,-0.049934703093115936,-0.07469780700792772,-0.010435108972407237,-0.005947160362471227,-0.007659789693715804,-0.006421692036365277,1.1e-05,0.0001,0.014431
44,0.9206101751739166,-3.0313944718972157,-0.27745774404918433,-0.11974614358709917,-0.052732827682285086,-0.08472107876366779,-0.0503556715181422,-0.07538984879271146,-0.010471372602863897,-0.0059849139274334995,-0.007731096636589451,-0.00646265560253728,1.1e-05,0.0001,0.013576
45,0.9163765995728868,-3.0359517209005906,-0.2798125013466255,-0.12077661638202425,-0.05314511503524903,-0.08546021368703542,-0.050755216325546935,-0.076119330210173,-0.010569821092616276,-0.006030004005506573,-0.007800852619022535,-0.00651855264815354,1.1e-05,0.0001,0.01277
46,0.9239854379519183,-3.039950277707473,-0.28184877308392253,-0.12164224301328125,-0.05352743821611376,-0.08609802331184178,-0.05111471168750926,-0.07665168035381395,-0.010623549482132393,-0.006069015194153149,-0.00786026648846928,-0.006561683849393872,1.1e-05,0.0001,0.012013
47,0.920113333445102,-3.044114458864475,-0.28401064507220286,-0.12257819177015733,-0.053925599151618916,-0.08676828955370906,-0.05147648552384928,-0.07733112155216879,-0.010690212753327148,-0.006108221355985766,-0.007911659063570508,-0.0066043595090615175,1e-05,0.0001,0.011301
48,0.9067884332843595,-3.0490341814871096,-0.28661390064133463,-0.12377120475382236,-0.054378622410175256,-0.08759096405265653,-0.05191890385241545,-0.07819332199607174,-0.010777854198166341,-0.006162499967147461,-0.007980834482542176,-0.006661873996509691,1e-05,0.0001,0.01063
49,0.9142977221148189,-3.053377316915529,-0.2888092296426519,-0.12475271259651233,-0.0547613051587358,-0.08832729953598847,-0.05230509565294694,-0.07899922929694289,-0.010828492393104676,-0.006204486687876987,-0.008037791723979459,-0.0067086989372497335,1e-05,0.0001,0.01
