episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9143580668782035,-17.85613334078686,-14.016477038104323,-2.5686730262224655,-5.179795120206703,-0.08692290568523159,-58.17254312518405,-33.46557868446728,-21.50966438399596
1,0.9124745123101737,-28.43362534724947,-22.969845908440043,-5.807333197818902,-5.567136870717661,-0.07650919534542333,-85.58181726108047,-32.498074994535614,-33.68073777643737
2,0.908747640025173,-29.216512757711946,-21.15462505279121,-8.775877910661803,-6.467478911510597,0.0,-71.37139184641428,-29.32703699784339,-31.40149099616032
3,0.9112552163079047,-33.054874337529284,-25.392000134552514,-10.27560026634426,-6.20562635508758,-1.1185182523500674,-75.95765925405983,-23.003354771886134,-33.43409050136276
4,0.9086340518285299,-36.97707262119718,-30.649917282193144,-9.829053072278942,-9.271553468296874,-0.0010729847167617501,-75.47466520723032,-28.488203320432774,-35.56261059690045
5,0.92058114336294,-37.355871016705,-32.93484004735059,-13.95699167327328,-7.091063501141121,0.0,-58.64940221216829,-26.839626636378977,-34.495714011401546
6,0.9078766509293014,-42.89430239285505,-38.39644650242085,-14.09225896338529,-9.240099009201689,-0.47831908010513646,-69.77641667185648,-46.704548376606915,-41.23154494692638
7,0.91138820119558,-41.187070224355566,-36.28657163292531,-16.696965169972263,-11.256393075647615,0.0,-41.997258261712915,-34.30884350427706,-38.29808051199718
8,0.9174233911379719,-45.19315670919465,-35.94548553823724,-18.678306810158407,-11.325476689298922,0.0,-35.08963554740996,-30.020525668771967,-39.15781098486039
9,0.9155556920808503,-49.54383532214028,-42.65047223180068,-20.567202254185833,-11.171647973956286,-0.0453651154431866,-52.21088718728692,-40.93634005970643,-45.419226739325154
10,0.9170492899930064,-48.892629513663124,-45.15466140539526,-22.653765089524587,-11.015862100140744,0.0,-47.577986751581896,-47.84595421350805,-47.7877201300292
11,0.9206787566356747,-49.60875832343378,-47.465766376065396,-25.828072624062358,-11.067989589903577,-1.4077983127163944,-42.809091209054245,-43.25858265882261,-49.86869080147188
12,0.9092008587064977,-51.994783047063805,-48.06909818458694,-26.226970826843107,-12.29945623382838,0.0,-22.417580454919616,-34.079198701673185,-49.90232349438213
13,0.9163285849373151,-54.113002446491876,-51.44440603610576,-25.381709913411715,-11.118894938327925,-3.320195865521803,-33.87211415998237,-57.126917533382446,-52.36901638201393
14,0.9158323950947874,-56.217079242800565,-52.608830828105226,-24.212279139525258,-11.62056132460061,-0.005115784414355917,-15.218384295294664,-44.99370962159057,-52.777323707071865
15,0.923250967549866,-58.782386052997,-54.416659934833774,-23.004661107009245,-13.976939025913882,-0.07442010146916635,-9.434132128747597,-45.025608556046606,-54.47134567075459
16,0.9214070048309179,-58.7830555461109,-56.67388125222,-23.491472673306575,-16.077597530233653,-0.010084597081677471,-6.500898594616694,-36.1217071626788,-54.81046572780697
17,0.9211378214735327,-62.622304331022605,-62.76291859169294,-21.42927059911747,-15.087222443643405,0.0,-26.036782209177844,-44.44506650662153,-60.91569516180077
18,0.9199819304321638,-65.50635319578853,-63.08547975236175,-23.332527041644425,-15.290096004875808,-0.16370154531138195,-20.87639286724538,-41.715134492780955,-62.43765995211537
19,0.9131629817566751,-68.37664573193904,-67.46540773430199,-24.577754895116076,-15.29247661271112,-0.8786620112812007,-30.92275708131418,-46.640305688571324,-66.50227522521625
20,0.9130278094780467,-64.93740793998444,-64.88276970279364,-28.025986470189654,-14.652838076466189,0.0,-19.124590492419173,-39.61697660650641,-61.532862868694025
21,0.9136044132040217,-63.97793778789889,-68.33616126866117,-24.489675016313605,-17.53718341135585,-0.04503805776134475,-6.815760153040551,-35.4145995909643,-61.34841242116359
22,0.9164223317111507,-59.92662029222205,-68.68954633938483,-25.345294452581555,-18.16972806151111,0.0,-6.099286973078394,-45.72619410506062,-58.467397857332045
23,0.9121550452917633,-65.57883598120932,-71.00913545073782,-25.97125927738829,-18.54337963299367,-0.01920312492889218,-4.405818819086077,-42.76869325379542,-63.500038823097654
24,0.9192561856462271,-66.09442310434004,-71.09730123912452,-25.052285902514676,-17.825098743160925,0.0,-0.5227668072904385,-37.150044919355274,-62.05059011513017
25,0.9138249825710042,-67.78749866563231,-75.4740378480645,-23.625383326082773,-21.45357947874024,-0.15702897517864625,-17.549994730279547,-48.14971206935614,-64.84973539829252
26,0.9123720650210716,-66.19906432142902,-76.67050647712271,-23.12646145781547,-21.54116026869357,0.0,-9.142589923209638,-44.76821355684739,-62.047449964329246
27,0.9196309335923273,-69.54443248541706,-80.7724444084597,-23.690446471693566,-19.683902354851014,-0.32755384323791914,-10.653790171756716,-46.21504124320449,-64.26606619537216
28,0.9183023082650782,-68.87410144868616,-79.95919318001766,-22.309234920044478,-19.575631603593003,0.0,0.0,-38.49968342204073,-62.839675813282255
29,0.9140848033176068,-69.65800323352936,-79.92161879981005,-24.949965312256975,-18.39978323163907,0.0,-0.7695963359025695,-40.501287803968246,-63.0230387894854
30,0.9125184005768018,-70.58327885861497,-84.42343378457261,-26.26957423335152,-16.58927178089427,-0.019477078377400873,-0.1788312616870626,-34.7477539539513,-64.59044253762424
31,0.9196979464039046,-69.02840521147313,-83.50053253990824,-28.144260290049367,-16.335210019701695,0.0,-13.231865840334255,-39.234436430310566,-64.41495191292665
32,0.914205302021547,-74.56901852654501,-83.42682727341489,-28.215498237076183,-17.494425712235817,-0.054784566772400664,-25.55454001999904,-59.71900345875235,-69.48648471293387
33,0.9086064960335279,-72.68655089802212,-84.51475422753319,-28.382832758141276,-17.475930915874635,0.0,-14.732419890088753,-55.90755561202241,-67.80381173701366
34,0.912952375250696,-71.6473247337037,-81.76410811129914,-28.15774905165455,-18.623963915538813,-0.00876028129821575,-0.06317143245347341,-43.937258149521114,-64.37675388475209
35,0.9163774733637747,-74.27154570762642,-84.30585966519828,-28.20330075676133,-19.565254548192442,0.0,-1.5481950540534561,-42.08830656880606,-66.28174704052276
36,0.9090607967719594,-76.43666224319342,-83.44922711401556,-26.767641933554017,-22.981605810080186,-0.05352363464272602,-2.6429489200998812,-43.51362648508353,-66.57495826181895
37,0.9117143114798449,-80.67594099949918,-89.64739597855109,-27.45065095933286,-24.30152201608355,-0.834021562365622,-0.342960752623904,-43.030570863060774,-70.98629834819123
38,0.9210130542020093,-79.12143195581702,-90.4081406979322,-29.25411477910646,-24.10159053361181,-1.2187673157200765,-12.04401712576782,-46.3602015619916,-68.49977416098365
39,0.9097801364670205,-81.58232418861631,-94.95330337670923,-29.721814592491818,-22.91654065633332,-3.7119822423189825,-17.63497873424241,-74.27778302042309,-71.61902130959943
40,0.9160849726528268,-76.28409033724934,-91.004376265992,-29.725146199223495,-24.08751221518941,0.0,-13.887468176686307,-66.15529431900306,-65.44517521922106
41,0.9199485661313956,-76.56011078143348,-91.46176654032762,-29.787430814638086,-22.426014085890973,-2.495872106301153,-1.8616056749154057,-55.17994397018542,-64.44296673718343
42,0.9137296318648159,-82.5876524436407,-97.50825977660887,-33.64300910494218,-23.106454729074652,-1.1331945337206404,-6.11020323271684,-52.104490837438036,-70.94382428251954
43,0.9131199856840347,-83.60928589859672,-99.78302474812169,-36.005283563068836,-23.7694769897914,-0.8174791742629778,-23.63939118692708,-61.119810437558556,-74.79306527740317
44,0.9199768666484035,-80.88996448097333,-99.79615625375953,-33.68998750135796,-24.55288408360748,-0.009465820957636446,-6.979021313663675,-56.60610300910834,-70.75119763779479
45,0.9229264475743348,-77.26872350271138,-98.30917886852698,-31.552624764902472,-25.542757903053353,0.0,0.0,-49.309003105712165,-65.74514724250369
46,0.9216459135835647,-81.33839034458683,-101.5137431998051,-32.146930876642834,-25.21791420287958,-2.680011985432782,-7.279974959837801,-51.25596874178819,-69.13108418737278
47,0.9176481165153286,-85.28318000004103,-104.36581139432667,-33.45857139579179,-24.05973914052348,-3.55672163244679,-25.465347565923604,-61.85662430805838,-73.22409746201589
48,0.9214759611015177,-80.61508267910627,-103.39602811239457,-32.76618529084881,-25.12771147541161,0.0,0.0,-38.46815656535294,-67.28431105815848
49,0.9132090178678498,-85.58416428078371,-105.02624449166727,-34.57108997495599,-26.830189270259815,0.0,-8.527868250596793,-45.849415778729565,-72.50021238240286
50,0.9226303854875284,-85.6067982546132,-106.46011598420007,-35.85692650539049,-25.361662693522977,-0.2556950702954464,-24.630984376856564,-47.85684552101499,-71.94673378411149
51,0.9150835980104273,-83.770510893765,-106.63855791284472,-33.88064118767394,-26.182876647165326,-0.7565140728480301,-12.891260501931326,-56.06153918522954,-68.98366158652809
52,0.9247896479450807,-84.08852393827254,-105.4680038225025,-33.74919730804515,-25.431464529797353,-0.34307419072550976,-14.544628344433692,-53.23770201075734,-68.37221026585738
53,0.908961127799423,-93.92740280046637,-112.79990962173108,-35.63206306044348,-25.59328296757321,-4.025694663311008,-48.922793531626304,-70.5906151517488,-79.667761054004
54,0.9186785639678893,-94.6100543424651,-110.91492319187064,-36.043935922094015,-25.087590620714316,-0.852484474363024,-36.558757860537014,-62.121998265913625,-78.44186288439323
55,0.9155466218648746,-95.41043814526135,-112.32801441968968,-34.895192378463946,-25.76888124412799,-2.0452321371265647,-24.17861669091115,-54.12817308152784,-77.1689816903614
56,0.9182631673773347,-101.89444041815436,-116.59194694074934,-36.326846742105644,-27.509257381724492,-1.94113521248687,-24.266752047296052,-54.153422808353554,-82.93668360084142
57,0.9193709662757931,-98.58160571822974,-115.9408285408245,-37.04270137683071,-28.73965293080349,0.0,-7.572926461615644,-51.06541723791282,-78.52547090078372
58,0.9282448223304742,-94.96244775949638,-115.19555602356932,-36.10290489131775,-28.49110824248747,0.0,0.0,-43.45771966330278,-72.20543340505421
59,0.9183667301357028,-98.5105474584856,-118.20884988848371,-36.32334703107717,-30.01384804843451,-0.0022554153839100394,-16.288086677204895,-57.31004161281578,-77.17065799021498
60,0.9259799453053783,-98.85188321374822,-117.70539227291161,-36.15199276524867,-30.677094106096796,0.0,-4.820675174871976,-50.852878063128856,-76.07252276129688
61,0.9191495688373477,-106.94532876034414,-122.3193195390073,-38.9218526806866,-29.936178811469894,-4.647690397084178,-21.17230151772572,-64.71023425733178,-83.45222944943706
62,0.9211997355292421,-102.65220851017405,-121.15723022045123,-37.302713999986516,-29.607546377087015,-0.583153149619958,-1.6922564750411064,-63.17178136515662,-79.01444133531585
63,0.921214322467387,-106.61844246938219,-124.27501332444726,-37.53126528769301,-31.055764658407714,-3.456517777278048,-13.457064807355014,-66.19609242005554,-82.61072344962543
64,0.9309766363691819,-103.46346916721686,-121.59774773770894,-35.96448813804944,-32.281559752642316,-0.9424746162018932,0.0,-52.45197012307874,-77.41486346183812
65,0.9278866703303413,-108.41285897656866,-122.43700932158632,-37.9765591766723,-32.4800334414277,-0.9662598104840432,-20.998183764891106,-62.04156835113323,-82.69647875716262
66,0.9180372640650604,-113.26460619585222,-126.2855041035927,-38.79104887630488,-30.982468734331594,-0.9991230389486582,-20.374947400351534,-67.40321084380096,-85.42060531803187
67,0.9220201412896438,-111.41216789758933,-125.69089049611665,-37.283307131313684,-31.12970623437378,0.0,-14.43989881842231,-70.08618677263749,-83.76004984073276
68,0.9228254948247685,-113.39016211858858,-125.620198322871,-37.033373348443924,-31.067708112015477,-0.3526946760001356,-18.572606363296423,-70.89533673180658,-85.34826790525241
69,0.9229381520791364,-115.09762252014974,-127.02884365941398,-37.462828874784,-30.308963009673775,-1.6936386794237404,-19.920405138357122,-77.05954163608824,-85.9762408082528
70,0.9133453022142429,-121.84701436751683,-133.01457955205683,-38.16516946420036,-30.94966721410401,-4.037840659721523,-17.540040106581177,-75.90369971653013,-93.1554580675957
71,0.9188108844343115,-123.84362014774308,-135.52082930071052,-39.24562054349465,-32.316702745405465,-2.8123987478126,-22.029063571095733,-78.25600195130231,-96.43608385240726
72,0.9221547935786674,-124.3519281278798,-137.82903628872523,-38.76779276395604,-30.964785004755246,0.0,-13.021699251121573,-71.06499478256552,-95.19242730752266
73,0.9285254740969946,-121.9298045283033,-137.60930114162164,-40.22564751201509,-30.96266657676986,0.0,-1.1362268890065448,-64.3925883948538,-92.3804593004297
74,0.9231859581398154,-119.96999126087297,-136.2760987564193,-41.7046766137491,-29.465954601947242,0.0,0.0,-69.5762138889408,-89.36547006508472
75,0.9204312114989733,-128.6773990896869,-141.11659856412086,-43.79444322898194,-29.849756378172547,-0.8643473546066633,-36.41974339693197,-85.41121680688278,-99.35049057886837
76,0.9234752589182968,-128.27223309527088,-141.3772185038674,-44.020029040118075,-30.74792969070201,-2.028697250849606,-26.82435952998752,-86.19994348729692,-97.71574581749981
77,0.9265169957623298,-131.83482642437886,-142.44513797270588,-45.29876517717928,-31.071480377039155,-0.21590872991801965,-31.613354319866595,-77.86971511687098,-99.61718779328731
78,0.9258474576271186,-133.98154262826534,-142.36832505285616,-46.02186369743538,-31.491557294354436,-4.602989557666066,-26.593596212232775,-74.21431420949843,-100.92658581177135
79,0.9276290085053948,-135.42964134226355,-142.45644501216412,-45.08553397570797,-32.418984151775355,-2.943390575871533,-21.252715795254577,-78.83327557622319,-100.65747425109831
80,0.9190028362442155,-141.02640279411472,-144.2214887672564,-46.088130280917795,-33.94752461654319,-3.911152521493209,-29.82546495092776,-77.16386677017297,-105.8306444537185
81,0.9241532548642806,-140.50566745608597,-144.9588283746065,-45.77802577241382,-34.96694784260397,-2.4690044175224246,-23.13866026601774,-75.01509475567518,-105.2171491378943
82,0.922086438152012,-143.7032345967607,-147.75558479144073,-47.04435247973673,-35.121333994589605,-3.7789073006561704,-20.732499686258176,-77.76778048685513,-106.92625849255515
83,0.9215727884557084,-148.1957175177314,-149.06090135951473,-47.418741483364656,-36.80174159854356,-5.03497895090806,-32.311041392537504,-88.77767897341147,-111.08068729853342
84,0.9281879599469176,-147.46477611491142,-149.78708583413538,-47.0050178086277,-37.325643527400466,-4.895234762573978,-25.928308073663032,-86.73163626915736,-110.58722604852943
85,0.9275116195924205,-147.8561407954376,-151.6110415024241,-47.18835976130044,-37.83045471062012,-5.224820907898868,-23.72288177291373,-81.16369381997552,-110.04044187725997
86,0.9209598167184155,-151.58966804019843,-154.20161023278646,-47.82536096471099,-38.36970824603679,-9.077675292042919,-46.32386606931254,-100.44069441078489,-115.18565460688427
87,0.9235329521516702,-152.6963741534079,-155.72697185189733,-47.98639746893623,-39.269583213433066,-8.030758605551345,-35.86242074908408,-93.12325209231386,-114.8061718479406
88,0.9284127225688632,-147.02596640724403,-153.2417876590402,-48.16048624099053,-38.37176059804419,-4.229583574826325,-13.724234703861496,-87.32395351560407,-108.43775806959546
89,0.9249462821172412,-154.16273690218503,-156.0695958590514,-48.43381881449292,-40.860583302194,-6.625119075222288,-31.502745734036374,-95.07557501763424,-115.28408014353336
90,0.9175822512787917,-159.08184810549156,-158.35390814752228,-49.14380641329084,-41.71299863488359,-7.412615619148473,-43.452887145134945,-98.70598081913366,-119.43581519195827
91,0.9337009878189201,-153.42547803978084,-155.47202530518916,-49.53698829357094,-40.942310972958204,-5.278297818363655,-27.94410773222404,-92.09382425851909,-113.16193943205101
92,0.9281508013598835,-155.56035324852397,-156.75431906126028,-50.200336635297624,-41.81076133269525,-3.829327881684976,-27.418167546072958,-96.03688648827041,-114.74847106991263
93,0.9348863911046652,-153.13788712447584,-154.96461149690316,-49.961117425396736,-41.94898812782928,0.0,-8.997716219402571,-84.57821285426924,-110.72098137001002
94,0.9130720320009552,-165.05025942308038,-163.4711503977653,-52.564130267322525,-43.028503454937564,-3.373579218110967,-51.89252682594003,-106.35328564697586,-124.87761409757032
95,0.9226897341611912,-166.78379028878743,-164.818504487392,-53.46045990380579,-43.75618894760366,-4.356870540931947,-49.69432751858572,-101.42080873826738,-126.65477569494095
96,0.9315060222779002,-163.77840536680455,-162.93767767251535,-53.88545167466895,-43.267446282358506,-1.8732900908777892,-32.26819482426212,-86.0541814876626,-122.36755575949492
97,0.9284572462675313,-164.49537526172847,-163.64820229696988,-55.43515019063225,-42.78055419953881,-5.226447686761086,-37.67757825044547,-91.14862538244951,-123.00888583480739
98,0.9344133470349997,-162.96379198552015,-163.25271167225924,-55.27775580718961,-42.525351267959984,-7.464261514223036,-28.80137591965477,-84.64321285245441,-120.6282154267603
99,0.9333091371018963,-162.88550205852582,-162.34791037462384,-55.75132390628772,-42.75482068430686,-8.562495516547264,-20.15471043779114,-78.84310440412604,-119.21008402397763
100,0.9201683180136087,-173.33418616613204,-170.60494148927697,-56.58799255975431,-44.03953184753338,-11.49040182471812,-47.60030614890111,-92.0707183573422,-131.77017484351765
101,0.929676636785894,-175.34326500672142,-173.3302266738514,-57.33429964890307,-43.9875636138065,-12.319826997512266,-49.43375647539091,-92.07759091014869,-134.42090846940366
102,0.926739711541286,-176.0709020514523,-172.9740109593911,-57.81778021510343,-43.98302175270762,-11.579878364014798,-44.510598721334645,-90.866371474925,-134.19361222435614
103,0.930233955010962,-174.11052354019512,-172.27684531370872,-57.74223266806611,-44.18650940130487,-9.757454998813818,-39.004120740294866,-90.434592713127,-133.00005210855284
104,0.9262107919721188,-176.06094343049517,-175.39892650010978,-58.176735172770286,-45.25301764155201,-8.563702529281063,-48.31476554281901,-91.76629535175437,-135.77383333369127
105,0.9374549603651213,-173.49770740281258,-173.506549047003,-58.18847059752003,-45.71849274152445,-6.457658318766089,-33.294377574154446,-85.71424592450595,-132.15132488356488
106,0.9349711859265999,-171.9067658541976,-173.35028396385496,-58.496084028447534,-45.53825803184761,-5.748416687182704,-23.55046385059256,-81.01200833293552,-130.34643205155845
107,0.9314563281460826,-176.57339297771287,-177.5099981019577,-59.44472257985181,-46.32675636817905,-8.506413803916693,-40.54238959975861,-89.31500820354056,-136.4429151557627
108,0.9309895833333334,-179.882407451536,-179.08628551602104,-60.9580028925046,-46.6861596468699,-11.263755670739622,-51.11621698987158,-94.34487934309838,-140.34393920840034
109,0.9254131982145012,-183.84526831197647,-182.6875722239824,-62.355731668896965,-47.25455025614152,-10.5068691533139,-67.22408891881813,-102.8716175232286,-145.1927202761713
110,0.9166365606936416,-186.67207646877333,-186.41207081609187,-64.13978542341789,-48.05935233511582,-9.160740222703097,-74.64814443254812,-103.35734179512097,-149.0321249740982
111,0.9237275381512807,-185.29186240836393,-185.4338780188092,-63.92727524781188,-49.017290889454166,-6.843348945040703,-58.32145487416551,-94.73390756625484,-146.41806657920202
112,0.922227842075511,-189.8351281451151,-189.32974511117592,-63.99732521656904,-51.33386812868934,-9.484561884114846,-71.59897145870549,-97.45094135748651,-151.69231776087975
113,0.939220045667588,-184.8759567988196,-186.26906083040404,-65.41228040251747,-49.643423450989815,-8.988985301910848,-51.45034062825069,-85.3689575711974,-144.56186610377944
114,0.9236751672996926,-188.57410344991632,-189.52574901233183,-65.780248683224,-51.01372948592103,-9.950380603632984,-62.20019040536182,-88.96305809711417,-149.28220334207265
115,0.926518242918867,-188.40881641823802,-191.38309602563604,-66.37436192323217,-51.18214164286737,-8.619442000038745,-70.2981593444254,-97.49141315295061,-149.88183267183544
116,0.9278223133023928,-188.19078392927457,-190.9646218046551,-67.22519111048344,-51.832251281655,-5.265067455229644,-61.33661852929347,-92.86190178468473,-148.71703579726287
117,0.9312281125467938,-188.47089700111496,-191.52098716791318,-67.46013554313664,-51.66964608096549,-9.698240269835956,-59.99139154072419,-94.22367609001944,-148.4365273338605
118,0.9340856007522674,-187.72102589162347,-192.69827252402305,-66.97147130930627,-52.23456208048663,-9.9858097280727,-52.72508232168942,-87.36168822207455,-147.51512089683638
119,0.9303519718183718,-188.74266822615033,-194.21908657818324,-68.76938277939531,-52.25086692754866,-10.130379589759768,-57.246751698457274,-91.18792076104825,-148.9514077779506
120,0.9268322488009043,-190.70605822077002,-194.65518353609386,-69.03547760836909,-53.130811232486046,-9.409546532273351,-57.66064214052296,-92.91520856238905,-150.4774422949566
121,0.9249609797094489,-193.99828421759364,-196.83208932864616,-69.78157820209722,-54.072368347427044,-11.56899327763588,-67.00117057470162,-94.63007203830138,-153.83019165399023
122,0.9283623525151634,-193.80588150953415,-197.10647709999196,-70.23139899404198,-54.748864700174494,-12.204336927655516,-64.9017448301047,-95.11969955254445,-152.85896598070408
123,0.9321384387918289,-191.81266083800645,-196.42381106011698,-71.16717500209448,-54.00465059272044,-11.509402457622183,-60.86321017284908,-98.65124341129946,-150.4097905040894
124,0.9330099398845306,-191.3598889178026,-197.033074001131,-71.35076583110896,-54.303235851381,-10.788178935507634,-57.438671524418794,-98.67707398204315,-150.3870115030722
125,0.9296658221739655,-191.22085558226593,-197.53505784966012,-71.38586179597839,-54.53340014608821,-12.098661609452188,-53.372004517516,-95.92710904279366,-149.7465575803241
126,0.9295906080674292,-192.66419340050362,-197.32846686751836,-70.80577825735358,-56.001043803536966,-10.764826009363512,-55.28364167140078,-101.74468309125396,-151.0902788318665
127,0.9341913188548276,-193.50621833760633,-197.31535732783908,-71.16673522705815,-55.97628317036559,-10.62832139979591,-57.39836497905616,-105.87489558889362,-151.80402793906254
128,0.9292935299714558,-195.69848394708436,-198.2728199501955,-71.89528474206277,-56.07208467243247,-10.531244143599944,-65.97081037300303,-112.57913524824686,-154.67063018195282
129,0.9294987922705314,-196.05918924367975,-199.10945244197222,-73.01098257283266,-55.74539942182013,-9.972196690678457,-62.50462977940618,-108.72705014161932,-154.6186349766092
