,vif
degradation_demand_exposure,250.34089005032166
gross_starvation_risk,244.46495286039354
fleet_broken_fraction,197.95018309965295
depot_pipeline_pressure,136.4439001190605
depot_idle_fraction,38.43777388914329
global_onsite_backlog,30.14117374832218
fleet_failure_risk,18.573094137252205
repaired_idle_away_pressure,17.172085668913834
global_depot_backlog,14.249456852267802
demand_weighted_depot_backlog,7.557578212100458
fleet_low_health_fraction,7.186056609395099
demand_weighted_onsite_backlog,6.770512351471944
late_broken_cargo_pressure,6.102348475816687
gross_congestion_risk,4.623730643874404
depot_shortage_pressure,3.6331436724271025
rebalancing_imbalance,3.4102421674416235
squared_congestion_penalty,3.389628235606956
onsite_shortage_pressure,2.528170994885337
broken_cargo_distance_pressure,2.4368241076019888
squared_starvation_penalty,2.268398794501246
depot_queue_pickup_opportunity,2.0087890009352156
current_station_depot_shortage_pressure,1.1704633650128748
current_station_onsite_shortage_pressure,1.1585785873991983
maintenance_restoration_value,1.0316106467814679
