rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,global_depot_backlog,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,fleet_failure_risk,fleet_low_health_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,current_station_onsite_shortage_pressure,current_station_depot_shortage_pressure,broken_cargo_distance_pressure,late_broken_cargo_pressure,repaired_idle_away_pressure,depot_pipeline_pressure,depot_queue_pickup_opportunity,degradation_demand_exposure
0.59140474,0.17758714,0.11936284,0.113601044,0.044957776,0.004340278,0.004340278,2.9315881e-05,5.802101e-06,0.013020833,0.0,0.55368096,0.0,0.0,1.7406304e-05,8.794764e-05,0.0,0.0,0.0,0.0,0.0,0.004340278,0.0,0.06289873
0.6170622,0.19491254,0.12424568,0.14078234,0.043047346,0.004340278,0.004340278,3.0578092e-05,6.433207e-06,0.013020833,0.0,0.55394536,0.0,0.0,1.9299621e-05,9.173428e-05,0.0,0.0,0.0,0.0,0.0,0.004340278,0.0,0.07798573
0.67350864,0.20453146,0.14897296,0.11006184,0.04933027,0.004340278,0.008680556,0.00012465357,6.534998e-06,0.01953125,0.0,0.5542159,0.0,0.0,1.9604995e-05,0.0003739607,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.060998023
0.64913404,0.19092266,0.14627853,0.087412186,0.044933084,0.004340278,0.008680556,0.00012624152,6.657148e-06,0.01953125,0.0,0.55425864,0.0,0.0,1.9971443e-05,0.00037872454,0.0,0.00019319958,0.0,0.0,0.0,0.008680556,0.0,0.04844896
0.53239256,0.14938913,0.12015572,0.123145856,0.064753465,0.004340278,0.008680556,0.0001342423,7.084671e-06,0.01953125,0.0,0.5543212,0.0,0.0,2.1254013e-05,0.0004027269,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.06826236
0.55291855,0.15978827,0.12685712,0.12624322,0.08234232,0.004340278,0.008680556,0.00014204968,7.4816567e-06,0.01953125,0.0,0.5544482,0.0,0.0,2.244497e-05,0.00042614908,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.06999533
0.5721616,0.17023438,0.13477807,0.12678596,0.087175205,0.004340278,0.008680556,0.00014445196,7.6038064e-06,0.01953125,0.0,0.5545689,0.0,0.0,2.2811419e-05,0.0004333559,0.0,0.0002068275,0.0,0.0,0.0,0.008680556,0.0,0.07031155
0.5593329,0.15832715,0.13861555,0.11788186,0.075198874,0.004340278,0.008680556,0.00015165878,7.970255e-06,0.01953125,0.0,0.5546451,0.0,0.0,2.3910765e-05,0.00045497637,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.06538259
0.52341247,0.13761385,0.1441202,0.13564834,0.064329185,0.004340278,0.008680556,0.00016327317,8.560644e-06,0.01953125,0.0,0.5547539,0.0,0.0,2.5681931e-05,0.0004898195,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.075251445
0.5516357,0.14976342,0.15393764,0.17263009,0.07726423,0.004340278,0.004340278,0.00012857253,8.682793e-06,0.013020833,0.0,0.5549346,0.0,0.0,2.6048381e-05,0.00081380206,0.0,0.0,0.0002963325,0.007950331,0.0,0.008680556,0.0,0.09579841
0.56189865,0.15324384,0.16014455,0.17800683,0.080659375,0.004340278,0.004340278,0.00012892879,8.733689e-06,0.013020833,0.0,0.55500156,0.0,0.0,2.6201067e-05,0.00081380206,0.0,0.0,0.0003236159,0.008231072,0.0,0.008680556,0.0,0.098794065
0.5695959,0.1495237,0.16523367,0.17858014,0.08202422,0.004340278,0.004340278,0.00012921382,8.774406e-06,0.013020833,0.0,0.5550427,0.0,0.0,2.6323218e-05,0.00081380206,0.0,0.0,0.0002503187,0.00850972,0.0,0.008680556,0.0,0.099119596
0.5798589,0.16418038,0.16806509,0.19146028,0.08496412,0.004340278,0.004340278,0.00012949883,8.815122e-06,0.013020833,0.0,0.55507076,0.0,0.0,2.6445367e-05,0.0003884965,0.0,0.0,0.0002963325,0.008732529,0.0,0.008680556,0.0,0.10627401
0.57729316,0.15560497,0.17211385,0.1872706,0.08843878,0.004340278,0.004340278,0.00012985509,8.866018e-06,0.013020833,0.0,0.55510443,0.0,0.0,2.6598054e-05,0.0003895653,0.0,0.0,0.0003236159,0.00901327,0.0,0.008680556,0.0,0.10395474
0.58627325,0.1687096,0.17461513,0.19693168,0.090971254,0.004340278,0.004340278,0.00013021137,8.916913e-06,0.013020833,0.0,0.5551265,0.0,0.0,2.675074e-05,0.0003906341,0.0,0.0,0.0002503187,0.009291918,0.0,0.008680556,0.0,0.109322
0.5978191,0.1751082,0.17794967,0.20115985,0.09254645,0.004340278,0.004340278,0.00013042513,8.947451e-06,0.013020833,0.0,0.55516136,0.0,0.0,2.6842352e-05,0.0003912754,0.0,0.0,0.0002963325,0.009514729,0.0,0.008680556,0.0,0.11167617
0.5939705,0.1722716,0.17785661,0.20312406,0.09338086,0.004340278,0.004340278,0.0001307814,8.998347e-06,0.013020833,0.0,0.5551761,0.0,0.0,2.699504e-05,0.0003923442,0.0,0.0,0.0003236159,0.009795469,0.0,0.008680556,0.0,0.112769626
0.59140474,0.16915786,0.17570733,0.20721032,0.08997153,0.004340278,0.004340278,0.00013113767,9.049242e-06,0.013020833,0.0,0.55522114,0.0,0.0,2.7147726e-05,0.000393413,0.0,0.0,0.0002503187,0.010074117,0.0,0.008680556,0.0,0.11504755
0.5849904,0.15975744,0.17561275,0.2053353,0.0889566,0.004340278,0.004340278,0.00013135142,9.079779e-06,0.013020833,0.0,0.5552569,0.0,0.0,2.7239339e-05,0.00039405428,0.0,0.0,0.0002963325,0.010296927,0.0,0.008680556,0.0,0.114013836
0.58242464,0.16098514,0.17724903,0.21394789,0.08953549,0.004340278,0.004340278,0.0001317077,9.130675e-06,0.013020833,0.0,0.55529755,0.0,0.0,2.7392025e-05,0.0003951231,0.0,0.0,0.0003236159,0.0105776675,0.0,0.008680556,0.0,0.118804745
0.53367543,0.18640423,0.17427373,0.12290237,0.11079938,0.004340278,0.004340278,0.00013226755,9.222287e-06,0.013020833,0.0,0.5553426,0.0,0.0,2.7666862e-05,0.00039680264,0.0,0.0,0.0002503187,0.010856316,0.0,0.008680556,0.0,0.06825293
0.5388069,0.190905,0.17055878,0.13685359,0.11419079,0.004340278,0.004340278,0.00013572845,9.833035e-06,0.013020833,0.0,0.5553811,0.0,0.0,2.9499104e-05,0.00040718535,0.0,0.0,0.0008914819,0.012038776,0.0,0.008680556,0.0,0.0760059
0.5311097,0.18726009,0.17255855,0.14215834,0.12544739,0.0,0.004340278,0.00013901631,0.0,0.0065104165,0.0,0.55479604,0.0,0.010484784,0.0,0.00041704893,0.0,0.0,0.00014447377,0.013161591,0.0,0.008680556,0.0,0.07886889
0.52469534,0.18151687,0.1732809,0.14553198,0.12645157,0.0,0.004340278,0.00014213112,0.0,0.0065104165,0.0,0.55563337,0.0,0.0,0.0,0.00042639338,0.0,0.0,0.00043704,0.014254798,0.0,0.008680556,0.0,0.080862425
0.5503528,0.19092542,0.17713995,0.18158214,0.12245809,0.004340278,0.004340278,0.00015058997,4.1103307e-05,0.013020833,0.0,0.5558357,0.0,0.0,0.00012330993,0.0014467592,0.0,0.0,0.0008914819,0.015604688,0.0,0.008680556,0.0,0.10092984
0.5849904,0.20046969,0.1905956,0.20177287,0.1319174,0.004340278,0.008680556,0.00030934362,4.293555e-05,0.01953125,0.0,0.5561672,0.0,0.0,0.00012880666,0.014467592,0.0,0.0,0.00020562526,0.016801333,0.0,0.013020833,0.0,0.112219445
0.5477871,0.17449339,0.18821195,0.18542624,0.15034096,0.004340278,0.008680556,0.00032079514,4.4309734e-05,0.01953125,0.0,0.5564472,0.0,0.0,0.0001329292,0.014467592,0.0,0.0,0.00026779703,0.017679485,0.0,0.013020833,0.0,0.10317991
0.56703013,0.20857589,0.17467193,0.17877792,0.15312108,0.004340278,0.008680556,0.00034716923,5.0010043e-05,0.01953125,0.0,0.5565717,0.0,0.0,0.00015003013,0.014880952,0.0,0.0,0.000104005725,0.018680923,0.0,0.013020833,0.0,0.099502735
0.55676717,0.19781595,0.15289253,0.19397527,0.15219043,0.004340278,0.008680556,0.00037681084,5.668755e-05,0.01953125,0.0,0.55677533,0.0,0.0,0.00017006265,0.011160715,0.0,0.0,0.00019726552,0.01959004,0.0,0.013020833,0.0,0.10800065
0.5721616,0.20668091,0.1572392,0.20149809,0.16131991,0.004340278,0.008680556,0.00038422126,5.8356924e-05,0.01953125,0.0,0.5569583,0.0,0.0,0.00017507077,0.009896074,0.0,0.0,0.0001892086,0.019853815,0.0,0.013020833,0.0,0.11222604
0.56703013,0.20570424,0.15377168,0.20802942,0.16788013,0.004340278,0.008680556,0.00039348425,6.0443646e-05,0.01953125,0.0,0.55698967,0.0,0.0,0.00018133094,0.008051224,0.0,0.0,0.0002503187,0.020120654,0.0,0.013020833,0.0,0.11587023
