episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-2.0143091526813808,-0.7366727717511822,-0.6277983749285341,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9392414977256981,-2.43400816219473,-0.902288429045717,-0.7422607687147371,0.097486,0.1,0.198291,0.2,1277,740,1231,33197,37944,37939,0,0,0,0,3748,3757,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9363188535602329,-2.8844749949394157,-1.0816674843954148,-0.8718270078409128,0.095095,0.1,0.196596,0.2,1301,832,1453,33495,38219,38214,0,0,0,0,3845,3853,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9410757211538462,-2.977405243735065,-1.1240982322043203,-0.893628310179932,0.092819,0.1,0.194915,0.2,1223,738,1418,33280,38206,38200,0,0,0,0,3864,3884,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9411974234913473,-3.0808533304037904,-1.1825678786412288,-0.9186628881894464,0.090649,0.1,0.19325,0.2,1300,681,1368,33689,38496,38491,0,0,0,0,3844,3848,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9325124036104967,-3.35565458111005,-1.291196578646234,-0.9949966004945906,0.088579,0.1,0.191598,0.2,1365,893,1470,33458,38306,38299,0,0,0,0,3879,3886,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9336701530461502,-3.454655404503246,-1.3308509647681088,-1.01860685173504,0.0866,0.1,0.18996,0.2,1305,940,1365,33846,38773,38769,0,0,0,0,3929,3918,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.932909436653197,-3.47727859145281,-1.356635569795191,-1.0199427073788734,0.084709,0.1,0.188337,0.2,1324,934,1657,33656,38350,38346,0,0,0,0,3883,3869,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9397371449336805,-3.512924525540982,-1.3899446793633539,-1.0237273559947748,0.082898,0.1,0.186727,0.2,1218,772,1375,33022,37930,37922,0,0,0,0,3849,3867,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9440029120912455,-3.46584824239603,-1.3929134755335413,-1.0029343711073873,0.081163,0.1,0.185131,0.2,1246,600,1382,32966,37818,37814,0,0,0,0,3872,3863,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
