episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,work_ratio,imbalance_hotspot_distance
0,0.8524609989115975,-4.181031748407622,-3.1287343187363845,-14.116379039999382,-14.116379039999382,-2.5994124354326127
1,0.9065012496612364,-10.010710733342558,-7.433535092448402,-34.91941100186098,-34.920080400445315,-5.274323600124854
2,0.9018945732727708,-14.78142700487793,-10.940738650409122,-52.73484174153762,-52.736851342207004,-7.045383529769794
3,0.9055698113207548,-18.339948970493634,-13.544165968662245,-66.26605996843763,-66.27958503108763,-8.193043594977581
4,0.8949904536776071,-21.289816175978185,-15.67386026228592,-77.61628039920174,-77.6424773286787,-9.028613909762674
5,0.8929439649933147,-23.833558026365935,-17.485023323833193,-87.3069056337487,-87.3417051651334,-9.684328405253755
6,0.8917485383641733,-26.057728096447768,-19.05514366700157,-95.80942467466755,-95.85386179730996,-10.199246304873208
7,0.9043246001020377,-27.693056876347796,-20.209688009394714,-102.12326129614257,-102.17895063898101,-10.471607534689163
8,0.9025723570322228,-29.125139990474946,-21.216019931776792,-107.67081067595736,-107.74119194073825,-10.693802034346803
9,0.9081249621601986,-30.340747573516143,-22.052966729975832,-112.35310290330857,-112.43524352582537,-10.809802106203993
10,0.9001080886326788,-31.337216577600582,-22.72082373384875,-116.12865963065222,-116.21924735613803,-10.835541830260556
11,0.9061824601990807,-32.17402846772227,-23.284869709619727,-119.22301664016112,-119.32805406341203,-10.817661099222557
12,0.9029452342390978,-32.931321697909155,-23.792422260852632,-122.05891725618721,-122.18067947814555,-10.76077357389947
13,0.9038049139145886,-33.59496805008653,-24.222970668272033,-124.46330392757643,-124.5990715459674,-10.675942873878254
14,0.8969931167733366,-34.18813324642869,-24.60837637856967,-126.55718541687148,-126.71058440404452,-10.563149892378858
15,0.9032132715588104,-34.72877979160171,-24.96622619253395,-128.54490536259536,-128.71760642192666,-10.46746069057944
16,0.9011960014280614,-35.19137028359628,-25.258132430186862,-130.13564934540693,-130.31848079495512,-10.33272951468318
17,0.9114921780986763,-35.54743702256051,-25.47788060346239,-131.30719631421013,-131.49964080405846,-10.214096666761687
18,0.8969306102949959,-35.880926738853134,-25.682060221650055,-132.3821920281185,-132.5875534137599,-10.077307680071604
19,0.8947494104653593,-36.280731286213936,-25.946262523152118,-133.80225156572672,-134.0205988870791,-9.989297373862243
20,0.9054977621870086,-36.59427659317654,-26.154213457009668,-134.82159432532472,-135.05560897136183,-9.870306559668887
21,0.8992736658863077,-36.839722371189175,-26.31516783102025,-135.56818017364677,-135.8174355199684,-9.71549879042803
22,0.9007025902361065,-37.128881738349534,-26.504064094471033,-136.50705114907169,-136.76806169701766,-9.583480742876674
23,0.8942944395730656,-37.3033575225291,-26.607093010646313,-136.98469836637466,-137.25545278305887,-9.449593912357015
24,0.9027857945742321,-37.51827376817578,-26.742554661129837,-137.57042495101487,-137.85234244041328,-9.316559284545672
25,0.915193378571646,-37.757345695012056,-26.90582896880788,-138.29968156144983,-138.59656294002318,-9.199625675815884
26,0.9078367273490687,-37.90168848272828,-26.99645217444842,-138.6214419944995,-138.92910605153702,-9.05710987137921
27,0.9076666666666666,-38.022089769331224,-27.066265796527688,-138.88002826749698,-139.20582295048996,-8.92596223219372
28,0.9093929326487467,-38.12214745848434,-27.117900632542238,-138.98865064732735,-139.32324026179705,-8.762263298511817
29,0.8996196111580727,-38.20462604246874,-27.163080358555714,-139.03698318579197,-139.39043785789283,-8.608357616415637
30,0.9025214139220654,-38.35372803803101,-27.259141144227144,-139.33441071424352,-139.6981979394625,-8.482551145503393
31,0.9094521628344354,-38.45049555899127,-27.314007816616414,-139.42660785789246,-139.80305033140363,-8.339835945827044
32,0.9056994507638284,-38.546219846768324,-27.371694444795445,-139.53465717550026,-139.92157448349437,-8.219327159944998
33,0.9108274515693047,-38.66923561713068,-27.44890185312842,-139.81238276632476,-140.21034724086275,-8.139077758297116
34,0.9165985529621893,-38.78612891244152,-27.520352225341504,-140.0460876188245,-140.4600068041331,-8.032854104567047
35,0.909639096390964,-38.85666716921384,-27.556910471916193,-140.08379781443918,-140.51262528718527,-7.918436983488763
36,0.8978247134217889,-38.94323177690514,-27.610538932345918,-140.18971207431989,-140.6335562930456,-7.81105867923176
37,0.9085028849073793,-39.054139873855455,-27.679867462886303,-140.40856661309766,-140.86539862112846,-7.7180723341779185
38,0.914378808906052,-39.12559363487116,-27.71831215120113,-140.46993278812644,-140.9377933589049,-7.63186946674682
39,0.9085913782635094,-39.182909217726866,-27.745210921356936,-140.45482612020413,-140.93078459329274,-7.51265030409619
40,0.9127194183322686,-39.25734837308972,-27.782364775669826,-140.5015131209522,-140.98923130403517,-7.41692932956974
41,0.9087131968315648,-39.326030276671744,-27.81547500673235,-140.54306548130359,-141.04384755958986,-7.333850460759619
42,0.9076932352586519,-39.400115662212414,-27.86024348756389,-140.60120242308378,-141.1138235207854,-7.2391155044635465
43,0.9129624537928085,-39.47773095302748,-27.903622703567386,-140.6916603220946,-141.21685192682116,-7.1515819952020845
44,0.9093879794771561,-39.504336928726374,-27.912542547086062,-140.58543148191512,-141.12311048616326,-7.052880004534491
45,0.9101758414405704,-39.582770941094374,-27.955719501452183,-140.68286752522286,-141.2366742526934,-6.9853168568973905
46,0.9056131569538791,-39.64169517837005,-27.982786191946083,-140.72138103035593,-141.2864352800838,-6.92440458709981
47,0.9076374406866745,-39.70404000862285,-28.013600658910573,-140.76368759062152,-141.3403910612997,-6.853615660777379
48,0.9030355907217426,-39.7874975301598,-28.057878282135583,-140.89124993837186,-141.47891128735816,-6.78934231004082
49,0.9164775441949355,-39.839979284778195,-28.083904712879505,-140.90369255413063,-141.50428336601934,-6.706935003319999
50,0.9080672014530043,-39.917447942755096,-28.1275011636023,-140.9960058815386,-141.60684707300516,-6.64708478453383
51,0.9083876704208654,-39.98374367087019,-28.158204393757508,-141.0764207180494,-141.701995355565,-6.59763860274114
52,0.9156597243305604,-40.03202499780778,-28.180161258475934,-141.08788490210048,-141.72893210351623,-6.53776987507055
53,0.9108745564600292,-40.07976940783305,-28.197963763479088,-141.07908432664948,-141.72743088350123,-6.480642612011239
54,0.9156868025012715,-40.115714319274005,-28.208648133707474,-140.9807545551726,-141.6397468021083,-6.419040061358652
55,0.9184366005150735,-40.15821579984453,-28.226002953640485,-140.94215032652687,-141.61054814205912,-6.35510617300669
56,0.906176629944013,-40.23125392223369,-28.26620505501381,-141.02757571187055,-141.70748519887383,-6.321706903530295
57,0.9106849968687561,-40.26325791551538,-28.27534845031637,-140.92530012275262,-141.61807701149482,-6.26714641252821
58,0.9102071676999849,-40.31313687544646,-28.29968459272077,-140.90982017704923,-141.613465702378,-6.213973317907412
59,0.9171522598955346,-40.34559189451394,-28.309557479252383,-140.81153124662515,-141.52502170050212,-6.151143682903911
60,0.9163323953780758,-40.38400491286491,-28.324998861532013,-140.75157949223438,-141.47821822049727,-6.097469771189145
61,0.9151433691756272,-40.43423104965681,-28.35186164650039,-140.76426968852584,-141.50336318734455,-6.073322602918481
62,0.9173094170403587,-40.477201366005175,-28.37153267000988,-140.75004409225423,-141.4989371819234,-6.037505902574982
63,0.9235255015711868,-40.51126819544733,-28.38319888257687,-140.67652975917747,-141.43433553315452,-5.993932617888284
64,0.9149230815546257,-40.55239489053292,-28.40221102183167,-140.61555076290193,-141.38424071336328,-5.956690257840368
65,0.9179368369711011,-40.614399929190824,-28.43829028643461,-140.68274940925724,-141.46245254082567,-5.928009721336099
66,0.9148923245147769,-40.65658116203123,-28.463322422489043,-140.66577672705654,-141.45798340435215,-5.891622479306151
