episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max
0,0.8910293185180712,-0.9415989085682668,-1.590104949194938,-1.5692394621437415
1,0.938861072570429,-0.8096181511331971,-1.2827761915472897,-1.2125415080580362
2,0.9445321034106081,-0.7357871590626974,-1.0819918739396643,-0.997989798803771
3,0.9373924593232107,-0.8042792354009232,-1.2064902646901952,-1.0785438401404919
4,0.9443941861166395,-0.7856192274919218,-1.1315552067555943,-0.986695798992684
5,0.9365431950531308,-0.8305678759440618,-1.182742235019576,-1.0157976062889393
6,0.9334989547671706,-0.9301203794493805,-1.3455678075524904,-1.1193152941058455
7,0.9390302883743425,-0.9146667715570372,-1.2687335472789996,-1.0230099490240994
8,0.932417682372203,-0.9733754814801874,-1.3649579814018309,-1.0830111020491373
9,0.9414429581560501,-0.9159556523271958,-1.22646029276551,-0.9293031125359099
10,0.940203871124325,-0.9290004107084168,-1.231392862450259,-0.9016856602769877
11,0.9332536956846349,-1.0294618962942215,-1.399069252761393,-1.030758672268071
12,0.9384523453839259,-1.0350627188131525,-1.3750451024719104,-0.9833191432597116
13,0.9390416956009783,-1.0558916569757413,-1.3986805681919185,-0.9775280907908266
14,0.9374810134273042,-1.07739103576602,-1.397285724777821,-0.9500532053905155
15,0.9396817714320286,-1.1254312560538997,-1.463055758146345,-0.9949585012485148
16,0.9386798124323674,-1.1388796994806052,-1.4685102210858827,-0.9534400153204199
17,0.9352008201664456,-1.1644299828998952,-1.5005832953684117,-0.9637350077232966
18,0.9359209300928291,-1.1786561910746651,-1.4876474534386013,-0.9325512398445827
19,0.9373056838419511,-1.2085446674589373,-1.5194048268286588,-0.931773077914523
20,0.9375,-1.2326493310872462,-1.5418307248496153,-0.9410308823780431
21,0.9401055011303693,-1.2512701273787283,-1.5520029821216843,-0.9300106932213303
22,0.9382042675617358,-1.2716637184548145,-1.5590658748956734,-0.9260961848805198
23,0.9393782383419689,-1.2692242892158716,-1.5184840185409028,-0.8751460377222454
24,0.9388870436909327,-1.295512579619212,-1.5520719930163258,-0.8973861577873388
25,0.9396515470111144,-1.2982421631638046,-1.5279516378938665,-0.871045146251479
26,0.9411111444607858,-1.3184462679033653,-1.5602031387539395,-0.8972134144758823
27,0.9414357682619647,-1.32668186771933,-1.5507709557854497,-0.8698669533711844
28,0.9376228190317394,-1.358489521180595,-1.5928727621511858,-0.9038723272775845
29,0.9409676930077355,-1.351874553797093,-1.544672550615432,-0.8479630668898255
30,0.9442484336030172,-1.3573873592958028,-1.518579079621416,-0.8336169952981832
31,0.9437961706618423,-1.3742376370483094,-1.5311367652766419,-0.8519307448412788
32,0.9410885167464115,-1.4041154287977835,-1.5753786482867054,-0.8719161778914281
33,0.941290518024841,-1.4029719314141575,-1.556413821801876,-0.8408009308003646
34,0.9393115400705193,-1.4070595726165682,-1.530964280061806,-0.82975102587105
35,0.9346098265895953,-1.4365900596536871,-1.5715121622687103,-0.8546795182338993
36,0.9404084566089717,-1.4538568813571267,-1.5902252243301433,-0.85670401129216
37,0.9359842757786514,-1.4850268397001511,-1.6272859259998804,-0.8840033776804183
38,0.9419185836444659,-1.4877495028324537,-1.6118217107780535,-0.8739510314754495
39,0.933377269186987,-1.5339820485415947,-1.673354019877998,-0.9285826739623423
40,0.9382994055125202,-1.5470971842498906,-1.6725893690936406,-0.9233124159945078
41,0.9406669291577067,-1.5390419426852027,-1.6241898939766348,-0.886531420813121
42,0.9379137321282834,-1.5453749627171016,-1.6237334566426822,-0.8637114872430451
43,0.9382271800407821,-1.5688751783596058,-1.6435517086040994,-0.8854177370475489
44,0.9385925187935875,-1.5976777325204574,-1.6763854583248272,-0.9251463618589412
45,0.9374830852503383,-1.6176094431528376,-1.7001491364141317,-0.9334424279925588
46,0.9428562831006259,-1.6098717766435282,-1.6600994309018884,-0.8888432563900678
47,0.9381508839912812,-1.6295231955158318,-1.6769114059751917,-0.9062112140666434
48,0.9364772658655878,-1.6462261948922638,-1.683020819299716,-0.8938223966639508
49,0.9374264949790416,-1.667208741670818,-1.6916779839890015,-0.9145713258222425
50,0.9344392716129413,-1.7021129392502399,-1.741068893989534,-0.9646405602863718
51,0.9437033003599843,-1.696443494387681,-1.702924913325636,-0.938079791041443
52,0.9415615760574428,-1.6954022997253995,-1.678596131845178,-0.8941231322089032
53,0.9417639310112429,-1.6968208767241668,-1.6578430462924736,-0.8754582993302072
54,0.9397705831261793,-1.7196899400180237,-1.6957977177701713,-0.8949331732374776
55,0.9373336559399952,-1.7423512709604934,-1.7235752685696173,-0.9173663147950808
56,0.9424418781803223,-1.7478004412976313,-1.7178696364521981,-0.902675210355213
57,0.9428225317989097,-1.749204053637739,-1.6939890141827172,-0.8963326240164269
58,0.9419284480930599,-1.7614546715213235,-1.7020866864504791,-0.895720332563688
59,0.945542314074521,-1.7598396560655938,-1.669611728078547,-0.8808943184057547
60,0.9414795284419796,-1.7639894046889,-1.6616131745195475,-0.8695648598791577
61,0.9420581246572839,-1.777995540969239,-1.6820339020692294,-0.8855490565424141
62,0.93830926108669,-1.7965846747318934,-1.7058201958308037,-0.9094944896444555
