Time;battery starvations;bike arrival;bike departure;bike starvations;escooter arrival;escooter departure;escooter starvations;events;failed events;long congestions;random trips;roaming distance for bikes;roaming distance for escooters;roaming distance for locks;roaming for bikes;roaming for escooters;roaming for locks;short congestions;starvations;trips;
Mon 07:23.858533;;14;28;;34;59;13;187;13;;1;;5.113884805614744;;;39;;;13;100;
Mon 07:23.450574;;14;28;;35;59;13;187;13;;1;;5.113884805614744;;;39;;;13;100;
Mon 07:23.309425;;14;28;;36;59;13;187;13;;1;;5.113884805614744;;;39;;;13;100;
Mon 07:23.095815;;14;28;;37;59;13;187;13;;1;;5.113884805614744;;;39;;;13;100;
Mon 07:23.048673;;14;28;;37;59;13;188;13;;1;;5.113884805614744;0.1321223557937657;;39;1;1;13;100;
Mon 07:24.000000;;14;28;;37;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.116564;;14;28;;38;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.593499;;14;28;;39;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.137470;;14;28;;40;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.068708;;14;28;;41;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.515743;;15;28;;41;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.997313;;16;28;;41;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:24.318912;;16;28;;42;62;14;195;14;;1;;5.415224510438005;0.1321223557937657;;42;1;1;14;104;
Mon 07:25.000000;;16;31;;42;67;14;211;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;112;
Mon 07:25.023399;;17;31;;42;67;14;211;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;112;
