episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9256655874112969,-2.5396284821328527,-0.020517254578149752,-0.008860187401294684,-0.0037622872511249013,-0.006185601475909632,-0.004537720560413323,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9269475091942494,-2.5772863805988986,-0.039401889194573936,-0.017110076120421355,-0.007078978645587925,-0.012004814280854124,-0.008583507838085223,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9154061343116069,-2.6204492417067047,-0.06200982620753267,-0.027119580246414268,-0.011125775861626584,-0.01908431111228251,-0.01376217912308186,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9229738780977896,-2.6569432906736328,-0.08094384702630691,-0.03568284371271502,-0.01425508341457421,-0.025433558892152718,-0.017849525933387456,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9208860759493671,-2.6949651946403255,-0.10044270776670604,-0.044521862491691246,-0.01753782507261394,-0.03192336467227606,-0.022237878124530947,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9254063645646752,-2.7291995159325877,-0.11773020198383286,-0.051806355939793096,-0.02077814321406807,-0.03690601277631319,-0.025914694490420734,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9257317971732869,-2.762356447127636,-0.134904241938405,-0.05913219941530079,-0.023985260435898065,-0.04201834889352676,-0.029635390834807807,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9169431892081172,-2.798977285694225,-0.15397727311563061,-0.06737046940873559,-0.02748966925494632,-0.04775072967315043,-0.03369095016544575,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9288186198005022,-2.8284939372084534,-0.1689932442742956,-0.07399199427828948,-0.030211339364364286,-0.05245519296754794,-0.037064714516636156,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9312975816345395,-2.856455373376976,-0.18301880425666509,-0.07995438119099595,-0.032788037909637635,-0.056822463902450965,-0.04015623772423312,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9161359702922051,-2.8906826685084686,-0.20080541719186795,-0.0877961441116153,-0.03602893205513596,-0.06217344312522898,-0.04443050733489578,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9174418409056502,-2.923259943788565,-0.21766067435002878,-0.09519717922896685,-0.03915530490529879,-0.06726587731671126,-0.04829646858984325,0.007513,0.01,0.0,0.97,100,11,0,11
12,0.9291787570011472,-2.9486146644315907,-0.23060944188527813,-0.10103545845453116,-0.041453384189884986,-0.07138911794116574,-0.0514072564132918,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.927320107599193,-2.9756366256396243,-0.24493642496835347,-0.10735023641364935,-0.044122479783431805,-0.0756947502002637,-0.05463145195256169,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9291483113069017,-3.001477130585351,-0.25825166287204265,-0.11311710700355285,-0.04659681854145523,-0.07982179739803692,-0.05751611556584455,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.931472805736067,-3.0255743364056675,-0.2704715065921603,-0.11855899457763505,-0.04870242953184975,-0.08367021896392413,-0.06008990322601092,0.006889,0.01,0.0,0.97,100,10,1,11
16,0.9246329088404287,-3.0523603285361984,-0.2842255530549107,-0.12475844310695086,-0.05094065546891314,-0.08805322206193457,-0.06317973140991254,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9246373871589411,-3.0778846295960327,-0.29719048390706826,-0.1305315777143035,-0.053175960265353525,-0.0922408973470967,-0.06596362733572472,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9221842434347645,-3.1042703580795292,-0.3107531986833924,-0.13654135586143434,-0.055503210186626024,-0.09653970972236335,-0.06888318490631382,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9252641233821381,-3.1201438662479632,-0.3190149003741306,-0.14086066821751067,-0.056855560284334826,-0.10032657763596302,-0.07138158013476474,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.927690920024053,-3.1434345840705675,-0.33077346165598565,-0.14600778831323646,-0.05891410899154675,-0.10407509008533908,-0.0740972389328776,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9200509121764955,-3.1684912705854527,-0.3436518663114217,-0.15183640226347786,-0.06108084091393111,-0.10792801838935899,-0.07694771941772101,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9257705422210336,-3.1915262578967467,-0.3553751270256083,-0.15693341058010388,-0.06324129419707873,-0.11152047804314372,-0.0795749320168662,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9268255706224207,-3.213551400076476,-0.3667862033282297,-0.16200754775595816,-0.06528054988637914,-0.11497193864087296,-0.08209350836995867,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9230013978566198,-3.236741439284211,-0.3787108686982193,-0.16712912393155743,-0.0675586103244072,-0.1186127862808251,-0.0847181029763936,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.924001348390359,-3.258875485132906,-0.389955796965221,-0.17214611824920656,-0.06954118960782221,-0.12210702429662744,-0.08728139868119769,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9165150902721638,-3.282981864697869,-0.40234241684499983,-0.17772766973803747,-0.07168632643979977,-0.1260014696028132,-0.09005720761607341,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9276979975344017,-3.3034236114347997,-0.41277713893169626,-0.1822927576883398,-0.07354506107243025,-0.12921757647256424,-0.09230453611271079,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9299037101878661,-3.322574013748408,-0.42251509682401656,-0.1865076642045106,-0.07531855549345402,-0.1322786334044949,-0.09445069414175083,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9249502067049391,-3.3431084465794942,-0.4329942476319432,-0.19104813112632144,-0.07724297868875932,-0.13546937701423956,-0.09683896771838672,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9221312867185112,-3.3637863227600397,-0.4436502501185234,-0.19572777776191488,-0.07918197878909869,-0.13875690845692853,-0.09926766911609779,0.005255,0.01,0.0,0.97,100,10,1,11
31,0.9249953565337791,-3.383399038863195,-0.4537077151761928,-0.20016440988431963,-0.08103779646671186,-0.14197007007546172,-0.10158926260810322,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9194447242085474,-3.4043659657978633,-0.4643233978783256,-0.20485912087868796,-0.08293506667097456,-0.14527806334838592,-0.10389521657048356,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9211346316680779,-3.4213885383050826,-0.4731664079796604,-0.2091832152929139,-0.08444555269455065,-0.1487152189133573,-0.10625671066202744,0.005017,0.01,0.0,0.97,100,11,1,12
34,0.9243263997863177,-3.4404909078711268,-0.48308289892169864,-0.21354812744206766,-0.08627803809355655,-0.15172894391990457,-0.10844706048522315,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9282352542831991,-3.457929048432434,-0.49179187696858484,-0.21736626719527033,-0.08778528584403021,-0.1544422007210665,-0.11027747314064856,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9192514090924432,-3.477668317089592,-0.5017663365394504,-0.22175168279306826,-0.08961724658459787,-0.1575554338722327,-0.11254860638637715,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.928867661556243,-3.4877991938965525,-0.5070012273695251,-0.22461325001773497,-0.09066284070884922,-0.16002061086394348,-0.11448014933972613,0.004731,0.01,0.0,0.97,100,11,1,12
38,0.9253087662773527,-3.505452844572946,-0.5160659411263409,-0.2285436830894472,-0.09233393225442878,-0.16291831867744838,-0.11648758666407963,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9254417613397996,-3.5228375877406926,-0.5250362751031852,-0.23249112547097314,-0.09393929409036023,-0.16579464499589855,-0.11850225167669397,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9223266980094028,-3.5408254849635608,-0.5341673437048715,-0.2365750547245575,-0.09550045946372687,-0.1687620919507427,-0.12048709265427164,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.9216536425510461,-3.5586036290878544,-0.5433390626016212,-0.24075079387576365,-0.09710079045638638,-0.17168445680100375,-0.12261633708379166,0.004476,0.01,0.0,0.97,100,10,1,11
42,0.9272114207109426,-3.574728690810469,-0.5515995873957464,-0.24437818214328455,-0.09864224426755856,-0.17423813615458209,-0.12450149919804647,0.004417,0.01,0.0,0.97,100,10,1,11
