episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.8965068803871163,-20.725910870399407,-9.53967474600797,-7.1152034235946084,-8.769969401738004,-6.525460772795659,-32.91251719797105,-32.12119064038652,-11.181731872034616,-5.31612634288757,-6.3145623421996415,-4.515638869556565,-5.46099463958386,-1.0866104003893944,-0.5310486904770838
1,0.9456612060778727,-38.06419064435993,-17.286951270623224,-12.525944220057685,-15.74853707365939,-11.3930748803957,-63.15674185500528,-60.334192028056826,-20.780036058613344,-9.446358832425096,-10.699491778722491,-7.493550655987415,-11.138968505182461,-1.7809585330816893,-0.8653088426814449
2,0.9384087419850086,-45.31996091308857,-20.361198112062425,-14.35531784857386,-18.420005349588287,-12.960841344905571,-76.90832265158072,-71.7479189939874,-25.023830973688707,-11.011975219197147,-11.936541768582796,-8.127406143082665,-14.219827187664071,-1.9525876884604663,-0.9585697606052654
3,0.9364267885604306,-49.28413527744279,-22.17117666983092,-15.072160760633508,-19.94335891398695,-13.505542009988687,-84.45055604266554,-76.77855689549689,-27.490948120410927,-11.0701797172963,-12.449206975805897,-8.06023919378813,-16.08637380025811,-1.992789847756593,-0.9900399557229786
4,0.9398799417899588,-52.432607036135494,-23.49892050755722,-15.42366370588689,-21.0105052105039,-13.703675644651256,-90.62793786500973,-80.24330095405395,-29.543962444244357,-11.385473298092704,-12.532981923280149,-7.744968461210702,-17.910231890473334,-2.0460518455143424,-1.026968388808489
5,0.9345635074917008,-54.26128853651079,-24.123328229644436,-15.422728092111956,-21.414607239884397,-13.588330120741325,-94.28344695457247,-81.75397401378183,-30.8456234267079,-11.35611456624794,-12.08418371101122,-7.241167930902508,-19.312608789788626,-2.030146443357543,-1.043402754074392
6,0.9404180562172463,-55.04519547735617,-24.34089540194817,-15.12404641814653,-21.468661027244327,-13.215637101379354,-95.59493111370249,-81.13911049434317,-31.6279949497063,-11.037506092452478,-11.46635551581917,-6.613127160917947,-20.250827743001086,-2.0366929057277763,-1.0398194929125644
7,0.9370275578834593,-55.82116598298427,-24.483745057677982,-14.824760413998813,-21.455868986197295,-12.844296367799977,-96.75105123151788,-80.5734250596142,-32.3487282608282,-10.835215030586932,-10.83078638652552,-6.033246004516556,-21.26288343926674,-1.9984962590776163,-1.026341133684351
8,0.9421561604584527,-57.2153256626753,-24.911682904054558,-14.690245921723541,-21.707709487014228,-12.616446244159429,-99.1949461264254,-80.98755725637483,-33.381865497142606,-11.106667386334554,-10.316221799838031,-5.506960677909557,-22.567220621657032,-1.9414152294341154,-1.034094189499041
9,0.9378421804332302,-58.95527565367416,-25.367636076473044,-14.576548718544863,-21.94704006193622,-12.393717845855587,-102.50420640119206,-82.26386864677534,-34.628750019784675,-11.288998271432154,-9.59524538267927,-4.924338698480985,-24.183705418034265,-1.9069958580813942,-1.0584547914074138
10,0.9406343506882107,-59.083727131565304,-25.276574568798345,-14.22835452235362,-21.757588287509385,-12.00128720609831,-102.06169134050228,-80.49149483165725,-34.99017858754443,-10.39811651112659,-8.923256746347572,-4.420082222304178,-24.748922636241453,-1.8653768034520866,-1.085519970626747
11,0.9346006018532312,-59.697660907665,-25.369281832851865,-13.947427154752011,-21.712053596757954,-11.647175771052117,-102.41191821317695,-79.4895223457323,-35.65127850756326,-10.195868794171783,-8.260001416906176,-3.8317295213747937,-25.575341626573476,-1.8618208048015097,-1.1123656226892509
12,0.9328443800555355,-61.08727751191484,-25.745457365126175,-13.881463881774579,-21.91149287995712,-11.484409139509042,-104.25504750511512,-79.68863277120938,-36.66883051537209,-9.994615282503295,-7.6927185913038265,-3.36441431170033,-26.618719129976586,-1.8487614180338041,-1.1545538593537485
13,0.9380038503188546,-61.726482852937266,-25.897193533237616,-13.669782122774059,-21.945882898962125,-11.205816040585937,-105.09506086118714,-78.75187522923343,-37.27005880560469,-9.590871185613366,-7.183011088790831,-2.8702212595129026,-27.445169377897823,-1.822164139493072,-1.1904830707529637
14,0.937986836543687,-62.48573564377501,-26.06946924067121,-13.511687507289121,-21.988354770333675,-10.982859450430547,-105.8489851345777,-78.22629043676822,-37.93949236791848,-9.374002011933431,-6.62363301783421,-2.4551771154824844,-28.22563077686889,-1.8329817576297633,-1.2698107259440161
15,0.9356637034804882,-63.308210572115776,-26.255276616771006,-13.30019460830612,-22.029766363945416,-10.699710416987827,-106.85548474024793,-77.50742962919233,-38.62639556430376,-9.253282334332406,-5.999177407984535,-1.9598837940766145,-29.16715576460009,-1.8194522002421003,-1.3171121889808575
16,0.9340587074789263,-63.94995386120185,-26.47082638810753,-13.10022988082369,-22.12657278973794,-10.451329738888646,-107.20395764030404,-76.44071027487948,-39.18045250860016,-9.092111011041599,-5.525835732474296,-1.5889344775545828,-29.799021510594873,-1.8055389082831736,-1.3861320602471034
17,0.9306655253584422,-65.96978759221165,-27.11153346763105,-13.356598638422152,-22.56674205736134,-10.60083613725548,-110.15935600526578,-78.30204208463931,-40.48136622631158,-9.015969885845395,-5.148222830906866,-1.3778073679616762,-31.11014754703216,-1.7933330785965664,-1.476667530662234
18,0.9383986680793098,-66.78932581463589,-27.29919039322067,-13.194498650811266,-22.603387134906303,-10.37572292848771,-111.14696573857387,-77.93724446445057,-41.16056038525886,-8.513336245107602,-4.535557499171293,-0.9428459332218957,-31.983963365805508,-1.779799939778919,-1.5446513894804896
19,0.9337601650685763,-67.18653472567087,-27.364618657744117,-12.945050452557929,-22.539345003476093,-10.089713474826056,-110.92953296569975,-76.63096358357141,-41.59673243972807,-7.983609950775456,-3.9137341157664762,-0.5638187269978076,-32.49549429378064,-1.7614901632264754,-1.611341028575812
20,0.9405076997112608,-67.94499868464023,-27.52911008193114,-12.749666408504396,-22.569824981801766,-9.83706736043313,-111.40508176532782,-75.75020214485662,-42.231748571682736,-7.8561988009213595,-3.3895388715982864,-0.13616799143480723,-33.2142016241006,-1.7424651728748817,-1.6736317861357526
21,0.9364270948800144,-68.62875069444524,-27.716042759757492,-12.586940757361731,-22.621333232787112,-9.62499584902315,-111.69396986019744,-74.96509553005068,-42.822422507896086,-7.599727973337714,-2.8575463749979666,0.0,-33.85904861214348,-1.7403973144107963,-1.733991123234472
22,0.9391090149899366,-69.53789486258245,-27.91659404281051,-12.469710811553826,-22.675385688384615,-9.44815348042634,-112.46627129784822,-74.7239476557899,-43.52116591490904,-7.807211773860109,-2.2777650659350868,0.0,-34.67555879869164,-1.7335449651041452,-1.7877140741334954
23,0.9362008027316839,-70.19510913030669,-28.11487891501071,-12.300610312646706,-22.734792271385157,-9.22713105229636,-112.70307084679638,-73.95712026284282,-44.10960697779858,-7.777755668799745,-1.7231883758705995,-0.0019774008292399716,-35.262365081693346,-1.751908675212534,-1.8390646210175297
24,0.932200837324177,-70.2927082092778,-28.083834480458812,-12.051135986844873,-22.613847293956155,-8.952567036129636,-111.60822540047387,-72.15704044321627,-44.37193240647507,-7.229561855877501,-1.1877893394775174,0.0,-35.502106854786156,-1.7386858820742201,-1.8935008982569554
25,0.9388808402752626,-71.96882312213354,-28.635203796138292,-12.166039965162408,-22.977872244134222,-8.981378801068715,-113.68217357307398,-73.14773754844985,-45.48618541045318,-7.590553288300886,-0.7972815302933788,0.0,-36.5195869483,-1.7251328166311972,-1.957336810783623
26,0.9392420353314208,-71.96708309721042,-28.515127775679495,-11.823326249368682,-22.755435867895734,-8.609727478579599,-112.53334563129259,-71.1342914972002,-45.69825625392861,-7.479246562153443,-0.12175577555392882,0.0,-36.840683934925735,-1.6810799277139732,-1.9807810367257956
27,0.9378153267456787,-73.22670185114342,-28.9424741482117,-11.82916424114173,-23.025573064782687,-8.546934612618942,-113.98506090094509,-71.51949513283992,-46.60159990894954,-7.673846457395421,0.0,0.0,-37.72388272910649,-1.6853584339946601,-2.032470053682611
28,0.9471108828948561,-74.05635106357119,-29.175895786373655,-11.751626712610113,-23.123626786246334,-8.41444866238048,-114.53601692717419,-71.17115003246738,-47.25171131638915,-7.631837453811672,0.0,0.0,-38.38038864165032,-1.6713728544263415,-2.093189624872733
29,0.9327731092436975,-74.39242110357914,-29.219101056503487,-11.588115537409001,-23.068592083091954,-8.212569869847208,-113.91938433859421,-70.05543799905202,-47.61353841941944,-7.524940158528082,0.0,0.0,-38.73355608508803,-1.655226034585148,-2.1393870871956793
30,0.9346678201724292,-75.21928304323112,-29.40294295078079,-11.535484872318282,-23.122954513050612,-8.102492876987435,-114.40691860980357,-69.8586939332477,-48.299816094502894,-7.537338094563384,0.0,0.0,-39.374354039670486,-1.646434334860754,-2.193449591414942
31,0.9425614565726655,-75.4454434674623,-29.425184264415375,-11.305808421362304,-23.04185028438975,-7.838179712043089,-113.62990154251172,-68.27896544668863,-48.629064609858816,-7.171370283646664,0.0,0.0,-39.62074934492548,-1.6250722903265145,-2.2265228486969284
32,0.9380004167038724,-76.16198199887776,-29.608088368168108,-11.219140910006557,-23.10269323442591,-7.7100339803756635,-113.80560713729513,-67.77011524913028,-49.226777926463974,-7.313653704553386,0.0,0.0,-40.184813505561216,-1.632658677301616,-2.2834824953092556
33,0.9429608347194919,-77.04066958044571,-29.868023452447236,-11.15455764791143,-23.224949608441207,-7.594341238665641,-114.47465064307659,-67.55873157847324,-49.92303373888711,-7.224788089730029,0.0,0.0,-40.82878619307569,-1.6430979418382663,-2.337473960026369
34,0.9385778760797442,-77.03548571699744,-29.741004826638626,-10.90056336821228,-23.01887862484206,-7.3140129339337046,-113.18818300083723,-65.87714030471705,-50.079514954800274,-7.029638900399638,-0.0016789664926446122,0.0,-41.03931591827611,-1.6201427647114668,-2.3683994946267823
35,0.9380081300813008,-78.18260547642556,-30.07300438426704,-10.92522013999913,-23.201197030754493,-7.270355616927506,-114.20487564217362,-66.02901529591037,-50.893306287640236,-7.487158657201091,-0.007136784098583182,-0.011980611531803765,-41.80213042267456,-1.6240003259507678,-2.421072187786154
36,0.9414061326846263,-78.36263601872395,-30.01024310200834,-10.747339055930249,-23.048949865049323,-7.063282262037895,-113.17390486002105,-64.70645447518554,-51.157764843553146,-7.254493301342617,-3.971953864690203e-05,-0.0002964799402447101,-42.0926932772323,-1.5759585431189893,-2.4636716639115694
37,0.9416701386822213,-79.7175543570206,-30.38685218613466,-10.838999813823758,-23.25679431760886,-7.084706127741505,-114.57166937093675,-65.48186050850732,-52.06582190522279,-7.404245571852222,0.0,0.0,-42.91373527255024,-1.5866903010116995,-2.5257406620684644
38,0.9374349829097934,-80.3374606599757,-30.55037811730348,-10.733541524852617,-23.302952430086705,-6.942417360087396,-114.4736715761273,-64.91384716432188,-52.59448616983967,-7.172237376208031,0.0,0.0,-43.3666398871572,-1.581098950033439,-2.5653503968573164
39,0.9431756059041487,-80.81674661018243,-30.61635952567366,-10.597193837375615,-23.247802580687615,-6.773151707765182,-114.3812465528482,-64.38615955804549,-53.031228161400456,-6.9602198216455875,0.0,-0.0016361695526187045,-43.875096329680176,-1.5474568207017356,-2.6018837734212483
40,0.9351678258240097,-81.13649325688212,-30.667200660835217,-10.439521675158277,-23.197318880766083,-6.584642341941922,-113.79744536308044,-63.31243023729813,-53.391418401048554,-6.893335474517362,0.0,0.0,-44.156150365358044,-1.5672982624097165,-2.6578168227922863
41,0.9387274623752049,-81.74168102432816,-30.773395524553127,-10.344164242302817,-23.18127116979955,-6.439895289213927,-113.63545444102013,-62.88367007831916,-53.90083371360361,-6.871799910769278,0.0,0.0,-44.59823488027067,-1.5687018745255503,-2.695552442972425
42,0.9446386424068597,-81.26200108938013,-30.44018385508458,-10.031261944427426,-22.78953691315386,-6.12753041287645,-111.24947891818782,-60.666981881738366,-53.800823031793726,-6.398033401045169,0.0,0.0,-44.51100243240164,-1.5407385505128135,-2.7407497628046777
43,0.9407863000482393,-82.64670851390474,-30.83415952719449,-10.17614222685209,-23.03334201524477,-6.202168807884568,-112.7919993727534,-61.926989260089435,-54.7295960874199,-6.965672812935242,-0.0004975795443316251,-7.929889594728675e-05,-45.323048274090624,-1.539932881827763,-2.798592804968101
44,0.9446982733044562,-83.78367536769646,-31.16199960182123,-10.301125541862982,-23.22052696689433,-6.264356510984286,-113.76414332459305,-62.74529152090635,-55.51661967433245,-6.919482880169933,-0.0002904570733652027,-0.0061006625183278335,-45.99694473282324,-1.5574702621457384,-2.8702165912357995
45,0.9456847019391909,-83.79348613676208,-31.073803691716858,-10.084301686688663,-23.058745401347696,-6.030754808484045,-112.557310370005,-61.15168450400906,-55.6842678144079,-6.662775713209524,0.0,0.0,-46.142797559440254,-1.5462874027112212,-2.918012169526187
46,0.9395594447797224,-85.07692704788288,-31.45694409387061,-10.223287735949365,-23.285342000877023,-6.103013312657169,-113.80519998554855,-62.197490249743815,-56.56593996935083,-6.755691491985747,0.0,0.0,-46.88315683180631,-1.5253732344831876,-2.973648624569352
47,0.9480071920887024,-85.85678095611988,-31.666394952773807,-10.23026700148242,-23.37923694057815,-6.062062122447401,-114.30623202162525,-62.3241765466762,-57.152825019837344,-6.592196976299392,-0.024210614198392738,-0.015266308986760237,-47.40387200254222,-1.5273698599012604,-3.025790661895029
48,0.9465888006813273,-86.12915118245468,-31.62677751686618,-10.07063595059984,-23.241834717245485,-5.875921902166171,-113.67619073800607,-61.64263343341147,-57.47775182320597,-6.505381125275564,-0.003981053062230967,-0.0010424774330010868,-47.79615319554201,-1.5178495138401709,-3.0711156450110413
49,0.9376723001318471,-85.8236933550479,-31.413113125911888,-9.780773736263747,-22.974093756509475,-5.581791280754215,-112.0796457062257,-59.701147311104414,-57.46887571017744,-6.233379195362273,0.0,0.0,-47.85710533410414,-1.484711739884704,-3.101818407134305
50,0.940797398217297,-86.65477404506538,-31.59108490654335,-9.806395865466007,-23.025442140289424,-5.557558153653006,-112.34608306682833,-59.93391890986132,-58.09854995180679,-6.663073415771684,0.0,0.0,-48.41691098949722,-1.4860344967432226,-3.1522566477412304
51,0.9395315487571702,-87.19843885015642,-31.667283429429204,-9.786609211545304,-22.991459420191884,-5.498257675595333,-112.17100575726967,-59.80058921277025,-58.57728832160271,-6.427249365783435,-0.003959147674051538,-0.00404543521106788,-48.83144909338472,-1.4864200301704351,-3.2031401059591778
52,0.9429887007361183,-88.326652847862,-31.984864252109762,-9.895883154565357,-23.169793457291195,-5.553256299166574,-113.27529325698461,-60.53877503330987,-59.34075450667373,-6.8101044302177,0.0,-0.0014561765987098308,-49.46321593120514,-1.4724542153623175,-3.2607108020750624
53,0.9353444367197654,-88.73147250951939,-32.02754485480565,-9.80397048221806,-23.120320423244923,-5.4284211977013195,-112.97863353049088,-60.113916118621056,-59.71624400650961,-6.659869150636514,-0.0022218846797253757,-0.0025513330604768876,-49.828287004744965,-1.4787271244959106,-3.304488910103111
54,0.9449413334141831,-89.17818076315831,-32.08540142157386,-9.720227281408347,-23.078305704050816,-5.307624516789628,-112.75756753668297,-59.63881427621152,-60.104065027532855,-6.66839040482995,0.0,-0.0022505747347550805,-50.1824317833054,-1.470181528831907,-3.346228022364653
55,0.9432111972898279,-89.63434999072106,-32.18077650024757,-9.638894207209102,-23.087631501689025,-5.195691905103053,-112.71205217982858,-59.28620609187805,-60.5024124061329,-6.131318362788401,0.0,-0.0029602342708958582,-50.56377885461877,-1.4728946958316786,-3.3909431967108628
56,0.941426376208985,-90.09344734250377,-32.23322837704739,-9.581933542918753,-23.04741059869459,-5.102901757511873,-112.52907128052654,-59.04080183278705,-60.89434981580865,-6.042410065644618,0.0,0.0,-51.00188298517237,-1.4773567620750736,-3.4267222796761323
57,0.9401815057135104,-90.16933856675483,-32.15743337953996,-9.427329477937374,-22.90520218882003,-4.928824776337981,-111.71660665520618,-58.17573199371999,-61.06805094876711,-5.971998544481585,0.0,-9.081174361670786e-05,-51.29308497771739,-1.4636282806188587,-3.4670036461845455
58,0.9370041019192191,-90.71181666504468,-32.26065714965134,-9.371467759629365,-22.90847504867128,-4.8349462370853935,-111.72502695171471,-57.90313271137785,-61.500832584547176,-5.825615573328934,-0.010567107981770895,-0.004503041625513521,-51.69006508036474,-1.4472600873512058,-3.511277429719389
59,0.9346947457987662,-90.77281909434546,-32.17681742447465,-9.206644026028284,-22.753202017368793,-4.653998445426515,-110.7894061892296,-56.919379927700376,-61.6854384663586,-5.492951890070389,-0.0004933871237569724,0.0,-51.91486400013315,-1.4357409525276952,-3.5498987629552583
60,0.9399604803161574,-91.50396029008172,-32.3457755766544,-9.189000627692637,-22.81505966415506,-4.59633184453542,-111.27101340745743,-57.05575254986188,-62.21439253024469,-5.775499395471116,0.0,0.0,-52.44013112986758,-1.4152556056363745,-3.5940443453600155
61,0.9425352787847919,-92.00633510244717,-32.48703002570671,-9.143779179176512,-22.871512135473058,-4.516133940284338,-111.48049242074251,-56.92360600467972,-62.628675241768,-5.704915246222416,0.0,0.0,-52.8614969524781,-1.4222596621091121,-3.6383276260812965
62,0.9409195608603309,-92.48480492472594,-32.583551787054816,-9.116924577530261,-22.877255860948804,-4.461036105930796,-111.44135579711761,-56.87655317001275,-63.029621132006845,-5.6270701245804124,-0.0065007375687563445,-0.00015115636741390909,-53.22851370346192,-1.4211668413380936,-3.6881631634387233
63,0.9386729628284296,-93.03517385610859,-32.66632398549158,-9.087933949725299,-22.871533308143245,-4.402641107505757,-111.57654621250406,-56.90568065230148,-63.45636246793828,-5.688051576523983,0.0,0.0,-53.67594262228176,-1.408879478817075,-3.730630067945549
64,0.9368681534236654,-93.26843332312508,-32.660760548901294,-8.97464933460357,-22.788888123619675,-4.267591724289812,-111.22311509022586,-56.35458986788431,-63.71436230233332,-5.66735836065012,-0.00019221677466633834,0.0,-53.960510117278446,-1.383417869417944,-3.7679801421843706
65,0.942144579030386,-93.97716514693693,-32.86557555493816,-9.010042281638915,-22.898857510617916,-4.265321685526041,-111.6546439770131,-56.58772612592078,-64.22657587154883,-5.786176427689642,-0.006209276357417248,-0.006748047737124305,-54.37591748478783,-1.3931389175662003,-3.811308543861485
66,0.9394836176959082,-94.32574594772365,-32.896139242674394,-8.918780277772168,-22.849752928416418,-4.153222318699441,-111.46003558912113,-56.18950348093469,-64.54071130032693,-5.825218203541272,-0.010305357341544186,-0.005944783653418765,-54.72458582352417,-1.379253852303343,-3.8422729245649117
67,0.9390243902439024,-95.1233371891481,-33.09898536914301,-8.945838059826206,-22.94211626916453,-4.142871381795912,-112.00702515955855,-56.53852869506088,-65.12109242164576,-5.944631761031072,0.0,0.0,-55.24383822659562,-1.4070131609588719,-3.8913040069413927
68,0.9415373511367737,-95.93261203461523,-33.37893841489331,-9.030137561547432,-23.119195351059947,-4.187312148486934,-112.53053395912984,-56.967485601903654,-65.69487711986113,-6.021084712348404,-0.0058877825022998565,-0.011192057147065528,-55.65675511829053,-1.4375574454178874,-3.950331787950914
69,0.9434956778410288,-96.56146868567545,-33.51561410572577,-9.019399831306913,-23.161972017812747,-4.14167276450187,-112.59844809745057,-56.932394210760975,-66.16996782024147,-5.901336914968767,0.0,0.0,-56.06770789965283,-1.4534049204517954,-4.000570938362046
70,0.9422364178744689,-96.89301972287487,-33.51165804357312,-8.933955189514435,-23.08071192935506,-4.031844700396404,-112.27975882295466,-56.526044114611224,-66.48131408454202,-5.869829889953377,-0.005777561629822539,-0.006932457416078192,-56.40663842901914,-1.4655835165274786,-4.040030571648601
