episode,service_level,bias,rebalancing_imbalance,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9195230748591361,-2.5435827693474558,-0.02170825986937932,0.01,0.01,0.0,0.97,100,16,1,17
1,0.9207532037894104,-2.585109310020982,-0.04220732418195379,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.9102716653538688,-2.631149996866546,-0.06530709381017513,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9246104146092429,-2.668432477969207,-0.08397594720198151,0.009172,0.01,0.0,0.97,100,15,1,16
4,0.9185902003347197,-2.7112837728092902,-0.10520975427976649,0.008925,0.01,0.0,0.97,100,15,1,16
5,0.9163124602563674,-2.7496676873312893,-0.12388704123826257,0.008692,0.01,0.0,0.97,100,15,1,16
6,0.9219663344778495,-2.784630080422938,-0.14105366333230493,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9188792528352234,-2.8203928708182127,-0.15868021937323112,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9131187027173728,-2.8572775960458814,-0.17703085885338463,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9197822324534135,-2.8910400028435754,-0.19361351696725707,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9152975170513725,-2.925564560859624,-0.2110413550470548,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9132468493934346,-2.960178060391169,-0.22796190772637304,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9179119581716985,-2.9918301411642205,-0.24358714159372483,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9166946872898454,-3.02347436206913,-0.2593622345349054,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9253539682804396,-3.050959180923742,-0.27298434912227887,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.9197058230908725,-3.0798257748943265,-0.2870748488029745,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9090847970417683,-3.10990744704603,-0.3020096043862541,0.006749,0.01,0.0,0.97,100,15,1,16
17,0.9187294077891357,-3.138163683102942,-0.3159299050218603,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9155539997666317,-3.166988407161516,-0.3301478980981868,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9098753269694602,-3.1953821190749587,-0.3441373317564174,0.006362,0.01,0.0,0.97,100,15,1,16
20,0.9213937328790005,-3.220998160724183,-0.3567830618022473,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9143715318434048,-3.248237295087525,-0.3701884310048775,0.006127,0.01,0.0,0.97,100,15,1,16
22,0.9226385453573099,-3.272383598355258,-0.3820879833150923,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9132728743847347,-3.299489135771715,-0.3956057132076153,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9162309767225015,-3.3244287006793827,-0.408068060077165,0.005806,0.01,0.0,0.97,100,15,1,16
25,0.9181173219190779,-3.348259268555505,-0.4198611802989905,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9167845594179467,-3.3726740508469177,-0.43172043809035743,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9173383068007727,-3.3964857482724855,-0.4435265180099659,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9165053772489355,-3.4199365056868376,-0.4553295515009396,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.911778978898576,-3.4443531389480055,-0.4673775156871818,0.005339,0.01,0.0,0.97,100,15,1,16
30,0.9182730684964079,-3.4620001775229756,-0.4757725444097711,0.005255,0.01,0.0,0.97,100,15,1,16
31,0.9139543520831926,-3.4848396663531664,-0.4872572924408375,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9192232814178303,-3.5061594338420834,-0.4977720040280517,0.005094,0.01,0.0,0.97,100,15,1,16
33,0.9206792631721522,-3.526246110055943,-0.507714197251133,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9151574836006744,-3.5481300052186944,-0.5186062969765645,0.004942,0.01,0.0,0.97,100,14,1,15
35,0.9179770146070649,-3.5688610819706517,-0.5287756690337531,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9170013838728187,-3.588768915334998,-0.5385607468021626,0.004799,0.01,0.0,0.97,100,15,1,16
37,0.9215782942046479,-3.607532053924728,-0.5477478125454499,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9104763183511799,-3.6292168258282644,-0.5586211906457039,0.004665,0.01,0.0,0.97,100,15,1,16
39,0.9158684091328491,-3.649153212295565,-0.568538383268616,0.0046,0.01,0.0,0.97,100,15,1,16
40,0.9139523253875645,-3.6690099552379185,-0.5783546930062742,0.004537,0.01,0.0,0.97,100,15,1,16
41,0.9165196053715189,-3.688331740739916,-0.5878303993326861,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.914855437043,-3.7072938620731017,-0.5973125999483921,0.004417,0.01,0.0,0.97,100,15,1,16
43,0.92008316008316,-3.7225898393675316,-0.605001908698287,0.004359,0.01,0.0,0.97,100,15,1,16
44,0.9149967299984908,-3.7413522008940254,-0.6143613138714169,0.004302,0.01,0.0,0.97,100,15,1,16
45,0.9159569096111766,-3.7594700330890984,-0.6233802295783304,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9148329053158097,-3.7777593046325433,-0.6322573590385435,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.9211409395973155,-3.7942363739763394,-0.6403482097806477,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9237610759230629,-3.810081366157903,-0.6481576907208781,0.00409,0.01,0.0,0.97,100,14,1,15
