episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
12,0.9292626184294818,-2.5776818960801187,-0.041589161611124435,-0.01760894837836162,-0.00869180438312855,-0.012320983645801711,-0.00782808606257825,-0.009834370231651915,0.014693,0.02,0.177343
13,0.929268989629032,-2.582277587106991,-0.044016488593711406,-0.01860545686467815,-0.009222152188359532,-0.01298112403378387,-0.008283264477028849,-0.010328471809136049,0.014375,0.02,0.175575
14,0.9276475818221469,-2.586928687766244,-0.046472343068540464,-0.0195866712262049,-0.009758908964861708,-0.013648659199215412,-0.0087416491869583,-0.010793141886719483,0.014071,0.02,0.173825
15,0.9256712563100609,-2.591628794062531,-0.04894818092333699,-0.02061711370400365,-0.01028449533158107,-0.014356401211508442,-0.009178515638271725,-0.011287146238985876,0.013779,0.02,0.172092
16,0.9262447767205356,-2.5961414412575587,-0.05136595521501837,-0.02164919918619722,-0.010760964970432848,-0.01504689891399208,-0.009618788400388918,-0.011877231145469555,0.013499,0.02,0.170376
17,0.9264325885392917,-2.6006059915429454,-0.053728806057533184,-0.022623601228563057,-0.011269169373755612,-0.015703968752557373,-0.010078174929246017,-0.012384289529235546,0.01323,0.02,0.168678
18,0.9189391918922523,-2.6055367312678386,-0.05634514108299036,-0.023691014899337788,-0.01184395481595383,-0.016472031825743833,-0.0105695788992598,-0.012980272971412772,0.012972,0.02,0.166996
19,0.9208132509673478,-2.6100709478733273,-0.058737705394464046,-0.024688728418927792,-0.012363494727963137,-0.017183738629282533,-0.011017609818007297,-0.01355188962199552,0.012723,0.02,0.165332
20,0.9274250981301446,-2.6142686360196126,-0.06094232823067643,-0.0255830167279653,-0.012842838825669453,-0.017841241686002072,-0.011432985985558067,-0.014036880708338547,0.012484,0.02,0.163683
21,0.9240828372258688,-2.618484946115003,-0.0631237924188706,-0.02651737376545418,-0.01326979072508399,-0.01847874132207972,-0.011847056851222192,-0.014539563779713056,0.012254,0.02,0.162052
22,0.924275125901387,-2.6226962946090673,-0.06536290323447846,-0.027435939653234678,-0.01375816697908755,-0.019123413063110974,-0.01225065768575259,-0.014982712128074309,0.012032,0.02,0.160436
23,0.919130786607775,-2.627089185222443,-0.0677210096454421,-0.028408151971358944,-0.014264679747135378,-0.019768255937396485,-0.01269396112005889,-0.015514329899142077,0.011818,0.02,0.158837
24,0.928153078202995,-2.6308978057789307,-0.06970129055934984,-0.02921358041728817,-0.014695204852238688,-0.0203354868011621,-0.01311914678807493,-0.01587731445990289,0.011612,0.02,0.157253
25,0.920642943792964,-2.635051905928781,-0.07188357478703747,-0.030111943219287278,-0.01515037077504399,-0.020952012303206608,-0.01356169854177942,-0.016315111267027307,0.011412,0.02,0.155686
26,0.925678846798525,-2.638798508004135,-0.07387117884507288,-0.030931937540137795,-0.015556385703915824,-0.021507372649948234,-0.013910471128302163,-0.016805564418566253,0.01122,0.02,0.154133
27,0.9257305464953738,-2.6424885023513123,-0.07579149641451055,-0.03171295965157084,-0.015972279689022574,-0.022072419225935905,-0.014291016560248452,-0.01714913922497447,0.011033,0.02,0.152597
28,0.9248759148649786,-2.6461853414521865,-0.0777421463568176,-0.03252134159165915,-0.01638758005291313,-0.022632784014759072,-0.014649363925616637,-0.017622117891810098,0.010853,0.02,0.151076
29,0.9251717823362398,-2.6498298961511613,-0.07967693805194084,-0.03333922521175942,-0.016792374228255937,-0.02318701549011817,-0.01501480932315291,-0.01797858879840646,0.010679,0.02,0.14957
30,0.9304555947854427,-2.6530962670719447,-0.08138002906489868,-0.034033847109704016,-0.017142519385329832,-0.023664211593107314,-0.015328309728415798,-0.01836351687059763,0.01051,0.02,0.148078
31,0.9213522951566375,-2.6568850870472893,-0.08339621470803878,-0.03486256609915725,-0.01758661786013889,-0.024215110462082634,-0.015714125357942196,-0.0187936248043652,0.010346,0.02,0.146602
32,0.924347138845449,-2.6603519347895532,-0.08523110095026022,-0.035664320075524614,-0.017946711944013767,-0.024757128137281675,-0.016034494831779038,-0.0192716811685176,0.010187,0.02,0.145141
33,0.927623336606508,-2.6635980924936447,-0.08690203043152168,-0.03636431617865236,-0.018286314710996895,-0.025244845811450322,-0.016333962408046857,-0.019668671823639093,0.010034,0.02,0.143694
34,0.9226323701352931,-2.6671632986679317,-0.08878773321371583,-0.03713274943912542,-0.018687036386091673,-0.025775264242406115,-0.01668371523959367,-0.02006565732249174,0.009884,0.02,0.142261
35,0.9252410759600744,-2.6704604721969174,-0.09049360538584987,-0.03782545529030389,-0.019043933599793263,-0.026255668579072147,-0.017013124761968326,-0.020407858335812736,0.009739,0.02,0.140843
36,0.9216778025241277,-2.6739040857367136,-0.092322424607913,-0.03859574097397835,-0.01942363480193661,-0.026774452306555185,-0.017341829568811504,-0.020857209013170667,0.009599,0.02,0.139439
37,0.9271779120396935,-2.6770864678889565,-0.09399629578543019,-0.039308075496212264,-0.019769870850979816,-0.027254889915096794,-0.01765562349729083,-0.021230677579207637,0.009462,0.02,0.138049
38,0.9237327883681196,-2.6803906583305297,-0.09569673994811495,-0.04002524464870952,-0.020107359570624175,-0.027750773074577927,-0.017970548885836383,-0.021648227383672662,0.009329,0.02,0.136673
39,0.9253999128072705,-2.6835567209978484,-0.09738251131054886,-0.04072320483285707,-0.02046808293758088,-0.028261488477471734,-0.01829761491875962,-0.02205711466808389,0.0092,0.02,0.13531
40,0.9233921975408592,-2.686761456268762,-0.0990823767051698,-0.04142084977086215,-0.020831942139323604,-0.028735317128377277,-0.01862424206698879,-0.02241195551980048,0.009074,0.02,0.133961
41,0.9245470131441826,-2.689854186480808,-0.10069735307653437,-0.042085299690005934,-0.021173464598658327,-0.02921992905140246,-0.018936119982373004,-0.022776571141972395,0.008952,0.02,0.132626
42,0.9256453234998324,-2.6927320118516302,-0.10223474274744097,-0.042730676036993695,-0.021493207805833053,-0.029656051721743716,-0.019214048848730507,-0.023175466764382674,0.008833,0.02,0.131304
43,0.9177849837864804,-2.696021687608859,-0.10398521581213807,-0.04346773256317281,-0.0218575283756965,-0.030167844888390277,-0.01954646938338166,-0.02362002210562396,0.008717,0.02,0.129995
44,0.9274159751906798,-2.698857271603071,-0.10547975015446455,-0.04409761347051062,-0.022151876530093012,-0.030603347930822648,-0.019804201301551774,-0.02403190310221765,0.008604,0.02,0.128699
45,0.9250365736770418,-2.7017107010097137,-0.10699393916748245,-0.04472683413338536,-0.02246905817273644,-0.03105054478525331,-0.020099618726140897,-0.024344311781009355,0.008494,0.02,0.127416
46,0.927055547167279,-2.7044635102533467,-0.10842063137315348,-0.04532502752244304,-0.02275690270804432,-0.0314778462167545,-0.020381831548934724,-0.024651048559126195,0.008387,0.02,0.126145
47,0.9231310879004812,-2.7073611653402287,-0.10992262067485889,-0.04595039830903767,-0.023062042423866457,-0.03191029711451707,-0.020660519838258503,-0.02494541381344823,0.008283,0.02,0.124888
48,0.9182750100173634,-2.7104631997567643,-0.11157502538256572,-0.04664052963927119,-0.02339851171582594,-0.03237021450735128,-0.020955614285029303,-0.02533262021630389,0.008181,0.02,0.123643
49,0.9215936790787593,-2.713420002445706,-0.11316393015376422,-0.04729583024688142,-0.02375478192550666,-0.03284829878865568,-0.021274569873881675,-0.025645922943209658,0.008081,0.02,0.12241
50,0.9276352224478494,-2.7159585250385696,-0.1144816752321073,-0.04782388400224511,-0.02403464622890332,-0.033199640935893934,-0.021518883033799913,-0.02594548649077106,0.007984,0.02,0.12119
51,0.9207158114267454,-2.71881328495368,-0.11600996128323059,-0.04846156170924393,-0.024362242929027514,-0.03364675261249827,-0.021824788920716882,-0.02625370069444558,0.007889,0.02,0.119982
52,0.930888480288794,-2.7212073141752224,-0.11725272200208908,-0.048982570905510114,-0.024611896127770115,-0.034014566483031035,-0.022056558064320657,-0.026503698098187475,0.007797,0.02,0.118786
53,0.9199899631983941,-2.7240058839491788,-0.11872123981238986,-0.049600140596982846,-0.024906711762409373,-0.034443671534261935,-0.022327575918641582,-0.02690134862738261,0.007706,0.02,0.117601
54,0.9229930191972077,-2.7266440888134027,-0.1201250641825665,-0.050198638458261766,-0.02518562753635422,-0.034840885208805,-0.02258340597196428,-0.02723946285272162,0.007618,0.02,0.116429
55,0.9228334589299171,-2.729301988305793,-0.12151151126764666,-0.05077549971543533,-0.02548105802956114,-0.035256850378510125,-0.022838315429060688,-0.027505408038052535,0.007531,0.02,0.115268
56,0.9272328212054702,-2.7317340567582544,-0.12278597415005371,-0.0513158100458,-0.025731356052786227,-0.03563180194645183,-0.023061236909475525,-0.02781945318991432,0.007447,0.02,0.114119
57,0.92197583010677,-2.734367666791884,-0.12414946039182218,-0.05189357467160401,-0.02599989457400607,-0.03602953951411987,-0.023309253070031066,-0.02817102447463363,0.007365,0.02,0.112982
58,0.9259937809899992,-2.7368589895891207,-0.125458298061277,-0.05242757691813639,-0.026275097498388973,-0.036406934161406695,-0.02356120930655954,-0.028420797864433727,0.007284,0.02,0.111855
59,0.9225614799061556,-2.7393668375295976,-0.1267806508786269,-0.05297331239835563,-0.026550956613930757,-0.0367805797781289,-0.023820568933771737,-0.02870044930044581,0.007205,0.02,0.11074
60,0.9304600153622941,-2.7414995329323184,-0.12788944485795448,-0.05344273078175939,-0.02676977864314834,-0.037117914761151304,-0.02402428122810907,-0.02891204188492304,0.007128,0.02,0.109636
61,0.9218271563624195,-2.74403667446302,-0.12924381713947405,-0.05400028464100154,-0.027052961240449154,-0.037496963922937165,-0.024284147155781116,-0.029201429946706044,0.007052,0.02,0.108543
62,0.9230976657959046,-2.746510121487343,-0.13053927982222344,-0.054545899835508733,-0.027314481400043025,-0.037877426320418725,-0.02451200786176712,-0.029511682377370514,0.006978,0.02,0.107461
63,0.9241235043092628,-2.7489174290497314,-0.13181268361096532,-0.05509061600436372,-0.027564970379868648,-0.03824159699948562,-0.024740222035117897,-0.029820093072646922,0.006905,0.02,0.10639
64,0.9274022304335467,-2.751180154980442,-0.13299165199559307,-0.0555788900499358,-0.027813605868073545,-0.038573451416932636,-0.02496083581035085,-0.03005668864002625,0.006834,0.02,0.105329
65,0.9188930335719326,-2.7537037982378876,-0.13433981366388453,-0.05613961090662797,-0.028098821441767105,-0.03896232444075938,-0.02521455143226701,-0.030358784515543916,0.006765,0.02,0.104279
66,0.9230575557681655,-2.7560331076489324,-0.13556294462807736,-0.05665611596321577,-0.0283496656146135,-0.039316701546129956,-0.025432484480337338,-0.030674340459255284,0.006697,0.02,0.10324
67,0.9226357164546712,-2.7583925607512443,-0.1368006693711242,-0.057165159039030314,-0.028615505285639085,-0.03967827316111479,-0.02567495052973735,-0.03087857651714021,0.00663,0.02,0.10221
68,0.9216927131418595,-2.7607254454145638,-0.13803885062247653,-0.05767823369102672,-0.028868500036978183,-0.04004370042398013,-0.025913553947956046,-0.03116214132319277,0.006564,0.02,0.101191
69,0.9210901228567119,-2.763035963146305,-0.13927093749467892,-0.05819073112941845,-0.02913075370383384,-0.040396508168853526,-0.02615854706491305,-0.03140017086565312,0.0065,0.02,0.100183
