episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8751442380052511,-2.505770987578966,-0.003494061237600371,-0.0016833879550767394,-0.0006758779239372579,-0.00121673606547174,-0.0005810890365140023,-0.0015483354610327674,0.02,0.02,0.2
1,0.9246082453426592,-2.5124584127652856,-0.007047570376380324,-0.003146578892841724,-0.0014764868059151243,-0.0021979025842665846,-0.0012812009588598341,-0.0020538469350001413,0.019416,0.02,0.198006
2,0.9237200107224233,-2.518945547800121,-0.010470494086659654,-0.00454544936928815,-0.002182266327471873,-0.003193154160806415,-0.001932242850580441,-0.0026984962804150153,0.018864,0.02,0.196032
3,0.9219212688002945,-2.5255769195444118,-0.01402510229413081,-0.006005917278074943,-0.002967344050963449,-0.0042386785093809585,-0.0025980921957534904,-0.0033118851768621825,0.018344,0.02,0.194078
4,0.9172851368365251,-2.532507281639067,-0.01770692750536711,-0.007582648679735496,-0.0037136391837854187,-0.0053669262777647705,-0.0032867827707970215,-0.004305164698026353,0.017851,0.02,0.192143
5,0.9206086170533293,-2.538799006366048,-0.021049824773866146,-0.0089818763861382,-0.004434590636439827,-0.006360749670667645,-0.003942537430880918,-0.005033485199525246,0.017384,0.02,0.190228
6,0.9238718160516511,-2.544671586743758,-0.024138458612678125,-0.010265549781846062,-0.0050938426828590925,-0.007259150053810541,-0.0045243374585428,-0.005681397649380124,0.016941,0.02,0.188331
7,0.9236395895753478,-2.550480769922972,-0.027180616574883527,-0.011533540318622134,-0.005733850052972738,-0.00814492187870771,-0.005096588682458112,-0.0063748536160926255,0.016519,0.02,0.186454
8,0.9263830725148776,-2.5558345440237265,-0.02997672386289534,-0.01270973792363829,-0.0062921083888055245,-0.008981168384744352,-0.005623412437158707,-0.0071012391539902915,0.016119,0.02,0.184595
9,0.9277132693469361,-2.5610213027573874,-0.03271979784406006,-0.013856467021607215,-0.006869118931721332,-0.009789174987997798,-0.006155477644173879,-0.007681683151402996,0.015737,0.02,0.182755
10,0.9084863040155854,-2.5676220145752024,-0.03629272850147006,-0.015396868027584323,-0.0075791931663893326,-0.01082623426877721,-0.006838881538968302,-0.008656009002990173,0.015373,0.02,0.180933
11,0.9228514638008287,-2.5729990085213643,-0.0391572508982517,-0.016596257563708687,-0.00819402479128781,-0.011626915761560155,-0.007355307979073987,-0.009347374119839522,0.015025,0.02,0.179129
