episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,greedy_sl
1,0.007569,0.001,0.5,0.9159,906,14,23.6,0.002902,-2.71591,26.6,0.0,
2,0.005634,0.000999,0.4994,0.9091,1872,29,48.4,0.004927,-2.74694,23.8,0.0,
3,0.008715,0.000998,0.4988,0.9241,2790,43,75.5,0.007347,-2.54155,24.5,0.0,
4,0.006133,0.000997,0.4982,0.9154,3735,50,103.0,0.014204,-2.67934,25.5,0.0,
5,0.007819,0.000995,0.4976,0.9115,4650,50,129.9,0.023774,-2.85591,24.0,0.0,
6,0.009581,0.000994,0.497,0.9183,5577,50,156.3,0.026997,-2.57268,24.3,0.0,
7,0.007302,0.000993,0.4964,0.9106,6497,50,183.5,0.034547,-2.85267,23.8,0.0,
8,0.00653,0.000992,0.4958,0.915,7456,50,210.3,0.030153,-2.61858,24.8,0.0,
9,0.007322,0.000991,0.4952,0.9152,8413,50,237.3,0.026615,-2.66925,27.9,0.0,
10,0.009207,0.00099,0.4946,0.9181,9356,50,288.4,0.030938,-2.56136,25.7,0.0,0.8315
11,0.009013,0.000989,0.494,0.9049,10000,50,315.1,0.034367,-2.97943,21.8,0.0,
12,0.007201,0.000988,0.4934,0.9163,10000,50,341.7,0.028067,-2.61059,24.0,0.0,
13,0.004499,0.000986,0.4928,0.9182,10000,50,367.7,0.019722,-2.54588,27.4,0.0,
14,0.006503,0.000985,0.4922,0.914,10000,50,394.6,0.022686,-2.83516,24.4,0.0,
15,0.006468,0.000984,0.4916,0.9146,10000,50,420.7,0.02006,-2.68474,23.4,0.0,
16,0.006426,0.000983,0.491,0.9161,10000,50,446.0,0.016777,-2.75314,25.5,0.0,
17,0.00416,0.000982,0.4904,0.9091,10000,50,472.5,0.019239,-2.76446,25.6,0.0,
18,0.006765,0.000981,0.4898,0.9195,10000,50,498.6,0.020761,-2.63022,24.2,0.0,
19,0.004658,0.00098,0.4892,0.914,10000,50,525.0,0.018042,-2.6559,24.9,0.0,
20,0.004823,0.000979,0.4886,0.9133,10000,50,575.8,0.020762,-2.70848,23.8,0.0,0.8455
21,0.004992,0.000977,0.488,0.9073,10000,50,601.8,0.022225,-2.92752,21.8,0.0,
22,0.006113,0.000976,0.4874,0.9052,10000,50,627.5,0.022653,-3.04732,19.8,0.0,
23,0.004028,0.000975,0.4868,0.9084,10000,50,654.1,0.015662,-2.74959,23.9,0.0,
24,0.004842,0.000974,0.4862,0.9113,10000,50,680.6,0.014174,-2.81837,24.8,0.0,
25,0.003703,0.000973,0.4856,0.9188,10000,50,707.1,0.01563,-2.54598,22.8,0.0,
