episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
15,0.9188622603853959,-0.6790782767992302,-0.3026462661218948,-0.11721514392424957,-0.22244339153113193,-0.11747269330874564,-0.019201257411415894,-0.028515505763220365,0.034447,0.05,0.172092
16,0.9180721274060649,-0.7133455753456288,-0.31839745065671876,-0.12268912203807046,-0.23411602437566398,-0.1234233491005849,-0.020132563150796833,-0.029899015894534108,0.033747,0.05,0.170376
17,0.9204708584553546,-0.7459695857353621,-0.33275368174544684,-0.1280846261711917,-0.24502980327156296,-0.12891325142724674,-0.020903023424122386,-0.031249152561313484,0.033075,0.05,0.168678
18,0.9160721429523937,-0.7797864120957199,-0.347846945583094,-0.133420470820643,-0.25592059206672985,-0.13431171939288794,-0.021748777767949194,-0.03297826166333627,0.03243,0.05,0.166996
19,0.9123277442128844,-0.8152744041374272,-0.3633509331264348,-0.1398706267177025,-0.26741899881359454,-0.1405214515466502,-0.022735083622708978,-0.03417570773604209,0.031809,0.05,0.165332
20,0.9212805776842942,-0.8458411382641823,-0.3766692722191744,-0.14513096606708595,-0.2773260341917926,-0.14562705551137034,-0.023627459412954587,-0.03540056159297039,0.031211,0.05,0.163683
21,0.9180617038959277,-0.876434893752146,-0.39053756184149,-0.14999139327801503,-0.28770792463629036,-0.15106818243133965,-0.024461441996460644,-0.036887523234427774,0.030635,0.05,0.162052
22,0.9176830798574512,-0.908428321967207,-0.4043971687053774,-0.1557266578678341,-0.29820436254511445,-0.156902867468851,-0.025346373517306182,-0.03804798432340984,0.03008,0.05,0.160436
23,0.9135169762972454,-0.9403233476254903,-0.4182926409510665,-0.16136853590838696,-0.30809540013924647,-0.16277510164044934,-0.02611547240757172,-0.039288073364939495,0.029545,0.05,0.158837
24,0.915207986688852,-0.9705817082795922,-0.4313527484576492,-0.16684242963170623,-0.31746806117600224,-0.1683441020509692,-0.026968276053237004,-0.04047353622968964,0.029029,0.05,0.157253
25,0.9111908613020623,-1.0028068267376395,-0.4457121770470271,-0.1723132113771196,-0.3280433725973114,-0.1737643253279391,-0.027777605030773353,-0.04183748184625087,0.028531,0.05,0.155686
26,0.9214549111632585,-1.0287262284078393,-0.4572066824076502,-0.17637748622428276,-0.3367221377853292,-0.17794479578478503,-0.028378172071464945,-0.04314761517773956,0.028049,0.05,0.154133
27,0.9260467283498636,-1.0536650165979637,-0.46801437449213146,-0.18058047295668658,-0.345321764862996,-0.18215431185919403,-0.02890483089365576,-0.044168632660628114,0.027583,0.05,0.152597
28,0.9193572810633465,-1.080675949491913,-0.47971513885026584,-0.18538671785089628,-0.35373000420004386,-0.18652196083861386,-0.02949973705015332,-0.045118010431203684,0.027132,0.05,0.151076
29,0.9209549249869798,-1.1069506896932295,-0.4914237220678632,-0.1897386481952345,-0.3623500986510924,-0.19098485064849138,-0.030109709309432776,-0.04606412232756786,0.026696,0.05,0.14957
30,0.919507061379685,-1.1329770653672173,-0.5028051890021722,-0.19409387435593628,-0.37028427772142114,-0.19530600168026196,-0.030649968572496,-0.047238215831206236,0.026274,0.05,0.148078
31,0.9214029050053141,-1.1581119931592854,-0.5138983264854295,-0.19831854764242773,-0.3783299025057937,-0.1998164060884306,-0.03126324604302134,-0.04815220349569079,0.025865,0.05,0.146602
32,0.9166624627957423,-1.1848551729339578,-0.5259477591637997,-0.20282197405841612,-0.3870306694149557,-0.20421662916263675,-0.031884297786829836,-0.04918809709946258,0.025468,0.05,0.145141
33,0.921003623065723,-1.2091917105164913,-0.5363874750776476,-0.20728888867901965,-0.39502532702912463,-0.20848384836081965,-0.032549266260538334,-0.05001294241046721,0.025084,0.05,0.143694
34,0.912560547853683,-1.2359434008894374,-0.5481548769455403,-0.21194268157278207,-0.4036838957424079,-0.2132233910172107,-0.0332820098214301,-0.0509949400787218,0.024711,0.05,0.142261
35,0.9201827102013196,-1.2600585973157128,-0.558457872006658,-0.21627196568457335,-0.41106871201608575,-0.2173536880510174,-0.033913954081159374,-0.05180997864437248,0.024349,0.05,0.140843
36,0.9131740568266181,-1.286056990749469,-0.5700236911260128,-0.22054698620424684,-0.41959099346027645,-0.22174569829217058,-0.03446490839056853,-0.052856259399901816,0.023997,0.05,0.139439
37,0.918452762682688,-1.3093644037891263,-0.5802507460669083,-0.22469481190761625,-0.4272532646934361,-0.22620539449218657,-0.0350105384114681,-0.05377966041871728,0.023655,0.05,0.138049
38,0.9150055278233776,-1.3342398046892543,-0.5912470789541114,-0.22891770352714513,-0.43533101826176945,-0.23044687040149206,-0.035555954646388735,-0.05480517905065222,0.023323,0.05,0.136673
39,0.9187933867668265,-1.3577910120915802,-0.6017256402174153,-0.23283148067270673,-0.4433244952428968,-0.23458477583365286,-0.03623009931815047,-0.05567947518208509,0.023,0.05,0.13531
40,0.9222284066184284,-1.3791651724283513,-0.610969560510605,-0.23642881919164146,-0.4499682929893067,-0.2381416031423978,-0.03683297302600636,-0.056576138804321274,0.022686,0.05,0.133961
41,0.9153023834336236,-1.4022715665098575,-0.6215892722142088,-0.23999269188091116,-0.45808963204111314,-0.24192010347930937,-0.037490859141126355,-0.057604886690646555,0.02238,0.05,0.132626
42,0.9178343949044586,-1.4244316070237626,-0.6317012578815782,-0.24337234635546132,-0.46595031947352405,-0.24562430947983452,-0.037967289671760364,-0.05856035198186725,0.022083,0.05,0.131304
43,0.9191984701089216,-1.447019048597306,-0.6417679445234494,-0.24720676129537308,-0.47330614066776167,-0.24937960304914816,-0.03852728170912098,-0.059486366210322085,0.021793,0.05,0.129995
44,0.9175592993043332,-1.4690193805630614,-0.6519390815389035,-0.2505461228459077,-0.4809576618085973,-0.2529722174983608,-0.039191503755551846,-0.060507938840092736,0.021511,0.05,0.128699
