episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.046806931473963684,-0.02331223235496603,-0.008627917217144362,-0.01672544414016031,-0.008255111616091255,-0.0025260611232348347,-0.002408032843537004,0.05,0.05,0.2
1,0.9206570717600376,-0.09491561129470667,-0.04446142155781169,-0.016858741785877863,-0.03285146697921751,-0.016585376308509373,-0.0038148815297327082,-0.003946218020575171,0.048539,0.05,0.198006
2,0.913399678327302,-0.14605499357244417,-0.06703803157010788,-0.025055661761814944,-0.04942467117500628,-0.02540437460451222,-0.005209346900378084,-0.006300150673736118,0.047161,0.05,0.196032
3,0.9253676409081023,-0.18932434230193898,-0.08520799856776327,-0.03337474970462992,-0.06311791597102702,-0.03311160430728306,-0.006281024476296854,-0.007630155938613617,0.045859,0.05,0.194078
4,0.9171526075144125,-0.2369531231870206,-0.1068807075559529,-0.04085355695492104,-0.07880374860961677,-0.04087921960623599,-0.007644075879705219,-0.009824754753239597,0.044627,0.05,0.192143
5,0.9120719092096012,-0.285259281040182,-0.12847033903310862,-0.04902499555624491,-0.09436690846937487,-0.048736541312425274,-0.00871366876373854,-0.011667417386432653,0.043459,0.05,0.190228
6,0.9177525665447313,-0.329439494003292,-0.14762968993980086,-0.05670657848554825,-0.10847167148582298,-0.056435270915457074,-0.009770747442052077,-0.013535776524800498,0.042351,0.05,0.188331
7,0.9153206233366252,-0.3742544037998722,-0.16787487610202767,-0.06407930807453777,-0.1236261990368529,-0.06413247244079998,-0.011117620409568568,-0.015490333092915375,0.041298,0.05,0.186454
8,0.9230430138519184,-0.41302806529103225,-0.18510420073095268,-0.07086745987659811,-0.13585270372167751,-0.07073730730039286,-0.01204629769597402,-0.017214786241840946,0.040296,0.05,0.184595
9,0.9192731055775556,-0.45255362297125734,-0.20247639080525193,-0.07797267633303318,-0.1486163960781928,-0.07811578037989007,-0.01297326557440666,-0.018715366350008072,0.039342,0.05,0.182755
10,0.905748786591203,-0.49837929508068,-0.22370984636874286,-0.08509233280822648,-0.16484297788114183,-0.08578594590809926,-0.01429198649136017,-0.02113859363100673,0.038432,0.05,0.180933
11,0.9194825320890746,-0.5371704465410799,-0.2407445905865432,-0.09210094595698574,-0.176943612089739,-0.09239314638492674,-0.015363085712779919,-0.022788761207655647,0.037563,0.05,0.179129
12,0.9229407599716781,-0.5723176763025802,-0.25574648310682113,-0.0985443716118324,-0.18807307588229807,-0.09882470004675731,-0.01632231639217123,-0.02415605179619315,0.036732,0.05,0.177343
13,0.9203603785319281,-0.6071848492886334,-0.2713497302902795,-0.10447793378786846,-0.19909627322889473,-0.10494601048056834,-0.01716544236661087,-0.025614335107093298,0.035938,0.05,0.175575
14,0.9185217493415645,-0.643126125122103,-0.28682557590229796,-0.11098979693244151,-0.21042578911773446,-0.1112353322907653,-0.01810627359807354,-0.026916996060628168,0.035176,0.05,0.173825
