episode,service_level,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty
0,0.918971577017115,-0.01960909440302898,-0.1657226886060081,0.2117794203393766
1,0.91127215379994,-0.024992670908495575,-0.3041961733867413,0.007013163670513758
2,0.9305597465298733,-0.02277517543159348,-0.3972096451835062,-0.14851313503048888
3,0.9060070938042412,-0.02722591995186606,-0.5332897218159035,-0.3636014829374114
4,0.9096312561520405,-0.014026616773478714,-0.652329603028147,-0.5319881422399528
5,0.9163795083850218,-0.026947327266874023,-0.7473234011646414,-0.6769181071407263
6,0.9241324861836911,-0.031487416962232694,-0.8262352477718952,-0.8265714271808823
7,0.9148471615720524,-0.030905709333838325,-0.9035994582861077,-0.9675683974846444
8,0.9079250122590623,-0.019190082900951852,-0.9900599901984118,-1.1340378525022141
9,0.9234208631730514,-0.00806676606058374,-1.0439955392764917,-1.2370569201430421
10,0.9193737917440582,-0.018898576751492653,-1.1181577998537338,-1.3464365897827726
11,0.9201574682770218,-0.03937615103278504,-1.1450712617493057,-1.418368509448523
12,0.9196972563859981,0.015320656050094313,-1.1798421195157902,-1.47562215781967
13,0.9224559408754974,-0.01717083507579481,-1.225324749880213,-1.5485070637867104
14,0.9151732377538829,-0.005741388723644016,-1.2630110134444124,-1.6292704239148206
15,0.9172806684390429,-0.035696975826441796,-1.2928156137415852,-1.696900104854212
16,0.9099170737248665,-0.040569267559500466,-1.3334382714119901,-1.7715978529211902
17,0.9119425116915707,0.0001093621119719363,-1.3766914627967486,-1.8317991393040016
18,0.9101724718470575,-0.014091009867010935,-1.38425728271213,-1.889049878709176
19,0.922053375670976,-0.00020140750969623467,-1.4154086705156788,-1.9454438176339928
20,0.9104158860996628,-0.011389991072638904,-1.4476001040384028,-2.0021014067176863
21,0.9189939882809528,-0.004094512578549172,-1.4689652090745031,-2.0267932236075383
22,0.9175380493432069,-0.00045458901050753607,-1.486085375391544,-2.0676427638375827
23,0.9224939331715513,0.005474932838008702,-1.5089338583190202,-2.0795730905687484
24,0.9157488574211433,-0.018424353136565347,-1.5226357321871424,-2.0843131590912276
25,0.9192610331850838,0.030395557214065807,-1.542821005158747,-2.0806286313148616
26,0.9167771004505698,0.023038709500784238,-1.546177298183604,-2.0597383898905246
27,0.9094171419937295,-0.01171498742393084,-1.5783977327753174,-2.0946096819224405
28,0.9242102065613609,0.003527730282258932,-1.5855391662979375,-2.094045687710433
29,0.9189574883581193,0.020313547030498584,-1.6037175543229096,-2.094303846441024
30,0.9241135535181708,-0.0035801693208371414,-1.6098148018101337,-2.0871882106384363
31,0.9227727204894792,-0.004343888596592251,-1.612176304549339,-2.087655884239462
32,0.9171765239066395,0.0033209481940517866,-1.6116920240247412,-2.1024658783400882
33,0.9167692594665174,-0.0052858536585383325,-1.628813792588733,-2.1256698857624294
34,0.9264895635673625,-0.004239208606806601,-1.6305049880665285,-2.1342632198266633
35,0.913888784023557,0.011127667964058854,-1.6427739134888655,-2.142851046694995
36,0.9246480195231838,-0.0009523571371714153,-1.6387484818249136,-2.1352561104554515
37,0.9216175359032501,-0.016958870976497745,-1.6457482787115587,-2.131717592085651
38,0.9045133673775909,-0.008449503405745885,-1.66974431615407,-2.154582858675496
39,0.9051420433250881,-0.014338458005384065,-1.6867810350161099,-2.180178917040921
40,0.9094685953846735,-0.007487799956801326,-1.700919621198068,-2.2034426762931356
41,0.9047272727272727,-0.011040410308313448,-1.7125481099538225,-2.2229692846283724
42,0.9194722474977252,-0.002274970895496029,-1.7121385997260097,-2.226693426154084
43,0.9113804561244525,-0.0072629843650466736,-1.7197211900534874,-2.2298445657021437
44,0.9114616992967116,0.0007469894721970215,-1.7254862548148986,-2.2400490036751535
45,0.9171380522855832,-0.009636922380417705,-1.7241530132520897,-2.2416162542206752
46,0.9065445223554248,-0.0002481657595079557,-1.7297506026431226,-2.261411833856029
47,0.9180383569918453,0.014969073036778928,-1.7278132938529798,-2.254477193108095
48,0.917155756207675,0.004316800100504958,-1.7290709102700748,-2.2562722013450194
49,0.913406975864417,-0.008605947851828473,-1.7376135971902995,-2.2627998007665675
50,0.919522186913741,0.029867962912014337,-1.7352260921656648,-2.2530426396443484
51,0.919569827325053,0.02573932952315689,-1.7289551009134145,-2.2255647403485255
52,0.9116388289209559,-0.01034855457625719,-1.7255666126178184,-2.219239280774317
53,0.9232588699080158,0.01191509305253434,-1.7293352576400087,-2.2145934180738025
54,0.922228161270617,0.0050715143718741825,-1.7294161829489796,-2.2115686683522635
55,0.9224690621738483,0.01968074132636212,-1.73296791729181,-2.2009576878883026
56,0.9125818504679812,0.0015455449284421815,-1.7368134072865136,-2.202953719001081
57,0.9225035583189752,-0.005595907449240925,-1.739069911672863,-2.2035592713032788
58,0.9156662891657229,-0.023885609858902854,-1.7417721539536284,-2.208663544349899
59,0.91629392971246,-0.011415093864741186,-1.7487444560774925,-2.215021081834194
60,0.9084539050071965,-0.028388874139576803,-1.757439055104443,-2.2263208089751014
61,0.9124330800044925,-0.030980008017949666,-1.759857624952282,-2.2382093154662077
62,0.9133867147851584,-0.01340311500949687,-1.766020448361416,-2.250866962961412
63,0.9193062120817359,0.0072463752293361475,-1.7681576278399274,-2.25040236343543
64,0.9185049249091795,0.003559766701647442,-1.7691202274767732,-2.24643876598321
65,0.9159318712789208,-0.012526120741769361,-1.7732159735998139,-2.2482831145799107
66,0.9199714049213635,-0.0047012867674066485,-1.7713399886763217,-2.248886830744255
67,0.9160770736113202,-0.003592358199973676,-1.7757505205697666,-2.2521008292505273
68,0.9234396048495734,0.01102971325759978,-1.7759775605907135,-2.246071636974417
69,0.9056432038834952,-0.009430298134641383,-1.7814417758598653,-2.2502825803067994
70,0.9146072542012014,-0.0053279226936812875,-1.7850107407209739,-2.2520646944280234
71,0.9292092563742068,0.005151579143356164,-1.7831799688294778,-2.2483845921203995
72,0.9217981469478018,-0.0017258815761924573,-1.783527947335054,-2.243169158416497
73,0.9151469762216813,-0.019016484562817744,-1.7856238934691093,-2.2486984385708464
74,0.9230275575688939,-0.011987150407684376,-1.788975640115298,-2.2498188141598505
75,0.9219344867880432,-0.015106997453671549,-1.7892018042824178,-2.2532549797434753
76,0.9259372142639439,-0.004645664444725269,-1.7873830970220963,-2.2505514212241873
