episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9439898041320096,-2.643509876547551,-0.073182790517566,-0.027594066866981164,-0.01582381171680731,-0.012586152052444847,-0.004958664672820078,-0.019567783142814623,-0.014392019601468123,-0.04009873453369278,0.05,0.05,0.0,0.97,100,15,0,15
1,0.9423902691684349,-2.786134077911104,-0.14616418397922967,-0.05558973136383209,-0.031588185120003325,-0.025709990686899872,-0.0089698395424209,-0.03892072935571548,-0.028073017565816098,-0.07612565210037141,0.048539,0.05,0.0,0.97,100,13,1,14
2,0.9360471936851631,-2.940692336408852,-0.22636013255595924,-0.08680816900791274,-0.04930616271208993,-0.0410929945419956,-0.014696028964292163,-0.06139209580851945,-0.044754482111943425,-0.11840469620893142,0.047161,0.05,0.0,0.97,100,13,1,14
3,0.9425037242856904,-3.063030796672827,-0.2901545693896272,-0.11193322030114446,-0.06328069716727447,-0.053397066954415394,-0.018925435478136337,-0.07911798121261063,-0.05782217733664985,-0.14938735712274123,0.045859,0.05,0.0,0.97,100,14,1,15
4,0.9407115279457821,-3.1955034911977243,-0.358404890976678,-0.13882732131459846,-0.07797643616060367,-0.0662315216033394,-0.02259047574668111,-0.09767744555769836,-0.07167505670687375,-0.18874417784151365,0.044627,0.05,0.0,0.97,100,13,1,14
5,0.9464506844271897,-3.3080189327574563,-0.4147806664443971,-0.16059999651489518,-0.09012045498383289,-0.07637546214158841,-0.02595414974264797,-0.11334020674406882,-0.08343246203411263,-0.2176391347092981,0.043459,0.05,0.0,0.97,100,13,1,14
6,0.9424671300561092,-3.394436585741855,-0.45861964852361187,-0.18067466472181867,-0.09918481238890513,-0.08683692781895384,-0.02853142857339087,-0.1290811888332932,-0.09512577716786134,-0.23656355586707953,0.042351,0.05,0.0,0.97,100,14,1,15
7,0.9392428285523683,-3.5105521453413817,-0.5199209868826946,-0.20516745548638396,-0.11275661672602447,-0.09894346479777073,-0.0324756306640086,-0.1458333651649914,-0.10870266485769971,-0.26731437015618176,0.041298,0.05,0.0,0.97,100,14,1,15
8,0.9421922176612274,-3.620268849730802,-0.5755828137554045,-0.22723862950333126,-0.12525700675348914,-0.11010070913955629,-0.03607158403374944,-0.16258519601461532,-0.12140555284185474,-0.29558618850211565,0.040296,0.05,0.0,0.97,100,13,1,14
9,0.9431048678440005,-3.7257363460793074,-0.6293667909327649,-0.24827573571531408,-0.1369670023339479,-0.11991552879589386,-0.03936413056047956,-0.17817234237058566,-0.13280300655076963,-0.32261991166465576,0.039342,0.05,0.0,0.97,100,13,1,14
