,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
rebalancing_imbalance,1.0,0.5182588419614582,0.7711534179864625,0.38487030370155956,0.6333325515234686,0.5017951614756585,0.5377829584752547,0.13847554848153473,0.12186363803429405,0.2998273282960298,0.3715720664034088
squared_starvation_penalty,0.5182588419614582,1.0,0.1799419908519233,0.6910214017265178,0.2697411095019862,0.813079308465741,0.24764902690158686,0.34145772898078225,0.42588505538841065,0.2321559884154754,0.42260725214711464
squared_congestion_penalty,0.7711534179864625,0.1799419908519233,1.0,0.21339047885654838,0.8523140720704214,0.2923224031469634,0.7353325141870071,0.0550423810126442,0.04392278499971368,0.30817000518851007,0.37970215158806725
starvation_severity_max,0.38487030370155956,0.6910214017265178,0.21339047885654838,1.0,0.2610376129023982,0.8239596514209623,0.22792235405126446,0.2645741804521816,0.2885868034348604,0.2795673317827157,0.3171202085121209
congestion_severity_max,0.6333325515234686,0.2697411095019862,0.8523140720704214,0.2610376129023982,1.0,0.33097844986055375,0.8218711764244739,0.1196828685078651,0.14782392884995013,0.28274994435762035,0.4537254843747322
starvation_count,0.5017951614756585,0.813079308465741,0.2923224031469634,0.8239596514209623,0.33097844986055375,1.0,0.29300018232544917,0.2822307655767326,0.31743275568704876,0.314955129240272,0.3869271626886439
congestion_count,0.5377829584752547,0.24764902690158686,0.7353325141870071,0.22792235405126446,0.8218711764244739,0.29300018232544917,1.0,0.09412084375848628,0.11662245498574032,0.23367822551631867,0.40062585494865766
gross_starvation_risk,0.13847554848153473,0.34145772898078225,0.0550423810126442,0.2645741804521816,0.1196828685078651,0.2822307655767326,0.09412084375848628,1.0,0.7609225595490555,0.7531849067184476,0.3813606026176053
gross_congestion_risk,0.12186363803429405,0.42588505538841065,0.04392278499971368,0.2885868034348604,0.14782392884995013,0.31743275568704876,0.11662245498574032,0.7609225595490555,1.0,0.41201157954860707,0.6769101806437411
net_starvation_shortfall,0.2998273282960298,0.2321559884154754,0.30817000518851007,0.2795673317827157,0.28274994435762035,0.314955129240272,0.23367822551631867,0.7531849067184476,0.41201157954860707,1.0,0.31314187888470235
net_congestion_shortfall,0.3715720664034088,0.42260725214711464,0.37970215158806725,0.3171202085121209,0.4537254843747322,0.3869271626886439,0.40062585494865766,0.3813606026176053,0.6769101806437411,0.31314187888470235,1.0
