rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.46953174,0.18510118,0.09268008,0.9625,0.63295454,0.05970149,0.04477612,0.28087488,0.2446732,0.07012952,0.023630267
0.49390635,0.19751249,0.10060496,1.0,0.7,0.07462686,0.029850746,0.28953832,0.28919923,0.0669788,0.027569553
0.49005774,0.19739695,0.10425184,0.9785714,0.6666667,0.11940298,0.029850746,0.29671583,0.3036902,0.06793679,0.032872576
0.49903783,0.19639504,0.10711231,0.9269231,0.6666667,0.104477614,0.029850746,0.33069474,0.33272088,0.07930335,0.036382757
0.52469534,0.22348714,0.11569758,0.925,0.69,0.08955224,0.014925373,0.2907449,0.2615407,0.0540682,0.03920489
0.5067351,0.22149383,0.113801315,0.9785714,0.69,0.08955224,0.014925373,0.34623954,0.28600383,0.05381376,0.035346404
0.5157152,0.2239886,0.11318793,1.0,0.7326923,0.13432837,0.0,0.34203446,0.29072353,0.057450384,0.030714465
0.57087874,0.24073774,0.15401788,1.0,0.8141026,0.13432837,0.029850746,0.3373729,0.32786357,0.061033905,0.05777977
0.55676717,0.2374816,0.14347349,1.0,0.77521366,0.11940298,0.014925373,0.362549,0.37416676,0.11009751,0.049388014
0.5593329,0.23806378,0.14327043,1.0,0.79333335,0.104477614,0.014925373,0.34497887,0.36967254,0.09876713,0.04854207
0.5516357,0.22766429,0.14600162,1.0,0.8423077,0.11940298,0.029850746,0.32642803,0.3650849,0.09660508,0.049920168
0.55291855,0.21602416,0.1456884,1.0,0.8714932,0.08955224,0.04477612,0.31193843,0.35807168,0.094180755,0.056448102
0.5311097,0.21132004,0.14077508,0.985,0.9116667,0.08955224,0.07462686,0.3182832,0.33932748,0.09270288,0.056622148
0.5426555,0.20825687,0.14403337,0.985,0.91615385,0.07462686,0.07462686,0.2994014,0.338354,0.07827867,0.065301605
0.5875561,0.2397269,0.1454583,1.0,0.9111111,0.104477614,0.05970149,0.2374312,0.34810466,0.04238616,0.05787016
0.59910196,0.23661652,0.14621015,0.985,0.92115384,0.08955224,0.07462686,0.21572262,0.31810993,0.035125982,0.053552456
0.5875561,0.23731402,0.1124618,1.0,0.8233333,0.104477614,0.014925373,0.1816027,0.26706043,0.03606429,0.023608305
0.6221937,0.26085824,0.12582676,1.0,0.89666665,0.14925373,0.05970149,0.18545489,0.21941508,0.042446095,0.028842583
0.62475944,0.2546383,0.13327338,1.0,0.90115386,0.14925373,0.05970149,0.17416221,0.1987157,0.042709276,0.032939665
0.6452854,0.2675469,0.13109174,1.0,0.94,0.14925373,0.07462686,0.17484756,0.17319947,0.043136183,0.027904188
0.629891,0.2558694,0.118822336,1.0,0.8666667,0.14925373,0.05970149,0.17063339,0.15205194,0.033472616,0.026217677
