episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max
0,0.9019869910006237,-7.931427070638536,-5.3639697629955485,-30.214307394783756
1,0.927249827570696,-22.961282950955297,-15.670182856982658,-88.57495909253929
2,0.9338563023711892,-31.80961020648446,-21.869966683287178,-122.15935088196085
3,0.9355857086482713,-37.091557565197185,-25.582699375127966,-139.9286402214963
4,0.9243734950503879,-40.67247213412223,-28.180899191700785,-149.6244004039567
5,0.9389760803169132,-43.324178779860745,-30.17098981308913,-155.7467976155694
6,0.9301915475828519,-45.34669856231477,-31.83623097267713,-158.4289468880217
7,0.9332189247566351,-47.3828481714923,-33.56905872448528,-161.31189999348732
8,0.9342613842251479,-48.356769245914826,-34.379209838891434,-159.31596295654018
9,0.92954919874195,-49.9140948271695,-35.63251076897707,-160.48685609813987
10,0.9298529852985299,-50.67835873089565,-36.36921454001361,-157.99657944150826
11,0.9296125349204422,-51.875780751813295,-37.430065960163496,-157.94757602006666
12,0.9329417080885676,-53.416930613572,-38.800260041104515,-159.8946461196831
13,0.9292932312843817,-54.25309078451031,-39.51712323509247,-158.19538615628332
14,0.9279043929976278,-55.26787840721733,-40.457869691411055,-157.3984650389657
15,0.9277440210721661,-56.7569581856368,-41.71678651903337,-159.09014547212143
16,0.9338614812147401,-58.008548194475765,-42.833038515734636,-159.7487322644619
17,0.9336561743341404,-59.06310241249135,-43.81256900724554,-159.64543173518095
18,0.9300747179471913,-60.42533309701679,-45.023885036816296,-161.31582404544974
19,0.9278384541526644,-61.39204069720455,-45.99046037858057,-161.06424637697
20,0.9321351850170948,-62.773215584053716,-47.32078742505134,-163.2709745056049
21,0.9266588355772416,-63.59353821631496,-48.15810624267133,-162.51283895493043
22,0.9295862191440242,-64.6781196138462,-49.08155330750155,-162.8534632340199
23,0.9373344050489715,-65.54410482317417,-49.92009127541647,-162.48983722256466
24,0.931359313593136,-67.10213372985665,-51.3271150803415,-166.0455741839942
25,0.9364030497832262,-68.14313823977338,-52.363705711444105,-166.98404029162816
26,0.933835719668425,-69.04648203370161,-53.2057521716625,-167.36357186356537
27,0.9283116414680332,-69.61899042074403,-53.853961679207636,-165.97085988493987
28,0.935303926026982,-70.3660724667015,-54.54380227159146,-165.61639436755092
29,0.9309422492401216,-70.83956239969456,-55.03438073636751,-163.9721223854152
30,0.9369704358427309,-71.37109606140329,-55.554576414870276,-162.67663641480317
31,0.934831727910572,-72.1662967505838,-56.411170526400355,-162.68466634988158
32,0.9379447593776384,-72.82673999842737,-57.054075720083645,-161.97787499374647
33,0.9300259051750106,-73.70589077681134,-57.81631179239032,-162.47203207877746
34,0.9313272530901237,-74.42115172414037,-58.496262683154505,-162.40723765978962
35,0.9309723889555822,-75.41031967950558,-59.459206709450726,-163.82641071768865
36,0.9341890667472063,-76.12079586725707,-60.150750466552495,-163.74618045519733
37,0.9295966158029914,-76.93644057852018,-60.90805328558116,-164.30411332931783
38,0.9314607079486331,-77.57229120919654,-61.573429712430645,-164.1974698084722
39,0.9370350208673562,-77.96072104478034,-61.94929940437399,-162.55800067009503
40,0.9322517058377559,-78.6857453031891,-62.6137139475011,-163.05728467486423
41,0.9330956122325638,-79.40775828479828,-63.31447305465259,-163.37115133075108
42,0.9341122333114206,-80.16300099074452,-63.99169909937387,-163.81950462554505
43,0.9335505470197883,-80.64966430453632,-64.53122238212939,-163.2187009599162
44,0.9356461142251175,-81.30875129823129,-65.12949523647488,-163.4547214186749
45,0.9293348459517554,-81.543520425359,-65.39274378708403,-161.53082084775568
46,0.9347793965542717,-82.012807870256,-65.88996433618235,-161.36152608127205
47,0.9289451527543902,-82.53468904834115,-66.41873344660856,-161.1247057932663
48,0.9320073310699155,-83.2985315593366,-67.12996392985593,-161.93931359984066
49,0.9340569384228239,-83.87302623509828,-67.67115912040104,-162.18841857414748
50,0.9283444264555976,-84.31117363216565,-68.0969130089735,-161.64261858947427
51,0.9314294213892608,-84.96352637804098,-68.7090120458369,-162.3204380780916
52,0.9235350166746069,-85.62635253604702,-69.34174165657869,-163.16725864141722
53,0.9365552544414333,-86.10848794175658,-69.80865398246775,-163.02890248372066
54,0.9342391466285271,-86.6901429463945,-70.36776860982107,-163.47225380442245
