,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,trailer_cannibalization,global_onsite_backlog,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_in_repair_fraction,depot_idle_fraction,recoverable_starvation,maintenance_urgency,rush_hour_onsite_backlog
rebalancing_imbalance,1.0,0.5711730428126534,0.8013749789042248,0.5882717006628491,0.78275067802518,0.45007235508659776,0.6895870826311842,0.6119500185212113,0.5419897458699924,0.1637239940503,0.13293778432340844,0.37570623619199933,0.41264123442483724,-0.10054901356461418,0.23972639670650941,-0.08856768214403864,0.19752727640603196,0.04429878981957989,-0.1100441367195987,-0.08102663351863952,0.08938829036213819,0.43760104630842167,0.28587192836249964
squared_starvation_penalty,0.5711730428126534,1.0,0.267320415683917,0.9959090235555655,0.2815786452430253,0.8097938749174827,0.3874177162188621,0.8812590764624464,0.2912267911204733,0.3965123249920446,0.38256965674974297,0.3912916009167242,0.44910209373904436,-0.07432664261337982,0.3616146823705505,0.29065821746718845,0.47480002524639486,0.21180014640477746,-0.14861217301153548,-0.12707426013892784,0.2766505944977944,0.6370027223112491,0.2877481739351616
squared_congestion_penalty,0.8013749789042248,0.267320415683917,1.0,0.2936285247874344,0.9948252019238065,0.25816666474871425,0.8686400672134077,0.3805543619978446,0.7635888774957758,0.038190191891308026,0.0830722990926565,0.3096252468610051,0.48005708370657607,-0.15880998918638223,0.028979071706506248,-0.40516151825273994,-0.052916938282467484,-0.238081898094642,-0.11795175082812731,-0.07787894099788491,-0.10633941414904796,0.18682939857119202,0.1741607117840524
exponential_starvation_penalty,0.5882717006628491,0.9959090235555655,0.2936285247874344,1.0,0.30667430394451783,0.8231514558553285,0.4018964402526034,0.9150412278232184,0.3042623783035912,0.39728756443736596,0.3713089169061022,0.41775393071151956,0.4499485473584473,-0.08322503212474637,0.36421913903378067,0.2755692953345269,0.4697950831405845,0.20810251480669084,-0.1566839005381816,-0.1325200370354363,0.2698936859292039,0.6525557407849476,0.3010103080205382
exponential_congestion_penalty,0.78275067802518,0.2815786452430253,0.9948252019238065,0.30667430394451783,1.0,0.2705399363059995,0.887648837973756,0.3866039760232308,0.8152724472176961,0.05235266365693009,0.10910690742653778,0.30818180533719536,0.513177050614522,-0.1664732977677303,0.019191981237798226,-0.40232590208546554,-0.05127442944863868,-0.2524349317516824,-0.11968469286676162,-0.0777944787241557,-0.10838958071668746,0.1814481150575928,0.16244389162471723
starvation_severity_max,0.45007235508659776,0.8097938749174827,0.25816666474871425,0.8231514558553285,0.2705399363059995,1.0,0.3579324082800243,0.7882949952099204,0.2773147480076544,0.3249288562287883,0.30461848907355815,0.36705157092425766,0.3620169624645555,-0.0922373407127312,0.2103285238957942,0.1384659093969512,0.2791440871329111,0.07605526538530957,-0.1594835152113401,-0.1446284148826509,0.14189407224810488,0.44450709600114274,0.18149841643580078
congestion_severity_max,0.6895870826311842,0.3874177162188621,0.8686400672134077,0.4018964402526034,0.887648837973756,0.3579324082800243,1.0,0.4315463799586293,0.7713085101521935,0.10886076718098914,0.18836934117804816,0.2915593035332891,0.5593885112219846,-0.16090804356253657,0.06480541741036111,-0.3378775687604972,0.030287259647708058,-0.22311342993271752,-0.12351862521982516,-0.08788750023567428,-0.033465857991897455,0.2348371084085444,0.15179860397650907
starvation_count,0.6119500185212113,0.8812590764624464,0.3805543619978446,0.9150412278232184,0.3866039760232308,0.7882949952099204,0.4315463799586293,1.0,0.32997739385534064,0.3534079113453458,0.28503524053540896,0.4791373269738211,0.41313097269615917,-0.10648280400899097,0.3612012911472601,0.1910492193282391,0.42193019009991795,0.19069064853206913,-0.1722765710557163,-0.13834990287493928,0.23608666371856638,0.6863866076551349,0.3380266056665532
congestion_count,0.5419897458699924,0.2912267911204733,0.7635888774957758,0.3042623783035912,0.8152724472176961,0.2773147480076544,0.7713085101521935,0.32997739385534064,1.0,0.0920872613626235,0.20158143399298564,0.22066652402376266,0.5517487449449494,-0.1715153392792259,-0.05807618043143197,-0.31676677209719667,-0.059244366102436094,-0.2865813998643671,-0.10143060482551913,-0.061564298684012385,-0.11069426085435446,0.08930176880936762,0.0607066114971626
gross_starvation_risk,0.1637239940503,0.3965123249920446,0.038190191891308026,0.39728756443736596,0.05235266365693009,0.3249288562287883,0.10886076718098914,0.3534079113453458,0.0920872613626235,1.0,0.7680045650581123,0.7280989874474,0.4137886089377151,-0.14011650242060972,0.11816231553508691,0.40759593588971005,0.4330218130967846,0.024209122497416514,-0.10140724988132603,-0.087893688217707,0.07032546060304246,0.253657538471998,-0.02442724660377229
gross_congestion_risk,0.13293778432340844,0.38256965674974297,0.0830722990926565,0.3713089169061022,0.10910690742653778,0.30461848907355815,0.18836934117804816,0.28503524053540896,0.20158143399298564,0.7680045650581123,1.0,0.37310847037854533,0.6636713919167997,-0.15798020626205078,-0.031641699963715846,0.2551067106459312,0.321989021535236,-0.1825808801514115,-0.09222697534640685,-0.08301248337396695,-0.031788563981989114,0.12373282488372252,-0.12281150393507889
net_starvation_shortfall,0.37570623619199933,0.3912916009167242,0.3096252468610051,0.41775393071151956,0.30818180533719536,0.36705157092425766,0.2915593035332891,0.4791373269738211,0.22066652402376266,0.7280989874474,0.37310847037854533,1.0,0.3373366610318561,-0.12178522740326539,0.2987888210955881,0.24421520748399062,0.4071107386987601,0.17405093274020592,-0.13096428661739593,-0.11247590796708155,0.1498729173650469,0.42676077101481735,0.24524549649068428
net_congestion_shortfall,0.41264123442483724,0.44910209373904436,0.48005708370657607,0.4499485473584473,0.513177050614522,0.3620169624645555,0.5593885112219846,0.41313097269615917,0.5517487449449494,0.4137886089377151,0.6636713919167997,0.3373366610318561,1.0,-0.15862140460558144,0.02784040253286052,-0.02273677137427054,0.18512061977223443,-0.18841958110906945,-0.10829491795271769,-0.08187611778225772,-0.0319770131872438,0.21006556834466983,0.05375268267201748
trailer_cannibalization,-0.10054901356461418,-0.07432664261337982,-0.15880998918638223,-0.08322503212474637,-0.1664732977677303,-0.0922373407127312,-0.16090804356253657,-0.10648280400899097,-0.1715153392792259,-0.14011650242060972,-0.15798020626205078,-0.12178522740326539,-0.15862140460558144,1.0,0.06029190934688314,0.0768061415886198,-0.005347678930725111,0.1653115506390653,0.28797202723460585,0.28437137372606147,0.08183350051499778,-0.014811884616673205,-0.034774643725259256
global_onsite_backlog,0.23972639670650941,0.3616146823705505,0.028979071706506248,0.36421913903378067,0.019191981237798226,0.2103285238957942,0.06480541741036111,0.3612012911472601,-0.05807618043143197,0.11816231553508691,-0.031641699963715846,0.2987888210955881,0.02784040253286052,0.06029190934688314,1.0,0.4471335092287669,0.8430367394444279,0.8115993974008644,-0.09853258826501483,-0.08828108511375325,0.8356208777316274,0.8775663861542683,0.4536878136743294
demand_weighted_depot_backlog,-0.08856768214403864,0.29065821746718845,-0.40516151825273994,0.2755692953345269,-0.40232590208546554,0.1384659093969512,-0.3378775687604972,0.1910492193282391,-0.31676677209719667,0.40759593588971005,0.2551067106459312,0.24421520748399062,-0.02273677137427054,0.0768061415886198,0.4471335092287669,1.0,0.6201329682025968,0.7246661278253894,-0.07546526424114187,-0.13753728482316288,0.453416998629083,0.39361131272191646,0.11151190733384797
demand_weighted_onsite_backlog,0.19752727640603196,0.47480002524639486,-0.052916938282467484,0.4697950831405845,-0.05127442944863868,0.2791440871329111,0.030287259647708058,0.42193019009991795,-0.059244366102436094,0.4330218130967846,0.321989021535236,0.4071107386987601,0.18512061977223443,-0.005347678930725111,0.8430367394444279,0.6201329682025968,1.0,0.6615619461145922,-0.10811413340509711,-0.09372520789687504,0.7196596908723558,0.8237426529459663,0.3477993822925666
fleet_broken_fraction,0.04429878981957989,0.21180014640477746,-0.238081898094642,0.20810251480669084,-0.2524349317516824,0.07605526538530957,-0.22311342993271752,0.19069064853206913,-0.2865813998643671,0.024209122497416514,-0.1825808801514115,0.17405093274020592,-0.18841958110906945,0.1653115506390653,0.8115993974008644,0.7246661278253894,0.6615619461145922,1.0,-0.029145027048344884,-0.09188999292646557,0.7195021905597965,0.64421255915141,0.352295062892783
depot_in_repair_fraction,-0.1100441367195987,-0.14861217301153548,-0.11795175082812731,-0.1566839005381816,-0.11968469286676162,-0.1594835152113401,-0.12351862521982516,-0.1722765710557163,-0.10143060482551913,-0.10140724988132603,-0.09222697534640685,-0.13096428661739593,-0.10829491795271769,0.28797202723460585,-0.09853258826501483,-0.07546526424114187,-0.10811413340509711,-0.029145027048344884,1.0,0.6055927809029896,-0.04968655670604637,-0.16402612280355292,-0.057058855044286635
depot_idle_fraction,-0.08102663351863952,-0.12707426013892784,-0.07787894099788491,-0.1325200370354363,-0.0777944787241557,-0.1446284148826509,-0.08788750023567428,-0.13834990287493928,-0.061564298684012385,-0.087893688217707,-0.08301248337396695,-0.11247590796708155,-0.08187611778225772,0.28437137372606147,-0.08828108511375325,-0.13753728482316288,-0.09372520789687504,-0.09188999292646557,0.6055927809029896,1.0,-0.05246595544928887,-0.12225915478887997,-0.046447608540261025
recoverable_starvation,0.08938829036213819,0.2766505944977944,-0.10633941414904796,0.2698936859292039,-0.10838958071668746,0.14189407224810488,-0.033465857991897455,0.23608666371856638,-0.11069426085435446,0.07032546060304246,-0.031788563981989114,0.1498729173650469,-0.0319770131872438,0.08183350051499778,0.8356208777316274,0.453416998629083,0.7196596908723558,0.7195021905597965,-0.04968655670604637,-0.05246595544928887,1.0,0.6951104618128753,0.32364711559285064
maintenance_urgency,0.43760104630842167,0.6370027223112491,0.18682939857119202,0.6525557407849476,0.1814481150575928,0.44450709600114274,0.2348371084085444,0.6863866076551349,0.08930176880936762,0.253657538471998,0.12373282488372252,0.42676077101481735,0.21006556834466983,-0.014811884616673205,0.8775663861542683,0.39361131272191646,0.8237426529459663,0.64421255915141,-0.16402612280355292,-0.12225915478887997,0.6951104618128753,1.0,0.5112445828016603
rush_hour_onsite_backlog,0.28587192836249964,0.2877481739351616,0.1741607117840524,0.3010103080205382,0.16244389162471723,0.18149841643580078,0.15179860397650907,0.3380266056665532,0.0607066114971626,-0.02442724660377229,-0.12281150393507889,0.24524549649068428,0.05375268267201748,-0.034774643725259256,0.4536878136743294,0.11151190733384797,0.3477993822925666,0.352295062892783,-0.057058855044286635,-0.046447608540261025,0.32364711559285064,0.5112445828016603,1.0
