,mean,std,variance,min,max
rebalancing_imbalance,0.5171270966529846,0.07569289952516556,0.0057294155,0.283515065908432,0.8608081936836243
squared_starvation_penalty,0.19011980295181274,0.0534457266330719,0.0028564455,0.02506706304848194,0.37080833315849304
squared_congestion_penalty,0.11520799994468689,0.034850187599658966,0.0012145357,0.02575678750872612,0.2758946120738983
exponential_starvation_penalty,0.1671820431947708,0.051316309720277786,0.0026333635,0.019360443577170372,0.3461553752422333
exponential_congestion_penalty,0.09616299718618393,0.031351782381534576,0.0009829341,0.02301623672246933,0.24721083045005798
starvation_severity_max,0.9191088676452637,0.10049676150083542,0.010099599,0.3636363744735718,1.0
congestion_severity_max,0.7615222334861755,0.11201903223991394,0.012548264,0.3545454442501068,1.0
starvation_count,0.08792021125555038,0.05155531316995621,0.0026579504,0.0,0.34328359365463257
congestion_count,0.02612440660595894,0.026014229282736778,0.00067674014,0.0,0.19402985274791718
gross_starvation_risk,0.13969215750694275,0.08505479991436005,0.0072343186,0.0,0.614493727684021
gross_congestion_risk,0.08509283512830734,0.058292169123888016,0.003397977,0.0,0.4175834059715271
net_starvation_shortfall,0.044333428144454956,0.028746621683239937,0.0008263683,0.0,0.2281946986913681
net_congestion_shortfall,0.01639378070831299,0.012180954217910767,0.00014837565,0.0,0.14463555812835693
trailer_cannibalization,0.034430768340826035,0.05529514700174332,0.0030575534,0.0,0.44999998807907104
global_onsite_backlog,0.016352975741028786,0.012085017748177052,0.00014604766,0.0,0.0611979179084301
demand_weighted_depot_backlog,0.5991361737251282,0.442842036485672,0.19610907,0.0,2.521859884262085
demand_weighted_onsite_backlog,0.1970120519399643,0.17361630499362946,0.03014262,0.0,1.0645182132720947
fleet_broken_fraction,0.0614045187830925,0.035661451518535614,0.0012717393,0.0,0.1510416716337204
depot_in_repair_fraction,0.0009146176744252443,0.001930462894961238,3.7266868e-06,0.0,0.010416666977107525
depot_idle_fraction,0.0017558149993419647,0.00554884085431695,3.0789633e-05,0.0,0.04296875
recoverable_starvation,0.0051080454140901566,0.0044340468011796474,1.9660773e-05,0.0,0.03125
maintenance_urgency,0.0016628021840006113,0.0020878438372164965,4.359092e-06,0.0,0.01399253774434328
rush_hour_onsite_backlog,0.08048685640096664,0.1316329389810562,0.01732723,0.0,0.8393722772598267
