,pearson_r_with_value
rebalancing_imbalance,0.024117355599682647
squared_starvation_penalty,0.03922042135299163
squared_congestion_penalty,0.010323907978302892
exponential_starvation_penalty,0.04098569263072673
exponential_congestion_penalty,0.011182954342714643
starvation_severity_max,0.030773651748141034
congestion_severity_max,0.0008550417122684975
starvation_count,0.04896981861360699
congestion_count,0.0215630732358807
gross_starvation_risk,0.027980278756358647
gross_congestion_risk,-0.013387520840795128
net_starvation_shortfall,0.04413801816770397
net_congestion_shortfall,0.0003171437798047941
trailer_cannibalization,-0.025090011894197177
global_onsite_backlog,0.03650730847986778
demand_weighted_depot_backlog,0.09057133922141533
demand_weighted_onsite_backlog,0.047311646761979395
fleet_broken_fraction,0.06638781475083058
depot_in_repair_fraction,-0.07865138497755494
depot_idle_fraction,0.06377642629794696
recoverable_starvation,0.03212010953565081
maintenance_urgency,0.07392023063041289
rush_hour_onsite_backlog,0.022989923371824202
