episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.9171363111861799,-2.521898317556051,-0.011357239091196902,-0.004990155614706282,-0.0020151417362122004,-0.0035457231197408845,-0.002005752781451431,-0.002860549769025056,-0.00034478865452314267,-0.0002808845518416092,-0.00032870177847321713,-0.0001830189312261865,5e-05,5e-05,0.0
1,0.9137299078619947,-2.5439965836347227,-0.022564148817345142,-0.010127738837335087,-0.0038260521524957625,-0.007283726104088117,-0.00392748668299597,-0.0069313725497472944,-0.0007531971062562093,-0.0004685805702600021,-0.000658001498947236,-0.00044292142752366814,4.9e-05,5e-05,0.0
2,0.9123274360005361,-2.56590725845534,-0.03377324133807491,-0.015094542984359194,-0.005727245683498694,-0.01077081423762527,-0.005859434239746827,-0.01064266559339444,-0.0010103353937722659,-0.0006431969596896181,-0.0008812165419440632,-0.0006775705504424856,4.7e-05,5e-05,0.0
3,0.9209509310223679,-2.5848350991115296,-0.04366301776764203,-0.01936286447243951,-0.007623802405658964,-0.013746442556664018,-0.0075547582613223994,-0.013541349262615299,-0.0013390676845226324,-0.0008270502582146122,-0.0011635985967393125,-0.0008917080190120608,4.6e-05,5e-05,0.0
4,0.8992942813597509,-2.609302066829173,-0.05612200770441689,-0.025073070923712137,-0.009619208324504136,-0.018028527714266662,-0.009717252865429179,-0.017936567084978705,-0.0017949154792908928,-0.0010807084097415043,-0.0015174658080256975,-0.001202096241818662,4.5e-05,5e-05,0.0
5,0.9081215895015232,-2.6305035861548447,-0.06696007171563423,-0.02984303803164501,-0.011514465517449501,-0.021611000235745248,-0.011536184452503036,-0.021818853478739797,-0.00213566128642384,-0.0013344027702970607,-0.0017789293272150175,-0.0014231793977490526,4.3e-05,5e-05,0.0
6,0.9191685912240185,-2.6481919501407845,-0.07598993321679615,-0.0337363485899429,-0.013143763807831554,-0.024373759271635542,-0.013040829311884047,-0.024863585193809712,-0.00236908234518296,-0.001477431344497404,-0.0020008291096491604,-0.0015803426276415067,4.2e-05,5e-05,0.0
7,0.9127261771253536,-2.6671586206293227,-0.08581386199329444,-0.03811715219353662,-0.014867216471945,-0.027530930285636135,-0.014768882018665382,-0.027771012797768613,-0.002637824371117148,-0.0016240905570654718,-0.002248397225095733,-0.0017731833242216055,4.1e-05,5e-05,0.0
8,0.9226191485393601,-2.6830178561354643,-0.09414878983830022,-0.041792697249339206,-0.016429668299382527,-0.03005704012648369,-0.01627899134466348,-0.030519561568657316,-0.0028947658198141824,-0.001754340006723254,-0.0024466991689462425,-0.001977158608688967,4e-05,5e-05,0.0
9,0.9174776830659775,-2.699869051294172,-0.10280880904889855,-0.0455598988504029,-0.018013768921942397,-0.03273751301536265,-0.017936928314455088,-0.03278355347402506,-0.003159886729777739,-0.0019459536168824343,-0.0026467533085297035,-0.0021345910300301085,3.9e-05,5e-05,0.0
