episode,service_level,rebalancing_imbalance,vehicle_functional_load
0,0.9157034371283053,-134.67819083678492,0.0
1,0.9116379310344828,-171.4833455001281,0.0
2,0.9023742766807851,-165.82471719640785,0.0
3,0.9064806724714531,-163.02672513059886,-0.3411975645567307
4,0.9075077985402344,-161.8037396419043,-1.4384465107017994
5,0.9197413350255341,-122.4209641455808,0.0
6,0.9085351306214959,-148.4090494853233,0.0
7,0.9160396039603961,-147.51322334351127,-0.025235252477422088
8,0.9016795279164775,-182.50780820142222,0.0
9,0.9071309613928842,-168.6741446631935,0.0
10,0.9176671357144995,-134.02566908656053,0.0
11,0.9126880413311047,-148.05439909668604,0.0
12,0.9171698170454201,-144.86011117569862,0.0
13,0.917270094134685,-132.21215808965252,0.0
14,0.9028719525058011,-176.8465297525314,-0.051939020265881576
15,0.9119156984598757,-160.7107074267827,0.0
16,0.9125596184419714,-161.0383550185307,-0.09388137678512715
17,0.9079542030732148,-172.80395673286253,0.0
18,0.9147883946768972,-181.97396676711412,-0.6688284353778313
19,0.9198765949799317,-151.35962191898292,-0.5350761281751154
20,0.9152286258273142,-158.6420711083973,-0.498558427912711
21,0.9155213984327908,-166.8516583227861,-1.0923459019173951
22,0.9123993268421685,-162.7500900028493,-0.967052651305797
23,0.9164760772116001,-165.15628041729406,0.0
24,0.9115152967968118,-184.92140981721448,-0.01751432465942382
25,0.9020778820994305,-205.60318677991165,-1.005371295119461
26,0.9147452921294061,-162.41261477377486,0.0
27,0.9110998146043897,-188.39406761685004,-0.016692887442641212
28,0.9075559813196025,-193.6619474747255,-0.18981804629122725
29,0.9085546605982573,-197.78455390625817,0.0
30,0.9156015601560156,-168.6348153568281,0.0
31,0.9190884572259765,-178.27446324501014,0.0
32,0.918222384118022,-182.28136371949634,0.0
33,0.9091045673076923,-206.62421203220507,-0.04834086866203849
34,0.9177078974113708,-183.78098084784372,0.0
35,0.9187706146926536,-164.47026503466972,-0.14313598817198334
36,0.91485372459153,-196.73418576735745,0.0
37,0.9208320771781731,-179.82003768207423,0.0
38,0.914434970577639,-210.5747692785391,0.0
39,0.9123730043541365,-196.60588967495522,0.0
40,0.9251746128150622,-170.8981523119132,-1.1807570945607833
41,0.909901497123234,-220.8937780612031,-0.5526155828298526
42,0.916039461453117,-216.05776965168246,0.0
43,0.9173387701256259,-218.81927784689174,-0.023030939691516834
44,0.9138200625451046,-231.02513931839502,-0.9781981965991665
45,0.9123784288338201,-248.93941823321936,0.0
46,0.9190873216034181,-228.69911059279787,0.0
47,0.9217873744189533,-204.89300125145564,0.0
48,0.909942626953125,-240.11628043045147,-0.01563652802331403
49,0.9222816722590006,-222.8708897622619,0.0
50,0.9185283714743493,-222.37025462456165,0.0
51,0.910997442455243,-244.21753869481464,0.0
52,0.9128044706311123,-254.17786703881316,0.0
53,0.929079077578193,-218.95847651976842,0.0
54,0.9224796797282543,-218.6365114386379,0.0
55,0.9066424617582287,-282.4848885873271,-0.0009866906249309526
56,0.9186483863140015,-278.0332482348147,-0.45139254125202716
57,0.9222921118367593,-257.4258063810791,-2.7312024502109638
58,0.9248532171176079,-234.4459031915097,0.0
59,0.9043005527546619,-286.1740800513048,0.0
60,0.9153410296033694,-288.28870798111114,-0.06651509030346363
61,0.9185109145255276,-287.2556204177934,0.0
62,0.9220435700062413,-285.37707365042445,-0.8990950909014074
63,0.9150181610782577,-287.1230350306692,0.0
64,0.9084785342195079,-319.7950319395707,0.0
65,0.9198169637516449,-322.1724017156607,0.0
66,0.9262101711111774,-301.1345828684651,0.0
67,0.9154278765769874,-320.1916220877634,0.0
68,0.9127017971367651,-336.7244446730352,-0.6779709749496956
69,0.9151609174423556,-344.40250873294815,-0.5262092202303928
70,0.921314830980404,-341.8460649937582,-0.18585455746517543
71,0.9249588754299387,-339.6379779783276,0.0
72,0.9225287496941522,-327.8062066491898,0.0
73,0.9304476726949303,-317.73201665035697,-0.04946927923539314
74,0.9120368983797059,-338.98532174135033,0.0
75,0.9248127142033908,-334.89744403280764,0.0
76,0.9265535019748545,-336.08114686658837,-1.5595104695551139
77,0.9336881255480632,-326.1715731981187,-0.26963227870217754
78,0.9269732659178298,-331.48278872099905,-0.2898483461677194
79,0.8953117477130477,-375.8129684271532,-0.9609941757078115
80,0.9313891577928364,-365.4166517182292,0.0
81,0.8864655094612075,-417.89014658655316,0.0
82,0.9282436756626216,-412.2864693110816,0.0
83,0.8976564373052026,-435.87292813336757,0.0
84,0.9195710455764075,-428.6330580096271,0.0
85,0.9278328633372752,-423.4541380438631,0.0
86,0.913802443869259,-433.2390426806229,-0.5881288331165457
87,0.9021527006335005,-449.16682261294653,0.0
88,0.9317381047213457,-421.9708070100398,0.0
89,0.9228706577084149,-432.70309435158947,0.0
90,0.9240062468691989,-431.1651843370658,-0.4071755864543407
91,0.9270971635485817,-430.3009647709159,-3.0091083804525405
92,0.9341337284906402,-413.3687569251919,0.0
93,0.9390953051355818,-393.2493826117591,-0.6250674727034033
94,0.8925254985538134,-448.84064202720225,-31.03838900057649
95,0.8969917958067457,-459.81943036717496,-0.1053610150404273
96,0.9065859197577593,-450.85177750717594,-17.300828313144823
97,0.926965616734792,-442.0656693987544,-0.20941057638739208
98,0.9371526938874124,-430.2196776020525,-1.444792841657932
99,0.9255459563234941,-439.3693804773277,0.0
100,0.9261700124517873,-447.21248527778096,0.0
101,0.9221764121700924,-446.40678597138094,-0.32304867091992495
102,0.9264271505214299,-447.12158099993934,0.0
103,0.924129126390662,-452.14900891200733,-1.0227062209877111
104,0.8955930557241714,-463.80109354159515,-34.491824618567094
105,0.8475835304105269,-492.9341373790875,-29.476083543682428
106,0.8646664058503115,-516.5437894750139,-0.08621768928776202
107,0.9357308171621862,-498.07206037892985,0.0
108,0.9275275515093435,-498.4337191985922,-0.4540757910579558
109,0.9338420080540164,-484.1840898123959,-1.5372007012462148
110,0.9206460034607329,-487.4497191088101,-0.20703480642688335
111,0.9271449257873778,-475.8523298534863,0.0
112,0.9273133067921342,-487.9638928536885,0.0
113,0.9301523947750363,-492.0584996146072,-3.308761874372956
114,0.9297101666018605,-494.2245173591564,0.0
115,0.8778344756786135,-521.022015426863,-27.375766350594315
116,0.8356797518776417,-549.343881143383,-26.03844199272687
117,0.8950486163051607,-539.8042137291877,0.0
118,0.9221358751745492,-538.2422402544391,0.0
119,0.9307657589890176,-527.5081116574295,0.0
120,0.892656386208555,-525.0042998966022,-27.664584114813504
121,0.8416812503771649,-526.3347718877942,-24.615232620109005
122,0.866313186976855,-533.4530901343235,-0.5105455457667607
123,0.9290945304121342,-513.032689421205,-1.1411617230191513
124,0.9322398494218876,-508.9568024417419,0.0
125,0.9314567333857411,-507.85981021130533,-2.69862786957753
126,0.9302923128079562,-499.18659835981305,0.0
127,0.932538136482153,-499.51074444446266,-0.6207957762962253
128,0.9326406198384336,-493.7279882435554,-2.672364742482923
129,0.9067385444743935,-492.45749778548844,-1.0020576414899158
130,0.9250898981657752,-487.24981283439627,-1.808724544708456
131,0.9258564338457814,-496.5941259052673,-0.7839595751662638
132,0.9292607428987618,-494.1560540227689,-0.04601364106674469
133,0.913612643506784,-511.24619077826384,0.0
134,0.9251081470800289,-513.4543940635652,-1.2697348721014514
135,0.9282043530834341,-492.9137612818462,-2.3761080650308277
136,0.9302027357107963,-497.2550844113787,-0.1760148028219335
137,0.918620317973592,-495.24358371044474,-1.258030204737759
138,0.9321030746350198,-500.13961152600695,-0.6267344671545646
139,0.9349331566903529,-492.9185890463747,-0.25627448762893773
140,0.9176332712302422,-494.7115058948659,-1.211934065428202
141,0.9332874622311306,-492.48589345687554,0.0
142,0.9268978444236177,-499.84706567609356,0.0
143,0.9358447557061875,-499.04539150818204,0.0
144,0.9382859873943304,-491.8707533576693,-0.6895376026273021
145,0.9337208240771735,-478.73789824221217,0.0
146,0.8858114820724328,-493.76530783648974,-19.444526317599323
147,0.8777092136061039,-506.24566162190024,-2.058534750763392
148,0.9344094131844924,-502.34523058224136,0.0
149,0.9350807309879283,-498.7947550895948,-0.40095598429076074
150,0.9335935154608226,-499.5790933309546,0.0
151,0.9406237686782045,-492.8732917908345,-0.08183413459757259
152,0.9438950988822012,-485.052806485742,-0.6540438757057981
153,0.9289173660620281,-487.76237961790395,0.0
154,0.9352615015735052,-488.36682013296235,-1.1406954940916063
