Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
12.018821001052856,32960.34142422676,16654.0,3548.802617601958,32972.360245227814,0,1012
12.645453453063965,40548.583966732025,16628.0,3543.6696581104957,40561.22942018509,0,1101
12.562320709228516,33522.74246644974,16718.0,3463.511943894579,33535.304787158966,0,1042
11.71617579460144,32940.11604595184,16736.5,3437.8586634299754,32951.832221746445,0,983
12.251795530319214,35881.19954967499,16622.5,3543.8783968228536,35893.45134520531,0,1007
12.477936267852783,36760.42090892792,16630.0,3557.104653509021,36772.89884519577,0,1020
11.949571371078491,39235.526492118835,16829.5,3363.456627898913,39247.476063489914,0,1045
12.204906702041626,37460.68769431114,16482.0,3705.3500398084075,37472.89260101318,0,1008
11.944472789764404,34122.136211156845,16688.5,3485.101179500835,34134.08068394661,0,972
12.159811019897461,36608.023000240326,16630.5,3550.584844502138,36620.18281126022,0,1007
