episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,starvation_severity_max,congestion_severity_max,station_starvation_count,time_of_day_fraction,multi_horizon_starvation_risk,temporal_demand_gradient
0,0.913206753590098,-10.197135704400846,-6.6233151000380355,-5.091207899824038,-6.500013622089486,-0.7280094889669064,-1.523451141603441,-25.40422616897066,-22.39226198433277,-9.545078476754059,-30.78487297844648,-10.241941626999768,0.0
1,0.9168106191471952,-16.51356369326301,-12.16170972821078,-7.300392712851144,-9.981150450087659,-2.1578680374896937,-3.9888911616180778,-27.73827078739388,-25.425600301915022,-7.668731983496933,-38.262759566419284,-15.890763927052266,0.0
2,0.9187089420163782,-14.304686736597901,-9.744380202750099,-4.648053796933562,-4.900944363667681,-1.5861347959429533,-4.111036682182116,-13.887547369020115,-10.794005147889186,0.0,-39.47843811117046,-12.33501892870909,0.0
3,0.904560370472598,-25.613129332597197,-15.008876149123807,-4.706005145021921,-7.0991708239318125,-1.6576351126281081,-6.9639992444588925,-36.2226175754153,-28.888459359769392,-12.009870861711821,-50.11636070148663,-23.894000146123695,0.0
4,0.9051661849710982,-22.63691298131803,-16.736195136417514,-2.001196112341062,-4.021675397949582,-2.320015758253224,-7.470502589268382,-31.0459697265401,-22.386610167842736,-7.205056099145878,-58.97658142051211,-21.19561926197429,0.0
5,0.9145574382279471,-24.522157442413892,-17.058606099440095,-3.1465837147941573,-1.5987602890681847,-3.881084034309518,-10.290881332300268,-23.037145635101822,-13.302459603366009,0.0,-41.64008863898494,-20.981811268621875,0.0
6,0.9112241256245539,-28.229275179434403,-14.463268753269379,-4.297261511703087,-2.2433525130168173,-7.00649256309397,-11.491458540385498,-24.060443549918922,-13.868616630573149,-3.323286968927179,-50.34967389968909,-24.2197567105182,0.0
7,0.9077824519230769,-32.005265181773154,-16.567727371281986,-5.41226308191125,-3.44890670214154,-8.863316629909244,-14.830466449870347,-21.146276862925305,-9.714191902375424,-5.476108743255191,-53.61396836481975,-28.000842589451636,0.0
8,0.924639002887977,-29.80238898172016,-17.489941048619,-2.0755566376067005,-2.9138171965117574,-8.495412864947262,-13.92046308522319,-4.288208156707563,-3.0639944089162854,0.0,-37.26159075408771,-24.66120979071512,0.0
9,0.9167178479302297,-31.764816792875575,-18.156207606819997,-0.21293178103155408,-1.3568173251146738,-8.656660934075095,-14.40926785576641,-15.634685346722657,-13.188514665242792,-2.5984024871442832,-48.85711775703845,-27.047563699816042,0.0
10,0.9124545754872811,-31.951980861456857,-19.833568906244476,-0.5844895778524701,-1.9381511769449007,-9.468378329460327,-13.478319572127662,-16.87347027742426,-11.031748807628192,-2.8567249862640027,-44.89552089501078,-28.09815960283058,0.0
11,0.9240824230687766,-30.78544393676986,-18.63420903634251,-2.0186621171278603,-0.3618810775012535,-9.541841103659092,-13.445281871473625,-9.64118158758888,-1.8486775302701395,-1.0707177010646487,-39.834533215747335,-26.054017658481317,0.0
12,0.9070056530618285,-36.82632517048565,-20.061829132377866,-1.619339007158004,-2.2508648582986046,-12.572750776185332,-13.844242578979927,-18.580767811665503,-6.1838914842777015,-1.8948657823949309,-43.216441922669354,-30.80283300269497,0.0
13,0.9118991425925372,-39.68001787292165,-21.010755523385615,-5.279871059169339,-1.2614176645653994,-14.99978663024093,-14.522945726747682,-22.253634355321392,-9.702667423372967,-1.3128347920107615,-49.05393502661458,-33.68035831938044,0.0
14,0.911509770167014,-43.54598289127349,-24.554894375677435,-4.286897797923159,-2.1759351449144484,-15.900194182770019,-17.021800126477284,-22.753440214506966,-18.27133790852127,-7.246769972738426,-48.11462234331475,-37.46690015209689,0.0
15,0.9191322687556494,-43.871345742623916,-25.829344021512483,-3.1570341839575238,-1.0300493082164708,-17.320901410801003,-18.414176494763787,-16.779071350687786,-10.824495125793566,-3.2868537753409903,-36.68078244766093,-37.0429536730356,0.0
16,0.9137369595368752,-43.081883948857154,-26.592960748468535,-1.0285096169774004,-1.6241381753734578,-16.91444689119802,-20.186630921411417,-13.72840201856907,-7.509175375953263,-1.2128705700958613,-36.86324384401031,-36.16508997716225,0.0
17,0.9146326764298198,-39.37694942924699,-25.706812039644262,-0.2312492173705159,-4.479235690809714,-16.69213970100381,-19.86869091027751,-20.683565619893105,-12.539975299650393,-2.049479632294078,-55.52760659824426,-33.54700104264413,0.0
18,0.9109168737091029,-43.30486635716837,-27.938757334359337,-4.319548100812026,-1.7430558978076602,-16.613800648998946,-22.193382637517168,-22.682547025286407,-13.552902941057404,-8.1694996077895,-57.18901766345195,-37.60523717168571,0.0
19,0.9178467683369644,-37.841663786711926,-26.49141826415303,-0.4208865863279976,0.0,-17.57782079257445,-19.72854816829713,0.0,0.0,0.0,-37.72322087465165,-30.567808742746543,0.0
20,0.9197867369556101,-42.72802558951019,-28.35007593741335,-3.6604097571681544,-2.2943047699379893,-17.408316617358288,-18.627628925469338,-15.287315495624762,-14.123284251583284,-9.405798928267883,-47.51614867164536,-35.43916369065325,0.0
21,0.9197121870783991,-38.074125438156685,-26.197033078063427,-1.467986122889047,-2.6611411633912034,-16.751503965469038,-18.374101121612437,-7.7129244936678925,-3.0247057744702714,-0.23149044806809632,-38.42637215933664,-30.80164105093337,0.0
22,0.9049699290865025,-45.05888758757362,-33.28319709818836,-3.6259240216931774,-3.3596807710457695,-17.73380581224341,-19.301098400844317,-16.13580609379689,-11.166182633255723,-2.6265143581069346,-46.996408422292404,-37.77220740378044,0.0
23,0.9097400829071984,-45.46545158485617,-34.2066779057389,-3.9464080478199888,-0.7171821801100411,-20.20839377507918,-20.352572532887525,-6.494575035943546,-1.8712455623826085,-0.2959858789003909,-39.425047255725474,-36.12287653748896,0.0
24,0.903834047783207,-56.00855028247651,-42.371234975704084,-3.891275511369992,-5.824814827201978,-20.747308081649503,-21.725976739929624,-32.93576310624229,-27.49026501652282,-12.545894910262364,-52.74604988289636,-46.33279438720401,0.0
25,0.9186170051300732,-49.67964211013378,-38.61513315879102,-0.7172541232899896,-0.6608456870102628,-19.688684734976917,-20.13040377140336,-3.851388803247407,0.0,0.0,-45.03250680077112,-36.32003844077637,0.0
26,0.9119023336732858,-53.608780587552964,-41.34706681077801,-1.2902140695771485,-2.586808981207609,-19.52067137364619,-20.594301287031605,-5.1501377551145415,-3.075374747926121,-1.8744275601182,-49.50313911120159,-41.06134390418249,0.0
27,0.9082671677071338,-52.99991006107858,-43.40897004311402,-1.2113612349149308,-2.030421643314073,-20.347873115657205,-21.360532274395332,0.0,0.0,0.0,-43.12226467018118,-40.4832158178733,0.0
28,0.9059849843460288,-58.71149949210424,-46.381871530819815,-4.293539904311401,-1.9868815870012821,-21.124713311638924,-22.204869236750998,-25.87879247115982,-23.522452927531763,-10.774514462191886,-54.74718859258431,-46.729162272875676,0.0
29,0.9140874973834514,-49.93947081693601,-42.00718498273442,-4.149023447572745,0.0,-21.38504664638537,-19.721335552836738,0.0,0.0,0.0,-44.143794207092796,-38.179852723663494,0.0
30,0.9166286739004893,-48.467410616693705,-41.58424014364688,0.0,-1.8933056446968093,-20.742097698594776,-21.608265957038636,-1.103208365667868,-0.4257747614786177,0.0,-45.2244250280746,-37.619513610612685,0.0
31,0.9227554882664648,-47.615877545183324,-41.57728407301198,-1.563662804103242,-0.007562180749825452,-20.08734150723345,-23.16871452325889,-0.7290435058797832,-0.7290435058797832,-0.4715759764274014,-44.45854440417562,-35.93511742898655,0.0
32,0.9227983340375445,-47.04329061831105,-42.39447008016455,-0.8874349711033097,0.0,-19.04471913973504,-22.419862857294717,0.0,-0.024660014436125977,0.0,-39.3863094400444,-34.473347068009815,0.0
33,0.9127167110818337,-47.30243526639347,-40.082564858471926,-2.6945490673171126,-0.14712426029119197,-17.700108874808272,-21.523568163294566,-3.6392090399170116,-3.6392090399170116,-1.6895295508059316,-40.924315587045804,-33.599083489124446,0.0
34,0.9194665068185224,-51.63799690261107,-41.801861467091705,-1.5010929498524872,-1.4290741095979083,-14.771221295462125,-22.767915727384015,-7.480002575338753,-7.434253148706572,-0.9849918495559349,-46.411200112474866,-35.18254394490253,0.0
35,0.9057918552036199,-54.64830342534356,-44.415551034870454,-5.236464276825568,-0.7135211502799217,-16.29809041839674,-22.493965860915512,-20.759879272516983,-18.046307083473906,-7.2090903093343925,-57.98307825964738,-39.0827837500264,0.0
36,0.9061380535235859,-51.00616869223667,-43.04984988411966,0.0,-0.3421567563326516,-16.245344811158454,-23.203008784179044,-0.7704252023566949,0.0,0.0,-49.6211146623357,-32.52128222121846,0.0
37,0.9162176150028922,-55.009134367448496,-46.103599764524006,-6.348951252437822,-0.10697790534934787,-18.228125912690796,-23.358314078824552,-6.584207738343468,-2.676526415444509,-5.464183775400846,-48.79372078086405,-34.93265457893674,0.0
38,0.9221964471033515,-57.415620906507456,-49.016002008142564,-3.624299532729819,-2.2897414683452197,-18.2532302619328,-22.46951475032649,-9.544788158338278,-6.5857822870431075,-4.417224521070263,-47.79431796325784,-36.90266469341733,0.0
39,0.9231096652579733,-56.60226500274708,-45.83724909082813,-2.7895736890667355,-0.46344826789768667,-19.297644609094384,-21.36871294941546,-2.76625614368876,-2.6353175614342463,-1.3399120678041665,-44.10116882493562,-34.790917966951426,0.0
40,0.9087735139202407,-61.22691419420269,-48.32706661008215,-0.6994614714006462,-2.7407955041301646,-20.210660815047454,-22.063793727392596,-12.734229922294135,-11.005643134605451,-5.775689879892839,-50.11939543013192,-37.787149995126086,0.0
41,0.9142272631547279,-62.54247214499197,-50.55633625501831,-2.8396948696432904,-1.5849091230612626,-19.12491608979282,-22.408549551688424,-21.837630292443556,-19.21587207539764,-12.613391735606449,-60.4029790976035,-40.54825866614066,0.0
42,0.920309327600621,-62.11126675875057,-53.43405088744016,-2.707396660638373,-2.30148619115196,-19.500370421977774,-22.431646600251508,-5.391577972199512,-1.6031234859973713,-0.40164719492455003,-46.599105885280714,-39.519227766226564,0.0
43,0.9074035203454376,-63.202658144608534,-58.11851680469092,-1.3682183415841596,-1.401647604442552,-20.025035716742458,-22.063521678329785,-9.120874202080692,-4.359779621454443,-0.268942929241472,-59.98293067440334,-42.36969835921909,0.0
44,0.9147988808327567,-63.7173924781295,-57.00857962011978,-3.6927194255284572,0.0,-19.317952665196838,-20.835797742570794,-14.23540672567144,-8.422192097919499,-1.8892983802928414,-69.9961716587702,-42.63207428146092,0.0
45,0.9122935332480039,-65.39741582482667,-59.59520448639578,-1.572962281012117,-1.7545926002116239,-19.320080373667814,-20.7448877598002,-11.491309112566801,-4.545491154775339,-1.5233015281768383,-66.22737736340227,-44.557302576781794,0.0
46,0.9201362943479691,-68.41921487995526,-59.387939667541,-2.7597693658775846,-2.4822073261784916,-19.941877485411677,-21.528590575706325,-25.755338175611293,-25.600545293433342,-11.74237522439076,-64.93380367192985,-47.23730702716231,0.0
47,0.9116945107398569,-66.71000973242704,-60.027532459544126,-3.814549832233896,-1.1197636971048823,-21.47427059074131,-21.863053583670204,-13.934930275173167,-14.042074950437792,-2.6565761154715912,-47.99987595577178,-44.973356822086096,0.0
48,0.9140476978135996,-68.43923910504536,-61.26403964668601,-0.9618266882139368,-4.036252034047538,-20.06247995951425,-22.88265697686843,-13.179759337628317,-15.520947072497698,-5.537147118635653,-53.55586534519807,-46.38579087929401,0.0
49,0.9162322487866259,-66.91782057650816,-59.99975490243071,-1.5324142962697098,-0.03233853552106107,-21.08846392693193,-22.409641220063435,-0.24107962643076725,-0.24107962643076725,-0.12233891490516548,-42.39047234152793,-43.009908796015296,0.0
50,0.9150786700087579,-67.48041102508802,-61.75912668605111,-0.7103311487525859,-1.729714129287456,-20.188392885263855,-22.428237492349712,-5.639867526586736,-3.861477554850912,-0.28401392529705066,-51.39700538265019,-43.59619364172682,0.0
51,0.9108143555502564,-69.58882670702309,-63.810253465494256,-2.942986788270454,-2.0216915657230294,-20.31496131537695,-22.147226551230446,-14.286035121339355,-9.681092281526741,-5.239069632525842,-55.86696786079834,-46.258592753254995,0.0
52,0.9244095924136044,-66.24908007900424,-60.82504609193302,-1.5489001151617723,-0.0032445012229750207,-20.294715943852914,-21.057160886839767,-2.118758379621493,-1.704210136667926,-0.6507773126744313,-51.54268887048498,-40.98456816480563,0.0
53,0.9131560927684659,-70.72119486220602,-66.9355248291615,-3.502477215040656,-4.612641199944091,-20.60157970748436,-22.675924688793234,-21.373243106547307,-20.204225135252443,-10.890577616742055,-63.125680969187776,-47.79156426100579,0.0
54,0.910358037424488,-70.56551159132279,-65.88747699626762,-3.8338372826924876,-1.495464663982543,-22.272509664206215,-22.693942648421327,-6.205772980210905,-2.106251331787275,-1.3857640609594162,-54.622725379481885,-45.103952235504636,0.0
55,0.9263734932461082,-69.56748282288017,-66.21280569807124,-4.135891396160958,-1.7969551048957746,-22.688215889701198,-22.494729185121997,-9.15397664689523,-7.235809862700564,-5.909809582941327,-52.753554035720576,-45.24516121293419,0.0
56,0.9210210930009588,-71.3855705799719,-67.24797769831454,-2.8579620773370973,-2.5452630868335175,-23.26472266727783,-23.241619841646195,-7.685632227097128,-4.610367823740469,-4.279450819266907,-47.30056451669903,-46.41396498094971,0.0
57,0.9220926417514242,-73.27536753432267,-67.18222793764777,-0.21973144126960412,-0.9769534042979267,-23.659000237215785,-22.845763519854234,-7.357823273111157,-5.504747962951399,-4.850472559333318,-42.834858151184086,-45.84443531319746,0.0
58,0.9179928401672633,-71.83648233397074,-66.72031893807919,0.0,-1.1989190275059904,-24.047854257160107,-23.467342232091298,-0.6291970745924794,-0.1355474381119881,-0.06466858724443436,-47.268742541366684,-43.16376496941917,0.0
59,0.9264602928195295,-73.11302061037611,-68.75111446084586,-1.8549816669959394,-1.288776919379982,-22.985578734573537,-22.52663780626823,-3.538854373104392,-3.587801789075408,-0.05832924325037216,-55.49564308814397,-44.12425226671387,0.0
60,0.9224122412241225,-74.0198773100814,-72.52524380310763,-1.447470792227016,-2.4795969546761296,-24.334810553782802,-23.464895637240037,-0.09160907887027799,-0.09160907887027799,-0.04785548896208551,-46.92833983453785,-44.99583554269955,0.0
61,0.9143485067437379,-80.49753790251921,-76.73163496198808,-7.102221149543886,-1.1697063537219483,-23.00367878849565,-22.906132420849577,-11.462721595332829,-11.950032054977818,-5.150467885804834,-51.19090273465742,-50.339100399380584,0.0
62,0.9219936614243855,-82.33742566481155,-78.29583486844137,-6.401007026511003,-1.9144139086112975,-23.039411630723826,-22.922469048117772,-8.545176508409252,-8.642184541937414,-1.914953279634238,-46.400728546774914,-51.376443096072705,0.0
63,0.9174799818703732,-85.34099158565408,-81.20262088544871,-8.647718476464018,-1.8836208573353022,-22.045213054677784,-23.554138057997573,-3.1166031351571406,-4.688704878509363,0.0,-47.798132420754385,-53.1199585614385,0.0
64,0.9193262411347518,-86.55345517373924,-82.5112821701614,-3.4151458709876152,-7.249483759515152,-21.466989192870287,-24.34077180047009,-1.4034701887475882,-1.4034701887475882,-0.8207866343003409,-48.81130396478783,-53.46198312754891,0.0
65,0.9215827770761922,-90.31691673551938,-85.45285560035315,-7.1749059348047375,-6.507515141059142,-22.26700029757953,-24.337349510680443,-12.970864464847596,-12.203425197085185,-8.18231696742994,-60.91198496797447,-57.593485760501565,0.0
66,0.9186750635824149,-90.94607058739481,-87.3820463032324,-5.4183878438879685,-5.35516502362616,-23.1147437570241,-25.392486129256802,-5.333757370851106,-3.310613850166599,-3.423423278156962,-58.33345169229906,-57.371007527467754,0.0
67,0.923562685182414,-92.2167964771399,-89.64866724177236,-3.6397090945580706,-6.373046178473328,-23.819155891594992,-25.301942731227584,0.0,0.0,-1.1716452349392743,-58.545433270057416,-58.229417285999276,0.0
68,0.9271268543748108,-89.89757043156983,-89.66218465275253,-3.766303410176653,-3.9880059640291416,-23.127587618007965,-24.982914527339755,0.0,0.0,0.0,-46.59417259378588,-54.5117094050942,0.0
69,0.9121840472226427,-94.86517152233849,-93.24505500541288,-8.121584067828367,-5.331998369480676,-24.517438274923425,-25.178416398469196,-13.210946742211865,-12.999484021368557,-5.555378258675185,-60.24277856060026,-60.25806277283776,0.0
70,0.9198350071736011,-95.16595474778273,-94.1478486130333,-5.263660117647644,-5.119526592781576,-24.4078954200665,-26.27384153805144,-4.666472596137099,-3.5852443395312417,-0.43481018010767114,-54.788638302249836,-60.187084970711545,0.0
71,0.9220950836411689,-98.51227191618743,-95.6578145313358,-6.568778075975002,-4.406637693290138,-25.700519428980506,-25.88477424842663,-3.755132254773434,-1.8308854209773908,-0.6058539765215281,-55.16934177214282,-62.440478050489084,0.0
72,0.9253104618958278,-100.70278647780698,-97.82047661412174,-5.5510835560450165,-4.349214727911347,-26.377628304306526,-26.43127839972266,-4.168593802550934,-4.254282358635026,-0.34739223781429984,-50.5045629951632,-64.61815557675472,0.0
73,0.925386114859799,-103.54988410779728,-98.33287005950662,-6.043108928973238,-3.511499854261089,-26.398497228565162,-26.87572435217661,-5.510915409403634,-2.1178542130201783,-1.3404763856168513,-50.75666718879003,-66.19448385356706,0.0
74,0.9181283037001442,-104.73199126563084,-100.87910676794999,-7.2079685811959076,-3.299823001384578,-26.10533737094882,-27.484949766003083,-6.893516116393362,-6.58928071629714,-2.150378325275569,-59.68476191416377,-67.97428879694272,0.0
75,0.924219732822141,-107.64892120404268,-102.64106822608268,-5.169246308111952,-5.998959319148482,-25.27787479184902,-28.95623792139608,-4.313197140036321,-1.7058218792689988,-0.31068932304117314,-62.842692098559155,-69.88428319301374,0.0
76,0.9189874947139491,-108.6544480097549,-103.03977019613383,-5.8177261214739096,-4.577912439407906,-26.116517937358523,-28.840043211218173,-14.935766864835879,-10.615139224228392,-3.679979813213054,-67.81995532611224,-71.70106814466551,0.0
77,0.922838096977445,-110.30955543635152,-103.84610580860868,-5.730392927071357,-3.664379823381835,-27.62637550325444,-28.285333115079286,-3.194378107967908,-0.038135580207406365,-0.017075632928689417,-61.80895023459581,-71.73788726644253,0.0
78,0.9210653899763651,-114.3093967607437,-106.45825283430754,-9.586308861368856,-4.00157713594049,-28.61532580652296,-29.221122365062378,-12.726569394113286,-12.351543865751342,-3.816102518446893,-64.21616184574505,-76.596295953226,0.0
79,0.9174433686242572,-117.94161282111948,-107.84292094687594,-10.02707256324827,-5.3226286565571534,-28.692499797745935,-30.798499468070883,-22.1973649256403,-21.94777774189115,-8.556963942535463,-71.364966854096,-79.65766219975079,0.0
80,0.9105951347954879,-119.27559239556926,-110.43354106702782,-6.294657321993947,-8.198625176045422,-28.465495448130163,-32.3734795820887,-24.093933033358713,-23.857183026716665,-8.879517751898456,-72.84701212553324,-81.1179349067654,0.0
81,0.9253451198837491,-116.88942078002428,-108.63564338179229,-4.931650123310653,-5.399268377515702,-28.308174750872418,-32.60268871953705,-3.618866566295182,-2.4734363475420307,0.0,-55.661393395329426,-76.6042929693409,0.0
82,0.9245004611128189,-119.08170402259272,-110.87481345202288,-7.207029895800913,-3.600258496891873,-28.39516347115205,-32.42909732018915,-4.749706893539536,-1.7491607747118503,-3.1894983341444374,-65.58737094660383,-78.47072623920215,0.0
83,0.922098713224189,-121.95645806944795,-112.61386106530956,-4.5684768124976065,-7.135537569835122,-28.116028704233784,-33.96831037056355,-15.79671487274306,-12.395908055759442,-7.553504215818862,-67.63473189640764,-81.21708656695724,0.0
84,0.9250461941944329,-121.25239422146763,-112.37906112957603,-8.176190645710179,-1.6054558374159185,-28.995986347065404,-33.01196506850717,-9.873082883276025,-2.2388865673094904,-2.842404599963724,-64.62722989097605,-79.96830922324106,0.0
85,0.9214544357272179,-126.22702275404751,-113.95985551704723,-7.229327642169327,-4.403736973399907,-29.73917318436242,-34.262685479427326,-26.35261975873916,-17.210622829060153,-9.998319944384667,-68.99854503187541,-85.34614784278345,0.0
86,0.925995457986374,-125.61118861632258,-112.69637969783416,-6.3601521825406815,-2.9457740430536212,-29.92644828111649,-33.96441771589898,-14.138580971390429,-4.5100060930833115,-1.0088300107251054,-69.13082926383079,-83.66138977582877,0.0
87,0.9256130790190735,-131.03511556255987,-116.1685254169084,-8.973101214892187,-3.8276867496304665,-30.6285960565376,-34.511788539019136,-17.26505507991314,-14.731127741052642,-7.732446283137168,-69.09752640764123,-87.96228990415074,0.0
88,0.9257605870661978,-133.18372529084897,-117.39419451652027,-7.937961972041805,-3.8257758948611955,-30.785999814532303,-35.369305077201815,-12.06914219548366,-9.30679865093272,-3.9056187580163044,-67.96951456339859,-88.48643729373698,0.0
89,0.9296896045975636,-134.504599396361,-116.38841672293285,-3.5933918589332388,-5.347958837970828,-30.514632307939905,-36.41210828076024,-4.376316422099655,-0.7487579680741403,0.0,-63.185379799257795,-88.40588850782692,0.0
90,0.9170103247945577,-140.94014004211337,-119.9608313879894,-8.637732151328176,-6.474178801911,-31.631599765043756,-37.761892320747855,-27.92546984706991,-22.73014430887573,-12.435130534997878,-76.31506173872832,-96.09682424190729,0.0
91,0.9296287159245097,-138.660696631456,-119.4884266316469,-6.692505090054532,-5.730834584233522,-31.732349143244274,-37.291419160410506,-19.756808243626384,-13.309551820071068,-7.647329541222577,-70.72394237465039,-93.47644881329954,0.0
92,0.9262255639097744,-138.60857757592083,-118.97096803555061,-4.846618777958096,-4.888060618435077,-32.23607186010559,-37.35278964131257,-18.405103300281038,-11.845904639500352,-5.543172621907559,-72.02696322270036,-93.12422407247617,0.0
93,0.914979145257813,-141.70070010868957,-121.06333831539828,-7.654887806846642,-4.616372613764416,-33.62478311932764,-38.06025227989833,-23.462092892665773,-14.963926402669761,-10.250459155329025,-78.29451822169523,-96.59440213661776,0.0
94,0.930651956475616,-139.85325522226967,-120.32980171252004,-4.755198487988068,-3.5956945626937133,-33.72536345860677,-38.474682439832755,-7.339052150713365,0.0,-0.07568480414153672,-74.14332347735854,-93.16005641624726,0.0
95,0.9211099679235005,-144.76944326723296,-123.27829240192854,-4.494474448090098,-6.882482539070581,-34.11234395022925,-39.27038291521065,-28.002096276268016,-22.304566728953418,-9.011302540072458,-92.1382344914462,-99.78695728823598,0.0
96,0.9323800654870978,-143.1589411818754,-122.25373926463043,-5.970157883311335,-3.741847859726394,-34.46841802327044,-39.00247582486568,-12.777964148514688,-5.984190638445694,-0.6674345471849266,-83.79395256624314,-97.58483252772113,0.0
97,0.9269064921750143,-144.28899983260905,-121.7253733966273,-9.381756821134681,-0.7640501772695344,-35.02277869586897,-40.191199318069216,-10.771330128904168,-4.4973181292475,-0.1609244785528186,-79.06421040759989,-96.9582303741199,0.0
98,0.9223292205838098,-150.21175897463903,-126.61522412261625,-10.247567907205898,-4.522512679544538,-35.152383026882795,-41.70014730216948,-26.759147943765228,-20.460173591213742,-8.095397984991394,-78.89164385177956,-102.77929678332407,0.0
99,0.9279341942117519,-150.52828145075813,-126.39531780665217,-7.30749992423607,-6.44353854674827,-35.12747976539096,-42.01438284802871,-20.69711439783223,-14.45862733113096,-5.206216773944869,-79.43985377180265,-102.64579840106649,0.0
100,0.9243855767505831,-150.1776657490767,-127.64390097053088,-10.30221744459457,-4.067218168350505,-35.922244618211145,-41.54426129342494,-27.407633558306873,-22.009001021604842,-7.4770171960223815,-84.50772301163246,-102.60894099074912,0.0
