episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9303460886778843,-2.53688119324206,-0.019238778393988364,-0.007591716739175275,-0.004265446092354042,-0.005475865647850462,-0.004148830634070015,-5.67324170822563e-05,-5.06724898216427e-05,-0.01262282396392797,-0.00016382398007190206,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9287529254429956,-2.573659171326206,-0.03823245660132481,-0.015172480284106948,-0.008414274457467286,-0.010422419988254376,-0.007910984567286046,-0.00011776138671288842,-8.434797396870625e-05,-0.024371570744613387,-0.00042329496140000984,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9271487679447878,-2.610186178697386,-0.05728665133174773,-0.02267493031527194,-0.012595504487043606,-0.01573467786266934,-0.011929619651567844,-0.00017299975849178627,-0.00013204799231504317,-0.03575527087386692,-0.0007755618181097071,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9331379772270596,-2.642247721402652,-0.07381434515159463,-0.02932837507364083,-0.016108613798420213,-0.020507957020504366,-0.015273538239762434,-0.00022540415449070401,-0.00017412408034920434,-0.04631028077431329,-0.001211455104292681,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9278944926767844,-2.6765560827277404,-0.0915088355013285,-0.036488195715050624,-0.019995097150132604,-0.025774255868470732,-0.019184019556570585,-0.0002837957173840065,-0.0002252660249370825,-0.059253493850721234,-0.0013536833331406384,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9301103168890302,-2.7084057567236517,-0.10814983705259316,-0.043285200427149007,-0.023688434886828695,-0.030428579039474477,-0.02269399960162373,-0.00034232330133391963,-0.00026073196453860897,-0.07015604438941658,-0.001675708815178553,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.92740639024717,-2.7407761951125975,-0.1250025997915752,-0.05017394044846417,-0.02723321442016855,-0.03526073980329507,-0.026279760222415804,-0.00039844166047528154,-0.00031290602779333816,-0.08198006434783138,-0.0019301585862448937,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.929532607426923,-2.771488902979103,-0.14094627760138653,-0.056497137730190744,-0.03066103226826641,-0.03962332138176905,-0.029692072150582203,-0.0004466580698962132,-0.00034567048399824314,-0.09137900069127335,-0.0025686457258194922,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9330935739974214,-2.799107174865991,-0.15514283730435385,-0.06214377628561972,-0.03385031901863009,-0.04362505953151475,-0.03270548913522977,-0.00048599512950415867,-0.0003821983133260218,-0.10002578859504284,-0.0029310125065048747,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.928843923835773,-2.8281827219808084,-0.17024536896776327,-0.06809422706603166,-0.03726629453031584,-0.047754161933643825,-0.035782123053930935,-0.0005228807298988869,-0.0004129335863134293,-0.10816633387171909,-0.003440815284488804,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9218322047283787,-2.8597410633912035,-0.1867607985225092,-0.07483315322458356,-0.04081366654597819,-0.052488280967066495,-0.03950363537315261,-0.0006011345441905023,-0.0004607673498582396,-0.12064385325643734,-0.004018190703979822,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.923884337835792,-2.889737585534643,-0.20268740100528435,-0.08134073188787437,-0.04420858613026243,-0.056993693537245725,-0.04294214322850847,-0.0006526118796535168,-0.0005067737171172608,-0.13162326637350932,-0.004539167171695022,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.932687765706188,-2.914992471010616,-0.2158043992406214,-0.08657938614211165,-0.0471946970052435,-0.060644438003797964,-0.04582865042625824,-0.0006877559091544766,-0.0005403882399692552,-0.13932169174805123,-0.004864946256591059,0.007346,0.01,0.0,0.97,100,10,1,11
13,0.9310020174848689,-2.940474496529271,-0.22929992969388102,-0.09196607094112763,-0.05017037441787043,-0.06419645513604347,-0.04864573291665794,-0.0007356288530709487,-0.000569110557490333,-0.14835609040452724,-0.0051338425654414745,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9332866105993859,-2.96458270913639,-0.2419158162322649,-0.09704541531366055,-0.05294204206011371,-0.06761207640000333,-0.05130927952458973,-0.000767945646477703,-0.0005974822439041562,-0.15630524223770842,-0.005512501989881978,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.931590348093295,-2.98870081561931,-0.2544676786803681,-0.10200805990367108,-0.0557750564262279,-0.07110317937435116,-0.053956941614330046,-0.00080860785980547,-0.0006275889916527924,-0.16397069708658862,-0.005722974202238868,0.006889,0.01,0.0,0.97,100,10,1,11
16,0.9252377272269077,-3.0149432289118288,-0.26809178564253283,-0.10767575879717102,-0.05854010095328112,-0.07531470775238375,-0.05688415389698859,-0.0008588760359473288,-0.0006713602578927784,-0.17424960256777716,-0.0060650025349312945,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9297934205632755,-3.038596536070973,-0.28022052005592785,-0.11252578770595427,-0.0611106221807998,-0.07889788159079784,-0.059568572915032314,-0.0008949905491377221,-0.0007048303465070416,-0.18239001906717273,-0.006227168748356486,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9218841183826595,-3.065010605394056,-0.2939461885315483,-0.11809237882121798,-0.0639957488438231,-0.08305209332251197,-0.06264157947267582,-0.0009491030874222655,-0.0007411019626462175,-0.19174160100446472,-0.00643823164460582,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9304786493188844,-3.0874562599732327,-0.30551443588429017,-0.12272774432842194,-0.06657700272959964,-0.08627748634459878,-0.06506641912489709,-0.0009763814913025301,-0.0007691411886467447,-0.19809647515027162,-0.0069559497949584015,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.930730941404423,-3.1097481014148425,-0.3170667338125229,-0.1274747624302631,-0.06895161549666694,-0.08953549279268166,-0.06753708102446536,-0.0010175675805217494,-0.0007985771299668842,-0.2062800036476157,-0.0072874144829672164,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9315740347899872,-3.1307451455226247,-0.3281303483675749,-0.13192198262211996,-0.0713669656517504,-0.09255663370960372,-0.06976004500767423,-0.0010537322779575397,-0.0008252151942468082,-0.21358860445493832,-0.007550926549379556,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9336096810857792,-3.150968812950539,-0.3384041249453566,-0.13600335835017013,-0.07358825480788275,-0.09551966718816356,-0.07186852625984734,-0.001079373562152945,-0.000853738549913342,-0.21946908162315956,-0.007849536697260646,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9231365282573907,-3.1741921775360447,-0.35059829458906167,-0.14099986612897097,-0.07621237250508403,-0.09890574814564042,-0.07440104178310768,-0.0011169140233371858,-0.0008832535307970068,-0.22738878621330177,-0.008059717668006623,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9327031884443853,-3.194066395384196,-0.3608090727908247,-0.14508883314624232,-0.07850383520272279,-0.10184659468116523,-0.07662767768585697,-0.0011444628820070281,-0.0009072785069225416,-0.23331810186453888,-0.008370040099399565,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9275577279622451,-3.21501338972048,-0.37162705281989467,-0.14942168162907873,-0.080829447652777,-0.10494703282573156,-0.07894251115303585,-0.0011787422910305519,-0.0009366869153380176,-0.24060441896885087,-0.008692020513386668,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9194624090541633,-3.2382273111613133,-0.38398117656355985,-0.154517699207269,-0.08346079878397238,-0.10841244536651581,-0.08149278643861113,-0.0012234455382304367,-0.000968351026139323,-0.24910404886967052,-0.008853479140099573,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9338453336887349,-3.256618269257843,-0.39359706150045776,-0.15839801057194505,-0.08560734225883196,-0.1110865468119453,-0.08345398715701839,-0.0012542610118367937,-0.0009879689296818483,-0.2549178165257959,-0.009053129325634042,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9287926738940139,-3.2761719509693714,-0.40374118489056326,-0.16252379461276664,-0.08783610399545341,-0.11404537612007455,-0.08564897392707334,-0.001287808557734436,-0.0010143894323525525,-0.26123778988695606,-0.009218207212735488,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9321137462968851,-3.294479824669123,-0.4131097366756423,-0.1663004870923238,-0.08981038823639244,-0.11673301041206151,-0.08770329934382434,-0.001319488785651036,-0.0010360005057860693,-0.26745153456379567,-0.009380360818879078,0.005339,0.01,0.0,0.97,100,10,1,11
