episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.923909226215362,-2.540249351122137,-0.040249351122137164,-0.020818739351374096,-0.009041938469896559,-0.006537323095165266,-0.003780474722147483,0.01,0.01,0.0,0.97,100,11,0,11
1,0.9202367341448652,-2.581083258440107,-0.08108325844010696,-0.04173320085599723,-0.018353632739438706,-0.013086407335185044,-0.00735494902461345,0.009708,0.01,0.0,0.97,100,11,0,11
2,0.9178226779252111,-2.6218009479375235,-0.12180094793752388,-0.06241743770921868,-0.027709139268333214,-0.019653063333009733,-0.011065093560126929,0.009432,0.01,0.0,0.97,100,11,0,11
3,0.9228246867314673,-2.6595568517939157,-0.15955685179391638,-0.08162586957819913,-0.03608946409321623,-0.025485221694983663,-0.014282038299079744,0.009172,0.01,0.0,0.97,100,11,0,11
4,0.9217248691272945,-2.6971430616397454,-0.19714306163974604,-0.10107473422461036,-0.04475339965436204,-0.03161815691050699,-0.017559454880045938,0.008925,0.01,0.0,0.97,100,11,0,11
5,0.9172608884871615,-2.735142922210153,-0.23514292221015412,-0.12059122637029183,-0.0532734584905575,-0.03756578820999874,-0.021048123419412475,0.008692,0.01,0.0,0.97,100,11,0,11
6,0.9251192663643566,-2.7682640122257682,-0.26826401222576945,-0.1372825338953204,-0.0605973137440676,-0.04287669682161177,-0.02388558369248967,0.00847,0.01,0.0,0.97,100,11,0,11
7,0.9191034932962857,-2.803274019022236,-0.3032740190222372,-0.1551840988204976,-0.06859620831452205,-0.048306197322039716,-0.02710643559243549,0.00826,0.01,0.0,0.97,100,11,0,11
8,0.9282819891151388,-2.83275417615299,-0.33275417615299135,-0.17026375217633305,-0.0752910157272045,-0.052891848697084104,-0.029594236036391032,0.008059,0.01,0.0,0.97,100,11,0,11
9,0.9247097120612122,-2.8632168548205863,-0.363216854820588,-0.18562109282763936,-0.08211182128022694,-0.05780107045049692,-0.03240049053612094,0.007868,0.01,0.0,0.97,100,11,0,11
10,0.9135918579849857,-2.8981673602248628,-0.398167360224865,-0.20359762264291248,-0.09053985008103925,-0.0636730090293124,-0.03541984601583503,0.007686,0.01,0.0,0.97,100,11,0,11
11,0.9217734056530674,-2.9283307219007675,-0.42833072190076954,-0.2190542010511192,-0.09742258922409691,-0.06828572843190922,-0.03796182799660669,0.007513,0.01,0.0,0.97,100,11,0,11
12,0.9268687413601268,-2.955156256990963,-0.4551562569909646,-0.23271491273875053,-0.10340981637940592,-0.07252265701887592,-0.04047432968160183,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9238902055704032,-2.983079886091462,-0.48307988609146446,-0.2466535133496878,-0.10967591587936254,-0.0767808944785475,-0.04287212842441382,0.007188,0.01,0.0,0.97,100,11,0,11
14,0.9251144922916912,-3.009153589744682,-0.5091535897446844,-0.2599223678692184,-0.11522855095341705,-0.08069005509764057,-0.04521558290213481,0.007035,0.01,0.0,0.97,100,10,0,10
15,0.927717309272645,-3.0344500766004487,-0.5344500766004513,-0.2727562458101847,-0.12090570017146635,-0.08468479601497934,-0.04739385342548513,0.006889,0.01,0.0,0.97,100,11,0,11
16,0.9245330514021044,-3.0605576325174404,-0.5605576325174432,-0.2862171345156166,-0.1269367792629673,-0.08878509202562411,-0.049622181473601056,0.006749,0.01,0.0,0.97,100,11,0,11
17,0.9258245934032527,-3.0848029901893868,-0.5848029901893899,-0.29863490932832665,-0.13240852746077625,-0.09256933345049922,-0.05167021921004857,0.006615,0.01,0.0,0.97,100,11,0,11
18,0.9248233097746366,-3.109539940206024,-0.6095399402060272,-0.3112305025726467,-0.13798351514401486,-0.09641997942000291,-0.05386232100929692,0.006486,0.01,0.0,0.97,100,11,0,11
19,0.9238340913719367,-3.1336525769647396,-0.6336525769647434,-0.32337291375727506,-0.14329662118218367,-0.100216741359329,-0.056121434222528854,0.006362,0.01,0.0,0.97,100,11,0,11
20,0.9217608771261532,-3.1586055120451326,-0.6586055120451364,-0.3361761369470863,-0.14884355081144376,-0.1041563276641954,-0.05842068713478219,0.006242,0.01,0.0,0.97,100,11,0,11
21,0.923506165301311,-3.1818144408160856,-0.6818144408160891,-0.34791514301374776,-0.15410928026093648,-0.10784587687641035,-0.06062603489989747,0.006127,0.01,0.0,0.97,100,11,0,11
22,0.9281567367698974,-3.203493180779343,-0.7034931807793465,-0.35889333796063405,-0.15868940855766733,-0.11110127325760347,-0.06254211764082403,0.006016,0.01,0.0,0.97,100,11,0,11
23,0.9212212144711555,-3.2268372053968886,-0.7268372053968921,-0.3711091256513081,-0.1639983115853943,-0.1146659573886443,-0.06476385985087907,0.005909,0.01,0.0,0.97,100,11,0,11
