episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-2.0143091526813808,-0.7366727717511822,-0.6277983749285341,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9392414977256981,-2.437203984131665,-0.9035495188712457,-0.7431323491109838,0.098228,0.1,0.198803,0.2,1277,740,1231,33197,37944,37939,0,0,0,0,3748,3757,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9407880915938898,-2.77807409506525,-1.034595331936585,-0.8350445818045537,0.096518,0.1,0.197613,0.2,1245,728,1450,33321,38101,38086,0,0,0,0,3870,3858,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9314957802118873,-3.0731321205194204,-1.1579148496760943,-0.9208308204371297,0.094867,0.1,0.19643,0.2,1442,847,1530,33414,38121,38119,0,0,0,0,3798,3798,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.937830340195649,-3.207979146379915,-1.2280393624110122,-0.9544290683535224,0.093271,0.1,0.195254,0.2,1371,758,1379,34245,38981,38977,0,0,0,0,3864,3880,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.941432720232333,-3.292538136469118,-1.273893636670608,-0.9711247811945111,0.091728,0.1,0.194086,0.2,1283,653,1306,33056,37986,37980,0,0,0,0,3810,3811,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9380257149723624,-3.3612934807868586,-1.3208978320622107,-0.993850866225303,0.090235,0.1,0.192924,0.2,1362,701,1494,33288,38158,38153,0,0,0,0,3879,3873,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9396778828882768,-3.2975662008709414,-1.344732696027259,-0.9695666619553137,0.08879,0.1,0.191769,0.2,1291,724,1535,33404,38131,38126,0,0,0,0,3834,3830,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9403294619578099,-3.2435611085892933,-1.368250056552892,-0.9401946570381386,0.087391,0.1,0.190621,0.2,1353,661,1352,33752,38525,38518,0,0,0,0,3868,3887,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9372193227333414,-3.227642500482063,-1.3813192288461416,-0.9236812092979241,0.086034,0.1,0.189481,0.2,1371,698,1371,32956,37683,37679,0,0,0,0,3742,3725,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9374906758167985,-3.412034524806591,-1.4611615256879324,-0.9759821583959507,0.08472,0.1,0.188346,0.2,1235,860,1386,33515,38464,38460,0,0,0,0,3738,3741,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9452493058070748,-3.384914544835374,-1.473953682347302,-0.9615040502037093,0.083445,0.1,0.187219,0.2,1162,652,1310,33132,38020,38012,0,0,0,0,3845,3835,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9416517870653391,-3.3330783815947767,-1.474030547673661,-0.9477491641957861,0.082208,0.1,0.186098,0.2,1267,661,1456,33043,37959,37956,0,0,0,0,3801,3799,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9314148681055155,-3.631756646665588,-1.6006812094480751,-1.0378434278404631,0.081006,0.1,0.184985,0.2,1473,815,1385,33360,38054,38043,0,0,0,0,3856,3858,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.933257444131568,-3.6587369588867173,-1.6217133623853512,-1.0496342310006719,0.07984,0.1,0.183877,0.2,1420,808,1256,33382,38066,38060,0,0,0,0,3784,3769,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9379337278817557,-3.604738343396956,-1.6253836297849675,-1.0323125667866346,0.078707,0.1,0.182777,0.2,1404,662,1452,33287,37958,37950,0,0,0,0,3796,3787,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9427815593139732,-3.5985373682154265,-1.6439206374920146,-1.0277032862551592,0.077605,0.1,0.181683,0.2,1232,693,1241,33643,38477,38471,0,0,0,0,3877,3897,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
