seed,bike_id,component_type,odometer_km,total_distance_km,damage_status,is_available
1000,B306,Body & Accessories,28.355659696025665,299.49049582669267,,True
1000,B306,Drivetrain,299.49049582669267,299.49049582669267,,True
1000,B306,Steering & Chassis,299.49049582669267,299.49049582669267,,True
1000,B306,Wheels & Tires,299.49049582669267,299.49049582669267,,True
1000,B306,Braking System,299.49049582669267,299.49049582669267,,True
1000,B306,Electronics,299.49049582669267,299.49049582669267,,True
1000,B306,Locking System,299.49049582669267,299.49049582669267,,True
1000,B701,Body & Accessories,281.37210860893686,281.37210860893686,,True
1000,B701,Drivetrain,281.37210860893686,281.37210860893686,,True
1000,B701,Steering & Chassis,231.92948059523482,281.37210860893686,,True
1000,B701,Wheels & Tires,281.37210860893686,281.37210860893686,,True
1000,B701,Braking System,281.37210860893686,281.37210860893686,,True
1000,B701,Electronics,281.37210860893686,281.37210860893686,,True
1000,B701,Locking System,281.37210860893686,281.37210860893686,,True
1000,B767,Body & Accessories,291.9724685348896,291.9724685348896,,True
1000,B767,Drivetrain,291.9724685348896,291.9724685348896,,True
1000,B767,Steering & Chassis,291.9724685348896,291.9724685348896,,True
1000,B767,Wheels & Tires,291.9724685348896,291.9724685348896,,True
1000,B767,Braking System,291.9724685348896,291.9724685348896,,True
1000,B767,Electronics,291.9724685348896,291.9724685348896,,True
1000,B767,Locking System,291.9724685348896,291.9724685348896,,True
1000,B481,Body & Accessories,280.3240877097573,280.3240877097573,,True
1000,B481,Drivetrain,280.3240877097573,280.3240877097573,,True
1000,B481,Steering & Chassis,280.3240877097573,280.3240877097573,,True
1000,B481,Wheels & Tires,280.3240877097573,280.3240877097573,,True
1000,B481,Braking System,280.3240877097573,280.3240877097573,,True
1000,B481,Electronics,280.3240877097573,280.3240877097573,,True
1000,B481,Locking System,280.3240877097573,280.3240877097573,,True
1000,B54,Body & Accessories,283.31093028899664,283.31093028899664,,True
1000,B54,Drivetrain,283.31093028899664,283.31093028899664,,True
1000,B54,Steering & Chassis,220.7980985270131,283.31093028899664,,True
1000,B54,Wheels & Tires,283.31093028899664,283.31093028899664,,True
1000,B54,Braking System,283.31093028899664,283.31093028899664,,True
1000,B54,Electronics,283.31093028899664,283.31093028899664,,True
1000,B54,Locking System,283.31093028899664,283.31093028899664,,True
1000,B213,Body & Accessories,288.40114942447667,288.40114942447667,,True
1000,B213,Drivetrain,288.40114942447667,288.40114942447667,,True
1000,B213,Steering & Chassis,288.40114942447667,288.40114942447667,,True
1000,B213,Wheels & Tires,288.40114942447667,288.40114942447667,,True
1000,B213,Braking System,288.40114942447667,288.40114942447667,,True
1000,B213,Electronics,288.40114942447667,288.40114942447667,,True
1000,B213,Locking System,288.40114942447667,288.40114942447667,,True
1000,B734,Body & Accessories,268.7754616202607,268.7754616202607,,True
1000,B734,Drivetrain,268.7754616202607,268.7754616202607,,True
1000,B734,Steering & Chassis,268.7754616202607,268.7754616202607,,True
1000,B734,Wheels & Tires,91.22395273274157,268.7754616202607,,True
1000,B734,Braking System,268.7754616202607,268.7754616202607,,True
1000,B734,Electronics,268.7754616202607,268.7754616202607,,True
1000,B734,Locking System,268.7754616202607,268.7754616202607,,True
1000,B232,Body & Accessories,238.3078586997818,238.3078586997818,,True
1000,B232,Drivetrain,238.3078586997818,238.3078586997818,,True
1000,B232,Steering & Chassis,29.79895263701652,238.3078586997818,,True
1000,B232,Wheels & Tires,238.3078586997818,238.3078586997818,,True
1000,B232,Braking System,238.3078586997818,238.3078586997818,,True
1000,B232,Electronics,238.3078586997818,238.3078586997818,,True
1000,B232,Locking System,238.3078586997818,238.3078586997818,,True
1000,B42,Body & Accessories,242.29915665172547,242.29915665172547,,True
1000,B42,Drivetrain,242.29915665172547,242.29915665172547,,True
1000,B42,Steering & Chassis,242.29915665172547,242.29915665172547,,True
1000,B42,Wheels & Tires,159.46570520408994,242.29915665172547,,True
1000,B42,Braking System,242.29915665172547,242.29915665172547,,True
1000,B42,Electronics,98.42796109684218,242.29915665172547,,True
1000,B42,Locking System,242.29915665172547,242.29915665172547,,True
1000,B270,Body & Accessories,286.5937685600576,286.5937685600576,,True
1000,B270,Drivetrain,286.5937685600576,286.5937685600576,,True
