component_type,num_seeds,avg_count,avg_min,avg_mean,avg_max,avg_std,avg_p05,avg_p50,avg_p95
Body & Accessories,3,726.6666666666666,0.0,236.8397514974952,345.04577182154543,74.21078478545272,50.125548236418744,261.9208276219602,305.0578952095884
Braking System,3,726.6666666666666,0.17169286751530974,249.32198394143427,345.04577182154543,60.02514996298711,102.33926487923547,263.906297546476,306.6068674054239
Drivetrain,3,726.6666666666666,0.0,234.8096739443,345.04577182154543,74.86077431275703,51.122050172390296,260.31106844845357,305.3421680125369
Electronics,3,726.6666666666666,0.0,242.94093769027725,345.04577182154543,67.42944262199465,71.46487109276173,263.0876793536224,306.0966398155418
Locking System,3,726.6666666666666,1.3782101795142143,248.76089570238616,339.315477690041,59.92127551525201,99.52161008349321,264.0425063050486,306.30322530527343
Steering & Chassis,3,726.6666666666666,0.0,236.73951399345265,345.04577182154543,73.69970577646741,53.06454871372902,261.30062761362325,305.3089115440396
Wheels & Tires,3,726.6666666666666,0.0,240.13570193627217,345.04577182154543,71.16520616627626,52.77151350122068,262.20255359943144,305.8734460294208
