component_type,seed,count,min_odometer,mean_odometer,max_odometer,std_odometer,p05_odometer,p50_odometer,p95_odometer
Body & Accessories,1000,713,0.0,240.57194112362097,340.22517599107454,74.45026812774063,52.88230639048824,265.873534068575,307.15586509689626
Braking System,1000,713,0.0,252.1155228585535,340.22517599107454,60.66740886950927,91.40593320444059,267.747054530869,307.17595384175814
Drivetrain,1000,713,0.0,234.1251661651949,340.22517599107454,77.97548862787794,47.201701439462205,261.8763581560067,306.5838916890381
Electronics,1000,713,0.0,245.8558047481938,340.22517599107454,68.6027215965525,67.33262677098779,267.52761328365,306.95624457290245
Locking System,1000,713,0.0,250.5374029943472,340.22517599107454,62.58240032795812,91.47099791891794,267.7709011882684,307.7113372377276
Steering & Chassis,1000,713,0.0,239.08466680220403,340.22517599107454,75.89710583731603,44.930392874162024,264.7965148333498,306.7803806917067
Wheels & Tires,1000,713,0.0,243.59387312619515,340.22517599107454,70.83066899073829,53.34589005180213,265.04106113331545,307.17595384175814
Body & Accessories,1001,745,0.0,234.41542387324932,339.5425906308417,71.00728170450053,55.864477371009556,258.0037376267425,301.9287294414573
Braking System,1001,745,0.0,246.634784817726,339.5425906308417,58.51666640961306,114.87910629604156,259.9771677434649,303.8384951347534
Drivetrain,1001,745,0.0,232.582496844202,339.5425906308417,71.58579434211292,44.7722834652579,256.52418545385393,301.75840453228534
Electronics,1001,745,0.0,241.03662860027418,339.5425906308417,62.71248905282659,85.86572243353923,258.36425096033497,303.66864911554467
Locking System,1001,745,0.0,244.9382928775761,322.3517082363285,57.48084614679356,110.44564345386065,259.4963943419259,302.76543159476057
Steering & Chassis,1001,745,0.0,236.4894049921713,339.5425906308417,68.47987949948748,63.49698691132639,257.3413578781609,302.01147716317234
Wheels & Tires,1001,745,0.0,236.4453970243719,339.5425906308417,70.1606449914219,45.847120666795774,258.6590452282651,302.01147716317234
Body & Accessories,1002,722,0.0,235.53188949561533,355.36954884272,77.17480452411698,41.62986094775844,261.8852111705631,306.0890910904117
Braking System,1002,722,0.5150786025459292,249.21564414802336,355.36954884272,60.89137460983899,100.73275513722429,263.99467036509424,308.8061532397601
Drivetrain,1002,722,0.0,237.72135882350307,355.36954884272,75.02103996828022,61.392165612450775,262.53266173549997,307.6842078162872
Electronics,1002,722,0.0,241.93037972236382,355.36954884272,70.97311721660485,61.19626407375816,263.37117381688216,307.6650257581782
Locking System,1002,722,4.134630538542643,250.8069912352352,355.36954884272,59.70058007100437,96.64818887770102,264.8602233849515,308.432907083332
Steering & Chassis,1002,722,0.0,234.64447018598258,355.36954884272,76.72213199259873,50.76626635569863,261.764010129359,307.13487677723975
Wheels & Tires,1002,722,0.0,240.3678356582494,355.36954884272,72.50430451666858,59.121529785064126,262.90755443671384,308.432907083332
