episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-2.0143091526813808,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.939318570015882,-2.481759228508506,0.097486,0.1,0.198291,0.2,1386,639,1327,33371,38009,38003,0,0,0,0,3831,3849,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9370761002718934,-2.835961661603008,0.095095,0.1,0.196596,0.2,1267,839,1440,33469,38227,38225,0,0,0,0,4021,4018,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9420740829393812,-3.032505950318273,0.092819,0.1,0.194915,0.2,1335,601,1324,33422,38236,38234,0,0,0,0,3869,3879,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9396744811109452,-3.2278648083529093,0.090649,0.1,0.19325,0.2,1195,825,1349,33485,38397,38388,0,0,0,0,3822,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9387693423597678,-3.451515987660208,0.088579,0.1,0.191598,0.2,1276,750,1338,33088,38025,38020,0,0,0,0,3915,3904,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9334604157979389,-3.6992835942027895,0.0866,0.1,0.18996,0.2,1414,820,1510,33574,38392,38380,0,0,0,0,3968,3969,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9351236452907011,-3.8024282882691267,0.084709,0.1,0.188337,0.2,1378,789,1548,33402,38042,38037,0,0,0,0,4003,4000,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.930720742150333,-3.961243908607532,0.082898,0.1,0.186727,0.2,1536,794,1432,33632,38222,38217,0,0,0,0,4066,4085,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9377431906614786,-4.036236842121625,0.081163,0.1,0.185131,0.2,1340,740,1335,33410,38168,38159,0,0,0,0,4148,4130,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
