episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9368351264201549,-0.37694853027066955,-0.31236392583031414,-0.2555331264965311,-0.1983723959994943
1,0.9386213690778279,-0.6957985310107634,-0.5769600108788253,-0.4715082216317175,-0.3788091099303408
2,0.929239224588548,-1.0681693226866475,-0.893055992810836,-0.7033564161286645,-0.591024629743224
3,0.9319740058427234,-1.3997652394028939,-1.16603705759669,-0.9116883772472519,-0.7652447323952672
4,0.9360790774299835,-1.648695011457712,-1.3735877129269993,-1.057603875812942,-0.9127409158474221
5,0.9341573858768817,-1.8946421828565676,-1.5738335870743214,-1.2090145328681676,-1.0466399951129821
6,0.9342333193954961,-2.135859165554108,-1.765836306931219,-1.3525739140114033,-1.1964503779565365
7,0.9342523224453102,-2.3546038469919948,-1.9378223115524398,-1.4791101002275395,-1.3114591759548555
8,0.9378241430700447,-2.548296141203469,-2.1017722041645217,-1.5882679583727022,-1.4251062938156458
9,0.9448804636561217,-2.6623429064831696,-2.1906699646696195,-1.6706851821378317,-1.5060393378982613
10,0.9381319571544301,-2.8209361999000384,-2.3360032224863687,-1.7544263717476587,-1.5976979555681687
11,0.9357311678080116,-2.9545983936045865,-2.449633809935878,-1.8426088120496067,-1.6788156657178976
12,0.9319013476928569,-3.124834918318055,-2.599233747253508,-1.9448863551891105,-1.76491351868692
13,0.9329557034106576,-3.2755545161813586,-2.7308443050570936,-2.031889216600696,-1.8465828096467447
14,0.9281823134192846,-3.426821863587852,-2.855458675156466,-2.1543646779867585,-1.9517469612948728
15,0.941202699087423,-3.516935963220988,-2.9142041134002037,-2.196082965811887,-2.007550081682451
16,0.9392010994592334,-3.6054202948396328,-2.982901400962662,-2.2282925424869604,-2.065741863403557
17,0.9337635054021609,-3.743988041990044,-3.0911323479622674,-2.2997232661854126,-2.136509410930301
18,0.9367191011235955,-3.844584682107737,-3.1831758100005363,-2.376454755330517,-2.19843495926429
19,0.9347258485639687,-3.97124514169839,-3.276778687787807,-2.4583654222140767,-2.270711939117491
20,0.9391142823446161,-4.0496634162384195,-3.3308131818067843,-2.507189215508221,-2.3230566071611594
21,0.9433581580274752,-4.094618611198589,-3.3752283145764768,-2.506951053754836,-2.342769155829254
22,0.9369926555856204,-4.188703424016369,-3.454938055692388,-2.555941371887124,-2.3927180586757686
23,0.9348542003472846,-4.2743889773473525,-3.5146927313572753,-2.6351538741345943,-2.4638968944915534
24,0.9397213277558759,-4.3289852509521545,-3.552550959050849,-2.669142045445686,-2.50374837193112
25,0.938486185841243,-4.372632602667234,-3.583293371645975,-2.7029373498440195,-2.542106921444348
26,0.935755692344469,-4.447315557848211,-3.652240688668636,-2.7505909342512487,-2.6020377910150487
27,0.9306046062362281,-4.517020673785159,-3.7104709919692347,-2.7853907472725594,-2.6458651854184416
28,0.935155109217153,-4.595049445392088,-3.764743919355308,-2.832757101524535,-2.6903946723721495
29,0.9356744241272856,-4.675492472462657,-3.814740871802338,-2.8646853711697666,-2.7289400520483804
30,0.9466023833348495,-4.676515621480759,-3.8279111426880337,-2.8702561855949447,-2.7473715897456508
31,0.933271213441943,-4.72139213466874,-3.8636200633469344,-2.889451180636496,-2.77980833182451
32,0.9361104470475735,-4.77149707531924,-3.9001136986036253,-2.8899321560048863,-2.8018973576620274
33,0.9407756498769286,-4.803979302529768,-3.92703762439899,-2.9038832692205094,-2.8281850111896247
34,0.9365670538854897,-4.862646311003024,-3.990004965406153,-2.925599722238794,-2.841943702933516
35,0.9422984356197353,-4.865935617414529,-3.9898643721078075,-2.928200701835608,-2.8400764206315356
