episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty
0,0.8981825879222233,-10.034520123470609,-7.409077124453478
1,0.9381211830918453,-27.117237726195004,-19.83918948609466
2,0.9362362063823442,-42.74735463424992,-31.06389165833242
3,0.9322207803965356,-57.92056669658447,-42.04506214633567
4,0.9333533925078983,-72.39255732587542,-52.57175390858893
5,0.9478313618441007,-85.99486635201929,-62.38431828550928
6,0.9469771607702642,-98.2850931460771,-71.14564171072868
7,0.9449030814357858,-109.95697920936414,-79.40144654814162
8,0.940292212682633,-121.37710983222945,-87.55925009201438
9,0.9383195435944921,-132.19112039318387,-95.27216274751278
10,0.9340695615640848,-142.8806684381567,-102.97182271373403
11,0.9433420917519857,-152.8961884162817,-110.17014677757689
12,0.9384846211552889,-162.74839564261418,-117.23629039828104
13,0.9391578500621457,-171.95079359994872,-123.78244234209282
14,0.9427930794170227,-181.35955330688833,-130.48306504291477
15,0.936701545200146,-190.6346182684924,-137.12499485103697
16,0.9400761717550218,-199.35191167726742,-143.2705459301617
17,0.9380419454529089,-207.81047014347578,-149.23548306179924
18,0.9348588410104012,-216.37357164166914,-155.29445515037534
19,0.9394725851679494,-224.64023671620038,-161.13858262769708
20,0.9431409284206144,-232.47739422819595,-166.67141481268118
21,0.9411371643785689,-240.12541200477688,-172.04032095751538
22,0.9302388301219622,-247.2574815358229,-176.96930208521977
23,0.93293423821237,-254.4704061020238,-181.92226497189742
24,0.9379447593776384,-261.52775370299565,-186.88466190950763
25,0.9349770364998792,-268.36790079691735,-191.70101792288233
26,0.94570094591317,-275.1669518068282,-196.45486369559615
27,0.935005701254276,-281.40895072646447,-200.767748750919
28,0.9409208858849798,-287.6974069337367,-205.15578274505762
29,0.9354145218918428,-293.768689415223,-209.40154540882298
30,0.9400443216660089,-299.72238101674714,-213.5082233533557
31,0.9332553044626511,-306.05916635921017,-217.98429233812445
32,0.9357342532564087,-311.71939209091505,-221.94836479230023
33,0.9301352124552053,-317.39091534014534,-225.90766628854567
34,0.9361308331816252,-322.88327486834396,-229.68534152765938
35,0.9374533066371814,-328.59594385612036,-233.61041889043682
36,0.9331213975874978,-333.6075527116674,-237.03708521066423
37,0.9487451503394763,-338.6203270415567,-240.45342463323357
38,0.9390321313061089,-343.55212189309265,-243.7959868380316
39,0.9381860196418256,-348.55076764599323,-247.2188942886859
40,0.9427245508982036,-353.25390002475723,-250.460345763333
41,0.937606863245043,-357.96956969364516,-253.71809663221305
42,0.935211182561966,-362.51894770844325,-256.8555973257449
43,0.9381513500710563,-366.9484837392194,-259.8137954100481
44,0.9425345267026258,-371.0848329298003,-262.60581236784645
45,0.9439303543163278,-375.43677555648947,-265.54829963183715
46,0.9405553026854802,-379.6979018771503,-268.44392615211206
47,0.9456261234272019,-383.5010154260715,-271.008331707805
48,0.9354273669209987,-387.36228484113064,-273.6427736519772
49,0.9332601667012725,-391.0916258889064,-276.1171167037614
50,0.9393767026913751,-394.79252376374615,-278.6473601520615
51,0.9400089405453733,-398.49112127577575,-281.1066563985421
52,0.9412890874282067,-402.0246948184212,-283.45999151640393
53,0.9369801084990959,-405.73770401001326,-285.94240523682765
54,0.9372620126926564,-408.99778472734044,-288.0971729172311
55,0.9428306181121227,-412.26309822285833,-290.25148241918805
56,0.9402303652423013,-415.4817696152828,-292.38653576171174
57,0.9409811320754717,-418.49674621405165,-294.3307634737985
58,0.9319648619576909,-421.67832473278804,-296.43683036072406
59,0.9412331696737853,-424.81556669270554,-298.51570871794564
60,0.9400144980065241,-427.8008371066055,-300.48849648789377
61,0.9400385681571652,-430.7703156446815,-302.4895613373443
62,0.9354594692728978,-433.6541005589502,-304.4141434271699
63,0.9399440920977487,-436.4401259405485,-306.273020344719
64,0.9362041947926711,-439.269182599128,-308.17717751910567
